doc_idx,category
1,15
2,15
4,15
5,48
10,48
14,48
15,48
17,15
22,15
23,15
30,15
33,15
36,15
39,15
45,12
49,12
50,12
57,12
64,12
66,13
70,23
71,92
88,18
92,18
104,55
117,18
118,18
124,58
134,28
138,49
142,58
148,60
156,11
159,46
169,72
170,72
177,72
179,72
182,22
185,72
188,72
189,72
191,72
192,72
195,72
196,42
202,37
211,47
214,6
217,6
218,6
219,6
224,6
226,6
227,6
234,6
248,68
252,1
253,1
263,1
276,1
289,47
290,46
295,64
296,57
298,57
299,57
302,46
304,57
305,57
306,57
308,46
311,6
316,57
322,90
326,42
330,14
333,21
338,21
346,1
351,42
352,42
361,44
378,15
380,44
383,44
385,44
398,44
399,44
402,18
405,18
408,12
410,70
418,18
422,18
427,18
436,15
443,32
452,32
453,8
457,9
461,9
463,8
465,32
467,84
472,8
473,9
480,78
481,78
482,78
483,78
485,78
489,78
491,78
493,78
496,78
499,78
501,78
502,78
514,78
517,78
519,78
520,37
526,37
527,12
528,12
533,12
534,37
538,83
541,37
543,37
545,37
546,12
548,37
553,37
558,37
559,37
562,81
565,81
566,81
567,32
569,32
570,32
572,32
575,32
576,32
581,81
582,81
587,81
598,81
599,81
615,13
616,13
621,13
628,13
634,13
635,13
638,13
641,76
643,78
648,48
654,37
661,48
663,48
668,57
670,48
674,48
678,46
683,54
685,37
686,14
688,14
692,14
701,14
706,14
710,14
712,14
713,14
716,14
719,14
720,5
725,6
728,87
764,22
768,22
775,46
776,12
793,60
794,46
796,22
817,1
825,68
826,27
836,1
840,26
841,31
861,22
866,22
867,5
868,22
871,22
879,46
880,21
882,68
883,68
891,21
895,68
898,68
899,68
900,68
905,27
910,21
918,27
924,7
935,22
936,22
938,22
940,27
944,22
951,21
953,22
955,7
958,42
961,41
962,67
965,41
971,41
977,76
979,10
981,67
982,67
989,67
991,76
999,67
1002,24
1009,24
1013,24
1014,24
1015,24
1032,24
1037,68
1043,21
1044,42
1051,1
1059,68
1065,68
1068,42
1069,21
1070,21
1073,90
1077,49
1078,75
1087,75
1093,75
1094,75
1098,75
1100,12
1101,75
1108,75
1109,75
1110,23
1114,49
1116,84
1119,73
1122,93
1127,49
1129,49
1137,84
1139,84
1148,49
1150,75
1157,49
1160,39
1161,18
1170,70
1185,18
1196,9
1197,28
1220,9
1223,32
1225,9
1237,50
1246,50
1248,14
1254,50
1255,50
1262,50
1270,50
1271,67
1280,31
1283,93
1284,93
1287,93
1292,93
1303,93
1310,93
1313,93
1318,23
1330,23
1332,23
1336,23
1341,18
1349,23
1355,8
1357,8
1362,8
1364,8
1366,43
1370,8
1385,43
1387,43
1388,43
1390,9
1397,36
1414,5
1431,48
1432,44
1436,2
1444,2
1446,2
1448,2
1451,2
1457,2
1463,2
1467,2
1471,2
1476,42
1478,42
1487,42
1491,42
1496,42
1501,42
1503,42
1511,42
1513,42
1523,56
1529,56
1530,56
1533,54
1540,56
1547,62
1548,14
1560,28
1571,28
1573,16
1583,28
1587,28
1590,42
1593,90
1599,90
1602,21
1632,20
1636,20
1643,20
1644,20
1651,20
1652,20
1692,5
1693,5
1694,67
1695,5
1696,78
1698,5
1710,9
1712,8
1713,8
1714,32
1728,32
1732,32
1735,32
1736,32
1737,8
1738,8
1739,32
1742,32
1746,32
1752,62
1754,20
1756,20
1763,20
1768,6
1770,20
1773,20
1775,20
1780,20
1784,20
1794,5
1798,90
1808,5
1819,5
1825,0
1832,69
1835,69
1836,69
1839,69
1850,69
1852,69
1855,69
1857,69
1869,25
1878,7
1895,7
1897,11
1900,7
1916,54
1931,54
1939,54
1950,67
1951,67
1952,67
1953,67
1955,67
1957,67
1959,67
1964,67
1980,67
1982,67
1991,37
1992,15
2000,6
2004,47
2010,68
2012,62
2013,14
2016,25
2025,1
2027,67
2030,22
2031,22
2034,46
2048,34
2049,21
2054,21
2064,21
2070,31
2073,49
2074,31
2075,31
2094,31
2101,31
2103,11
2108,39
2112,21
2114,16
2115,27
2123,16
2125,16
2126,31
2131,16
2132,16
2134,90
2137,90
2142,16
2151,87
2155,65
2158,76
2165,65
2170,65
2172,58
2194,60
2198,61
2201,61
2203,46
2204,61
2207,60
2212,45
2215,82
2216,61
2219,61
2225,60
2231,37
2238,30
2242,11
2252,11
2263,11
2270,82
2277,82
2279,82
2281,82
2288,82
2291,5
2293,87
2295,46
2300,87
2301,47
2302,82
2310,38
2320,38
2332,38
2337,38
2343,38
2358,16
