doc_idx,category
1,3
4,4
5,4
6,4
9,5
10,5
11,2
14,4
15,5
17,1
18,5
19,3
23,4
27,1
30,1
31,5
34,4
37,5
39,4
40,3
41,3
47,1
48,1
52,1
53,4
54,3
55,3
57,3
58,4
61,5
64,5
66,4
70,2
73,4
76,1
77,4
80,1
82,5
85,3
89,1
92,1
98,4
107,4
113,2
117,4
118,3
121,5
122,3
124,2
132,2
133,4
135,4
139,4
140,5
141,2
144,4
145,4
148,4
149,1
152,1
156,4
157,2
159,5
161,4
162,2
171,5
175,5
177,1
182,5
185,3
187,2
190,5
191,5
194,4
195,2
200,3
202,5
204,5
206,4
214,5
215,5
217,1
219,5
220,3
223,1
227,1
229,3
233,4
240,1
245,5
249,1
251,1
252,1
253,2
254,5
259,5
260,1
262,5
264,4
267,5
268,3
270,2
271,1
272,4
276,2
278,4
279,1
283,4
286,4
287,3
289,2
294,5
296,1
298,4
299,3
300,5
302,4
303,3
309,1
310,4
311,2
314,2
317,1
318,4
320,5
322,5
326,1
330,1
333,4
335,5
342,5
347,5
351,2
353,2
359,2
360,5
361,2
376,1
379,5
383,4
384,4
385,5
386,5
390,1
391,1
393,1
399,5
402,4
405,3
408,4
412,5
416,1
418,4
422,1
425,1
427,4
434,5
436,4
438,1
440,4
443,5
446,5
452,4
453,1
457,5
458,5
459,4
461,2
465,3
474,3
475,4
477,5
478,5
479,4
481,4
485,4
486,1
487,1
488,4
489,1
491,1
501,5
503,5
505,2
506,2
511,3
512,2
516,5
517,2
518,3
519,4
521,4
522,5
526,5
527,2
529,5
530,4
532,1
536,1
538,2
543,1
546,3
547,4
551,4
553,5
557,3
558,3
562,5
563,3
564,3
565,4
568,3
569,2
570,3
572,1
575,3
578,2
579,4
582,3
583,5
587,3
590,3
596,3
597,2
602,5
609,2
610,4
615,2
616,5
619,1
621,3
629,5
633,1
634,3
638,1
641,5
646,1
648,5
651,4
654,2
657,2
658,5
661,1
666,3
667,5
670,1
672,1
674,5
676,3
682,4
684,1
686,5
687,4
688,1
689,4
692,5
701,3
703,3
704,4
708,2
711,3
712,5
713,4
716,4
717,5
720,4
721,1
722,5
723,1
724,1
726,1
728,1
731,1
733,2
735,3
740,1
743,2
745,2
746,3
748,1
757,5
758,4
760,3
762,5
768,3
776,5
781,2
785,5
789,1
792,3
793,4
794,3
799,4
805,1
806,4
810,3
811,5
812,1
813,5
817,1
818,4
820,4
823,5
825,5
828,2
831,4
838,5
841,4
847,1
850,5
861,1
866,5
868,1
878,4
880,2
883,2
891,5
892,3
893,4
895,5
896,5
897,4
898,4
899,1
900,4
906,2
909,1
910,2
913,4
916,5
917,4
918,5
921,5
924,1
927,5
930,3
933,1
935,2
936,3
937,3
938,1
942,2
944,2
949,2
958,2
963,2
964,4
965,4
966,5
971,1
974,1
977,3
978,1
979,5
980,3
981,2
982,1
983,1
985,3
986,5
988,4
989,5
992,5
994,5
995,2
997,2
1000,2
1001,1
1002,5
1003,2
1010,4
1015,2
1017,5
1018,5
1021,2
1023,3
1025,4
1026,4
1029,4
1032,2
1036,2
1038,5
1043,3
1045,5
1047,1
1049,1
1050,2
1051,1
1052,5
1068,1
1069,2
1073,1
1074,5
1078,1
1079,5
1081,4
1087,3
1093,5
1096,4
1097,1
1099,5
1101,3
1108,3
1110,3
1114,5
1116,5
1122,3
1123,2
1127,5
1129,3
1135,4
1137,2
1140,1
1145,4
1146,5
1147,3
1151,4
1161,3
1164,3
1165,2
1166,1
1170,1
1174,5
1175,2
1180,2
1183,1
1185,4
1187,2
1188,4
1189,5
1192,1
1193,1
1196,3
1197,2
1199,1
1200,3
1203,5
1205,5
1210,1
1211,2
1213,1
1218,3
1222,2
1227,5
1228,4
1235,1
1239,2
1240,3
1245,2
1248,3
1254,1
1255,2
1256,3
1259,4
1260,4
1261,5
1263,1
1264,2
1271,2
1273,5
1277,1
1280,5
