doc_idx,category
1,9
31,0
33,0
34,0
36,9
42,0
45,0
57,0
70,3
72,0
85,2
87,0
88,0
104,0
117,0
124,3
125,0
130,10
135,1
142,0
148,2
154,6
156,0
159,0
170,8
173,0
182,5
185,0
189,0
192,4
195,0
202,0
214,0
217,0
218,10
220,0
221,0
223,0
224,3
227,0
241,0
245,1
246,4
248,0
252,0
253,0
263,3
269,7
271,0
286,0
291,0
294,0
298,0
302,6
304,1
308,0
311,0
314,0
326,0
345,0
347,6
348,0
352,2
378,1
379,0
381,0
383,0
402,0
408,1
410,0
415,9
429,0
452,8
453,7
457,0
463,5
465,0
470,0
480,3
481,1
487,0
489,7
491,0
496,0
499,0
500,0
501,0
514,2
517,0
520,0
526,0
528,6
530,0
531,0
533,6
534,1
536,9
541,4
543,0
545,0
548,5
553,5
555,0
556,6
559,6
562,0
567,0
569,1
575,0
576,1
581,0
582,7
584,0
599,0
619,0
620,0
629,1
634,0
636,9
639,0
648,0
661,0
663,0
666,0
667,0
668,0
675,0
678,0
683,5
684,7
685,1
690,1
704,0
706,6
708,2
712,2
716,0
720,0
727,0
731,0
735,0
751,6
773,1
775,10
776,0
788,0
799,0
803,0
809,0
812,1
817,1
825,6
829,6
831,6
836,0
841,0
842,0
843,7
849,0
854,0
866,0
867,0
871,0
872,3
873,9
888,4
891,0
895,0
898,0
906,1
917,0
927,0
933,1
938,0
939,0
942,0
949,9
962,0
965,0
971,0
977,0
979,8
980,0
982,0
991,0
1001,0
1002,0
1005,0
1009,0
1012,0
1021,0
1043,0
1051,0
1069,0
1073,2
1077,0
1085,0
1095,3
1098,0
1114,0
1116,1
1118,9
1127,0
1141,8
1144,0
1148,0
1160,2
1161,0
1163,0
1170,1
1172,0
1176,2
1185,2
1190,0
1203,2
1206,0
1220,0
1246,0
1248,0
1256,0
1259,0
1262,0
1276,1
1281,0
1282,2
1300,0
1319,0
1328,0
1329,0
1330,0
1332,0
1343,0
1351,0
1357,0
1358,2
1364,5
1380,0
1382,3
1386,0
1389,6
1390,1
1393,2
1399,0
1419,0
1420,5
1423,0
1428,0
1430,0
1431,8
1432,9
1436,0
1445,0
1448,0
1450,0
1452,0
1461,0
1470,0
1471,0
1473,0
1482,0
1493,3
1494,0
1496,7
1497,0
1501,0
1507,0
1511,9
1523,6
1529,2
1542,1
1544,10
1547,6
1553,0
1563,0
1564,0
1566,0
1567,1
1572,1
1574,2
1581,0
1586,1
1596,0
1606,0
1615,0
1625,0
1632,6
1642,0
1643,1
1644,2
1658,1
1662,0
1666,0
1667,0
1670,0
1675,0
1680,0
1687,10
1691,2
1695,0
1696,0
1697,0
1700,0
1705,0
1718,0
1721,0
1726,0
1736,1
1749,0
1750,0
1754,0
1760,0
1761,0
1762,0
1763,10
1770,0
1772,1
1774,1
1778,0
1783,0
1789,0
1790,8
1793,0
1794,9
1800,1
1815,1
1824,1
1834,0
1835,0
1836,0
1839,0
1850,6
1853,0
1855,0
1856,0
1872,0
1879,0
1894,0
1900,1
1902,0
1912,1
1917,6
1922,7
1927,0
1931,6
1933,6
1934,0
1939,1
1940,1
1948,3
1951,1
1953,0
1955,0
1965,3
1977,0
1982,9
1989,9
1990,0
1994,0
1997,9
2004,1
2009,0
2011,2
2013,0
2019,0
2031,1
2036,0
2041,5
2048,0
2057,1
2065,1
2066,1
2067,0
2070,0
2075,0
2078,6
2087,1
2089,0
2091,1
2101,9
2103,1
2110,2
2111,1
2118,0
2124,0
2131,1
2160,4
2166,0
2178,9
2188,9
2193,0
2200,6
2211,0
2212,1
2215,0
2217,0
2219,0
2224,0
2232,9
2239,0
2242,1
2244,9
2255,1
2258,2
2270,0
2272,7
2277,0
2299,6
2306,0
2308,0
2323,0
2327,0
2337,1
2343,0
2345,2
2347,0
2351,0
2358,1
2365,1
2367,5
2368,0
2369,5
2370,7
2374,2
2385,0
2396,0
2401,6
2404,0
2415,0
2420,0
2423,2
2432,0
2438,8
2450,10
2460,0
2472,0
2481,1
2483,0
2485,0
2494,0
2500,0
2507,0
2513,4
2519,1
2527,2
2535,1
2539,0
2540,1
2542,1
2543,0
2550,0
2551,7
2556,7
2560,0
2577,1
2583,0
2602,0
2616,2
2617,1
2618,0
2620,0
2625,10
2630,0
2635,0
2661,6
2678,0
2686,1
2694,6
2699,1
2702,2
2708,0
2709,0
2714,0
2718,0
2719,0
2724,0
2730,0
2734,0
2735,0
2743,0
2752,0
2758,0
2770,2
2774,9
2777,0
2788,0
2790,0
2796,0
2806,0
2808,2
2818,0
2823,0
2829,0
2833,1
2841,0
2843,3
2856,0
2863,1
2868,0
2869,1
2873,0
2875,6
2876,6
2877,0
2878,1
2879,0
2896,0
2899,0
2900,0
2906,10
2907,1
2913,0
2929,5
2939,1
2941,0
2944,0
2950,0
2951,1
2954,2
2955,0
2958,0
2961,0
2966,0
2975,0
2976,2
2981,7
2983,0
2984,7
2985,6
3005,2
3008,0
3009,2
3012,0
3016,0
3019,0
3025,0
3027,2
3037,1
3038,5
3040,0
3050,2
3052,0
3056,0
3061,0
3066,1
3071,0
3072,8
3076,0
3086,0
3088,0
3090,0
3097,0
3098,0
3118,0
3129,0
3135,0
3144,0
3151,0
3157,0
3159,1
3162,0
3170,0
3172,7
3176,0
3177,6
3181,0
3188,0
3193,0
3198,0
3209,0
3210,0
3213,0
3214,0
3222,5
3223,9
3225,3
3237,0
3241,0
3242,1
3248,1
3261,6
3263,0
3281,0
3311,0
3312,0
3320,5
3322,6
3323,0
3327,0
3328,0
3341,6
3345,0
3365,0
3368,0
3370,1
3387,0
3392,0
3401,0
3409,0
3414,0
3428,0
3431,1
3434,0
3436,0
3438,7
3449,1
3456,6
3459,1
3464,2
3477,0
3481,0
3484,0
3485,1
3492,1
3496,0
3501,0
3518,0
3527,0
3544,3
3550,0
3555,2
3562,0
3563,0
3566,0
3569,7
3584,7
3588,0
3616,6
3621,9
3626,0
3633,0
3637,7
3645,0
3649,2
3658,8
3662,0
3664,0
3666,0
3672,10
3673,0
3675,6
3681,10
3692,0
3694,0
3696,0
3700,0
3713,2
3726,0
3735,6
3738,1
3741,1
3743,0
3752,1
3759,0
3763,0
3764,6
3767,7
3784,0
3798,0
3803,0
3805,7
3812,0
3816,5
3820,1
3822,0
3836,7
3843,2
3849,0
3869,0
3879,0
3900,0
3904,0
3910,0
3911,0
3919,0
3926,0
3935,7
3940,0
3941,0
3949,6
3955,6
3956,0
3962,1
3974,0
3982,3
3992,0
4000,0
4008,0
4017,2
4032,0
4033,6
4044,0
4048,0
4053,0
4063,0
4068,3
4072,0
4087,0
4088,0
4093,0
4098,0
4109,6
4114,0
4115,5
4116,0
4119,0
4129,1
4136,0
4140,0
4144,1
4148,0
4152,0
4156,0
4160,6
4162,1
4166,1
4167,0
4171,0
4172,0
4174,0
4179,0
4183,0
4184,9
