doc_idx,category
9,5
18,2
23,2
33,2
38,5
42,5
43,1
44,5
45,2
46,6
49,6
50,5
52,6
58,4
98,7
119,6
121,6
122,2
127,9
133,2
134,5
140,7
150,3
154,4
158,3
168,6
178,1
183,7
185,2
187,2
188,1
196,3
197,8
208,1
213,1
221,1
224,1
233,1
234,2
242,5
247,3
250,2
251,0
253,0
254,7
257,2
272,6
273,7
277,1
278,1
289,5
292,0
296,1
304,1
317,5
328,10
332,5
334,1
338,7
341,2
343,4
379,5
384,2
387,6
393,2
394,1
396,1
397,1
400,4
404,1
406,2
408,1
427,6
438,3
442,3
447,1
451,6
454,2
458,3
462,2
477,5
489,6
495,6
518,2
519,5
521,10
526,1
528,4
532,2
537,6
541,7
544,10
547,4
558,1
561,1
563,1
569,1
574,1
580,1
581,6
591,1
595,6
597,1
598,5
600,2
603,5
617,6
618,5
623,1
625,7
630,2
632,4
635,1
646,2
659,5
676,1
679,6
681,6
691,2
692,5
705,1
708,1
717,5
732,1
735,5
746,4
747,2
749,0
757,0
760,1
776,5
779,5
787,1
791,8
799,2
821,7
831,4
833,5
834,7
838,2
839,9
843,8
848,1
852,2
855,7
864,10
869,3
878,3
888,7
894,1
905,1
907,5
915,5
921,2
922,2
928,10
931,10
935,1
940,6
943,5
944,1
945,7
950,1
952,1
961,1
966,0
972,2
975,1
982,5
987,4
994,5
997,5
998,1
1003,7
1004,3
1016,7
1018,10
1022,7
1029,1
1034,5
1035,6
1040,5
1044,7
1047,7
1051,3
1058,2
1059,7
1063,1
1067,9
1079,9
1085,5
1091,8
1094,7
1101,7
1110,2
1112,1
1113,1
1123,5
1126,6
1131,1
1132,9
1141,2
1156,10
1166,7
1167,2
1172,2
1176,1
1179,1
1210,1
1218,1
1223,8
1231,7
1233,9
1238,3
1242,5
1255,1
1257,2
1259,5
1261,1
1270,1
1278,5
1279,3
1280,1
1283,1
1286,2
1297,6
1306,1
1308,3
1309,9
1316,10
1324,3
1335,7
1353,5
1355,2
1358,1
1359,8
1373,7
1374,2
1375,5
1376,5
1382,10
1400,7
1403,2
1405,7
1412,7
1416,6
1422,5
1436,10
1440,5
1453,2
1454,1
1455,3
1456,5
1458,1
1467,8
1470,10
1476,3
1483,1
1485,7
1488,6
1490,3
1491,6
1497,3
1498,5
1501,6
1514,7
1515,7
1523,2
1529,1
1540,2
1557,1
1558,6
1561,3
1566,5
1570,5
1571,6
1573,1
1589,1
1597,6
1607,4
1608,1
1613,8
1638,2
1643,1
1645,5
1653,10
1654,1
1656,2
1675,5
1690,8
1691,1
1706,3
1720,2
1741,6
1742,2
1747,1
1755,7
1759,3
1781,9
1785,8
1815,1
1819,7
1824,1
1833,10
1837,10
1842,5
1845,5
1852,2
1861,6
1874,1
1878,1
1888,8
1893,3
1899,3
1901,7
1904,1
1912,1
1915,5
1921,1
1928,1
1934,2
1936,10
1938,2
1940,1
1942,5
1962,10
1966,3
1972,10
1977,7
1984,4
1985,3
1986,3
1993,5
1998,7
2002,4
2004,1
2021,1
2031,1
2034,1
2036,7
2041,7
2042,2
2049,1
2060,2
2065,1
2073,7
2083,4
2087,1
2090,6
2097,6
2099,1
2104,7
2108,1
2117,5
2119,6
2120,1
2121,1
2124,6
2131,1
2141,1
2142,2
2143,10
2146,1
2174,1
2177,5
2178,2
2182,2
2193,6
2195,5
2206,7
2214,7
2221,5
2223,1
2227,1
2236,2
2246,1
2247,5
2248,7
2255,1
2257,7
2263,5
2265,7
2267,5
2270,2
2293,2
2294,2
2295,10
2297,2
2299,4
2310,1
2313,2
2315,6
2330,3
2342,1
2352,2
2354,4
2357,5
2365,1
2376,1
2380,7
2381,4
2405,7
2410,1
2430,7
2446,1
2471,10
2475,1
2486,5
2489,10
2497,7
2501,7
2510,2
2512,1
2527,1
2528,1
2531,10
2533,2
2543,6
2549,1
2555,4
2558,10
2560,9
2564,7
2569,7
2570,2
2573,1
2580,2
2581,2
2584,6
2586,6
2597,7
2602,5
2603,6
2607,1
2612,7
2615,10
2622,7
2624,5
2627,1
2639,6
2642,5
2648,6
2659,5
2662,1
2664,1
2676,6
2677,6
2680,4
2682,9
2689,2
2711,6
2716,3
2721,2
2722,7
2725,6
2727,6
2741,7
2743,2
2744,1
2746,6
2750,10
2770,1
2785,10
2795,5
2796,2
2818,7
2820,1
2829,7
2837,6
2846,7
2856,5
2857,1
2863,1
2864,10
2875,4
2879,10
2882,7
2884,4
2888,1
2902,1
2906,9
2909,1
2912,6
2926,1
2931,7
2934,7
2952,1
2956,1
2964,1
2968,5
2978,5
2989,2
2993,5
2996,1
2999,7
3004,7
3008,1
3017,5
3021,4
3022,3
3023,1
3028,1
3036,4
3042,5
3048,5
3050,1
3056,3
3068,1
3079,1
3083,5
3087,9
3094,7
3097,10
3118,3
3119,7
3126,9
3127,6
3130,5
3131,9
3139,4
3144,6
3151,4
3154,6
3161,1
3169,1
3172,3
3173,7
3179,3
3189,7
3191,4
3193,7
3195,4
3216,5
3223,2
3224,7
3228,2
3230,2
3236,2
3243,2
3256,1
3260,2
3265,1
3268,5
3270,4
3279,2
3292,8
3295,4
3304,1
3312,5
3317,2
3319,6
3321,6
3327,8
3329,10
3336,1
3337,7
3341,4
3342,2
3343,5
3347,1
3358,2
3372,5
3377,1
3381,10
3383,1
3392,3
3424,5
3426,6
3431,1
3440,1
3444,4
3447,1
3451,6
3456,4
3460,10
3463,1
3464,1
3472,1
3474,4
3475,6
3479,3
3482,10
3486,5
3489,5
3493,5
3516,10
3550,6
3552,0
3568,2
3575,7
3585,10
3586,1
3592,10
3596,1
3599,6
3605,1
3616,4
3620,3
3632,10
3646,1
3653,2
3654,1
3655,2
3662,5
3671,0
3676,10
3686,4
3693,1
3695,0
3697,6
3700,5
3705,10
3706,1
3714,4
3719,1
3720,7
3722,2
3724,5
3725,1
3728,5
3742,2
3751,1
3759,6
3761,1
3762,10
3766,5
3768,4
3770,2
3773,5
3775,1
3776,2
3780,5
3785,1
3786,1
3789,5
3796,1
3799,2
3813,5
3816,7
3827,6
3839,2
3841,8
3845,7
3852,1
3857,9
3859,8
3861,10
3870,1
3873,7
3874,6
3876,3
3878,6
3892,1
3893,7
3898,7
3899,3
3900,10
3911,6
3916,2
3918,6
3922,2
3924,0
3931,5
3942,1
3945,5
3949,4
3953,4
3962,1
3963,2
3971,1
3977,2
3992,2
3998,1
4001,1
4004,2
4005,1
4023,2
4027,0
4030,5
4033,4
4037,1
4047,1
4054,5
4066,6
4080,1
4083,4
4104,5
4110,5
4111,2
4132,6
4137,4
4141,1
4151,1
4159,1
4160,10
4162,1
4165,2
4175,6
4176,7
4177,1
4186,10
4188,10
4190,10
4204,1
4208,3
4211,7
4215,0
4217,7
4219,2
4224,1
4229,1
4232,1
4233,5
4235,1
4244,1
4249,5
4250,7
4258,1
4265,9
4275,6
4278,1
4291,6
4294,1
4299,10
4306,1
4323,1
4326,1
4331,4
4335,6
4344,2
4346,7
4355,1
4368,1
4382,2
4384,7
4385,3
4389,1
4404,1
4418,4
4420,7
4421,6
4428,1
4434,10
4436,1
4442,1
4446,7
4453,1
4457,8
4461,10
4466,8
4471,4
4472,10
4478,5
4489,5
4495,7
