doc_idx,category
4,2
12,47
15,12
29,94
30,37
31,58
33,17
39,51
42,25
44,70
49,135
65,130
66,85
72,17
98,92
113,22
125,0
134,84
137,39
138,21
140,107
142,0
143,99
144,46
148,0
152,16
154,93
159,85
189,0
202,5
214,35
217,24
223,0
224,121
241,0
247,89
265,46
291,122
295,0
298,0
302,29
304,39
308,0
311,121
333,103
348,82
376,98
379,137
380,0
381,101
388,34
396,9
398,52
402,0
405,0
443,0
444,0
446,40
451,86
452,46
453,0
464,12
467,0
472,29
487,113
489,65
496,86
499,41
502,24
520,98
521,70
527,31
528,50
530,57
533,91
534,0
535,47
539,151
546,0
548,16
558,0
559,0
567,0
575,41
582,50
584,33
601,0
613,122
629,0
634,42
660,45
661,22
666,101
678,0
683,71
684,147
690,141
704,4
716,60
725,139
731,17
735,147
737,0
751,33
773,39
776,150
780,54
806,22
825,17
840,97
842,21
852,92
854,139
861,9
862,121
863,39
866,0
867,0
871,0
873,133
878,56
882,56
895,0
898,0
910,17
914,58
918,54
933,151
939,17
944,73
949,0
962,50
965,93
977,31
979,0
991,34
992,20
994,0
1001,32
1003,126
1008,41
1013,50
1014,47
1022,115
1042,41
1043,0
1066,67
1067,33
1087,32
1091,132
1095,0
1098,0
1114,0
1121,35
1122,0
1145,97
1160,93
1170,67
1176,58
1180,0
1185,17
1189,0
1191,0
1192,57
1196,9
1216,24
1224,0
1234,39
1248,60
1261,0
1262,12
1275,145
1281,34
1284,38
1290,15
1294,33
1299,33
1326,21
1327,31
1328,13
1336,95
1343,50
1358,135
1362,40
1386,31
1390,3
1391,151
1393,102
1398,121
1411,132
1419,1
1422,137
1433,16
1442,15
1450,0
1453,51
1457,62
1458,0
1461,17
1475,121
1482,20
1484,0
1493,0
1505,108
1511,68
1514,85
1520,86
1521,121
1529,80
1533,0
1536,68
1540,109
1542,41
1547,0
1564,126
1568,94
1571,3
1580,39
1581,137
1586,116
1596,98
1597,0
1606,21
1607,109
1615,66
1620,25
1622,16
1643,6
1649,99
1651,29
1657,59
1662,33
1666,128
1668,21
1670,54
1680,15
1687,102
1688,25
1692,92
1700,0
1708,33
1712,0
1715,152
1721,139
1742,147
1744,70
1746,33
1749,147
1752,22
1755,64
1763,70
1766,40
1767,46
1790,59
1826,118
1828,62
1837,64
1839,0
1855,57
1861,92
1864,0
1865,118
1869,109
1870,0
1887,0
1889,25
1891,0
1900,15
1912,33
1916,80
1919,72
1921,17
1926,32
1931,49
1942,39
1951,117
1957,34
1977,86
1989,116
1990,64
1995,144
1997,21
2011,34
2013,129
2026,19
2029,121
2030,48
2044,126
2058,86
2060,86
2065,72
2070,0
2072,0
2075,0
2078,0
2103,133
2106,83
2111,64
2134,121
2141,53
2149,27
2154,0
2162,66
2175,25
2179,0
2188,89
2196,97
2204,30
2207,35
2211,0
2212,95
2223,64
2232,103
2240,0
2247,2
2250,0
2259,61
2265,0
2267,17
2275,86
2277,67
2279,32
2281,36
2284,115
2290,109
2308,68
2314,93
2324,115
2332,116
2339,90
2347,63
2355,138
2358,136
2369,45
2372,95
2373,119
2374,2
2379,72
2381,31
2385,77
2396,31
2423,14
2447,101
2455,111
2456,31
2466,51
2473,22
2475,72
2477,29
2484,21
2498,40
2500,50
2510,37
2513,144
2519,104
2531,22
2533,0
2534,104
2550,151
2568,0
2584,61
2600,57
2611,122
2616,0
2630,0
2636,116
2640,22
2648,96
2666,27
2669,60
2676,115
2682,122
2686,125
2696,72
2716,94
2720,73
2731,115
2734,130
2748,86
2749,145
2753,121
2754,79
2755,81
2760,64
2768,67
2769,102
2773,0
2782,70
2790,0
2795,107
2803,67
2809,0
2818,43
2819,17
2824,21
2829,0
2832,137
2839,99
2869,21
2875,75
2892,33
2923,104
2929,25
2933,26
2938,0
2944,56
2948,0
2958,37
2964,88
2969,43
2972,0
2975,91
2976,33
2979,0
2982,21
3009,35
3010,95
3034,131
3045,33
3054,35
3055,46
3058,122
3071,82
3073,57
3080,73
3095,56
3113,128
3118,72
3119,50
3120,101
3124,126
3135,47
3147,137
3150,62
3164,67
3176,0
3182,96
3183,17
3188,127
3197,23
3201,11
3202,21
3207,46
3213,112
3233,37
3235,88
3244,0
3261,112
3262,0
3265,8
3284,0
3296,0
3301,18
3324,6
3326,5
3328,12
3332,31
3351,37
3357,4
3363,0
3365,25
3369,0
3378,45
3379,39
3405,134
3410,97
3412,85
3414,15
3420,0
3438,4
3448,29
3469,89
3473,0
3474,61
3476,1
3480,34
3481,39
3482,59
3485,130
3488,96
3496,66
3497,17
3512,7
3514,137
3519,11
3524,83
3541,17
3550,28
3552,55
3556,22
3559,19
3561,0
3567,10
3578,29
3582,18
3585,0
3606,141
3614,86
3615,37
3616,17
3618,81
3620,129
3628,47
3631,38
3647,33
3650,40
3688,129
3689,14
3692,10
3700,56
3706,96
3732,21
3739,11
3740,137
3744,97
3759,80
3772,20
3777,70
3783,20
3791,86
3801,55
3807,32
3812,136
3816,136
3824,29
3836,73
3843,39
3849,150
3861,13
3865,18
3874,7
3879,79
3883,0
3887,55
3889,22
3891,9
3896,17
3897,10
3904,57
3906,61
3909,37
3924,67
3932,89
3935,46
3937,130
3938,17
3944,101
3951,135
3985,41
3996,88
4002,83
4004,25
4005,0
4015,3
4021,29
4034,47
4046,3
4053,37
4058,16
4059,36
4070,92
4077,21
4085,130
4086,11
4088,88
4093,62
4110,34
4113,0
4129,47
4133,0
4164,137
4170,135
4172,21
4183,46
4200,135
4224,22
4225,14
4230,67
4234,76
4236,103
4244,72
4254,0
4257,86
4270,0
4279,0
4303,151
4314,22
4316,0
4318,144
4321,25
4322,51
4323,150
4331,61
4349,17
4357,73
4366,0
4367,121
4376,116
4377,48
4379,41
4383,67
4388,54
4402,136
4418,70
4425,22
4435,80
4437,48
4447,116
4455,60
4473,122
4500,85
4508,116
4511,29
4518,73
4529,89
4531,20
4532,77
4533,34
4536,67
4537,35
4549,0
4554,22
4563,21
4565,49
4574,114
4577,60
4579,57
4580,7
4585,95
4586,43
4593,32
4594,21
4598,30
4603,107
4604,121
4613,3
4617,46
4618,30
4629,122
4643,92
4645,7
4657,130
4660,48
4689,0
4697,150
4701,0
4709,0
4711,142
4725,0
4729,0
4733,47
4737,0
4744,0
4752,0
4778,93
4781,0
4786,140
4796,121
4798,94
4802,41
4804,95
4816,25
4822,20
4823,9
4828,86
4833,34
4835,94
4836,13
4839,0
4846,134
4865,131
4874,43
4877,31
4892,87
4900,59
4907,38
4910,113
4914,17
4916,64
4919,88
4932,2
4935,116
4940,118
4943,137
4944,13
4948,93
4951,151
4957,72
4960,147
4963,104
4972,101
4975,73
4989,0
4992,73
4995,79
4998,0
5001,98
5015,0
5029,80
5036,0
5042,73
5049,35
5067,148
5085,104
5092,33
5101,0
5125,22
5141,87
5146,22
5156,48
5159,56
5172,0
5173,107
5184,43
5193,94
5218,109
5235,82
5238,109
5244,137
5260,22
5262,54
5278,96
5285,95
5291,92
5295,10
5319,116
5321,95
5328,87
5331,31
5333,0
5345,115
5357,42
5362,31
5373,72
5381,101
5389,25
5406,62
5407,18
5418,137
5423,0
5428,82
5437,35
5442,0
5450,82
5475,42
5478,48
5481,136
5482,90
5494,133
