doc_idx,category
10,130
27,0
41,137
42,23
46,77
60,0
61,40
71,141
77,125
114,39
118,28
124,87
125,62
144,41
146,0
154,81
159,0
176,131
180,15
188,62
190,64
192,42
197,138
199,87
221,118
226,70
230,62
233,11
238,121
247,73
250,40
253,37
258,27
259,109
272,122
285,17
292,63
296,129
298,52
303,56
316,18
332,0
350,0
352,70
355,123
358,60
378,0
382,64
386,129
404,89
406,77
419,118
427,59
442,21
449,85
451,95
453,0
457,0
467,138
477,56
486,140
487,81
499,39
501,62
505,148
518,41
519,125
528,59
537,0
547,0
554,129
555,37
562,48
563,0
567,87
571,117
578,71
579,56
582,97
591,0
595,36
597,97
598,28
603,0
630,45
638,129
644,0
651,0
654,26
656,0
657,26
659,60
663,85
668,62
673,0
726,0
748,145
749,0
755,69
761,3
779,27
784,10
793,150
812,61
817,55
828,23
832,1
834,17
850,0
859,42
871,132
874,97
894,100
898,142
903,0
907,29
922,40
928,8
936,12
938,28
940,42
952,63
966,89
967,31
972,0
973,0
974,31
976,0
981,0
982,0
986,0
992,117
998,0
1001,100
1005,0
1010,0
1012,42
1016,137
1024,117
1029,0
1035,0
1040,125
1043,108
1054,6
1057,55
1058,7
1059,87
1060,133
1061,62
1072,0
1076,29
1083,0
1085,37
1089,123
1091,102
1094,10
1096,40
1099,0
1103,50
1104,0
1107,87
1121,32
1126,60
1136,50
1156,7
1158,0
1167,29
1172,30
1178,0
1180,0
1190,60
1205,63
1217,104
1218,9
1219,57
1220,0
1235,108
1237,77
1242,1
1254,123
1261,138
1268,97
1269,10
1274,117
1278,28
1287,57
1289,128
1292,132
1293,42
1297,3
1299,30
1306,49
1312,30
1334,64
1340,32
1367,49
1368,3
1373,100
1376,0
1379,66
1399,19
1401,123
1402,30
1407,148
1412,126
1418,0
1426,52
1432,120
1436,137
1437,63
1460,18
1464,117
1466,0
1467,0
1474,28
1488,0
1491,122
1507,123
1512,0
1516,109
1523,102
1524,7
1537,0
1539,101
1540,89
1550,28
1554,0
1559,135
1561,37
1568,78
1578,0
1597,146
1607,61
1608,120
1612,32
1613,1
1627,0
1640,28
1645,35
1656,71
1662,30
1674,55
1678,6
1682,141
1685,24
1698,0
1725,0
1726,32
1731,0
1740,0
1743,94
1746,30
1747,41
1753,139
1757,30
1758,147
1765,32
1769,29
1782,100
1792,140
1794,8
1801,20
1810,144
1811,101
1813,25
1826,77
1829,56
1830,39
1834,137
1841,30
1842,46
1851,63
1852,137
1861,76
1862,145
1864,125
1872,69
1874,135
1883,77
1885,44
1895,0
1898,53
1905,97
1906,0
1911,0
1912,50
1923,30
1928,94
1932,0
1937,0
1946,118
1950,0
1961,35
1963,142
1964,49
1981,0
1985,63
1999,94
2004,12
2007,89
2015,40
2021,118
2028,0
2050,78
2070,132
2074,64
2080,111
2081,41
2091,28
2092,0
2093,58
2103,111
2105,125
2106,60
2109,0
2113,130
2133,42
2141,63
2151,100
2153,77
2154,69
2157,94
2167,87
2180,0
2199,142
2226,73
2239,129
2244,0
2248,0
2252,7
2256,19
2260,33
2267,64
2270,42
2275,72
2288,37
2299,50
2305,50
2308,57
2312,111
2315,109
2326,61
2335,81
2336,0
2344,69
2352,94
2354,12
2356,33
2363,23
2376,0
2382,128
2390,20
2392,56
2411,60
2415,21
2416,58
2440,71
2445,37
2456,122
2457,2
2461,122
2464,63
2466,113
2469,63
2476,0
2486,0
2492,35
2500,44
2506,0
2510,61
2523,0
2525,87
2535,0
2553,63
2564,131
2567,53
2573,0
2578,0
2582,0
2585,0
2592,150
2595,0
2596,100
2598,95
2600,3
2604,93
2624,55
2625,63
2626,148
2627,147
2640,20
2643,40
2656,108
2668,0
2670,56
2673,51
2688,100
2689,74
2701,1
2704,37
2721,40
2746,147
2749,32
2760,53
2763,20
2765,10
2768,36
2781,46
2802,28
2804,39
2806,22
2841,87
2847,20
2852,36
2858,66
2861,18
2862,58
2865,28
2879,63
2885,51
2888,0
2891,56
2905,0
2908,18
2919,2
2923,84
2934,34
2935,111
2958,27
2960,73
2968,111
2975,75
2984,132
2985,9
2987,3
2995,129
2998,0
3004,34
3014,135
3016,55
3021,148
3023,69
3030,87
3032,9
3033,37
3042,68
3057,75
3061,143
3073,151
3076,32
3081,78
3102,16
3105,60
3107,81
3120,100
3124,122
3131,86
3134,42
3135,42
3140,0
3148,0
3149,61
3161,0
3163,110
3167,62
3179,70
3193,131
3236,95
3246,0
3252,0
3260,2
3263,2
3268,0
3270,0
3271,87
3272,9
3290,148
3294,0
3299,84
3307,57
3317,12
3318,0
3325,23
3327,49
3331,87
3350,0
3359,133
3381,129
3386,9
3388,92
3407,84
3419,0
3422,0
3472,34
3475,37
3480,36
3481,0
3482,50
3483,55
3487,48
3500,45
3506,37
3507,15
3511,147
3519,10
3535,17
3558,56
3559,55
3578,0
3579,63
3582,13
3592,97
3596,50
3612,62
3620,122
3663,111
3668,63
3673,120
3674,7
3679,0
3682,52
3689,17
3692,63
3699,65
3710,56
3714,148
3715,100
3719,13
3723,0
3733,95
3734,14
3745,97
3760,77
3774,97
3785,53
3789,122
3815,37
3826,148
3828,0
3832,0
3841,10
3842,104
3846,1
3850,138
3859,30
3864,4
3868,1
3875,148
3877,138
3886,81
3887,37
3890,42
3898,16
3899,58
3908,100
3911,34
3928,137
3935,41
3938,47
3940,0
4002,60
4007,4
4011,2
4019,7
4020,85
4027,77
4036,0
4038,0
4049,135
4055,84
4060,15
4073,7
4077,40
4079,108
4085,0
4087,29
4089,0
4105,147
4110,31
4119,41
4122,62
4129,42
4138,112
4145,0
4148,135
4149,81
4153,0
4155,2
4158,0
4168,55
4171,0
4175,0
4186,104
4192,36
4196,0
4197,147
4206,0
4215,81
4219,0
4228,95
4232,100
4235,113
4238,123
4247,71
4248,62
4258,125
4263,140
4270,97
4280,22
4281,148
4286,137
4299,2
4307,56
4311,56
4313,105
4331,49
4339,46
4348,36
4353,23
4359,27
4362,0
4365,100
4370,140
4374,0
4380,57
4384,120
4391,0
4393,133
4400,77
4410,0
4412,68
4422,32
4423,0
4430,62
4434,8
4436,13
4439,0
4445,95
4448,14
4449,131
4458,140
4465,83
4471,0
4472,114
4473,101
4476,143
4477,140
4487,40
4492,56
4493,4
4497,70
4538,0
4546,0
4556,0
4569,13
4573,79
4576,55
4578,142
4590,64
4591,66
4594,7
4606,57
4640,0
4652,76
4658,94
4662,43
4679,10
4687,113
4696,18
4701,133
4702,126
4708,18
4732,108
4740,135
4741,34
4744,64
4751,128
4756,29
4759,0
4768,19
4787,0
4791,61
4799,0
4806,0
4812,113
4827,18
4837,0
4845,3
4865,28
4883,118
4893,0
4894,37
4895,151
4896,60
4899,35
4901,0
4914,9
4920,19
4921,0
4923,0
4928,111
4931,7
4932,117
4936,84
4940,0
4948,97
4952,148
4959,0
4968,0
4971,0
4981,60
4985,15
5004,0
5005,0
5015,55
5020,23
5027,70
5044,91
5048,0
5062,2
5066,126
5071,81
5073,100
5076,0
5081,29
5088,91
5096,12
5102,126
5105,55
5110,114
5113,30
5125,140
5130,27
5148,10
5152,16
5158,145
5161,52
5162,34
5163,19
5164,40
5169,0
5177,69
5187,28
5195,44
5205,141
5206,33
5211,30
5219,137
5226,109
5229,62
5233,77
5239,125
5242,23
5269,17
5270,63
5272,20
5289,132
5291,76
5294,53
5296,77
5301,0
5307,0
5315,30
5324,0
5343,31
5344,53
5346,10
5348,37
5357,7
5371,12
5373,28
5380,111
5381,10
5384,104
5385,117
5393,0
5404,37
5419,149
5423,0
5462,62
5468,94
5470,0
5475,7
5477,17
5479,0
5482,74
5496,28
