doc_idx,category
9,0
10,13
14,7
15,0
22,0
23,0
27,11
30,0
33,0
37,10
40,0
44,5
49,11
53,0
57,0
64,10
69,0
70,0
76,4
92,0
98,13
104,14
109,0
113,0
117,7
118,6
119,5
121,0
124,0
132,0
135,0
137,0
138,0
141,0
148,0
156,0
169,2
175,0
179,13
182,7
188,11
189,11
191,10
192,10
195,14
196,4
202,0
206,0
215,0
217,11
224,0
227,2
228,0
229,0
234,9
235,7
238,11
242,0
244,4
245,0
248,5
252,5
253,11
259,0
263,10
271,0
276,0
289,0
290,0
295,11
296,6
298,14
299,5
302,0
303,11
305,9
306,0
311,12
314,6
316,0
317,0
320,13
322,13
326,4
330,0
332,0
333,0
338,11
346,4
349,0
351,0
352,0
353,11
361,2
369,11
380,10
385,7
392,0
396,0
398,0
399,0
402,4
405,7
410,7
418,0
422,11
425,0
426,0
427,13
436,0
438,4
443,0
446,0
452,13
454,0
457,0
459,0
461,0
463,5
465,14
472,0
476,0
478,13
480,0
482,0
483,0
485,11
487,5
488,14
489,0
491,0
493,7
496,0
501,10
502,6
503,0
507,11
514,11
517,0
518,0
527,0
529,9
531,11
536,5
538,0
543,0
545,14
546,0
547,13
553,0
558,0
562,4
563,0
564,6
565,4
566,0
567,4
569,0
570,0
572,0
575,4
578,0
581,0
582,0
587,11
596,2
597,1
599,7
600,1
601,12
609,4
615,0
616,7
618,7
619,13
621,5
628,10
634,10
638,0
641,13
643,0
648,7
652,0
654,5
655,0
661,0
663,10
666,10
667,6
670,0
672,13
674,4
675,0
678,0
682,6
683,10
685,0
686,9
687,0
688,0
692,0
701,7
702,0
704,0
711,0
712,0
716,0
719,0
720,4
722,0
723,0
727,13
728,0
731,0
743,10
745,0
746,13
748,1
751,0
762,0
766,1
768,0
775,0
776,0
778,0
779,14
783,7
791,0
793,13
794,0
806,4
812,0
817,10
820,0
825,0
826,0
831,11
836,8
838,13
841,12
847,0
849,0
850,4
852,0
867,0
868,0
878,0
879,6
880,0
882,10
886,0
890,0
895,13
896,0
899,13
900,10
905,13
906,0
909,1
912,11
913,0
914,2
918,0
921,0
923,0
924,0
933,13
934,1
935,0
936,10
938,5
944,0
951,6
953,4
958,0
961,6
962,0
963,0
966,0
969,0
971,14
977,0
979,4
982,7
983,0
988,4
991,0
993,0
995,4
997,5
998,0
1003,0
1005,0
1009,13
1013,0
1014,6
1015,0
1017,5
1023,0
1025,11
1032,0
1037,14
1038,0
1041,0
1042,0
1043,9
1044,4
1047,4
1049,7
1052,0
1056,0
1059,0
1063,0
1065,4
1068,12
1070,0
1074,13
1078,0
1081,0
1083,0
1084,0
1093,4
1094,11
1095,0
1099,4
1101,0
1106,10
1108,5
1109,0
1110,0
1114,10
1118,7
1122,0
1127,5
1129,0
1136,0
1138,4
1147,0
1148,13
1151,0
1158,0
1160,0
1180,0
1183,0
1184,0
1187,0
1190,0
1191,3
1196,0
1197,0
1199,11
1203,5
1211,7
1217,0
1222,1
1224,0
1225,11
1230,13
1231,4
1232,4
1236,0
1237,0
1238,0
1240,0
1244,4
1254,2
1255,11
1256,0
1261,0
1262,4
1264,10
1269,0
1271,0
1273,2
1275,0
1276,4
1281,10
1283,7
1287,0
1290,0
1293,0
1300,0
1301,5
1302,0
1303,5
1311,7
1318,14
1323,0
1324,13
1326,0
