doc_idx,category
9,15
22,8
30,3
33,15
39,9
42,0
44,0
45,25
49,0
57,15
72,0
87,25
98,0
104,15
113,0
117,0
122,0
124,0
125,7
130,15
134,0
138,15
142,16
148,25
154,12
156,0
158,0
159,11
161,0
162,0
167,0
170,33
173,25
189,11
192,25
195,0
202,0
214,3
217,27
218,0
220,1
223,0
224,15
241,8
246,0
252,3
253,1
263,0
269,1
271,0
283,0
291,0
294,0
298,0
302,0
304,12
308,0
311,19
326,0
333,1
348,24
349,1
352,0
379,3
380,1
383,1
394,1
398,0
402,0
405,0
406,0
410,30
415,0
446,0
452,1
453,3
463,0
472,0
481,0
483,8
487,3
489,23
491,0
495,1
496,1
500,0
502,1
507,9
514,0
517,9
520,15
521,19
526,9
528,25
530,0
531,0
533,31
534,0
538,0
541,10
543,12
545,0
548,16
556,13
559,0
562,0
567,0
575,0
578,27
582,0
584,15
599,0
619,13
624,5
634,0
636,0
639,0
641,0
648,0
651,0
661,3
666,0
668,0
675,3
678,0
683,0
684,0
716,0
720,0
727,0
731,0
773,0
780,0
788,0
825,0
829,0
831,0
843,0
847,0
852,0
854,0
861,0
866,0
867,0
871,0
872,0
873,2
878,0
882,0
883,0
888,0
891,0
896,0
898,0
906,0
910,0
918,0
927,1
933,0
938,0
939,0
962,0
965,0
971,0
976,6
979,0
982,0
991,15
995,1
1002,0
1003,0
1011,8
1022,3
1042,0
1043,34
1051,15
1065,9
1066,27
1068,3
1077,19
1082,15
1084,0
1095,22
1098,0
1104,1
1109,18
1114,9
1115,3
1116,1
1118,0
1119,1
1127,0
1141,1
1160,1
1172,0
1177,0
1185,0
1196,1
1203,3
1223,0
1224,3
1230,0
1232,8
1239,0
1259,0
1261,0
1267,0
1273,0
1277,0
1281,8
1298,0
1303,0
1309,3
1319,0
1327,0
1329,0
1332,0
1338,0
1343,0
1351,0
1357,3
1362,0
1363,0
1364,0
1368,15
1370,3
1371,0
1376,3
1377,0
1380,15
1382,1
1385,0
1387,0
1389,8
1390,0
1393,27
1399,0
1410,1
1411,15
1419,0
1420,13
1423,0
1432,9
1433,13
1441,0
1445,0
1448,6
1450,0
1452,15
1458,0
1461,0
1464,0
1475,18
1482,0
1489,0
1491,0
1504,23
1505,0
1511,0
1515,27
1519,25
1521,1
1522,0
1526,9
1529,15
1530,0
1531,0
1547,0
1556,0
1563,5
1564,0
1567,17
1580,15
1581,15
1593,0
1601,0
1620,3
1621,15
1632,0
1642,0
1643,9
1644,1
1649,3
1657,0
1662,1
1669,0
1675,8
1687,15
1691,9
1692,0
1698,0
1700,1
1708,0
1718,0
1721,12
1726,0
1736,10
1746,0
1749,0
1750,9
1752,1
1754,1
1757,3
1759,9
1761,0
1767,27
1774,0
1790,1
1791,0
1794,12
1800,0
1804,24
1813,0
1830,9
1831,22
1839,3
1852,0
1856,15
1865,0
1869,0
1879,23
1887,15
1888,0
1889,0
1900,15
1907,15
1912,0
1922,27
1926,0
1928,15
1936,3
1941,0
1951,0
1953,0
1955,27
1957,27
1965,0
1972,25
1990,0
1997,0
2006,17
2012,4
2013,15
2016,4
2030,0
2041,0
2044,8
2047,8
2049,9
2058,15
2065,9
2066,0
2071,14
2075,25
2076,0
2087,9
2089,0
2100,0
2111,23
2131,0
2139,5
2143,1
2149,0
2154,0
2157,3
2162,0
2165,15
2172,0
2175,0
2196,3
2201,0
2204,12
2216,0
2217,0
2224,1
2230,0
2234,3
2239,0
2242,3
2243,19
2244,15
2258,8
2263,0
2265,0
2278,13
2300,27
2301,0
2307,19
2310,0
2315,0
2319,0
2323,0
2332,3
2355,0
2359,1
2361,0
2367,0
2368,0
2374,0
2381,0
2382,0
2404,0
2406,0
2409,0
2436,0
2439,0
2440,0
2443,15
2445,0
2450,0
2457,0
2462,23
2465,3
2470,3
2471,15
2478,0
2483,0
2484,0
2485,25
2490,8
2493,23
2494,0
2497,0
2501,0
2505,0
2513,15
2519,0
2523,0
2526,0
2531,19
2534,0
2535,0
2537,0
2550,17
2552,0
2553,0
2574,15
2575,15
2586,15
2592,0
2601,15
2605,15
2606,0
2611,0
2613,0
2615,8
2618,0
2620,0
2621,0
2629,0
2630,0
2636,0
2639,0
2648,25
2651,19
2655,0
2657,0
2670,15
2682,0
2686,15
2688,0
2692,24
2703,15
2707,0
2714,0
2728,15
2729,0
2730,0
2744,23
2747,33
2749,3
2751,0
2768,0
2770,0
2772,15
2774,15
2777,17
2782,0
2788,0
2793,0
2795,0
2803,0
2806,3
2808,24
2815,0
2816,0
2823,0
2824,0
2830,0
2842,0
2855,0
2872,0
2876,0
2878,0
2879,0
2889,0
2902,0
2911,0
2916,15
2917,0
2924,3
2939,0
2942,0
2948,0
2951,0
2953,0
2958,1
2961,0
2962,0
2966,27
2969,15
2972,0
2981,0
2985,8
3001,3
3002,0
3011,0
3030,0
3031,0
3034,15
3044,14
3059,0
3060,3
3067,0
3071,15
3072,0
3073,0
3074,8
3082,1
3086,0
3089,0
3097,18
3100,8
3110,0
3118,0
3126,11
3133,1
3135,23
3144,0
3149,0
3150,9
3155,27
3164,1
3183,25
3185,14
3200,0
3201,19
3207,0
3209,23
3213,0
3218,29
3220,0
3222,0
3231,9
3234,0
3235,3
3240,0
3247,20
3253,29
3259,3
3266,3
3269,23
3288,7
3289,27
3301,0
3304,0
3315,0
3319,0
3321,0
3323,0
3325,0
3334,0
3335,23
3340,19
3343,0
3348,15
3354,15
3368,0
3370,0
3374,3
3380,1
3385,0
3390,0
3392,0
3400,0
3417,3
3420,0
3423,0
3424,0
3443,0
3449,3
3450,0
3453,0
3459,0
3470,15
3472,0
3473,0
3480,0
3487,0
3489,3
3499,13
3508,0
3521,3
3526,0
3536,0
3554,0
3558,0
3566,0
3567,0
3575,0
3578,0
3583,0
3586,15
3588,3
3602,0
3603,8
3606,13
3610,0
3621,3
3631,0
3637,0
3639,7
3658,0
3660,0
3668,0
3669,1
3673,6
3679,23
3683,3
3687,1
3691,0
3692,25
3694,0
3697,0
3708,8
3714,0
3721,0
3728,25
3739,0
3742,0
3750,15
3761,15
3764,0
3767,21
3769,14
3772,0
3780,0
3795,15
3796,19
3803,0
3805,1
3809,19
3810,24
3816,1
3819,30
3826,1
3827,24
3830,0
3834,19
3839,19
3845,1
3859,0
3869,0
3876,23
3889,0
3890,8
3899,0
3900,0
3901,15
3904,1
3911,0
3915,0
3924,3
3933,0
3935,0
3937,0
3938,15
3939,0
3949,25
3950,23
3955,24
3956,0
3963,3
3970,0
3972,0
3997,8
4013,0
4014,24
4020,0
4028,0
4030,0
4039,0
4044,0
4055,0
4057,9
4061,8
4063,0
4064,0
4065,15
4066,0
4076,15
4081,17
4085,0
4086,9
4090,0
4097,15
4111,9
4132,0
4134,3
4138,0
4140,0
4151,0
4161,0
4170,0
4172,0
4185,8
4194,0
4205,3
4216,0
4222,3
4228,1
4239,8
4248,0
4263,0
4268,27
4277,0
4278,1
4286,8
4291,15
4295,0
4298,3
4308,7
4320,9
4329,15
4331,5
4332,0
4341,0
4344,0
4345,0
4348,0
4362,15
4364,0
4376,0
4381,0
4382,0
4385,8
4394,1
4398,0
4399,9
4437,0
4442,0
4476,15
4488,0
4515,0
4518,0
4535,0
4537,0
4546,0
4548,8
4561,0
4565,1
4567,15
4571,9
4574,13
4586,1
4587,9
4596,9
4597,0
4616,4
4618,13
4620,3
4628,15
4632,0
4633,0
4637,0
4645,27
4650,9
4659,1
4673,4
4677,25
4678,4
4681,24
4682,0
4684,17
4691,3
4692,0
4697,6
4698,15
4699,0
4706,0
4708,10
4721,0
4724,0
4726,23
4736,23
