doc_idx,category
9,22
22,8
30,2
33,14
39,2
42,4
44,27
45,13
49,29
57,22
72,7
87,13
98,11
104,14
113,5
117,0
122,23
124,23
125,17
130,22
134,7
138,14
142,3
148,13
154,22
156,23
158,2
159,33
161,13
162,1
167,2
170,14
173,13
189,5
192,2
195,2
202,8
214,2
217,2
218,2
220,7
223,23
224,22
241,24
246,21
252,2
253,19
263,24
269,7
271,3
283,11
291,21
294,9
298,3
302,28
304,22
308,17
311,15
326,26
333,19
348,8
349,1
352,26
379,11
380,19
383,1
394,19
398,12
402,13
405,2
406,11
410,2
415,13
446,9
452,19
453,28
463,21
472,13
481,10
483,2
487,2
489,4
491,23
495,2
496,2
500,1
502,2
507,4
514,21
517,4
520,14
521,15
526,4
528,13
530,0
531,13
533,17
534,1
538,3
541,1
543,22
545,19
548,3
556,22
559,22
562,4
567,0
575,11
578,24
582,24
584,22
599,4
619,24
624,7
634,4
636,4
639,19
641,7
648,7
651,16
661,2
666,1
668,2
675,2
678,2
683,0
684,2
716,3
720,3
727,4
731,11
773,8
780,2
788,1
825,13
829,2
831,26
843,1
847,7
852,13
854,11
861,27
866,1
867,24
871,30
872,16
873,5
878,9
882,16
883,16
888,7
891,3
896,19
898,1
906,3
910,23
918,0
927,1
933,31
938,11
939,4
962,11
965,27
971,25
976,3
979,7
982,0
991,14
995,1
1002,7
1003,11
1011,16
1022,2
1042,0
1043,0
1051,14
1065,20
1066,7
1068,2
1077,8
1082,14
1084,19
1095,17
1098,11
1104,1
1109,2
1114,10
1115,19
1116,19
1118,1
1119,1
1127,27
1141,1
1160,19
1172,14
1177,26
1185,28
1196,19
1203,2
1223,1
1224,2
1230,2
1232,7
1239,7
1259,2
1261,1
1267,4
1273,11
1277,10
1281,8
1298,10
1303,31
1309,2
1319,7
1327,11
1329,9
1332,23
1338,2
1343,7
1351,31
1357,19
1362,1
1363,5
1364,1
1368,14
1370,2
1371,11
1376,2
1377,3
1380,14
1382,24
1385,10
1387,13
1389,16
1390,8
1393,7
1399,5
1410,2
1411,6
1419,26
1420,7
1423,25
1432,20
1433,7
1441,2
1445,11
1448,3
1450,8
1452,14
1458,31
1461,2
1464,10
1475,8
1482,9
1489,21
1491,2
1504,16
1505,2
1511,19
1515,2
1519,2
1521,1
1522,26
1526,4
1529,14
1530,23
1531,5
1547,10
1556,0
1563,7
1564,6
1567,2
1580,14
1581,14
1593,2
1601,7
1620,19
1621,14
1632,1
1642,29
1643,0
1644,1
1649,2
1657,28
1662,19
1669,7
1675,16
1687,14
1691,4
1692,3
1698,11
1700,0
1708,7
1718,11
1721,22
1726,0
1736,1
1746,19
1749,11
1750,10
1752,1
1754,34
1757,2
1759,10
1761,13
1767,1
1774,30
1790,1
1791,1
1794,22
1800,27
1804,1
1813,25
1830,10
1831,1
1839,2
1852,16
1856,14
1865,3
1869,7
1879,4
1887,22
1888,10
1889,2
1900,22
1907,14
1912,25
1922,2
1926,7
1928,14
1936,2
1941,33
1951,16
1953,1
1955,2
1957,2
1965,2
1972,13
1990,26
1997,10
2006,16
2012,7
2013,14
2016,7
2030,24
2041,24
2044,24
2047,16
2049,10
2058,14
2065,4
2066,31
2071,3
2075,2
2076,1
2087,10
2089,12
2100,11
2111,4
2131,3
2139,7
2143,1
2149,13
2154,16
2157,2
2162,22
2165,14
2172,10
2175,4
2196,2
2201,11
2204,22
2216,11
2217,10
2224,1
2230,7
2234,2
2239,30
2242,19
2243,8
2244,22
2258,24
2263,7
2265,23
2278,8
2300,24
2301,9
2307,15
2310,5
2315,9
2319,24
2323,19
2332,2
2355,23
2359,1
2361,16
2367,19
2368,9
2374,2
2381,10
2382,31
2404,33
2406,9
2409,7
2436,3
2439,19
2440,22
2443,14
2445,2
2450,11
2457,25
2462,4
2465,2
2470,2
2471,14
2478,10
2483,1
2484,27
2485,13
2490,8
2493,10
2494,23
2497,9
2501,26
