doc_idx,category
1,1
4,23
5,12
10,26
14,6
15,39
17,21
22,0
30,0
33,12
36,8
39,7
45,17
49,6
50,26
57,4
64,1
66,0
71,4
88,9
92,0
104,52
117,35
118,0
124,52
134,8
138,45
142,6
148,39
156,1
159,54
169,0
170,0
175,12
177,1
182,20
185,11
188,0
189,2
191,0
192,0
195,1
196,4
202,9
211,34
214,6
218,44
219,12
224,8
226,0
227,0
229,21
234,15
245,51
248,0
252,51
253,28
263,0
276,48
289,36
290,7
295,12
296,0
298,0
299,33
302,11
304,5
305,2
306,39
308,34
311,50
316,56
322,0
326,17
330,19
333,36
338,29
346,0
351,0
352,20
361,0
369,9
376,0
378,2
380,0
383,4
398,12
399,1
402,10
405,54
408,0
410,34
418,9
436,0
443,0
452,18
453,46
457,27
461,2
463,57
465,6
467,0
472,4
473,0
480,34
481,9
482,0
483,10
485,10
489,1
491,7
493,4
496,1
499,0
500,4
501,7
502,27
514,51
517,0
519,2
520,0
526,23
528,0
530,6
533,0
534,8
538,4
541,0
543,23
545,32
546,6
548,0
553,41
558,0
562,52
565,45
566,1
567,0
569,0
570,57
572,51
575,0
581,0
582,1
587,12
596,0
598,0
599,5
615,0
616,4
621,33
628,0
634,12
635,0
638,57
643,8
648,32
654,4
661,36
663,0
666,6
668,0
675,0
677,44
682,2
683,0
685,4
686,0
688,10
690,51
692,51
706,12
710,0
712,2
713,17
716,0
719,16
720,51
725,1
727,6
735,51
748,0
751,23
768,45
775,43
776,51
793,43
796,1
817,12
825,48
826,1
836,46
840,2
841,4
861,0
867,0
868,44
879,6
882,50
883,7
890,6
895,15
896,22
898,43
899,12
900,18
910,0
914,25
917,23
918,12
923,7
927,4
935,9
936,12
938,7
939,52
951,0
953,56
955,14
958,0
965,0
971,12
977,4
979,0
982,42
989,6
991,0
998,7
1002,12
1005,0
1015,14
1021,23
1023,0
1037,12
1042,18
1043,28
1044,38
1047,0
1051,6
1052,42
1059,6
1065,0
1068,23
1069,51
1070,6
1078,15
1082,39
1084,10
1087,17
1094,0
1098,4
1101,0
1109,4
1114,12
1115,52
1116,6
1118,7
1120,48
1122,37
1127,35
1129,0
1139,0
