doc_idx,category
1,2
4,2
5,22
10,2
14,43
15,2
17,14
22,39
30,1
33,22
36,0
39,45
45,1
49,43
50,3
57,1
64,3
66,34
71,1
88,52
92,0
104,47
117,19
118,1
124,47
134,4
138,9
142,43
148,25
156,2
159,9
169,13
170,28
175,22
177,2
182,3
185,27
188,38
189,29
191,13
192,53
195,2
196,1
202,8
211,0
214,43
218,1
219,22
224,4
226,42
227,1
229,2
234,7
245,1
248,42
252,1
253,36
263,28
276,2
289,15
290,41
295,22
296,26
298,56
299,15
302,27
304,43
305,29
306,25
308,18
311,1
316,17
322,35
326,0
330,49
333,16
338,21
346,36
351,38
352,3
361,3
369,8
376,0
378,29
380,0
383,1
398,22
399,2
402,53
405,9
408,13
410,2
418,7
436,31
443,39
452,20
453,1
457,20
461,29
463,14
465,22
467,20
472,1
473,0
480,18
481,8
482,1
483,3
485,53
489,2
491,55
493,1
496,2
499,31
500,1
501,41
502,20
514,1
517,50
519,29
520,35
526,25
528,46
530,22
533,31
534,4
538,1
541,13
543,27
545,17
546,43
548,8
553,28
558,9
562,46
565,31
566,2
567,31
569,1
570,14
572,1
575,58
581,20
582,2
587,22
596,42
598,1
599,3
615,2
616,1
621,15
628,26
634,22
635,38
638,14
643,4
648,17
654,1
661,16
663,1
666,2
668,13
675,3
677,1
682,29
683,29
685,1
686,47
688,53
690,1
692,1
706,22
710,0
712,29
713,1
716,0
719,21
720,1
725,2
727,43
735,1
748,18
751,31
768,9
775,1
776,1
793,31
796,2
817,22
825,14
826,2
836,1
840,29
841,1
861,28
867,50
868,1
879,43
882,33
883,9
890,37
895,7
896,1
898,31
899,22
900,18
910,49
914,53
917,51
918,22
923,41
927,1
935,52
936,22
938,22
939,47
951,13
953,30
955,18
958,38
965,0
971,22
977,1
979,1
982,17
989,2
991,0
998,3
1002,22
1005,26
1015,54
1021,51
1023,0
1037,22
1042,18
1043,8
1044,24
1047,20
1051,27
1052,17
1059,2
1065,41
1068,2
1069,1
1070,43
1078,7
1082,34
1084,1
1087,21
1094,44
1098,1
1101,26
1109,1
1114,2
1115,2
1116,43
1118,41
1120,32
1122,23
1127,19
1129,21
1139,13
1148,2
1150,1
1157,18
1160,31
1161,2
1170,27
1174,23
1180,14
1184,1
1185,35
1203,30
1220,49
1225,29
1232,22
1237,22
1239,14
1242,22
1254,2
1256,27
1262,13
1266,4
1271,2
1276,44
1280,0
1281,41
1282,1
1285,1
1288,22
1299,1
1300,25
1310,31
1311,2
1318,1
1319,38
1324,4
1327,31
1330,1
1332,27
1338,0
1347,21
1349,41
1355,2
1357,2
1358,1
1367,49
1368,1
1370,53
1371,2
1373,52
1377,1
1379,46
1388,48
1396,23
1397,2
1414,21
1420,3
1423,2
1424,0
1427,0
1432,22
1436,0
1446,1
1462,28
1471,2
1473,22
1474,1
1476,1
1478,18
1489,23
1493,1
1496,27
1499,47
1501,7
1503,0
1504,27
1523,38
1530,31
1535,2
1540,44
1547,2
1548,0
1549,43
1571,14
1581,1
1583,5
1586,23
1601,2
1602,2
1612,1
1615,1
1625,0
1626,57
1642,0
1643,2
1644,7
1649,1
1651,5
1654,13
1656,14
1663,2
1669,22
1673,0
1686,18
1691,27
1694,17
1695,1
1697,31
1700,9
1702,1
1708,1
1712,23
1721,14
1724,53
1733,3
1736,8
1738,1
1748,52
1749,39
1754,27
1757,2
1759,40
1762,1
1763,41
1767,1
1770,1
1773,3
1774,2
1780,1
1783,28
1784,32
1785,1
1793,10
1798,38
1804,1
1811,28
1813,44
1835,27
1845,31
1846,31
1852,25
1854,26
1885,7
1912,2
1918,11
1923,28
1929,22
1931,18
1939,2
1943,46
1945,0
1948,19
1949,0
1950,39
1951,22
1952,2
1953,2
1955,1
1959,1
1965,5
1974,53
1976,10
1979,43
1980,1
1982,2
1983,21
1989,2
1994,2
2005,53
2017,18
2033,43
2055,1
2060,10
2062,18
2070,19
2074,2
2075,31
2085,1
2088,33
2101,0
2102,35
2104,34
2108,1
2112,2
2115,1
2126,4
2131,23
2172,18
2180,49
2181,3
2193,21
2198,1
2201,21
2203,1
2204,1
2215,14
2223,53
2230,2
2234,1
2239,14
2242,1
2267,31
2268,2
2272,40
2275,3
2277,43
2285,29
2287,0
2294,3
2306,33
2308,11
2312,43
2313,14
2319,26
2327,3
2345,2
2346,29
2347,42
2355,0
2356,38
2358,2
2361,14
2363,15
2367,25
2369,8
2372,33
2374,54
2377,6
2378,2
2382,1
2396,22
2399,3
2401,18
2402,23
2408,53
2409,31
2410,42
2411,1
2415,40
2420,2
2430,14
2436,37
2439,46
2445,0
2447,5
2452,43
2459,43
2464,27
2466,43
2470,48
2472,20
2481,2
2482,1
2483,2
2484,2
2485,49
2486,2
2494,22
2501,44
2504,5
2506,27
2513,22
2518,1
2529,31
2530,17
2540,14
2545,5
2554,22
2561,43
2568,53
2584,17
2588,31
2605,1
2606,21
2611,21
2617,43
2620,23
2621,43
2624,26
2627,28
2640,1
2653,26
2658,2
2668,9
2669,1
2672,22
2674,9
2677,1
2686,1
2688,22
2694,53
2700,1
2703,31
2704,38
2705,27
2713,27
2715,2
2718,9
2724,15
2727,10
2729,25
2730,18
2752,18
2762,22
2771,1
2774,6
2776,1
2792,1
2793,0
2794,1
2800,27
2801,6
2804,29
2808,1
2809,14
2810,0
2812,1
2815,31
2821,21
2829,22
2833,2
2840,11
2843,17
2844,22
2845,3
2853,1
2855,11
2862,53
2864,22
2866,1
2872,23
2877,1
2879,47
2883,1
2888,22
2891,52
2905,47
2912,2
2914,7
2923,2
2931,26
2940,17
2944,33
2949,32
2950,23
2952,10
2954,43
2960,1
2964,14
2970,2
2971,6
2980,31
2982,4
2985,8
2986,41
2988,34
2992,10
3005,1
3008,2
3010,2
3016,29
3020,27
3022,21
3023,15
3028,51
3037,22
3041,53
3042,25
3043,27
3045,1
3049,1
3050,14
3054,31
3059,43
3065,1
3078,31
3080,0
3084,22
3090,27
3097,18
3100,33
3101,18
3105,31
3109,22
3111,2
3117,20
3124,18
3126,1
3132,43
3134,8
3135,2
3140,2
3151,43
3155,4
3157,1
3158,1
3169,1
3174,31
3177,20
3184,2
3201,49
3213,22
3216,49
3217,2
3222,21
3227,2
3228,22
3230,2
3231,51
3232,7
3241,18
3242,29
3244,2
3248,1
3266,15
3268,0
3270,1
3275,31
3283,1
3285,28
3286,14
3296,1
3308,20
3310,22
3312,15
3313,25
3315,28
3317,31
3319,2
3320,2
3323,45
3325,26
3331,36
3342,1
3343,41
3344,51
3357,30
3368,1
3375,1
3382,19
3396,14
3398,40
3400,51
3410,9
3411,56
3412,2
3418,20
3422,28
3433,2
3438,55
3439,1
3440,43
3444,2
3458,30
3459,22
3464,43
3480,43
3481,27
3487,2
3488,1
3495,1
3505,15
3506,31
3509,1
3512,3
3513,27
3515,14
3520,2
3524,2
3526,55
3527,23
3529,27
3542,2
3545,1
3546,51
3554,14
3563,19
3572,1
3573,43
3574,41
3578,27
3579,49
3586,2
3590,2
3593,26
3599,10
3604,30
3606,22
3617,22
3619,28
3621,28
3624,4
3629,14
3636,30
3637,43
3639,31
3641,2
3642,1
3648,1
3649,9
3654,22
3655,22
3658,44
3667,1
3676,20
3677,1
3682,1
3686,39
3687,21
3688,20
3696,1
3697,14
3704,31
3708,18
3709,1
3710,34
3712,4
3714,46
3717,1
3726,1
3740,22
3742,1
3744,10
3752,1
3753,3
3758,38
3762,50
3765,27
3767,41
3770,20
3771,2
3772,5
3773,9
3774,2
3780,31
3784,1
