doc_idx,category
1,12
31,1
33,40
34,13
36,42
42,41
45,30
57,4
70,22
72,44
85,2
87,7
88,8
104,21
117,10
124,34
125,10
142,33
148,46
154,6
156,0
159,19
162,17
170,33
173,13
182,11
185,13
189,4
192,4
195,62
202,58
214,4
217,57
218,4
220,1
221,4
223,19
224,4
227,29
241,34
245,8
246,0
248,39
252,0
253,0
263,26
286,9
291,15
294,0
298,4
302,26
304,20
308,7
311,40
314,18
326,3
345,12
347,21
348,0
352,41
378,3
379,26
381,9
383,4
402,31
408,34
410,50
415,14
429,13
452,41
453,45
457,41
463,4
465,30
470,41
480,0
481,9
483,40
485,9
487,42
489,16
491,4
496,36
499,42
500,13
501,41
514,33
517,41
520,22
526,4
528,10
530,7
531,3
533,2
534,35
536,2
541,4
543,58
545,13
548,4
553,9
556,5
559,20
562,7
567,14
569,0
575,2
576,0
581,9
582,21
584,4
599,40
620,0
629,3
634,4
636,4
638,52
639,6
641,4
648,41
651,35
661,4
663,4
666,0
667,6
668,13
675,10
678,50
683,15
684,7
685,9
690,17
704,4
706,16
708,10
712,15
716,0
720,3
727,21
731,4
735,7
751,4
768,38
773,51
775,15
776,13
788,15
799,17
803,10
809,51
812,13
817,44
825,13
829,21
831,13
836,60
841,60
842,3
843,4
854,26
861,3
866,4
867,4
871,44
872,14
873,60
878,9
882,41
888,13
891,5
895,57
896,5
898,11
900,0
906,39
917,9
925,34
927,15
933,52
938,45
939,4
942,3
949,26
962,3
965,24
971,9
979,41
980,32
982,9
991,16
1002,3
1005,41
1009,21
1012,5
1022,26
1042,26
1046,9
1051,13
1056,3
1068,30
1073,0
1082,13
1085,9
1091,3
1095,7
1098,44
1104,1
1114,45
1115,15
1116,10
1118,0
1119,9
1127,13
1144,0
1148,7
1160,41
1163,4
1172,8
1185,49
1190,8
1224,7
1230,16
1232,3
1237,14
1242,16
1246,42
1261,0
1271,4
1272,42
1273,13
1275,13
1276,47
1277,16
1290,11
1319,32
1326,0
1328,57
1329,21
1330,41
1336,21
1343,20
1349,58
1351,22
1358,9
1362,60
1366,4
1367,11
1376,1
1380,11
1387,41
1410,2
1412,13
1419,16
1420,38
1428,9
1430,22
1431,35
1432,0
1436,5
1441,0
1450,41
1452,9
1457,41
1460,63
1461,5
1464,13
1471,4
1473,32
1474,5
1490,10
1493,55
1494,0
1495,26
1496,2
1497,13
1513,41
1519,7
1529,58
1530,19
1535,28
1540,4
1547,4
1556,21
1559,7
1564,10
1567,60
1569,41
1574,21
1581,38
1583,14
1596,4
1606,0
1621,45
1625,13
1642,63
1646,15
1649,31
1657,4
1658,0
1660,0
1662,21
1666,26
1667,16
1669,11
1670,13
1680,4
1691,23
1695,13
1696,63
1697,3
1702,11
1708,12
1710,20
1721,63
1736,39
1738,10
1746,63
1749,22
1759,57
1760,19
1761,13
1762,34
1766,35
1793,17
1794,16
1811,13
1813,9
1829,11
1831,38
1832,13
1835,30
1836,4
1837,9
1839,21
1850,21
1853,7
1855,9
1856,4
1867,4
1869,3
1872,16
1875,4
1877,9
1879,9
1881,0
1886,28
1888,4
1889,0
1892,38
1894,16
1899,5
1900,7
1906,0
1914,3
1916,3
1922,10
1928,9
1931,44
1934,38
1936,19
1939,26
1940,30
1943,13
1949,4
1951,35
1953,22
1955,21
1957,57
1989,34
1992,1
1999,6
2000,44
2009,32
2013,51
2016,14
2027,4
2033,2
2034,47
2041,1
2044,0
2047,44
2049,17
2052,7
2057,32
2063,46
2065,6
2072,2
2078,17
2081,4
2102,29
2106,21
2117,51
2137,7
2150,13
2154,46
2160,6
2165,2
2171,53
2183,21
2189,60
2193,60
2196,13
2198,62
2204,19
2211,21
2216,11
2224,12
2234,2
2242,9
2243,9
2244,10
2252,6
2254,60
2270,9
2277,51
2278,22
2285,4
2293,51
2294,33
2300,60
2301,7
2307,42
2310,8
2315,12
2319,39
2324,19
2337,0
2340,23
2345,15
2346,45
2347,0
2350,20
2355,9
2358,0
2362,14
2365,58
2369,51
2373,13
2377,0
2379,26
2399,29
2406,7
2407,16
2409,5
2412,1
2415,60
2427,3
2432,34
2438,13
2443,12
2450,35
2462,35
2465,9
2470,45
2475,21
2481,13
2484,4
2485,21
2486,42
2488,45
2490,32
2491,42
2494,21
2498,45
2500,22
2501,3
2506,41
2507,40
2509,0
2510,3
2523,47
2526,13
2527,36
2531,42
2537,41
2543,13
2574,40
2575,12
2583,22
2586,41
2592,0
2601,22
2605,36
2606,4
2616,51
2617,28
2620,36
2622,4
2627,0
2630,45
2631,41
2640,60
2657,39
2675,55
2686,9
2689,4
2696,0
2697,4
2701,4
2706,28
2740,35
2741,9
2753,13
2756,41
2758,0
2774,60
2777,34
2784,60
2790,11
2791,13
2795,45
2796,0
2797,0
2805,51
2815,0
2817,4
2828,4
2835,44
2839,22
2842,4
2848,41
2856,4
2859,4
2865,1
2866,10
2871,21
2875,40
2876,41
2879,2
2890,53
2891,16
2895,21
2900,3
2902,42
2905,10
2907,10
2921,0
2929,11
2941,12
2942,0
2944,0
2947,60
2949,4
2950,57
2951,15
2953,0
2955,4
2959,12
2961,0
2962,4
2966,26
2969,0
2971,21
2974,39
2975,21
2985,4
3006,19
3008,38
3011,0
3023,21
3025,1
3028,60
3031,20
3037,23
3051,24
3053,0
3055,5
3063,2
3065,3
3066,17
3075,21
3077,11
3082,10
3097,10
3099,21
3104,15
3106,21
3108,2
3117,13
3120,19
3122,59
3133,3
3139,39
3140,16
3149,19
3151,54
3154,7
3162,60
3172,9
3175,54
3181,31
3184,32
3185,53
3193,9
3201,21
3210,51
3213,42
3220,41
3223,44
3225,4
3227,42
3242,15
3254,13
3259,6
3276,56
3281,9
3287,51
3293,34
3295,22
3300,4
3303,13
3319,7
3335,9
3347,9
3358,11
3371,20
3374,22
3384,16
3388,6
3392,21
3394,0
3402,0
3407,60
3409,17
3423,0
3438,58
3446,10
3450,4
3456,16
3459,15
3476,4
3477,21
3482,34
3508,16
3521,38
3524,16
3529,2
3534,4
3544,51
3545,13
3546,9
3551,58
3552,0
3558,10
3574,3
3584,19
3586,9
3587,38
3597,9
3614,26
3615,3
3616,9
3617,0
3624,7
3625,0
3626,13
3633,7
3634,37
3639,20
3641,0
3652,41
3661,21
3662,0
3671,1
3677,13
3680,17
3684,8
3685,6
3690,13
3693,51
3696,14
3699,32
3709,22
3718,33
3722,5
3725,41
3726,9
3733,19
3753,13
3755,15
3761,17
3763,22
3765,4
3766,21
3770,0
3780,45
3794,4
3801,19
3814,0
3815,11
3819,43
3835,16
3836,10
3839,51
3843,4
3848,20
3851,45
3855,26
3857,0
3861,22
3867,15
3871,22
3875,11
3883,51
3896,4
3917,13
3923,0
3938,19
3946,4
3947,0
3971,20
3987,26
3992,13
3996,34
4000,6
4003,4
4004,11
4008,38
4018,4
4020,13
4021,7
4023,26
4034,63
4041,19
4042,10
4047,10
4052,3
4053,2
4060,4
4065,2
4072,4
4077,3
4078,1
4085,10
4087,10
4093,2
4094,2
4096,21
4100,58
4110,0
4117,43
4121,7
4128,60
4133,54
4143,34
4148,36
4152,12
4153,23
4155,22
4160,34
4164,21
4166,43
4173,16
4197,13
4198,22
4205,58
4207,45
4223,7
4224,39
4242,12
4249,22
4256,52
4264,13
4279,44
4293,5
4301,56
4304,21
4313,4
4315,21
4332,39
4335,2
4336,9
4341,4
4348,9
4350,4
4359,10
4361,34
4366,19
4368,63
4371,60
4375,38
4380,5
4385,20
4398,41
4400,5
4411,0
4417,20
4418,4
4423,10
4430,3
4432,4
4437,10
4444,22
4463,29
4474,7
4475,22
