doc_idx,category
4,12
9,14
10,17
14,5
15,0
22,16
23,14
27,6
30,3
33,16
37,2
40,2
44,12
49,2
53,4
57,15
64,8
69,2
70,12
76,12
92,7
98,0
104,3
109,12
113,0
117,2
118,2
119,0
121,15
124,10
132,4
135,4
137,7
138,5
141,15
148,15
156,17
169,3
175,12
179,15
182,7
188,4
191,10
192,7
195,3
196,2
202,0
204,14
206,1
215,0
217,7
224,10
227,3
228,0
229,16
234,14
235,6
238,7
242,0
245,9
248,17
251,6
252,11
253,4
259,6
263,0
271,11
276,12
289,15
290,9
295,2
296,0
298,18
299,1
302,5
303,15
305,12
306,15
311,0
314,7
316,5
317,3
320,7
326,12
332,0
333,14
338,11
346,6
349,14
351,4
352,0
353,13
357,0
361,7
369,7
380,0
385,2
390,9
392,15
396,12
398,6
399,10
402,8
405,7
410,16
418,12
422,1
425,16
427,12
436,12
438,12
446,12
452,7
454,1
457,3
459,1
461,14
463,12
465,16
472,12
478,2
480,12
482,4
483,12
485,8
487,10
488,0
489,0
493,0
496,12
501,0
502,12
503,15
507,7
514,3
517,8
518,4
526,14
527,8
529,15
531,3
538,11
543,6
545,14
546,17
547,7
553,0
558,8
562,3
563,2
567,0
569,2
570,12
572,12
575,0
578,0
582,16
587,8
596,12
597,14
599,14
600,17
601,15
615,7
616,2
618,0
619,2
621,5
638,18
641,2
643,13
648,0
652,1
654,3
655,11
661,12
663,13
666,16
667,4
670,6
672,8
674,8
682,2
683,5
685,4
686,3
687,0
688,12
692,0
701,7
702,8
704,5
712,6
716,0
719,12
720,6
722,2
723,1
727,12
728,3
731,6
743,16
745,0
746,14
748,2
751,12
762,16
766,14
768,0
775,2
776,0
778,3
779,1
783,16
791,7
793,2
794,15
806,12
812,12
817,12
820,12
825,12
826,1
831,0
836,0
838,15
847,3
849,12
850,0
852,8
861,8
868,2
874,14
878,15
880,15
882,0
883,4
886,0
890,3
891,8
895,0
896,4
898,9
899,14
900,8
905,3
906,7
909,4
910,2
912,2
914,15
918,2
921,14
923,9
924,12
927,2
933,7
934,4
935,9
936,8
938,12
943,18
944,10
951,10
953,5
958,2
962,14
963,8
966,1
969,14
971,15
977,3
979,6
982,1
983,14
988,8
989,16
991,12
993,14
995,9
997,10
998,8
1002,2
1003,3
1005,12
1013,2
1017,7
1023,12
1025,9
1027,12
1037,17
1041,3
1043,15
1044,2
1047,9
1049,14
1051,1
1052,2
1059,16
1061,12
1070,2
1077,8
1078,1
1083,13
1084,5
1086,6
1087,14
1093,4
1094,4
1098,0
1099,12
1100,8
1101,0
1103,13
1106,4
1108,16
1109,4
1114,0
1118,12
1122,6
1127,12
1129,15
1136,13
1138,6
1139,2
1140,14
1151,4
1158,8
1173,12
1183,3
1185,11
1191,0
1196,7
1199,0
1212,14
1217,6
1225,7
1232,7
1236,12
1239,7
1240,0
1244,7
1246,12
1255,12
1256,4
1257,15
1259,14
1260,10
1261,2
1262,14
1263,1
1264,12
1267,0
1269,16
1271,12
1273,2
1275,0
1280,17
1283,12
1284,15
1288,15
1290,0
1300,12
1302,5
1311,0
1318,7
1323,12
1328,15
1330,1
1332,2
1334,0
1341,12
1343,4
1349,7
1351,14
1355,2
1357,11
1366,0
1368,7
1370,7
1376,14
1377,12
1379,5
1385,1
1386,2
1397,0
1399,2
1410,7
1412,17
1414,10
1417,15
1419,12
1423,6
1424,7
1431,4
1432,2
1449,7
1450,7
1452,2
1453,3
1455,13
1458,0
1460,1
1464,12
1465,6
1467,0
1473,15
1476,2
1477,12
1486,4
1487,7
1489,12
1490,4
1491,0
1509,15
1513,15
1515,8
1529,2
1533,2
1537,14
1538,11
1544,2
1547,7
1548,0
1550,16
1553,4
1555,10
1564,0
1567,0
1570,1
1573,0
1577,8
1580,0
1583,5
1587,2
1599,12
1603,1
1604,12
1606,5
1615,0
1618,11
1639,4
1643,7
1649,0
1651,15
1657,2
1658,13
1665,7
1670,2
1673,0
1677,0
1682,7
1683,12
1686,8
1692,16
1695,17
1697,5
1698,5
1702,14
1708,12
1715,7
1717,12
1726,10
1735,14
1736,17
1737,1
1738,10
1739,12
1742,0
1756,0
1761,2
1763,14
1771,5
1772,0
1773,1
1780,0
1783,0
1784,12
1788,2
1791,12
1794,2
1798,1
1801,4
1804,11
1806,2
1813,16
1824,0
1830,12
1839,9
1850,8
1854,2
1855,7
1864,0
1872,2
1876,0
1878,2
1884,12
1885,14
1888,10
1893,4
1897,14
1901,18
1912,10
1923,6
1931,1
1934,2
1935,6
1936,0
1945,5
1948,15
1950,2
1955,14
1957,13
1964,2
1965,10
1969,13
1994,15
2000,12
2001,3
2010,5
2012,11
2013,17
2016,4
2019,1
2033,5
2041,16
2058,15
2060,12
2063,4
2075,5
2085,0
2090,0
2104,7
2110,10
2116,0
2124,12
2133,14
2148,7
2155,5
2158,16
2166,14
2170,4
2172,10
2174,12
2175,2
2181,7
2184,12
2192,0
2193,14
2198,8
2201,1
2202,4
2203,5
2205,0
2207,15
2213,12
2215,12
2223,12
2226,15
2228,11
2231,0
2232,4
2235,11
2236,2
2239,0
2243,4
2245,1
2246,2
2253,0
2254,11
2262,14
2264,10
2265,17
2276,13
2289,3
2297,3
2300,15
2302,9
2305,2
2306,1
2309,7
2315,13
2316,4
2320,10
2326,12
2327,10
2328,16
2345,7
2346,14
2348,2
2350,16
2351,2
2361,9
2363,14
2368,15
2370,2
2380,0
2382,5
2386,3
2392,12
2402,8
2414,15
2415,18
2419,12
2422,0
2424,12
2427,12
2433,15
2439,7
2440,2
2443,2
2447,7
2450,0
2458,12
2459,12
2472,1
2475,2
2480,13
2481,15
2489,0
2490,3
2497,5
2508,0
2510,2
2514,14
2517,15
2519,7
2522,14
2525,11
2534,8
2542,3
2544,14
2547,18
2553,14
2557,1
2560,12
2565,10
2570,14
2571,0
2573,12
2579,7
2580,7
2584,0
2585,12
2596,15
2600,0
2606,2
2613,15
2615,2
2619,4
2621,16
2623,12
2632,6
2637,7
2644,15
2645,12
2649,4
2655,0
2661,0
2662,0
2672,0
2680,12
2683,11
2684,0
2687,12
2691,2
2697,12
2698,1
2701,0
2703,0
2707,7
2709,15
2712,4
2714,3
2715,3
2720,14
2722,12
2724,12
2725,2
2729,6
2730,13
2731,2
2734,2
2737,15
2738,0
2741,2
2742,17
2747,0
2759,7
2763,9
2766,12
2773,0
2774,2
2776,16
2781,0
2786,4
2795,0
2808,15
2812,3
2813,14
2814,14
2817,12
2819,15
2822,0
2831,9
2833,4
2834,3
2835,16
2837,5
2841,14
2843,12
2844,12
2851,12
2853,2
2857,7
2858,10
2859,0
2861,0
2863,12
2864,7
2866,7
2870,10
2879,5
2882,4
2884,14
2887,0
2890,0
2891,14
2894,3
2895,0
2896,4
2902,4
2904,12
2908,15
2910,1
2917,7
2920,2
2925,7
2926,7
2938,6
2941,0
2948,12
2949,14
2954,1
2960,15
2967,12
2973,2
