doc_idx,category
1,4
6,13
8,7
12,5
14,5
15,0
20,4
21,8
25,2
29,7
30,3
33,12
39,16
42,4
49,2
51,0
52,16
55,18
63,9
66,9
72,5
76,9
80,7
82,0
89,7
90,18
98,15
101,5
105,12
111,13
116,12
119,1
123,4
126,2
127,9
130,15
134,9
138,5
142,9
143,7
144,0
146,4
147,9
151,0
154,9
163,9
164,0
165,2
170,1
172,2
175,9
179,17
181,18
186,16
187,4
195,3
198,7
201,8
202,9
206,1
214,5
217,7
222,2
224,10
227,3
237,1
241,18
244,17
247,16
250,9
254,16
255,1
256,13
257,17
260,9
272,14
274,17
278,8
283,16
286,1
287,9
292,0
302,5
304,0
311,15
317,3
318,16
326,9
327,2
329,14
337,7
339,7
340,9
347,9
348,12
349,16
356,18
359,16
375,5
379,18
380,15
381,16
385,2
388,5
394,6
396,9
405,7
407,7
411,2
413,5
415,4
427,9
429,9
432,16
433,9
443,12
444,18
447,16
451,5
464,1
465,12
467,9
472,9
475,7
483,9
487,10
489,14
493,14
495,0
499,8
502,9
512,9
517,8
519,9
520,1
521,0
524,1
527,2
528,2
530,18
531,3
532,4
533,0
535,17
539,13
547,7
548,18
551,16
555,5
557,5
558,8
559,2
560,3
572,9
574,7
592,3
595,5
597,16
601,17
608,0
614,16
620,17
623,2
625,9
626,16
629,17
634,9
642,17
650,17
660,0
661,9
670,6
674,8
676,10
677,2
683,5
684,7
691,16
693,5
694,5
695,16
696,9
698,10
713,10
719,9
722,2
725,0
730,5
731,6
733,2
735,16
737,0
738,4
741,2
745,4
751,9
756,16
757,17
759,0
768,0
773,13
776,1
779,1
785,16
786,16
795,13
800,0
812,9
818,4
824,9
828,12
830,2
833,9
840,7
842,17
843,12
846,16
858,17
859,0
864,9
871,17
873,8
874,16
875,9
885,17
888,7
903,4
910,2
914,17
915,5
916,3
917,9
918,2
931,13
936,8
937,7
944,10
945,2
957,15
962,16
963,8
965,6
969,14
971,17
972,7
973,16
974,9
977,3
978,9
979,6
982,1
991,9
994,2
997,10
1006,2
1008,6
1010,8
1014,9
1017,7
1022,16
1025,0
1028,15
1034,9
1035,9
1037,18
1041,3
1042,8
1045,9
1051,1
1063,17
1064,12
1066,5
1071,0
1083,15
1086,6
1091,9
1095,2
1096,16
1098,9
1106,4
1121,8
1122,6
1124,9
1130,16
1133,0
1136,15
1137,6
1139,2
1140,16
1142,7
1145,16
1146,0
1155,9
1156,15
1158,8
1160,9
1161,5
1166,2
1170,1
1171,10
1172,2
1175,1
1180,9
1181,10
1185,13
1186,12
1197,4
1200,16
1201,5
1208,17
1209,9
1220,7
1224,17
1226,0
1229,15
1231,0
1235,8
1238,4
1243,9
1252,16
1254,9
1259,16
1267,0
1278,9
1281,9
1286,2
1290,14
1291,3
1294,14
1296,1
1299,8
1301,0
1302,5
1303,0
1312,5
1315,10
1319,16
1320,9
1326,3
1327,7
1328,17
1330,1
1332,2
1343,7
1345,2
1347,9
1357,13
1362,9
1363,4
1365,7
1369,9
1370,7
1371,3
1374,9
1375,5
1378,2
1383,10
1384,7
1386,2
1388,11
1391,2
1393,5
1394,5
1395,3
1397,1
1400,8
1417,17
1421,15
1422,2
1427,8
1429,9
1430,2
1431,4
1434,9
1438,16
1450,7
1454,9
1455,15
1457,10
1461,9
1463,5
1467,17
1469,9
1477,9
1493,9
1507,12
1508,16
1511,9
1513,17
1514,16
1515,8
1519,1
1521,8
1524,1
1529,2
1532,13
1538,13
1543,5
1550,12
1558,10
1564,9
1569,5
1570,1
1571,13
1580,16
1587,2
1591,15
1595,9
1600,4
1601,4
1604,9
1606,5
1607,15
1617,9
1620,17
1624,4
1626,13
1629,8
1630,16
1631,9
1632,17
1633,9
1642,16
1643,7
1645,17
1648,12
1651,17
1659,0
1663,17
1668,16
1669,5
1670,2
1674,16
1677,0
1679,8
1680,3
1682,7
1685,12
1687,17
1688,9
1690,7
1696,16
1702,16
1705,1
1713,9
1715,7
1717,9
1731,16
1732,15
1736,18
1739,9
1741,16
1748,16
1755,7
1763,16
1767,0
1776,2
1779,13
1781,17
1783,1
1790,15
1802,12
1806,2
1811,0
1817,10
1818,0
1819,4
1822,16
1823,7
1828,2
1829,6
1832,3
1835,9
1838,5
1843,0
1845,0
1848,0
1851,9
1855,7
1856,2
1861,17
1865,5
1869,3
1870,13
1871,1
1875,2
1880,14
1881,12
1886,16
1889,2
1891,9
1893,2
1905,1
1908,5
1909,9
1916,7
1921,8
1923,6
1924,16
1928,2
1933,4
1934,2
1935,6
1939,4
1949,0
1953,0
1956,7
1965,10
1966,10
1969,15
1971,0
1974,7
1976,1
1982,2
1986,3
1988,16
1994,17
2006,0
2015,0
2021,12
2029,6
2031,17
2033,5
2038,16
2040,3
2042,16
2044,8
2045,5
2055,7
2056,4
2059,10
2061,16
2066,8
2067,16
2071,6
2073,16
2080,10
2081,18
2082,9
2087,6
2089,9
2095,16
2102,0
2103,2
2104,7
2106,12
2107,5
2110,10
2111,18
2118,2
2120,14
2122,16
2123,2
2126,17
2129,16
2132,7
2133,16
2137,7
2139,8
2141,0
2143,16
2146,9
2147,9
2159,4
2169,13
2172,10
2176,10
2190,9
2191,1
2193,16
2203,5
2207,17
2216,7
2217,9
2220,17
2222,0
2224,5
2227,13
2228,0
2232,4
2233,9
2237,17
2239,16
2241,12
2242,13
2250,16
2252,16
2256,18
2257,3
2259,5
2260,9
2262,16
2266,2
2270,2
2273,4
2274,13
2279,16
2289,3
2298,8
2299,2
2302,7
2307,3
2308,0
2310,2
2316,4
2322,7
2332,17
2337,16
2341,18
2345,7
2346,16
2347,9
2352,8
2359,6
2364,17
2366,0
2371,11
2373,1
2375,7
2377,0
2378,8
2382,5
2388,2
2397,2
2401,7
2402,8
2406,9
2420,13
2423,5
2425,2
2427,9
2434,2
2435,0
2444,5
2449,16
2453,6
2456,15
2457,7
2459,9
2468,5
2470,3
2472,1
2477,17
2485,10
2489,15
2493,16
2494,2
2501,2
2514,16
2516,17
2517,17
2520,5
2524,2
2529,10
2534,8
2535,6
2536,17
2549,2
2550,9
2553,16
2555,13
2558,16
2559,9
2562,7
2563,7
2567,3
2571,15
2572,17
2575,13
2584,13
2593,2
2617,16
2621,12
2624,7
2627,5
2631,16
2632,6
2633,13
2637,7
2641,5
2642,6
2652,3
2654,0
2660,9
2661,13
2662,8
2665,4
2672,13
2673,1
2675,17
2681,5
2687,9
2688,5
2691,2
2696,16
2698,1
2699,13
2702,5
2704,10
2705,12
2708,9
2713,13
2716,9
2719,17
2720,16
2723,6
2729,6
2735,9
2737,17
2739,7
2742,11
2743,13
2748,0
2750,0
2755,9
2756,13
2758,17
2768,16
2772,16
2774,2
2781,13
2782,8
2783,7
2788,6
2790,9
2796,16
2798,7
2801,9
2804,11
2807,5
2813,16
2818,9
2825,17
2827,17
2829,8
2830,16
2833,4
2836,16
2841,16
2844,9
2853,2
2855,16
2860,1
2867,17
2874,13
2882,4
2883,12
2887,15
2888,3
2889,13
2890,0
2893,0
2897,16
2899,7
2900,2
2905,8
2907,17
2909,13
2910,1
2911,12
2916,12
2917,7
2920,2
2922,16
2923,17
2927,9
2928,17
2932,3
2942,12
2945,13
2949,16
2951,9
2953,7
2957,3
2959,0
2960,17
2963,5
2964,2
2966,2
2967,9
2969,8
2971,12
