doc_idx,category
4,26
9,33
10,9
14,6
15,0
22,0
23,0
27,7
30,17
33,33
37,5
40,14
44,22
49,47
53,4
57,40
64,9
69,2
70,26
76,32
92,23
98,59
104,10
109,45
113,0
117,47
118,14
119,55
121,40
124,19
132,4
135,4
137,57
138,6
141,0
144,0
148,11
156,39
169,3
175,22
179,0
182,41
188,21
191,21
192,23
195,3
196,14
202,35
204,1
206,55
215,8
217,23
224,21
227,3
228,0
229,0
234,0
235,7
238,23
242,0
245,12
248,20
251,0
252,31
253,21
259,7
263,0
271,30
276,26
289,0
290,12
295,2
296,0
298,36
299,1
302,6
303,40
305,25
306,13
311,59
314,41
316,6
317,3
320,23
326,22
332,0
333,0
338,31
346,10
349,0
351,4
353,25
357,0
361,23
369,57
380,59
385,14
390,12
392,40
396,32
398,7
399,21
402,9
405,41
410,33
418,26
422,58
425,33
427,22
436,32
438,22
443,37
446,22
452,41
454,48
457,20
459,48
461,0
463,0
465,0
472,26
478,14
480,26
482,4
483,22
485,27
487,21
488,25
489,24
491,25
493,24
496,22
501,36
502,11
503,11
507,23
514,3
517,9
518,4
526,0
527,27
529,0
531,17
538,16
543,7
545,0
546,0
547,23
553,0
558,27
562,10
563,5
567,0
569,2
570,18
572,26
575,54
578,31
582,33
587,59
596,26
597,0
599,3
600,39
601,40
615,41
616,27
618,52
619,14
621,6
638,36
641,14
643,25
648,13
652,1
654,17
655,54
661,18
663,25
666,33
667,4
672,9
674,27
682,5
683,6
685,21
686,3
687,50
688,26
692,51
701,57
702,9
704,6
712,7
716,52
719,32
720,7
722,47
723,48
727,26
728,3
731,7
743,37
745,21
746,0
748,2
751,22
762,33
766,0
768,13
775,47
776,55
778,32
779,1
783,33
791,57
793,0
794,0
806,22
812,45
817,26
820,35
825,22
826,48
831,30
836,13
838,40
847,3
849,18
850,0
852,27
861,27
868,14
874,33
878,40
880,40
882,0
883,21
890,3
891,55
896,4
898,12
899,0
900,9
905,3
906,41
909,4
910,14
912,5
914,40
918,14
921,28
923,12
924,26
927,14
933,23
934,4
935,12
936,27
938,25
943,36
944,19
951,21
953,6
958,42
962,0
963,9
966,48
969,24
971,50
977,3
979,7
982,48
983,0
988,9
989,33
991,22
993,0
995,12
997,21
998,9
1002,2
1003,3
1005,32
1013,0
1017,41
1023,32
1025,12
1027,26
1037,39
1041,10
1043,11
1044,0
1047,12
1049,59
1051,55
1052,33
1059,22
1061,0
1070,37
1077,25
1078,1
1083,25
1084,6
1086,17
1087,0
1093,4
1094,21
1095,0
1098,0
1099,26
1100,9
1101,0
1103,25
1106,4
1108,33
1109,21
1114,0
1118,18
1122,7
1127,26
1129,13
1136,25
1138,7
1139,14
1140,0
1151,4
1158,27
1173,18
1183,3
1185,16
1191,0
1196,57
1199,0
1212,28
1217,7
1225,23
1232,41
1236,18
1239,57
1240,24
1244,23
1246,45
1255,32
1256,17
1257,13
1259,28
1260,21
1261,2
1262,0
1263,48
1264,18
1267,44
1269,33
1271,26
1273,47
1275,59
1280,39
1283,26
1284,40
1288,0
1290,3
1300,18
1301,0
1302,6
1303,0
1311,0
1318,57
1323,18
1328,40
1330,48
1332,14
1334,0
1341,26
1343,23
1349,23
1351,0
1355,14
1357,31
1366,11
1368,8
1370,8
1376,0
1377,32
1379,34
1385,1
1386,14
1397,15
1399,2
1403,37
1410,8
1412,39
1414,21
1417,40
1419,2
1423,7
1424,8
1431,4
1432,5
1449,57
1450,23
1452,42
1453,3
1455,25
1458,52
1460,48
1464,26
1467,13
1473,40
1476,47
1477,32
1486,4
1487,57
1489,45
1490,4
1491,29
1509,40
1513,13
1515,9
1529,14
1533,4
1537,0
1538,54
1544,14
1547,41
1548,0
1550,33
1553,21
1555,19
1564,11
1567,0
1570,48
1573,1
1577,27
1580,0
1583,6
1587,47
1599,22
1603,48
1604,22
1606,6
1612,0
1615,0
1618,31
1625,0
1636,0
1639,21
1643,23
1649,0
1651,0
1657,2
1658,25
1665,23
1670,14
1673,50
1677,0
1682,41
1683,22
1686,9
1692,33
1695,39
1697,6
1698,6
1702,28
1708,26
1715,23
1717,32
1726,21
1735,0
1736,39
1737,1
1738,21
1739,22
1742,40
1753,0
1756,59
1761,5
1763,0
1771,6
1772,52
1773,1
1783,0
1784,26
1788,47
1791,22
1794,15
1798,48
1801,21
1804,30
1806,47
1813,33
1824,0
1830,26
1839,12
1850,9
1854,5
1855,23
1859,0
1864,0
1872,2
1876,35
1878,42
1881,33
1884,32
1885,0
1888,19
1893,5
1897,0
1901,36
1912,19
1923,7
1931,48
1934,47
1935,0
1936,0
1945,34
1948,40
1950,14
1955,28
1957,25
1964,47
1965,21
1969,25
1994,0
2000,22
2001,3
2010,6
2012,31
2013,39
2015,0
2016,4
2019,48
2033,6
2041,49
2058,0
2060,26
2063,2
2066,0
2075,6
2085,50
2090,31
2102,0
2104,23
2110,19
2116,0
2124,22
2133,0
2148,57
2155,6
2158,37
2166,0
2170,2
2172,21
2174,45
2175,5
2181,8
2184,22
2192,0
2193,0
2198,55
2201,48
2202,21
2203,6
2205,24
2207,0
2208,0
2213,18
2215,18
2219,0
2223,18
2226,40
2228,0
2231,27
2232,21
2235,30
2236,47
2239,52
2243,21
2245,48
2246,47
2253,41
2254,30
2262,33
2264,21
2265,35
2275,13
2276,25
2289,3
2297,3
2300,40
2302,12
2305,14
2306,48
2309,23
2315,25
2316,4
2320,21
2326,35
2327,21
2328,33
2345,46
2346,0
2348,5
2350,33
2351,2
2361,12
2363,0
2368,40
2369,0
2370,2
2380,52
2382,6
2386,20
2392,18
2402,27
2414,13
2415,36
2419,26
2422,54
2424,32
2427,26
2433,40
2439,23
2440,47
2443,38
2447,23
2450,0
2452,0
2458,32
2459,0
2472,48
2475,15
2480,25
2481,0
2489,59
2490,17
2497,27
2510,0
2513,0
2514,0
2517,40
2519,23
2522,0
2525,16
2534,9
2542,3
2544,0
2547,36
2553,28
2557,1
2560,26
2565,21
2570,0
2571,25
2573,26
2579,23
2580,23
2584,30
2585,32
2596,0
2600,31
2606,42
2613,13
2615,5
2619,4
2621,33
2623,26
2632,0
2637,23
2644,40
2645,22
2649,21
2655,31
2661,0
2662,1
2672,31
2675,13
2680,18
2683,31
2684,59
2687,32
2691,42
2697,22
2698,48
2701,0
2703,30
2707,41
2709,40
2712,56
2714,3
2715,17
2720,0
2722,26
2724,22
2725,42
2729,0
2730,25
2731,38
2734,5
2737,40
2738,31
2741,2
2742,20
2747,13
2759,23
2763,12
2766,0
2773,31
2774,2
2776,0
2781,30
2786,17
2808,40
2812,3
2813,0
2814,0
2817,22
2819,40
2822,52
2831,12
2833,4
2834,3
2835,33
2837,6
2841,9
2842,26
2843,22
2844,32
2851,14
2853,5
2857,8
2858,21
2859,13
2861,14
2863,45
2864,23
2866,8
2870,19
2879,6
2882,4
2884,0
2887,0
2890,0
2891,0
2894,3
2895,48
2896,4
2902,4
2904,32
2908,40
2910,48
2917,41
2920,2
2925,57
2926,57
2938,0
2941,0
2948,22
2949,0
2954,48
2960,40
2967,27
2973,5
