doc_idx,category
1,4
6,59
8,29
12,5
14,5
15,0
20,4
21,49
25,33
29,18
30,13
33,25
39,0
42,40
49,33
52,0
55,26
63,35
66,14
72,5
76,56
80,41
82,45
89,41
90,7
98,43
101,5
105,23
111,59
116,25
119,39
123,4
126,2
127,14
130,43
134,0
138,5
142,14
143,41
144,21
146,40
147,32
148,9
151,30
154,48
163,14
164,0
165,2
170,34
172,2
175,14
179,45
181,28
186,0
187,4
195,3
198,55
201,24
202,0
206,1
214,5
217,55
222,33
224,17
227,3
237,34
241,28
244,22
247,21
250,9
254,30
255,58
256,59
257,22
260,9
272,19
274,45
278,24
279,0
283,21
286,34
287,56
292,0
302,5
304,0
311,43
317,3
318,21
326,14
327,10
329,19
337,18
339,18
340,14
347,48
348,23
349,21
356,28
359,36
375,5
379,0
380,43
381,21
385,10
388,5
394,6
396,32
405,41
407,41
411,33
413,5
415,59
427,14
429,14
432,48
433,56
443,25
444,28
447,11
451,5
464,58
465,23
467,56
472,14
475,29
483,46
487,17
489,57
493,19
495,21
499,8
502,48
512,14
517,30
519,32
520,39
521,21
524,1
527,24
528,33
530,28
531,3
532,4
535,22
539,59
547,18
548,0
551,21
555,5
557,5
558,24
559,2
560,3
572,14
574,55
592,3
595,5
597,21
601,22
614,47
620,22
623,10
625,48
626,21
629,45
634,14
642,22
650,22
661,14
670,6
674,24
676,15
677,2
683,5
684,18
691,21
693,21
694,5
695,21
696,14
698,44
713,44
719,50
722,33
725,21
730,5
731,6
733,10
735,21
737,5
738,4
741,33
745,4
751,14
756,21
757,22
768,9
773,59
776,11
779,1
785,21
786,21
795,12
800,51
812,35
818,4
824,35
828,23
830,40
833,35
840,41
842,22
843,25
858,22
864,14
871,22
873,8
874,21
875,14
885,22
888,18
903,4
910,33
914,22
915,5
916,3
917,48
918,10
931,59
936,24
937,55
944,44
945,10
957,20
962,21
963,8
965,6
969,57
971,45
972,51
973,21
974,32
977,3
978,14
979,6
982,58
991,46
994,2
997,17
1006,33
1008,7
1010,8
1014,35
1017,41
1022,21
1025,30
1028,20
1034,35
1035,21
1037,7
1041,3
1042,8
1045,14
1051,39
1063,22
1064,23
1066,5
1071,0
1083,20
1086,13
1091,14
1095,2
1096,21
1098,52
1106,4
1121,8
1122,6
1124,35
1133,9
1136,20
1137,0
1139,10
1140,21
1142,30
1145,21
1146,21
1155,14
1156,20
1158,24
1160,14
1161,5
1166,31
1170,34
1171,15
1172,10
1175,39
1180,14
1181,17
1185,12
1186,25
1197,4
1200,48
1201,5
1208,22
1209,14
1220,18
1224,22
1226,39
1229,20
1231,12
1235,8
1238,4
1243,14
1252,21
1254,14
1259,21
1267,47
1278,14
1281,14
1286,10
1290,19
1291,3
1294,19
1296,58
1299,8
1302,5
1312,5
1315,17
1319,21
1320,35
1326,3
1327,18
1328,22
1330,58
1332,10
1343,18
1345,4
1347,14
1357,12
1362,56
1363,4
1365,41
1369,56
1370,18
1371,3
1374,14
1375,5
1378,33
1383,15
1384,55
1386,10
1388,16
1391,10
1393,5
1394,5
1395,3
1397,11
