doc_idx,category
1,15
2,7
4,3
5,0
6,5
8,3
9,5
10,16
14,0
15,4
16,7
17,0
18,11
19,0
22,0
27,0
29,0
31,5
34,10
35,16
37,11
39,5
40,7
42,5
44,11
45,7
47,11
48,7
49,4
51,1
52,5
53,6
54,11
55,5
56,1
58,11
60,12
61,16
64,0
66,5
70,16
75,15
76,11
77,3
78,10
80,0
82,7
85,0
89,7
92,14
96,7
103,6
107,0
108,11
113,12
114,1
117,0
118,2
122,2
124,12
131,16
133,1
140,15
141,5
142,0
148,0
152,7
156,12
159,4
161,1
162,0
165,7
170,2
171,0
175,0
177,0
178,0
182,0
184,5
185,7
186,15
187,5
191,0
192,5
194,7
195,0
198,1
202,6
204,0
205,11
210,0
211,16
215,2
217,0
218,3
219,0
220,12
223,1
224,0
227,7
229,2
231,2
233,0
240,7
241,3
243,11
245,0
247,6
249,5
251,12
252,16
253,7
254,5
258,15
259,3
260,0
262,16
263,14
268,0
269,2
270,0
271,0
276,11
278,6
279,5
283,12
285,0
289,0
295,2
298,15
299,12
300,1
302,7
303,16
308,11
309,1
310,6
311,4
312,7
313,2
315,0
317,11
319,0
320,0
322,0
326,7
328,11
330,0
333,3
338,5
342,0
347,2
351,0
353,3
354,7
358,7
359,3
360,0
361,2
362,0
363,2
364,0
371,5
372,1
376,7
378,4
379,7
381,0
390,0
391,0
393,16
395,0
399,0
401,7
402,5
406,6
408,16
411,5
412,2
414,16
416,0
418,0
420,1
422,0
425,2
426,16
427,13
431,5
434,0
435,11
436,16
438,1
439,11
440,8
442,12
443,16
445,4
446,0
452,1
456,2
458,7
459,7
461,12
464,6
465,0
466,11
467,7
471,1
472,2
473,0
474,7
475,15
476,0
477,0
479,12
481,0
482,0
483,7
485,0
486,12
487,1
489,0
491,3
493,7
494,0
500,0
501,12
505,8
506,1
507,0
511,11
512,1
513,1
516,6
517,1
518,12
519,0
520,0
522,13
524,0
526,11
527,16
528,0
529,6
530,12
532,15
535,12
536,7
538,14
539,16
540,0
542,6
546,0
548,1
