doc_idx,category
1,10
2,5
4,1
5,5
6,3
8,14
9,3
10,9
14,6
15,10
16,5
17,11
18,15
19,11
22,13
27,11
29,11
31,3
34,6
35,9
37,8
39,3
40,4
42,3
44,15
45,4
47,15
48,4
49,10
51,4
52,3
53,2
54,15
55,3
56,1
58,15
60,7
61,9
64,11
66,3
70,9
75,10
76,15
77,14
78,6
80,11
82,5
85,11
89,4
92,14
96,4
103,2
107,11
108,15
113,2
114,5
117,8
118,6
122,6
124,7
131,9
133,1
140,10
141,3
142,11
148,12
152,5
156,7
159,10
161,5
162,11
165,1
170,6
171,8
175,5
177,10
178,12
182,11
184,3
185,4
186,10
187,3
191,6
192,3
194,4
195,13
198,5
202,2
204,13
205,15
210,16
211,16
215,6
217,11
218,1
219,11
220,7
223,5
224,11
227,4
229,6
231,6
233,8
240,4
241,1
243,15
245,5
247,2
249,3
251,7
252,9
253,4
254,3
258,10
259,14
260,13
262,9
263,1
268,13
269,6
270,5
271,11
276,15
278,2
279,3
283,7
285,7
289,5
295,6
298,10
299,7
300,5
302,4
303,9
308,5
309,5
310,2
311,10
312,4
313,6
315,8
317,15
319,8
320,13
322,11
326,4
328,15
330,13
333,14
338,3
342,5
347,6
351,11
353,14
354,4
358,4
359,1
360,11
361,6
362,11
363,6
364,5
371,3
372,1
376,14
378,10
379,4
381,11
390,11
391,5
393,9
395,13
399,13
401,4
402,3
406,2
408,9
411,3
412,6
414,16
416,13
418,15
420,5
422,8
425,6
426,9
427,4
431,3
434,13
435,15
436,9
438,1
439,15
440,4
442,7
443,9
445,10
446,11
452,5
456,6
458,4
459,1
461,7
464,2
465,13
466,15
467,4
471,5
472,6
473,12
474,4
475,10
476,11
477,8
479,7
481,7
482,13
483,4
485,11
486,7
487,5
489,13
491,14
493,5
494,7
500,11
501,2
505,1
506,1
507,11
511,15
512,1
513,2
516,2
517,5
518,7
519,11
520,8
522,1
524,13
526,5
527,9
528,5
529,2
530,7
532,10
535,7
536,4
538,14
539,9
540,15
542,2
546,8
548,16
549,7
553,2
554,11
557,2
558,5
563,2
564,11
565,4
567,1
568,7
569,14
570,4
572,2
574,14
575,11
576,3
578,5
579,5
580,11
581,1
582,13
583,11
587,2
590,13
593,2
597,15
601,6
602,2
609,15
615,0
616,14
618,1
619,6
620,14
621,5
625,4
632,13
634,5
638,15
641,4
642,0
644,3
646,5
648,8
649,7
651,11
652,6
654,3
655,11
656,3
657,9
658,10
661,13
666,8
667,3
668,8
670,4
672,5
674,15
678,14
679,11
685,6
686,5
688,7
689,14
692,2
693,1
695,4
703,5
704,9
706,11
708,4
711,5
712,2
713,6
716,1
717,7
720,4
722,7
723,1
724,10
725,13
726,11
728,8
731,6
733,11
737,4
740,5
743,14
744,5
745,3
746,16
748,11
752,6
757,11
759,6
760,10
761,7
762,6
768,2
769,8
771,11
775,8
776,10
781,8
783,5
784,11
785,4
788,12
789,7
792,11
793,16
794,10
795,14
796,4
799,5
801,14
808,11
810,11
811,11
813,3
814,11
817,5
818,13
820,7
825,11
826,8
828,8
829,15
831,13
838,3
840,14
844,15
847,1
853,16
858,11
861,13
862,6
863,5
871,2
879,16
881,14
883,5
884,12
887,7
891,5
892,11
893,13
895,4
896,2
897,1
898,15
899,6
904,10
905,14
906,6
907,7
911,3
913,11
914,15
916,3
918,15
921,4
923,5
924,7
927,8
930,4
933,9
934,11
935,7
936,5
937,1
938,8
942,11
943,7
944,10
946,15
948,11
955,8
957,15
958,11
960,1
962,5
965,8
966,8
969,2
970,4
971,6
974,16
980,4
981,7
983,5
984,11
985,0
986,7
987,5
988,1
989,5
991,2
992,4
994,11
995,10
996,4
1000,1
1001,7
1002,13
1003,5
1005,1
1010,3
1013,7
1014,6
1015,5
1018,5
1021,7
1023,8
1024,6
1025,13
1026,14
1027,14
1029,5
1032,5
1034,6
1038,11
1042,6
1044,6
1045,6
1047,16
1050,1
1052,14
1054,5
1056,10
1057,11
1061,10
1062,11
1063,3
1064,5
1070,3
1073,4
1074,14
1076,15
1078,4
1079,14
1081,5
1087,11
1088,11
1092,7
1093,3
1096,8
1097,10
1101,11
1103,11
1105,16
1108,10
1114,11
1115,15
1116,7
1121,14
1122,6
1123,9
1124,5
1125,15
1126,2
1128,13
1129,11
1132,7
1135,1
1137,11
1140,8
1146,4
