doc_idx,category
1,11
22,4
30,0
31,6
33,4
34,1
36,1
39,10
42,4
45,1
49,0
57,4
72,9
85,1
87,0
88,4
104,5
117,11
125,11
138,0
142,5
148,5
154,2
156,2
162,11
170,0
185,0
189,0
192,4
195,1
202,1
214,0
217,3
218,0
220,0
221,0
223,0
224,4
245,0
248,0
252,4
253,0
286,11
291,1
294,4
298,11
302,3
304,0
311,3
326,3
333,3
345,2
347,0
348,0
352,6
378,4
379,0
380,9
381,11
383,4
398,11
402,4
408,1
410,5
415,0
429,3
452,4
453,0
457,6
463,0
465,3
467,0
470,11
472,1
481,9
483,4
485,4
487,2
489,8
491,3
496,3
499,2
500,3
501,5
502,6
514,4
517,4
520,0
521,4
526,3
527,0
528,11
530,0
531,2
536,4
538,5
541,5
543,5
545,0
546,11
548,2
553,6
555,4
556,4
559,11
562,4
567,0
569,0
575,4
576,1
578,4
582,0
584,6
599,4
620,0
629,0
634,11
638,2
639,9
648,6
661,1
666,4
668,6
675,4
678,1
683,0
684,0
685,0
690,4
704,0
706,0
708,4
712,0
716,0
720,0
731,11
735,0
748,6
768,4
773,0
775,1
776,0
788,11
794,0
809,11
812,3
817,0
825,2
829,3
841,1
842,4
843,1
866,5
867,1
871,4
872,2
873,2
882,9
883,4
888,4
891,5
895,4
896,11
900,1
906,11
910,0
917,0
918,2
925,1
933,0
938,2
949,2
962,4
965,0
971,0
980,2
985,0
998,4
1005,0
1009,4
1012,11
1021,1
1022,4
1042,3
1043,3
1056,3
1062,3
1065,1
1069,6
1073,1
1077,4
1082,3
1091,3
1095,3
1098,0
1109,11
1114,0
1116,6
1118,3
1119,2
1127,6
1141,3
1144,2
1148,0
1160,2
1161,5
1163,1
1185,4
1191,3
1203,2
1206,0
1230,4
1239,1
1240,11
1242,0
1246,1
1248,3
1256,0
1259,0
1261,6
1262,4
1271,0
1275,1
1276,3
1282,7
1287,1
1290,5
1303,0
1328,4
1329,0
1332,5
1336,4
1343,2
1351,1
1357,3
1358,5
1359,1
1362,1
1367,1
1385,3
1386,2
1399,4
1410,4
1412,11
1418,0
1420,1
1423,0
1428,0
1430,4
1432,6
1450,4
1470,11
1471,0
1482,4
1487,2
1490,4
1491,6
1493,2
1495,6
1496,9
1497,4
1504,4
1507,1
1511,4
1513,4
1519,4
1525,4
1529,0
1530,0
1533,4
1536,0
1559,0
1560,4
1563,5
1566,4
1571,2
1577,0
1583,4
1601,2
1618,11
1632,4
1643,11
1646,3
1654,5
1662,5
1666,0
1680,6
1691,1
1695,0
1697,0
1699,4
1702,0
1712,5
1718,4
1721,2
1726,0
1742,0
1751,0
1754,6
1760,8
1767,4
1774,2
1775,0
1783,5
1784,6
1789,0
1790,1
1793,4
1798,6
1800,4
1811,0
1813,3
1824,2
1829,4
1837,1
1855,4
1856,9
1869,1
1872,4
1878,8
1881,4
1887,1
1888,2
1894,0
1895,0
1898,0
1900,4
1902,1
1912,0
1927,6
1931,11
1943,4
1955,4
1990,0
1991,4
1992,4
1997,10
2010,6
2012,0
2016,1
2019,2
2025,2
2027,3
2038,1
2048,2
2057,0
2065,1
2070,1
2071,0
2078,3
2081,1
2087,4
2088,0
2089,9
2094,1
2102,4
2108,1
2117,2
2123,3
2126,0
2131,0
2139,4
2146,1
2154,3
2160,0
2161,4
2165,1
2166,0
2174,4
2180,3
2194,2
2198,0
2215,1
2223,6
2232,3
2243,3
2250,3
2252,0
2260,3
2265,4
2268,11
2270,4
2275,4
2278,2
2284,2
2293,3
2300,0
2301,4
2310,2
2312,11
2331,1
2334,4
2345,0
2347,1
2367,5
2369,3
2373,2
2383,3
2401,3
2406,4
2407,4
2415,0
2423,2
2425,0
2427,3
2433,3
2434,11
2447,5
2460,0
2466,4
2472,1
2478,6
2480,1
2481,0
2484,0
2486,0
2487,11
2488,11
2494,1
2505,4
2513,0
2518,11
2523,0
2525,5
2526,4
2527,4
2534,0
2535,0
2540,1
2542,3
2551,6
2552,0
2558,3
2569,4
2578,0
2583,6
2584,3
2587,4
2588,4
2592,4
2597,10
2601,0
2602,11
2605,11
2613,0
2615,10
2617,0
2620,4
2621,4
2627,0
2631,9
2644,4
2645,2
2653,1
2667,0
2669,4
2674,4
2682,4
2688,1
2689,1
2694,5
2699,4
2702,0
2707,11
2714,4
2717,0
2718,4
2724,1
2728,6
2730,0
2740,11
2741,3
2747,4
2749,1
2751,4
2756,11
2759,3
2760,0
2762,4
2764,4
2768,11
2769,3
2776,9
2777,1
2779,4
2794,1
2796,4
2815,5
2816,11
2825,2
2826,9
2828,4
2833,3
2835,2
2842,6
2844,2
2853,4
2857,3
2858,9
2861,3
2888,3
2890,3
2901,0
2905,6
2911,6
2918,1
2921,2
2923,1
2926,4
2931,0
2933,3
2935,1
2939,4
2940,4
2942,4
2943,0
2945,0
2969,3
2975,1
2985,4
2986,11
2992,6
3001,0
3005,4
3008,9
3009,2
3010,1
3012,1
3015,0
3016,0
3021,4
3027,4
3032,6
3059,4
3061,3
3077,11
3079,4
3084,0
3088,6
3090,1
3095,1
3098,0
3100,3
3101,5
3104,3
3127,4
3145,0
3147,0
3149,5
3151,3
3152,4
3154,4
3155,0
3156,11
3158,0
3159,0
3160,2
3172,4
3173,4
3177,4
3185,4
3198,4
3199,3
3202,4
3218,0
3225,0
3228,4
3234,5
3241,0
3250,3
3253,2
3255,0
3256,0
3258,4
3261,9
3287,2
3294,5
3303,4
3304,4
3314,6
3322,0
3339,3
3346,11
3347,4
3349,0
3355,4
3363,0
3369,2
3380,0
3381,0
3387,0
3388,6
3394,5
3406,4
3408,6
3414,4
3428,3
3433,3
3439,1
3449,11
3450,11
3460,5
3462,4
3470,1
3471,0
3473,1
3482,3
3483,2
3489,0
3490,0
3491,6
3492,1
3497,2
3498,11
3499,2
3502,4
3504,0
3506,0
3509,4
3518,0
3519,8
3522,4
3523,2
3528,11
3536,9
3541,2
3549,4
3555,4
3556,6
3566,5
3575,0
3578,0
3581,11
3586,4
3603,0
3607,5
3610,4
3617,4
3619,0
3627,1
3629,11
3637,4
3640,4
3643,3
3655,0
3662,4
3671,4
3672,0
3673,5
3683,5
3687,5
3693,5
3694,3
3700,4
3704,0
3706,2
3710,3
3711,0
3712,6
3713,5
3719,5
3722,4
3723,5
3725,3
3736,4
3738,1
3739,5
3741,0
3755,9
3771,2
3772,0
3779,5
3783,0
3784,0
3787,0
3788,0
3803,6
3823,6
3826,10
3833,0
3837,2
3841,4
3842,4
3846,0
3851,0
3861,4
3864,2
3866,4
3877,0
3878,2
3883,2
3885,0
3896,6
3900,2
3905,0
3909,0
3916,0
3919,11
3922,2
3931,4
3932,4
3939,1
3955,1
3959,4
3975,6
3976,6
3993,6
4012,0
4016,4
4019,4
4024,0
4026,0
4027,5
4028,2
4037,0
4038,4
4041,2
4042,0
4044,4
4045,1
4047,1
4052,3
4063,1
4076,4
4081,11
4088,0
4090,6
4095,5
4098,1
4101,4
4102,4
4103,4
4107,1
4109,0
4110,4
4113,4
4114,4
4119,4
4122,11
4135,3
4140,3
4151,3
4169,2
4175,3
4176,2
4177,0
4191,11
4223,2
4224,6
4232,4
4235,2
4241,4
4245,3
4250,3
4262,2
4263,6
4268,1
4273,1
4275,3
4277,4
4280,3
4284,3
4289,2
4294,9
4302,5
4321,3
4326,1
4331,4
