doc_idx,category
9,0
10,5
15,3
20,6
25,6
33,4
37,2
38,6
39,5
42,4
43,6
44,9
46,8
48,7
49,11
50,3
52,7
55,5
58,0
82,6
98,4
119,8
121,1
122,2
127,3
133,8
140,3
147,5
150,0
151,4
154,2
156,2
158,4
159,7
162,7
168,4
178,8
183,0
185,6
187,3
188,9
196,11
201,7
208,7
213,10
215,7
221,7
224,4
229,2
233,0
234,9
242,4
244,7
247,4
251,5
253,9
254,7
257,7
273,4
274,9
277,4
278,5
296,6
304,8
317,1
321,3
323,0
328,5
332,6
338,0
343,4
366,9
370,2
379,11
380,6
384,8
386,2
388,2
391,5
392,6
393,0
394,8
400,10
406,2
408,1
421,3
423,4
427,8
442,3
447,8
448,1
451,10
458,10
462,4
471,7
477,10
495,2
499,2
501,8
519,8
521,4
526,8
528,7
532,10
537,6
541,8
543,8
547,8
551,5
563,1
565,10
569,2
574,5
578,10
580,10
581,8
591,1
595,3
597,7
600,10
618,0
623,6
625,0
630,9
633,9
635,4
659,2
676,4
679,8
681,3
683,7
692,1
693,10
708,10
717,10
722,5
725,1
733,7
746,11
747,2
749,0
755,1
757,2
759,2
760,6
776,3
779,4
787,1
796,5
799,5
808,8
819,4
821,7
833,7
834,4
836,4
838,4
839,10
841,1
842,4
844,7
845,4
848,7
850,4
852,4
855,7
869,2
886,1
888,4
894,6
905,6
907,4
908,1
921,0
922,10
924,5
934,4
935,4
937,8
938,2
940,1
943,3
944,4
945,9
950,11
955,1
961,7
966,3
972,4
975,1
982,4
986,3
998,9
1002,3
1003,0
1018,6
1022,10
1025,2
1026,5
1029,6
1034,8
1035,7
1040,3
1044,10
1046,3
1051,3
1052,1
1058,6
1063,10
1064,1
1067,8
1079,11
1087,8
1088,4
1097,10
1101,7
1102,1
1103,8
1110,2
1112,8
1113,1
1126,2
1139,0
1151,1
1157,8
1158,9
1172,5
1176,4
1179,4
1180,3
1193,4
1207,8
1210,2
1218,6
1220,9
1222,4
1225,4
1234,2
1242,6
1249,9
1255,9
1256,0
1264,7
1269,4
1270,4
1277,1
1278,11
1279,1
1283,8
1300,6
1308,7
1315,2
1324,8
1326,7
1332,8
1334,2
1335,4
1353,6
1355,10
1359,1
1364,8
1376,9
1400,7
1401,2
1403,8
1412,7
1421,0
1422,6
1435,6
1443,7
1453,4
1456,1
1462,11
1467,4
1468,10
1470,7
1475,7
1476,4
1479,1
1483,6
1485,7
1490,4
1497,9
1515,10
1523,8
1526,9
1529,8
1533,4
1538,8
1540,3
1559,8
1570,3
1573,1
1575,10
1585,3
1590,7
1594,7
1607,4
1608,4
1614,10
1615,2
1621,8
1631,0
1638,1
1641,10
1644,4
1645,5
1648,7
1651,4
1653,7
1657,6
1665,1
1666,9
1675,0
1683,6
1693,7
1701,10
1712,6
1713,4
1726,9
1729,3
1737,10
1741,4
1742,0
1748,3
1750,8
1759,4
1793,10
1799,3
1800,10
1801,1
1805,4
1811,9
1813,8
1815,4
1819,1
1820,1
1824,2
1825,7
1831,11
1845,10
1847,6
1869,1
1870,0
1874,1
1880,6
1888,2
1893,6
1896,6
1903,11
1908,6
1912,3
1914,3
1917,2
1942,7
1946,10
1962,8
1966,9
1991,4
1997,0
2006,2
2016,1
2020,0
2021,8
2029,10
2031,3
2038,1
2043,7
2052,8
2060,8
2065,1
2087,4
2092,5
2093,1
2095,7
2097,4
2098,6
2104,2
2111,9
2112,9
2117,0
2119,3
2124,3
2131,9
2143,8
2149,0
2172,5
2175,9
2181,7
2196,4
2218,1
2219,8
2226,1
2227,10
2230,0
2242,3
2252,9
2257,8
2271,6
2285,2
2287,10
2294,3
2295,4
2297,7
2302,6
2311,7
2313,4
2315,7
2326,2
2328,8
2330,3
2341,3
2351,8
2354,3
2362,10
2363,7
2364,4
2376,10
2381,9
2383,8
2395,4
2401,3
2407,4
2410,1
2421,7
2422,10
2431,3
2434,7
2441,6
2442,1
2443,5
2445,1
2446,9
2449,1
2453,10
2454,4
2455,4
2456,10
2457,8
2460,11
2470,6
2480,1
2482,3
2486,0
2491,8
2495,1
2497,0
2512,4
2515,8
2516,9
2517,0
2521,4
2523,3
2531,1
2532,0
2549,0
2555,4
2560,4
2563,3
2564,6
2567,3
2569,4
2575,5
2577,0
2579,3
2581,0
2584,3
2594,2
2603,9
2604,8
2606,3
2607,2
2613,7
2620,10
2622,8
2624,11
2629,10
2630,4
2641,0
2642,7
2645,2
2646,11
2659,10
2660,6
2664,1
2670,6
2682,4
2688,1
2701,3
2707,7
2709,10
2722,5
2725,1
2731,7
2741,8
2750,8
2764,4
2775,7
2781,0
2782,9
2788,4
2789,8
2791,7
2792,4
2793,6
2796,4
2798,3
2809,6
2810,6
2811,2
2814,6
2816,7
2817,4
2818,8
2819,4
2833,3
2834,4
2840,3
2851,5
2855,4
2856,5
2862,4
2866,9
2868,8
2869,1
2876,8
2882,9
2883,4
2892,0
2906,6
2911,5
2912,1
2916,6
2922,10
2928,4
2930,6
2931,6
2934,7
2950,0
2952,7
2964,2
2965,6
2967,10
2970,2
2972,1
2981,8
2986,0
2988,3
2991,10
2992,11
2993,8
2996,0
3000,1
3002,3
3010,1
3011,2
3025,7
3031,1
3037,9
3038,11
3049,0
3057,4
3063,10
3064,1
3071,10
3091,8
3098,9
3099,5
3101,6
3111,1
3112,5
3119,0
3120,2
3140,4
3144,2
3145,0
3153,7
3161,4
3164,4
3178,4
3181,11
3183,1
3195,3
3201,1
3203,8
3205,11
3207,8
3208,8
3211,8
3220,2
3227,11
3232,4
3236,5
3238,8
3248,1
3250,3
3252,8
3260,4
3272,7
3273,10
3274,5
3278,1
3283,7
3289,9
3290,1
3294,8
3297,8
3299,10
3313,1
3331,5
3340,10
3341,4
3357,9
3365,9
3366,8
3368,3
3371,7
3376,9
3385,0
3390,1
3392,7
3394,8
3396,10
3398,6
3402,0
3433,3
3443,3
3444,3
3453,4
3456,7
3465,1
3466,4
3471,8
3480,1
3492,1
3495,4
3504,8
3511,2
3512,4
3513,9
3514,0
3515,7
3518,5
3530,3
3532,7
3539,8
3541,2
3549,4
3559,4
3587,4
3591,4
3593,0
3599,2
3610,10
3611,0
3612,1
3613,4
3618,4
3638,8
3639,10
3643,3
3648,4
3665,5
3674,4
3692,9
3693,8
3695,3
3698,2
3699,2
3700,9
3704,0
3705,5
3706,2
3709,0
3715,1
3732,4
3733,10
3739,6
3751,9
3755,6
3756,10
3757,10
3776,9
3778,7
3785,7
3786,5
3788,4
3794,8
3795,1
3799,6
3805,3
3810,10
3825,1
3827,0
3837,2
3849,4
3856,3
3864,2
3877,7
3878,2
3880,8
3888,2
3889,8
3893,1
3897,8
3899,7
3904,8
3907,10
3909,4
3910,3
3912,8
3920,3
3940,0
3957,6
3964,0
3965,11
3969,10
3970,10
3976,5
3981,2
3985,4
3997,1
4001,0
4002,8
4015,1
4021,10
4022,1
4025,1
4037,8
4054,8
4066,7
4068,4
4086,10
4088,6
4090,5
4105,6
4106,6
4107,1
4118,0
4124,4
4126,4
4137,7
4146,8
4151,3
4156,6
4163,1
4171,9
4175,8
4176,2
4177,11
4182,11
4183,9
4196,8
4197,2
4205,9
4209,6
4211,3
4212,0
4217,3
4221,10
4228,9
4230,8
4231,8
4240,10
4243,4
4244,4
4246,5
4247,7
4261,2
4268,1
4273,1
4274,0
4275,8
4282,4
4284,3
4286,3
4294,6
4297,11
4298,6
4299,2
4309,8
4316,9
4323,8
4334,4
4343,1
4348,5
4351,11
4363,10
4365,4
4374,8
4378,4
