doc_idx,category
9,5
10,7
14,5
15,3
22,2
23,3
27,6
30,2
33,2
37,6
40,2
44,2
49,6
53,7
57,4
64,6
69,0
70,1
76,1
92,4
98,7
104,5
109,2
113,0
117,4
118,3
119,2
121,3
124,1
132,3
135,0
137,7
138,2
141,4
148,3
156,4
169,2
175,3
179,7
182,3
188,0
189,6
191,0
192,6
195,5
196,1
202,1
206,1
215,4
217,6
224,7
227,2
228,7
229,3
234,4
235,2
238,0
242,4
244,1
245,3
248,5
252,2
253,7
259,2
263,6
271,5
276,4
289,3
290,1
295,6
296,3
298,5
299,2
302,2
303,6
305,4
306,5
311,0
314,3
316,7
317,2
320,7
322,7
326,1
330,1
332,4
333,7
338,6
346,1
349,4
351,5
352,0
353,6
361,2
369,6
380,6
385,5
392,3
396,2
398,4
399,0
402,1
405,5
410,5
418,4
422,0
425,3
426,5
427,6
436,1
438,1
443,4
446,7
452,7
454,4
457,3
459,4
461,4
463,2
465,5
472,3
476,0
478,7
480,1
482,3
483,4
485,6
487,2
488,5
489,4
491,0
493,5
496,7
501,6
502,3
503,2
507,0
514,6
517,4
518,6
527,2
529,4
531,5
536,0
538,5
543,4
545,5
546,7
547,7
553,0
558,2
562,1
563,4
564,3
565,1
566,3
567,1
569,1
570,4
572,2
575,2
578,3
581,4
582,3
587,7
596,2
597,1
599,4
600,1
601,4
609,1
615,3
616,5
618,5
619,0
621,4
628,6
634,2
638,1
641,7
643,0
648,5
652,5
654,2
655,3
661,4
663,6
666,6
667,3
670,4
672,7
674,1
675,7
678,2
682,3
683,7
685,7
686,4
687,4
688,4
692,4
701,5
702,3
704,7
711,0
712,3
716,0
719,4
720,2
722,7
723,0
727,7
728,4
731,4
743,6
745,3
746,7
748,1
751,2
762,7
766,1
768,3
775,2
776,1
778,2
779,5
783,5
791,1
793,7
794,0
806,1
812,4
817,6
820,7
825,7
826,4
831,0
836,4
838,7
841,5
847,3
849,2
850,1
852,4
867,4
868,1
878,4
879,4
880,1
882,6
886,7
890,6
895,7
896,4
899,7
900,6
905,7
906,7
909,1
912,2
913,2
914,2
918,4
921,7
923,1
924,4
933,7
934,1
935,4
936,0
938,2
944,3
951,3
953,1
958,5
961,3
962,6
963,7
966,4
969,4
971,5
977,5
979,1
982,4
983,1
988,1
991,5
993,5
995,1
997,2
998,0
1003,4
1005,3
1009,7
1013,7
1014,3
1015,2
1017,2
1023,4
1025,6
1032,2
1037,2
1038,2
1041,3
1042,2
1043,4
1044,1
1047,1
1049,5
1052,7
1056,2
1059,2
1063,2
1065,1
1068,5
1070,0
1074,5
1078,7
1081,4
1083,4
1084,1
1093,2
1094,6
1095,5
1099,1
1101,5
1106,6
1108,2
1109,2
1110,4
1114,7
1118,5
1122,6
1127,2
1129,1
1136,2
1138,1
1147,2
1148,7
1151,5
1158,4
1160,5
1180,5
1183,1
1184,7
1187,3
1190,0
1191,3
1196,6
1197,5
1199,6
1203,2
1211,5
1217,3
1222,1
1224,3
1225,6
1230,7
1231,1
1232,1
1236,4
1237,7
1238,2
1240,2
1244,1
1254,2
1255,6
1256,2
1261,0
1262,1
1264,0
1269,7
1271,5
1273,2
1275,3
1276,1
1281,6
1283,5
1287,4
1290,5
1293,4
1300,2
1301,2
1302,3
1303,2
1311,5
1318,3
1323,4
1324,7
1326,7
1327,7
1328,6
1330,0
1332,1
1334,0
1343,0
1347,7
1357,6
1362,2
1363,5
1368,4
1370,1
1374,4
1376,4
1377,7
1380,0
1385,7
1386,6
1387,6
1396,2
1397,1
1399,2
1410,4
