doc_idx,category
9,2
10,7
14,2
15,3
22,1
23,3
27,6
30,1
33,1
37,6
40,1
44,1
49,6
53,7
57,5
64,6
69,3
70,4
76,4
92,5
98,7
104,2
109,1
113,7
117,5
118,3
119,1
121,3
124,4
132,3
135,7
137,7
138,1
141,5
148,3
156,5
169,1
175,3
179,7
182,3
188,6
189,6
191,6
192,6
195,2
196,4
202,4
206,4
215,5
217,0
224,7
227,1
228,7
229,3
234,5
235,1
238,6
242,5
244,4
245,3
248,1
252,1
253,7
259,1
263,6
271,2
276,5
289,3
290,4
295,6
296,3
298,2
299,1
302,1
303,6
305,5
306,2
311,0
314,3
316,7
317,1
320,7
322,7
326,4
330,4
332,5
333,7
338,6
346,4
349,5
351,2
352,7
353,6
361,1
369,6
380,6
385,2
392,3
396,1
398,5
399,1
402,4
405,2
410,2
418,5
422,6
425,3
426,2
427,7
436,4
438,4
443,5
446,7
452,7
454,5
457,3
459,5
461,5
463,1
465,2
472,3
476,5
478,7
480,4
482,3
483,5
485,6
487,1
488,2
489,5
491,5
493,2
496,7
501,6
502,3
503,1
507,6
514,6
517,5
518,6
527,1
529,5
531,2
536,1
538,2
543,5
545,2
546,1
547,7
553,6
558,1
562,4
563,5
564,3
565,4
566,3
567,4
569,4
570,5
572,1
575,1
578,3
581,5
582,3
587,7
596,1
597,4
599,5
600,4
601,5
609,4
615,3
616,2
618,2
619,7
621,5
628,6
634,6
638,4
641,7
643,1
648,2
652,2
654,1
655,3
661,5
663,6
666,6
667,3
670,5
672,7
674,4
675,7
678,1
682,3
683,6
685,7
686,5
687,5
688,5
692,5
701,2
702,3
704,7
711,7
712,3
716,3
719,5
720,1
722,7
723,6
727,7
728,5
731,5
743,6
745,3
746,7
748,4
751,1
762,7
766,4
768,3
775,1
776,4
778,1
779,2
783,2
791,4
793,7
794,5
806,4
812,5
817,6
820,7
825,7
826,5
831,6
836,5
838,7
841,2
847,3
849,1
850,4
852,5
867,5
868,4
878,5
879,5
880,4
882,6
886,7
890,6
895,7
896,5
899,7
900,6
905,7
906,7
909,4
912,1
913,1
914,1
918,5
921,7
923,4
924,5
933,7
934,4
935,5
936,1
938,1
944,3
951,3
953,4
958,2
961,3
962,6
963,7
966,5
969,5
971,2
977,2
979,4
982,5
983,4
988,4
991,2
993,2
995,4
997,1
998,1
1003,5
1005,3
1009,7
1013,7
1014,3
1015,1
1017,1
1023,5
1025,6
1032,1
1037,1
1038,1
1041,3
1042,1
1043,5
1044,4
1047,4
1049,2
1052,7
1056,1
1059,1
1063,1
1065,4
1068,2
1070,1
1074,2
1078,7
1081,5
1083,5
1084,4
1093,1
1094,6
1095,2
1099,4
1101,2
1106,6
1108,1
1109,1
1110,5
1114,6
1118,2
1122,6
1127,1
1129,4
1136,1
1138,4
1147,1
1148,7
1151,2
1158,5
1160,2
1180,2
1183,4
1184,7
1187,3
1190,3
1191,3
1196,6
1197,2
1199,6
1203,1
1211,2
1217,3
1222,4
1224,3
1225,6
1230,7
1231,4
1232,4
1236,5
1237,7
1238,1
1240,1
1244,4
1254,1
1255,6
1256,1
1261,5
1262,4
1264,6
1269,7
1271,2
1273,1
1275,3
1276,4
1281,6
1283,2
1287,5
1290,2
1293,5
1300,1
1301,1
1302,3
1303,1
1311,2
1318,3
1323,5
1324,7
1326,7
1327,7
1328,6
1330,6
1332,4
1334,6
1343,1
1347,7
1357,7
1362,1
1363,2
1368,5
1370,4
1374,5
1376,5
1377,7
