doc_idx,category
1,71
4,94
10,0
17,2
22,18
23,67
30,8
31,57
33,13
34,105
39,86
42,7
45,79
49,66
57,16
61,24
66,20
70,5
72,12
85,120
87,7
88,93
92,84
117,24
118,105
124,54
134,16
138,53
142,12
148,48
154,2
170,43
173,21
182,86
185,27
189,20
192,2
196,76
202,32
214,31
217,21
224,96
226,89
227,54
229,16
242,23
245,76
248,93
249,38
253,37
257,3
276,86
285,53
286,2
289,50
295,50
296,100
298,2
302,83
304,77
306,34
308,4
311,93
322,21
326,95
333,75
346,6
347,22
352,72
378,25
381,47
398,5
402,31
405,5
408,31
410,54
418,32
436,76
443,18
444,3
452,0
453,104
457,91
463,58
465,46
467,86
473,86
480,19
481,101
482,121
483,51
485,83
489,47
491,90
496,66
499,75
500,67
501,19
502,96
514,91
517,51
520,30
521,86
526,110
527,44
528,100
530,13
531,111
533,2
534,2
536,46
538,48
541,82
543,104
545,75
546,47
548,86
558,121
562,103
566,27
567,2
569,2
570,80
572,104
575,26
576,38
578,86
581,82
582,104
587,10
598,120
599,11
615,56
621,75
634,75
635,49
638,53
639,53
641,24
651,16
661,40
663,9
666,84
668,83
675,33
678,104
682,27
683,113
684,16
685,41
690,1
692,91
704,41
706,13
712,80
716,19
727,16
735,14
748,83
751,13
768,83
773,33
775,65
776,84
799,82
817,104
825,63
835,2
836,105
840,51
841,2
842,2
861,47
866,8
867,99
868,13
882,9
883,26
888,39
891,2
895,51
898,23
899,98
900,116
905,19
910,4
918,8
927,92
935,54
938,51
939,103
944,38
949,32
951,34
953,60
958,104
961,43
971,120
977,89
979,2
982,94
983,21
989,20
996,2
998,2
1001,17
1005,61
1009,100
1012,73
1018,12
1042,30
1043,43
1059,8
1062,7
1065,118
1068,109
1069,33
1070,12
1077,66
1078,33
1084,2
1087,49
1093,100
1101,40
1109,51
1120,76
1127,118
1129,86
1139,44
1148,65
1150,17
1160,23
1161,25
1180,50
1185,33
1191,54
1203,19
1220,49
1225,38
1232,32
1236,104
1239,80
1242,20
1245,28
1256,74
1261,49
1262,76
1271,2
1276,86
1282,7
1283,16
1287,12
1292,80
1300,58
1303,117
1310,47
1319,38
1326,29
1327,17
1328,59
1330,15
1332,40
1336,54
1341,24
1343,117
1347,21
1357,16
1358,33
1359,74
1362,27
1364,98
1377,44
1380,118
1385,74
1386,41
1390,12
1399,40
1410,86
1412,114
1436,100
1446,2
1450,84
1457,32
1460,73
1464,86
1465,40
1474,50
1478,13
1489,2
1490,13
1493,84
1494,53
1495,95
1496,31
1499,18
1501,31
1505,17
1507,2
1513,106
1515,86
1523,32
1530,117
1533,113
1535,10
1544,54
1553,20
1559,18
1564,33
1569,119
1571,99
1577,2
1580,74
1583,7
1587,117
1601,15
1615,8
1618,50
1625,69
1642,13
1646,74
1649,51
1652,98
1657,72
1662,57
1666,6
1669,32
1670,9
1675,16
1687,62
1697,38
1721,74
1726,120
1728,14
1742,46
1754,36
1757,39
1759,82
1761,9
1763,42
1764,110
1766,85
1770,76
1772,32
1774,0
1790,100
1804,11
1815,49
1824,54
1825,94
1826,20
1828,97
1831,72
1836,3
1850,16
1852,15
1855,80
1856,89
1869,72
1872,30
1875,9
1887,100
1894,11
1895,7
1898,96
1917,3
1920,80
1922,13
1928,70
1934,51
1936,105
1939,24
1943,47
1949,116
1950,13
1952,44
1953,5
1958,44
1965,67
1969,4
1976,85
1983,50
1994,31
1997,6
1999,104
2010,86
2013,2
2036,26
2041,49
2044,105
2049,117
2054,19
2060,65
2063,81
2067,118
2070,8
2075,2
2076,65
2078,1
2094,53
2101,8
2106,22
2112,9
2124,8
2125,11
2137,2
2143,3
2151,86
2155,106
2164,43
2165,2
2166,12
2172,2
2174,52
2180,13
2181,13
2183,14
2188,54
2193,16
2196,12
2203,1
2205,12
