doc_idx,category
10,0
14,0
15,0
22,0
23,18
27,5
30,0
33,18
37,0
40,0
41,18
44,11
49,11
53,7
57,0
64,7
69,4
70,16
76,11
92,0
98,0
104,15
109,18
113,0
117,0
119,0
121,0
124,0
132,0
135,13
137,0
138,18
141,0
144,0
156,0
169,1
175,18
179,0
182,16
188,0
191,0
192,0
195,18
196,0
202,2
204,0
206,0
215,16
217,0
224,8
227,0
228,13
229,0
234,11
235,9
238,0
242,0
245,7
248,16
252,11
253,7
259,16
263,0
271,13
289,0
290,18
295,5
296,10
298,14
299,4
302,0
303,0
305,0
306,11
311,1
314,16
316,0
317,0
320,0
322,1
326,0
330,9
332,18
333,0
338,0
346,0
349,20
351,10
352,0
353,0
361,0
385,0
392,2
396,0
398,13
399,10
405,0
410,0
418,0
422,0
426,0
427,0
436,0
438,0
443,0
446,0
452,0
457,0
461,19
463,16
465,0
472,2
476,7
478,14
480,10
482,4
485,0
487,0
488,20
489,0
491,4
493,7
501,0
502,7
503,18
507,0
514,5
517,11
518,0
526,0
527,0
529,0
531,13
536,13
538,7
543,5
545,0
546,8
547,18
553,0
558,0
562,0
563,7
564,20
565,16
566,0
567,0
569,0
570,0
572,20
575,20
578,11
581,7
582,0
596,0
597,0
599,8
600,8
601,0
609,7
615,0
616,0
618,0
619,0
621,0
628,0
634,2
638,0
641,11
643,16
648,0
652,1
654,1
655,1
661,18
666,0
667,0
670,0
672,0
674,15
675,10
678,4
683,0
685,7
686,20
687,2
688,5
692,20
701,0
702,0
704,0
711,6
712,4
716,5
719,0
720,10
722,0
723,13
727,0
728,0
731,0
743,0
745,7
746,7
748,20
751,0
762,1
766,4
768,5
775,0
776,1
778,0
779,11
783,4
791,16
793,16
794,1
806,10
812,0
817,5
820,1
825,0
826,0
831,0
836,0
838,10
841,1
847,16
849,0
850,0
852,0
861,18
868,0
874,20
878,7
880,0
882,4
883,8
886,6
890,20
895,20
896,0
898,0
899,18
900,0
905,8
910,10
912,7
913,5
914,0
918,8
921,0
923,0
924,0
927,0
933,0
934,4
936,10
944,0
953,5
961,0
962,0
963,8
966,5
971,0
977,0
979,0
981,0
982,5
983,11
988,0
989,0
991,16
993,0
995,0
997,0
998,0
1002,0
1003,0
1005,4
1009,13
1014,16
1015,0
1017,0
1023,2
1025,3
1027,0
1032,0
1037,16
1038,0
1041,2
1042,7
1044,0
1047,0
1049,10
1051,0
1052,2
1055,0
1056,1
1059,13
1061,0
1063,1
1065,18
1068,4
1070,0
1077,0
1083,8
1086,0
1087,0
1093,0
1094,0
1099,4
1101,4
1103,0
1106,20
1108,18
1110,5
1114,8
1118,0
1122,0
1129,5
1136,1
1138,18
1147,18
1148,4
1158,0
1160,0
1161,0
1173,11
1180,18
1184,18
1187,19
1190,19
1191,16
1197,11
1199,0
1203,2
1212,0
1217,0
1222,4
1224,0
1230,0
1236,0
1240,5
1242,0
1246,0
1254,0
1255,0
1256,0
1259,0
1260,4
1262,0
1264,0
1266,0
1267,0
1275,0
1276,0
1280,0
1282,0
1284,0
1288,16
1290,0
1293,0
1302,5
1303,0
1313,0
1318,0
1323,4
1324,0
1326,2
1327,0
1330,4
1334,0
1338,1
1343,16
1349,18
1351,0
1359,18
1363,0
1368,0
1373,20
1374,4
1377,0
1386,0
1387,0
1390,8
1397,0
1399,0
1403,0
1410,0
1412,0
1414,0
1418,20
1424,0
1426,0
1430,6
1431,0
1432,18
1450,11
1453,10
1454,0
1455,13
1463,2
1464,10
1465,4
1471,0
1476,20
1477,0
1482,1
1489,0
1491,16
1499,0
1509,20
1523,2
1530,0
1535,11
1537,11
1550,0
1554,18
1560,2
1564,0
1570,2
1571,11
1581,4
1587,4
1590,7
1601,10
1604,0
1615,5
1618,0
1620,20
1621,10
1625,1
1627,0
