doc_idx,category
1,0
6,1
9,0
10,3
11,4
14,81
15,0
17,30
18,64
22,3
23,0
27,14
30,24
31,0
33,40
37,0
39,42
40,14
41,40
47,66
48,20
53,23
69,64
70,0
76,68
77,0
80,0
85,3
87,0
98,18
104,48
106,0
107,48
118,3
124,70
132,52
133,48
135,85
145,15
148,6
149,0
156,0
157,3
161,64
162,0
173,40
175,62
182,64
187,76
191,3
192,48
194,0
195,46
200,0
202,45
204,48
206,67
215,3
220,68
224,52
229,0
232,40
233,0
240,48
245,0
248,38
249,88
251,0
252,7
253,64
254,3
259,0
260,61
262,27
264,54
270,77
271,30
276,0
279,64
286,27
287,64
289,3
294,3
295,0
296,10
299,0
300,48
302,85
303,19
305,52
309,0
310,10
314,42
320,81
322,48
330,61
333,15
342,48
353,30
359,76
369,0
381,8
384,33
385,47
386,0
390,44
391,55
393,64
398,20
399,41
402,6
405,52
411,86
414,3
418,62
422,6
425,48
436,0
438,83
440,52
442,0
443,20
444,68
446,64
452,41
453,3
454,38
457,3
459,81
461,14
465,0
474,0
475,64
477,78
478,64
480,40
485,76
486,54
487,20
488,68
489,18
491,0
501,18
503,0
512,2
516,3
517,62
518,3
521,0
529,62
530,3
532,3
535,29
536,76
543,64
546,2
547,73
553,0
557,13
558,0
562,18
563,45
564,14
565,30
567,0
568,72
569,38
570,0
574,37
575,81
578,3
579,30
581,21
582,64
597,0
600,83
602,52
609,54
610,30
616,0
618,64
619,0
621,48
633,88
634,14
638,52
646,3
648,28
651,0
654,3
655,0
657,0
661,0
663,0
665,0
666,0
667,7
670,14
672,64
674,3
676,0
682,20
684,26
687,66
688,15
701,3
703,62
704,64
708,12
710,8
711,3
712,3
713,0
715,76
716,3
720,3
721,12
723,14
727,39
728,3
731,15
735,0
743,3
745,3
748,0
757,85
758,85
764,52
768,81
775,20
776,40
778,29
781,0
789,67
791,55
792,3
793,9
795,15
799,7
805,64
806,38
810,9
812,0
815,48
818,81
825,18
829,41
831,3
832,14
836,0
840,30
841,0
850,82
852,81
861,81
868,10
880,48
882,52
883,0
890,48
892,55
895,3
896,31
897,0
898,61
899,10
900,55
905,14
906,81
909,27
910,0
913,14
914,73
916,64
917,85
918,11
921,0
923,47
926,82
927,4
933,58
935,3
936,78
937,0
944,3
946,62
949,78
951,14
953,0
958,4
961,2
962,29
963,3
966,0
971,2
977,14
980,52
981,51
982,0
983,87
986,68
987,0
988,3
989,2
991,52
995,52
996,71
998,37
1002,0
1005,14
1009,3
1010,30
1013,14
1015,45
1017,64
1023,0
1025,0
1027,29
1032,62
1036,0
1042,64
1045,0
1047,3
1049,65
1051,0
1052,3
1055,3
1056,0
1058,62
1063,37
1069,3
1070,0
1073,62
1078,42
1079,0
1081,54
1083,40
1091,54
1093,88
1096,25
1101,7
1103,64
1109,30
1110,73
1114,85
1116,0
1127,3
1129,39
1136,27
1137,83
1139,52
1140,3
1148,85
1151,48
1154,48
1161,29
1165,3
1170,76
1174,0
1180,81
1183,0
1185,0
1188,3
1193,40
1197,7
1205,20
1213,51
1217,3
1222,40
1225,2
1226,0
1228,14
1236,4
1239,3
1242,0
1246,1
1248,56
1255,61
1256,52
1257,3
1259,39
1261,61
1263,64
1266,76
1271,0
1273,81
1275,13
1279,28
1280,2
1284,48
1285,51
1287,84
1292,39
1294,6
1295,0
1299,0
1300,52
1302,0
1310,3
1315,16
1319,0
1327,0
1328,0
1330,68
1339,61
1341,67
1343,14
1354,48
1355,54
1357,20
1358,44
1362,20
1363,4
1368,0
1371,61
1373,30
1374,0
1377,14
1378,3
1379,48
1380,7
1385,29
1386,13
1387,46
1388,30
1393,70
1397,63
1399,27
1407,28
1412,3
1417,81
1418,3
1422,48
1423,76
1424,86
1427,3
1428,10
1436,2
1444,27
1446,39
1449,8
1456,27
1458,0
1459,27
1462,3
1464,0
1465,8
1471,64
1473,83
1474,2
1478,0
1482,0
1491,26
1492,64
1495,0
1496,81
1498,45
1504,0
1510,10
1511,4
1513,0
1519,52
1521,3
1523,40
1525,48
1528,76
1529,64
1533,0
1543,52
1544,0
1549,40
1550,3
1553,14
1554,61
