doc_idx,category
1,63
6,2
9,0
10,75
11,7
14,13
15,36
17,9
18,1
22,76
23,63
27,22
30,81
31,4
33,21
37,32
39,86
40,22
41,73
47,0
48,28
53,34
69,1
70,45
76,33
77,0
80,0
85,65
87,0
98,17
104,4
106,4
107,4
118,65
124,82
132,29
133,4
135,26
145,20
148,56
149,28
156,29
157,41
161,1
162,0
173,26
175,2
182,1
187,2
191,64
192,4
194,39
195,58
200,72
202,18
204,4
206,12
215,3
220,33
224,29
229,10
232,21
233,0
240,4
245,22
248,57
249,17
251,4
252,67
253,1
254,41
259,0
260,6
262,31
264,39
270,4
271,9
276,4
279,1
286,31
287,1
289,65
294,41
295,77
296,86
299,0
300,4
302,21
303,0
305,29
309,0
310,0
314,86
320,13
322,4
330,6
333,20
342,4
353,9
359,74
369,68
381,4
384,49
385,0
386,77
390,2
391,25
393,1
398,28
399,80
402,14
405,29
411,1
414,3
418,2
422,14
425,4
436,4
438,70
440,29
442,53
443,28
444,33
446,1
452,76
453,76
454,57
457,3
459,13
461,22
465,32
474,63
475,1
477,4
478,1
480,5
485,74
486,39
487,28
488,33
489,17
491,4
501,17
503,0
512,5
516,3
517,2
518,41
521,0
529,0
530,41
532,75
535,50
536,74
543,1
546,73
547,11
553,0
557,20
558,77
562,17
563,18
564,22
565,9
567,0
568,5
569,57
570,31
574,1
575,13
578,3
579,9
581,9
582,1
597,51
600,70
602,29
609,39
610,9
616,4
618,1
619,4
621,4
633,17
634,22
638,29
646,65
648,4
651,4
654,89
655,17
657,68
661,0
663,4
665,4
666,4
667,67
670,22
672,1
674,65
676,0
682,28
684,8
687,79
688,23
701,66
703,2
704,1
708,16
710,4
711,3
712,75
713,31
715,74
716,41
720,3
721,16
723,22
727,7
728,3
731,20
735,68
743,3
745,41
748,0
757,73
758,73
764,29
768,13
775,28
776,5
778,43
781,0
789,21
791,25
792,76
793,1
795,20
799,69
805,1
806,57
810,1
812,0
815,4
818,13
825,17
829,80
831,3
832,22
836,88
840,9
841,20
850,3
852,13
861,13
868,0
880,4
882,29
883,78
890,4
892,25
895,89
896,0
897,0
898,6
899,54
900,25
905,22
906,13
909,31
910,19
913,22
914,13
916,1
917,21
918,0
921,0
923,0
926,3
927,7
933,30
935,89
936,85
937,32
944,65
946,2
949,2
951,22
953,32
958,7
961,5
962,50
963,0
966,4
971,73
977,22
980,29
981,8
982,4
983,33
986,33
987,68
988,66
989,88
991,29
995,29
996,42
998,0
1002,68
1005,22
1009,37
1010,73
1013,22
1015,18
1017,1
1023,4
1025,0
1027,43
1032,2
1036,10
1042,1
1045,11
1047,3
1049,80
1051,21
1052,65
1055,3
1056,29
1058,2
1063,10
1069,65
1070,72
1073,2
1078,86
1079,0
1081,39
1083,5
1091,39
1093,17
1096,38
1101,67
1103,1
1109,9
1110,13
1114,21
1116,0
1127,64
1129,7
1136,31
1137,70
1139,29
1140,64
1148,21
1151,4
1154,4
1161,50
1165,65
1170,74
1174,21
1180,13
1183,21
1185,36
1188,65
1193,21
1197,69
1205,28
1213,8
1217,65
1222,21
1225,5
1226,32
1228,22
1236,7
1239,3
1242,33
1246,2
1248,67
1255,6
1256,29
1257,65
1259,7
1261,6
1263,1
1266,2
1271,1
1273,13
1275,20
1279,4
1280,5
1284,4
1285,8
1287,57
1292,7
1294,14
1295,45
1299,52
1300,29
1302,48
1310,37
1315,24
1319,0
1327,0
1328,0
1330,33
1339,6
1341,12
1343,22
1354,4
1355,39
1357,28
1358,2
1362,28
1363,7
1368,63
1371,6
1373,9
1374,35
1377,22
1378,66
1379,4
1380,67
1385,50
1386,20
1387,0
1388,9
1393,82
1397,86
1399,31
1407,4
1412,3
1417,13
1418,3
1422,4
1423,2
1424,1
1427,64
1428,0
1436,21
1444,31
1446,7
1449,4
1456,31
1458,0
1459,31
1462,41
1464,36
1465,4
1471,1
1473,70
1474,5
1478,0
1482,0
1491,8
1492,1
1495,53
1496,13
1498,18
1504,0
1510,0
1511,7
1513,0
1519,29
1521,3
1523,5
1525,4
1528,2
1529,1
1533,46
1543,29
1544,68
1549,5
1550,3
1553,22
1554,6
1555,0
1560,2
1571,65
1573,0
1580,63
1581,20
1585,34
1590,55
1597,74
1598,6
1599,13
1601,29
1602,0
1607,10
1610,17
1613,1
1615,3
1621,17
1624,17
1625,7
1626,4
1627,26
1630,1
1632,4
1633,2
1635,5
1636,87
1637,4
1639,29
1642,4
1643,4
1648,29
1655,80
1658,74
1662,40
1664,65
1668,63
1669,11
1670,4
1674,18
1675,2
1678,73
1679,55
1681,4
1686,63
1687,18
1691,15
1695,31
1700,65
1706,1
1708,11
1711,5
1714,9
1715,8
1716,68
1717,89
1726,17
1728,4
1732,34
1735,0
1736,18
1737,82
1738,22
1746,80
1748,21
1751,4
1752,36
1756,0
1758,41
1759,62
1764,39
1766,17
1767,4
1779,0
1780,50
1782,70
1785,4
1786,20
1793,9
1794,42
1797,0
1802,73
1804,4
1806,8
1810,0
1811,17
1813,3
1816,0
1817,68
1818,3
1821,20
1827,0
1832,54
1833,41
1836,9
1843,0
1845,21
1846,18
1848,70
1854,4
1859,7
1861,67
1865,28
1870,41
1876,42
1878,31
1890,1
1893,13
1895,51
1897,10
1898,65
1902,31
1911,4
1912,17
1914,40
1916,18
1917,17
1918,14
1926,37
1934,22
1938,51
1942,1
1947,22
1950,9
1958,80
1961,1
1965,4
1968,30
1969,0
1972,29
1981,75
1982,51
1986,79
1988,4
1990,0
1991,87
1994,4
1997,4
2000,27
2005,64
2006,7
2012,57
2014,4
2017,44
2018,0
2019,10
2026,73
2031,88
2035,12
2037,15
2041,0
2044,87
2047,4
2050,73
2053,21
2061,0
2062,11
2070,17
2072,42
2073,29
2082,47
2085,61
2087,89
2088,4
2092,29
2096,4
2098,4
2104,21
2106,0
2114,22
2124,4
2126,9
2127,0
2130,68
2138,25
2140,7
2142,4
2164,0
2165,6
2168,12
2172,38
2173,5
2182,70
2185,2
2191,63
2196,4
2199,55
2200,1
2201,14
2204,8
2212,57
2213,77
2218,4
2225,6
2226,53
2232,1
2234,65
2236,21
2242,80
2245,16
2250,5
2255,3
2256,1
2263,22
2266,57
2268,5
2270,7
2271,3
2273,20
2274,73
2275,11
2277,6
2278,7
2279,3
2283,57
2284,73
2286,16
2287,86
2290,21
2293,4
2301,73
2306,17
2307,4
2308,0
2309,9
2311,12
2314,0
2316,84
2318,4
2330,87
2336,21
2343,73
2350,4
2351,12
2360,41
2364,0
2365,31
2366,2
2368,3
2371,8
2372,1
2377,73
2379,2
2380,53
2381,33
2384,29
2386,66
2389,39
2390,37
2391,39
2394,68
2400,28
2401,41
2403,4
2407,73
2417,70
