doc_idx,category
1,2
2,4
3,3
4,2
5,4
7,1
8,1
9,4
11,11
12,5
13,5
14,10
15,10
17,1
18,1
20,3
21,1
22,6
24,2
26,3
27,9
28,2
29,4
30,5
31,3
32,2
33,2
34,1
35,4
36,7
38,4
39,2
40,10
41,5
42,5
44,1
45,1
46,4
47,2
48,3
49,7
50,2
52,7
54,3
56,10
57,4
60,1
62,3
63,2
64,4
65,6
68,6
69,4
70,5
71,6
72,10
74,5
75,5
76,11
78,1
79,6
80,1
82,7
83,6
84,6
85,5
86,2
88,2
90,4
91,5
93,5
96,3
97,5
98,2
99,2
100,2
101,3
102,1
103,1
105,5
106,1
107,4
108,4
109,6
110,5
112,7
113,2
114,1
115,5
116,1
117,3
118,2
119,4
120,1
121,4
122,11
123,5
124,4
125,3
126,5
127,0
128,6
129,3
131,5
132,1
133,4
134,2
135,4
136,3
137,10
138,3
140,4
141,2
142,3
143,9
144,8
145,3
146,4
148,3
149,7
