doc_idx,rewrite
0,coach
1,president
2,administration
3,wife
4,chairman
5,performance
6,silver
7,charge
8,produced
9,competition
10,medals
11,president
12,this
13,professor
14,die
15,marriage
16,marriage
17,power
18,presidential
19,demonstration
20,singer
21,win
22,music
23,president
24,visited
25,service
26,fares
27,school
28,wife
29,arrived
30,soldier
31,marriage
32,musician
33,medal
34,wife
35,president
36,command
37,husband
38,medal
39,musician
40,contributed
41,request
42,married
43,singer
44,neighbor
45,graduate
46,got back
47,school
48,position
49,control
50,say
51,command
52,command
53,medal
54,professor
55,president
56,marriage
57,winner
58,replacement
59,tutor
60,married
61,it
62,director
63,marry
64,murderer
65,coach
66,control
67,medal
68,position
69,singer
70,medal
71,making
72,work
73,play
74,wife
75,soldier
76,board
77,wife
78,work
79,singer
80,singer
81,study
82,service
83,soldier
84,marriage
85,professor
86,wife
87,school
88,bought
89,farm
90,position
91,coach
92,sailor
93,medal
94,sailor
95,medal
96,sailor
97,wife
98,arrived
99,win
100,professor
101,medal
102,pupil
103,stay
104,medal
105,school
106,room
107,loss
108,graduate
109,music
110,came
111,music
112,married
113,rapes
114,coach
115,president
116,graduate
117,loose
118,player
119,command
120,film
121,victory
122,mistress
123,soldier
124,mistress
125,election
126,school
127,visit
128,delivery
129,musician
130,winner
131,wife
132,residence
133,took office
134,work
135,music
136,professor
137,caucus
138,gold
139,elected
140,command
141,musician
142,return
143,order
144,student
145,betrothed
146,wife
147,advance
148,graduate
149,commissioner
150,music
151,hire
152,husband
153,order
154,win
155,president
156,couple
157,live
158,Shipper
159,rally
160,ive
161,educational
162,director
163,sailor
164,come
165,chair
166,following
167,singer
168,film
169,medal
170,medal
171,husband
172,explanation
173,schools
174,married
175,become
176,soldier
177,leader
178,command
179,partner
180,school
181,roommate
182,carry
183,education
184,vote
185,sailor
186,went
187,gold
188,released
189,Protesters
190,wife
191,crossing
192,student
193,wife
194,government
195,professor
196,hacked
197,student
198,response
199,demanding
200,return
201,musician
202,music
203,win
204,bought
205,protesters
206,graduate
207,charged
208,mistress
209,married
210,do
211,sailor
212,command
213,husband
214,sailor
215,winner
216,soldier
217,coach
218,singer
219,gold-medalist
220,work
221,coach
222,wife
223,wife
224,winner
225,job
226,medal
227,aid
228,rally
229,film
230,get
231,part
232,travel
233,music
234,command
235,graduate
236,graduate
237,takes over
238,president
239,travel
240,singer
241,soldier
242,medal
243,marriage
244,winner
245,professor
246,purchase
247,soldier
248,school
249,"Four of his high school teammates went on to play at Notre Dame for Frank Leahy, but it was Kriwiel who was named “ Most Valuable Player ” of the team.. The event trigger is school."
250,husband
251,employed
252,soldier
253,command
254,school
255,professor
256,professor
257,leader
258,winner
259,player
260,hand
261,medal
262,work
263,executive
264,medal
265,board
266,aid
267,commando
268,coach
269,work
270,music
271,suppliers
272,work
273,transport
274,singer
275,coach
276,wife
277,medal
278,competition
279,position
280,medal
281,demonstrations
282,regime
283,shipping
284,director
285,selling
286,soldier
287,soldier
288,wife
289,dialogue
290,produce
291,film
292,state
293,dialogue
294,produce
295,pay
296,down the drain
297,down the drain
298,admitted
299,Meanwhile 70 of the 178 people who were originally admitted to hospital are still receiving treatment in various hospitals in the region with 22 of them reported to still be in critical condition after the train was derailed while traveling at 190 kilometers an hour on a corner with a speed limit o 80km/h. The event trigger is admitted.
300,wandering
301,e-mails
302,arrested
303,coach
304,win
305,soldier
306,handwritten
307,wife
308,elect
309,soldier
310,wife
311,film
312,appoint
313,kidnapped
314,concert
315,chairperson
316,soldier
317,leader
318,transmission
319,soldier
320,work
321,singer
322,position
323,wedding
324,beaten
325,control
326,say
327,deadly
328,singer
329,wife
330,shooting
331,singer
332,explain
333,command
334,sailor
335,medal
336,answering
337,command
338,medals
339,singer
340,part
341,professor
342,member
343,student
344,work
345,murder
346,traded
347,director
348,film
349,president
350,leader
351,chair
352,said
353,teacher
354,allowing
355,chief
356,musicians
357,sailor
358,wife
359,attack
360,wife
361,master
362,travelling
363,said
364,protest
365,musician
366,soldier
367,command
368,silver
369,streamed
370,control
371,sentenced
372,wife
373,student
374,singer
375,change
376,singer
377,coach
378,said
379,moving
380,command
381,becoming
382,will
383,chief
384,purchases
385,movers
386,asked
387,medal
388,singer
389,get
390,lead
391,command
392,clerk
393,official
394,command
395,medal
396,chairman
397,film
398,funded
399,filmmaker
400,member
401,president
402,master
403,exported
404,work
405,singer
406,trip
407,competition
408,graduate
409,commissioner
410,singer
411,command
412,married
413,order
414,graduate
415,high-school
416,partner
417,charged
418,command
419,command
420,post
421,soldier
422,service
423,medal
424,winner
425,competition
426,wandered
427,removed
428,command
429,musician
430,command
431,attack
432,professor
433,partner
434,medal
435,administration
436,school
437,married
438,student
439,making
440,lead
441,musician
442,husband
443,posed
444,medal
445,medal
446,call
447,director
448,work
449,"His work at the Berkman Center has included research into global media attention, as well as the co-founding of Global Voices in collaboration with Rebecca MacKinnon.. The event trigger is work."
450,work
451,work
452,command
453,looting
454,musician
455,chairman
456,director
457,trade
458,smuggling
459,singer
460,resident
461,study
462,player
463,lecturer
464,wedding
465,roommate
466,president
467,former
468,inhabitant
469,gold
470,coach
471,associated
472,education
473,commander
474,singer
475,married
476,singer
477,mistress
478,sailor
479,order
480,control
481,wife
482,president
483,musician
484,hack
485,work
486,sailor
487,soldier
488,wife
489,wedding
490,command
491,partner
492,coach
493,job
494,couple
495,singer
496,singer
497,work
498,professor
499,study
500,command
501,spouse
502,singer
503,work
504,singer
505,live
506,pays
507,married
508,forum
509,work
510,professor
511,marry
512,wife
513,rent
514,position
515,service
516,wife
517,married
518,medal
519,soldier
520,medal
521,film
522,production
523,command
524,medal
525,service
526,married
527,soldier
