doc_idx,category
598,20
453,52
599,15
192,0
737,65
1966,26
309,1
1242,46
1390,47
858,65
491,53
117,42
545,21
1339,40
536,21
93,50
1284,64
382,18
538,66
566,42
1811,1
1833,26
1022,40
496,46
1225,0
560,47
1205,9
1683,54
1718,0
810,2
1005,58
1282,66
527,0
186,8
1666,15
1652,50
1969,57
31,3
558,58
591,0
495,1
1186,25
794,57
817,7
1862,0
185,13
170,55
953,40
12,34
1901,40
661,54
1967,0
447,50
642,51
417,1
1261,52
891,42
1478,34
463,0
883,15
1942,58
824,65
1406,58
1748,34
1740,34
45,60
587,1
465,57
736,66
614,26
248,66
1313,57
1898,42
1925,0
33,0
1949,37
1775,20
1094,58
1646,46
1675,44
1,66
1107,3
410,23
1490,54
1752,0
374,50
1432,64
88,12
654,21
848,40
1021,13
1760,58
520,30
543,42
481,0
1681,60
1972,0
1535,37
1850,50
1020,40
992,64
615,7
1803,66
1821,50
1165,3
1042,20
1616,19
1551,25
668,58
780,15
546,42
877,28
1357,44
329,58
871,54
796,39
408,65
1628,28
1843,37
1172,3
1570,58
998,13
467,3
1327,11
1755,25
1389,0
1577,62
1160,26
1494,45
1243,40
1343,65
1162,47
1317,51
1121,26
1732,11
748,2
1973,64
707,13
606,58
621,50
222,15
207,20
1880,3
1052,25
1453,34
1943,0
1239,37
895,1
770,21
398,20
720,31
1782,56
266,0
721,46
1550,46
224,1
1050,15
1565,65
604,40
1270,15
608,37
729,54
521,16
1624,12
531,37
1522,51
682,46
1318,3
955,46
552,3
1856,65
152,20
1363,31
1642,40
758,26
613,58
1806,25
523,50
958,60
924,37
1853,50
1561,66
1237,44
1391,46
1057,40
1113,16
1583,15
85,6
462,40
1938,37
910,51
1619,37
1883,53
539,9
1359,21
499,63
325,0
381,20
205,40
214,58
140,21
1251,20
1246,18
1132,34
699,54
1202,58
1702,34
1770,26
347,9
983,21
952,66
1817,13
1127,20
1739,13
1415,40
514,47
1757,65
929,46
311,44
854,26
501,30
1544,12
1287,30
1708,1
1221,58
337,10
1351,20
1388,42
342,0
581,66
1601,42
716,34
1174,15
39,46
333,42
1974,26
1896,65
907,24
901,0
1871,15
1810,26
1409,40
1070,65
142,26
698,65
982,0
1122,40
658,46
1433,64
1219,37
334,54
582,42
962,46
237,53
1688,40
690,58
782,0
30,27
1831,26
1170,20
950,36
65,66
1203,26
1900,37
243,10
759,65
253,3
452,13
1877,15
624,34
378,15
1276,50
1342,66
1072,47
638,34
1421,9
735,40
706,63
291,25
556,26
1071,57
951,15
1097,22
429,1
1523,34
1832,44
400,1
630,25
34,54
1532,42
139,20
1848,42
534,25
841,25
1588,65
666,66
541,0
457,13
49,40
1177,40
1630,34
1768,21
1220,12
146,50
1065,25
1084,25
659,32
1259,21
1613,63
1676,37
1304,40
939,65
1615,50
664,25
1258,42
905,54
724,28
1829,20
1716,65
920,32
704,18
1968,38
1910,65
914,26
298,51
1135,3
675,34
749,37
663,40
1518,26
1813,22
1549,46
971,66
562,0
1487,37
1704,66
180,30
898,50
751,58
1377,53
890,58
424,52
208,49
761,0
352,46
295,21
1639,34
1232,33
1051,64
1312,13
1254,53
1792,15
763,21
882,28
134,40
1931,26
899,40
1678,67
578,58
148,21
1903,21
1393,32
1699,16
1316,46
945,13
416,20
1355,32
1075,44
130,26
209,42
572,2
1439,3
1216,0
1144,28
586,25
844,54
1019,66
1324,20
181,34
343,17
1440,25
1208,25
742,58
634,47
1303,64
196,12
321,3
530,26
19,25
247,58
189,42
517,58
965,65
118,25
533,46
734,50
1114,30
1310,50
1308,0
1046,3
1660,0
482,26
227,40
685,62
1772,12
1082,37
900,58
1479,64
1153,58
1044,40
1870,42
1744,65
1568,58
114,50
798,50
1785,20
528,26
324,25
1808,1
526,63
1143,64
542,3
712,34
460,0
226,47
1392,46
502,40
875,44
1540,12
1515,34
688,44
1797,53
836,40
1405,26
1274,0
1087,1
418,58
1756,4
213,21
1520,12
1321,46
60,17
193,58
1975,55
1241,6
1524,25
182,26
1929,0
229,58
768,10
86,26
994,66
302,15
617,40
1638,10
308,18
22,37
276,47
818,25
1682,63
1015,15
811,33
593,42
304,5
885,15
1484,9
870,0
100,37
358,33
348,58
1451,46
1292,66
1206,42
1092,12
1711,34
979,54
1068,42
1115,39
485,26
977,13
1149,12
1567,40
872,42
867,65
1891,66
484,64
1364,26
1126,25
1661,5
326,34
747,58
480,1
1118,54
532,54
1407,58
840,50
567,46
257,34
346,25
1299,25
1120,40
202,16
21,3
1945,42
1489,7
607,15
124,37
892,40
1039,10
828,64
1330,28
1921,25
441,32
790,26
866,66
489,5
1311,25
927,25
1665,48
873,11
1413,32
959,13
434,40
569,47
1358,9
1331,8
166,15
92,46
421,13
1417,9
270,38
1069,10
1471,1
1917,34
1047,34
1547,40
154,50
868,46
1728,25
1116,26
450,51
639,20
1955,0
500,3
1297,18
296,26
537,51
835,47
1023,50
436,46
112,65
389,2
961,26
1322,58
1111,44
1033,28
769,27
1034,26
928,33
727,24
1863,25
960,12
1707,40
1790,63
443,54
451,25
1965,1
1414,9
1798,3
1078,47
776,66
306,58
853,20
4,64
3,28
1731,65
10,44
402,54
1830,1
823,1
14,18
1204,50
1703,42
258,58
1013,64
287,23
825,59
1470,33
1408,21
1465,28
1612,0
1895,13
1384,34
1428,65
473,22
1509,46
1526,14
989,26
1157,20
1533,20
1915,40
1508,46
290,32
1958,34
1289,0
575,40
635,46
24,37
1481,37
1525,17
380,20
1920,26
1542,47
252,57
1295,10
66,50
188,3
218,34
219,64
509,1
773,34
1095,6
596,26
388,34
1854,14
718,12
472,21
1159,58
1517,54
184,1
15,65
234,57
911,64
1684,20
479,26
317,40
1129,0
1226,46
1502,65
36,20
1506,3
1934,25
1319,64
177,20
412,25
1425,3
1040,51
64,50
605,15
1336,40
842,46
1031,0
1006,44
319,24
1964,9
644,0
1267,22
399,20
554,65
1957,66
167,25
1361,40
804,1
1761,10
756,3
792,58
1059,3
1587,21
1912,15
656,1
843,6
1899,42
1387,25
1886,56
660,52
1140,34
834,45
409,1
1280,55
191,0
1860,47
383,56
775,53
56,14
1345,21
1874,66
565,42
1236,26
307,63
801,20
216,46
263,34
1581,65
129,21
1513,3
71,40
1233,14
1629,9
1102,25
1383,20
1814,40
169,54
310,47
1369,1
1130,3
1667,25
981,34
881,0
1777,4
753,5
648,65
159,12
1386,25
1123,56
1869,1
1167,1
368,54
986,58
1859,16
1043,0
738,44
553,40
1145,34
896,66
1651,65
1376,30
1564,26
316,64
299,0
1341,37
643,25
1356,50
470,65
1643,40
1076,58
616,21
35,37
156,37
1754,58
1572,12
5,58
1207,22
195,58
1161,46
978,12
1719,42
1134,54
183,10
1248,65
369,39
1692,40
104,20
74,65
1314,58
1037,50
1747,37
1671,58
1309,56
1344,25
809,34
1741,40
799,50
622,47
1781,50
199,30
1632,42
946,15
1214,55
1511,1
673,34
1370,3
713,58
155,25
583,15
1366,58
779,40
1722,1
1281,25
1273,26
788,40
1101,54
519,42
361,42
1353,12
1466,8
246,58
709,53
351,58
1192,50
1922,40
57,21
705,39
435,20
1347,3
365,53
821,25
612,25
744,58
686,26
1607,3
