doc_idx,rewrite
0,netnews.comp.sys.ibm.pc.hardware
8,rec.sport.baseball
10,rec.climbing
7,misc.kids.pregnancy
2,misc.taxes
6,rec.motorcycles
5,alt.atheism
12,alt.home.repair
1,alt.usage.english
4,Written for the talk.politics.guns newsgroup.
11,Written for alt.religion.branch-davidian
3,Written for a Usenet newsgroup about health policy.
13,I cannot answer this because the document text is missing.
15,talk.politics.mideast
23,Written for comp.infosystems.www.misc
14,Written for comp.graphics Usenet newsgroup
21,The document does not specify a Usenet newsgroup.
24,rec.motorcycles
16,rec.motorcycles
19,comp.windows.x
18,alt.atheism
25,misc.health.industry
27,alt.idler Usenet newsgroup
20,I cannot answer this because the document text is missing.
26,alt.conspiracy
22,Written for rec.motorcycles.tech
17,misc.consumers.house
35,rec.motorcycles
34,sci.space.policy
28,Written for rec.marching.protest
32,alt.religion
37,Written for alt.atheism
33,alt.taoism
36,comp.periphs.scsi
38,alt.conspiracy
30,alt.news.bosnia
31,rec.arts.drwho
39,alt.cable-TV
41,comp.sys.ibm.pc.hardware.cd-rom
29,alt.sports.baseball.houston-astros
44,alt.model.rockets
43,comp.windows.xview
48,soc.culture.israel
45,soc.religion.mormon
46,rec.autos.makers.holden
50,comp.sys.mac.system
40,alt.conspiracy.spy
51,comp.sys.ibm.pc.hardware
42,I cannot answer this because the document text is missing.
47,comp.sys.mac.hardware
49,alt.sports.baseball.atlanta-braves
54,rec.motorcycles.dod
55,rec.sport.hockey
53,rec.autos.vw
52,soc.culture.greek
56,comp.os.ms-windows.misc
60,alt.games
65,Written for soc.history newsgroup.
61,comp.sys.ibm.pc.hardware.video
59,alt.security.pgp
57,comp.sys.mac.hardware
63,comp.archives.msdos.d
58,alt.atheism
62,alt.politics.homosexuality
64,sci.med.physiology
68,rec.humor.funny
67,rec.autos.makers.ford.mustang
66,No Usenet newsgroup specified in the document.
72,sci.crypt
71,alt.sports.baseball.atlanta-braves
70,comp.windows.x
76,rec.sport.baseball
80,soc.history.mediterranean
74,alt.religion.islam
78,alt.graphics or comp.graphics
81,I cannot answer this because the document text is missing.
79,comp.os.msdos.misc
77,soc.religion.christian.bible-study
69,alt.atheism
73,rec.autos.driving
75,rec.bicycles.marketplace
90,rec.autos.sport-utility
86,misc.forsale
94,alt.atheism
83,Written for sci.electronics
82,comp.sys.mac.hardware
85,alt.slack
88,comp.graphics.rendering.raytracing
84,I cannot answer this because the document text is missing.
92,Written for the sci.crypt newsgroup.
93,Written for the Usenet newsgroup misc.education.medical.
91,Written for misc.health.medicine
89,comp.os.ms-windows.programmer
87,I cannot answer this because the document text is missing.
9,"alt.law-enforcement or misc.legal? (Note: The document discusses police-style surveillance helicopters, making this the most likely topic, though the exact group name isn't in the text. Based on the s"
102,sf.baseball.giants
96,alt.sports.baseball
99,Written for talk.politics.guns
97,alt.peeves
101,alt.news.mideast
103,misc.forsale.computers
106,Written for a Usenet newsgroup.
104,Written for comp.sys.ibm.pc.hardware.storage
105,Written for the Usenet newsgroup alt.christnet.
98,I cannot answer this because the document text is missing.
100,rec.motorcycles
95,Written for a Christian Usenet newsgroup.
107,misc.forsale newsgroup
108,A local newsgroup
109,Not specified in the document.
110,alt.conspiracy
113,alt.privacy.clipper-chip
114,alt.med.cardiology
119,Written for comp.sys.ibm.pc.hardware
111,alt.music.makers.marketplace
120,Written for the talk.politics.guns newsgroup.
117,rec.sport.hockey
112,soc.culture.israel
116,alt.hackers
123,soc.culture.jewish
122,rec.bicycles.misc
121,misc.forsale.computers.pc-clone.systems
115,alt.politics.radical-left
118,comp.os.ms-windows.apps
124,rec.motorcycles
127,marketplace for scientific calculators
129,comp.sys.mac.system
126,alt.atheism
130,Written for comp.sys.novell.
135,alt.atheism
134,rec.sport.baseball
136,alt.religion.roman-catholic
133,alt.politics.clinton
132,comp.sys.ibm.pc.hardware
128,sci.astro or sci.space.science
125,comp.sys.ibm.pc.hardware.video
138,comp.graphics.algorithms
131,rec.motorcycles
140,comp.sys.mac.apps
145,rec.sport.hockey
146,misc.education.medical
139,comp.sys.ibm.pc.hardware.video
147,alt.current-events.waco.bz
150,alt.folklore.urban
141,Written for a Usenet argument newsgroup.
149,comp.sys.mac.hardware
144,talk.politics.guns
148,comp.sys.mac.hardware
137,alt.sports.baseball.oakland-as
151,alt.politics.clinton
142,comp.sys.ibm.pc.hardware
143,Not enough information to determine the newsgroup.
152,comp.os.linux.hardware
158,comp.sys.mac.hardware
154,sci.med.diseases.lyme
156,rec.motorcycles.racing
155,comp.windows.x
157,comp.os.386bsd.announce
163,alt.philosophy.ethics
161,talk.politics.misc
159,comp.sys.sgi.admin
162,Written for sci.skeptic newsgroup.
153,Posted for rec.sport.baseball.
160,Written for alt.atheism
164,rec.autos.tech
169,Written for alt.sci.space.shuttle
167,comp.windows.x.motif
165,rec.motorcycles
168,No Usenet newsgroup identified.
176,comp.os.ms-windows.apps
172,comp.graphics
177,comp.sys.ibm.pc.hardware
171,Posted to soc.history.modern
175,Written for sci.space newsgroup
178,misc.forsale.computers
174,alt.revisionism
170,soc.culture.iranian
166,comp.os.ms-windows.programmer
173,alt.sports.baseball.ny-yankees
181,Written for rec.autos.driving
180,alt.comp.shareware
184,alt.atheism
182,misc.forsale or rec.audio.marketplace
179,Please don't FLAME me!
186,comp.sys.mac.programmer
185,comp.sys.laptops
183,comp.os.ms-windows.networking.tcp-ip
190,alt.revisionism
188,Written for a beta software newsgroup.
187,comp.os.linux.networking
189,alt.sports.football.pro.ne-patriots
193,alt.christnet.evangelism
197,rec.motorcycles
194,alt.history.what-if
196,comp.graphics
192,No Usenet newsgroup specified.
191,I cannot answer this because the document text is missing.
202,comp.sys.ibm.pc.hardware.video
201,Written for a Usenet computer hardware newsgroup.
203,Posted to comp.sys.ibm.pc.hardware.storage
205,Usenet playoff pool
204,misc.health.alternative
198,Written for soc.culture.israel
195,soc.religion.christian
207,comp.sys.ibm.pc.hardware.video
200,Posted to sci.med Alzheimer’s research newsgroup.
208,alt.binaries.warez
199,Posted to a Winsock or Windows software newsgroup.
209,rec.sport.hockey
210,rec.sport.hockey
212,comp.unix.questions
211,alt.religion.christian
206,Written for alt.politics.clinton.
217,misc.legal
218,alt.autos.nissan
215,soc.culture.turkish
222,comp.os.ms-windows.misc
214,Written for a Christian Usenet newsgroup.
213,comp.sys.mac.hardware
216,sci.crypt
221,Written for a Usenet newsgroup.
220,comp.cad
219,talk.politics.guns
224,Written for alt.atheism.
223,rec.bicycles.tech
230,rec.motorcycles
231,rec.video.marketplace
232,Written for alt.atheism.
225,talk.politics.guns
227,alt.sports.hockey.nhl
226,alt.ham-radio.vhf-uhf
236,sci.electronics
234,alt.politics.homosexuality
235,Written for alt.talk.politics.misc
240,Posted to rec.sport.baseball.
237,alt.support.attn-deficit
228,Written for a religious debate newsgroup.
233,alt.conspiracy
238,Written for a Usenet newsgroup.
229,alt.religion.christian.roman-catholic
239,I cannot answer this because the document text is missing.
241,comp.sys.mac.hardware
244,Posted to soc.culture.korean
245,rec.sport.baseball
246,alt.bible
242,Posted to rec.sport.baseball
249,sci.astro or sci.physics
243,Unable to determine the newsgroup.
248,alt.politics
250,Written for talk.abortion.
247,alt.christnet.evangelical
253,alt.fan.saturday-night-live
258,alt.atheism
257,rec.autos.chrysler
255,rec.motorcycles.dirt
254,comp.sys.mac.portables
256,rec.radio.cb
251,Written for soc.culture.israel.
259,Written for a Usenet newsgroup.
252,Written for misc.legal newsgroup.
260,comp.graphics.algorithms
263,rec.autos.tech
262,comp.sys.mac.hardware
261,alt.politics.clinton
264,comp.sys.mac.hardware
268,alt.security.ripem
266,This thread
272,comp.graphics
267,fr.comp.automatisme
269,Written for comp.os.msdos.misc
265,Written for misc.legal newsgroup.
271,comp.sys.ibm.pc.hardware.video
270,Written for the music education newsgroup.
274,Written for alt.atheism
273,misc.forsale
275,rec.collecting.stamps
276,misc.forsale wanted
287,comp.fonts
277,alt.abortion
279,comp.graphics
278,Posted to rec.sport.baseball.
280,Posted to rec.sport.baseball
284,Written for the sci.med newsgroup.
281,Written for misc.health.alternative.
283,sci.electronics.equipment
282,sci.astro Usenet newsgroup
288,Written for alt.christnet.bible
289,sci.space.tech
286,rec.motorcycles
285,rec.sport.baseball
290,rec.arts.tv
295,comp.sys.mac.hardware
291,comp.unix.solaris
297,microsoft newsgroup
298,alt.conspiracy
301,comp.misc
294,alt.sports.hockey.nhl.tor-mapleleafs
303,rec.radio.amateur.misc
292,rec.autos.driving
299,Please provide the document you would like me to analyze.
293,Written for rec.motorcycles newsgroup.
300,comp.sys.ibm.pc.hardware
304,alt.binaries.sounds.misc
296,misc.forsale.computers
311,sci.astro.amateur
307,alt.atheism
308,comp.sys.sgi.hardware
310,Written for rec.antiques.radio+phono
317,alt.sports.basketball.pro
313,comp.windows.x
312,alt.astronomy
315,sci.electronics
316,alt.gossip.celebrities
314,comp.sys.ibm.pc.hardware.video
306,soc.religion.christian
309,alt.religion.christian
319,comp.unix.sun
318,Written for rec.sport.baseball.
322,talk.politics.mideast
305,Written for talk.origins.
320,rec.sport.hockey
302,comp.os.ms-windows.nt.misc
323,soc.culture.turkish
327,soc.religion.islam
324,comp.windows.x
328,alt.magick
330,alt.politics
321,alt.folklore.urban
329,Written for soc.religion.christian
325,rec.arts.books
331,I cannot answer this because the document text is missing.
326,rec.autos.tech
334,sci.space.news
335,Written for a university newsgroup.
333,Written for rec.sport.hockey
332,comp.os.msdos.programmer
339,Posted to sci.crypt
340,comp.arch
336,alt.atheism
345,alt.politics.correct
338,alt.politics.economics
342,I cannot answer this because the document text is missing.
343,comp.lang.clipper
341,rec.autos.driving
337,comp.dcom.modems
344,rec.bicycles.soc
346,comp.windows.x
349,rec.guns
348,Written for a Usenet newsgroup about L'Abri.
347,comp.graphics
350,misc.consumers
357,comp.os.ms-windows.video
355,comp.os.ms-windows.networking
352,talk.politics.crypto
354,alt.folklore.remedies
361,Posted to rec.sport.hockey
353,Written for talk.politics.guns.
358,alt.music.home-made
351,soc.religion.eastern-orthodox
356,alt.motorcycles.harley
362,Unable to determine the newsgroup.
359,Not applicable (no newsgroup specified).
360,This post was written for no specific Usenet newsgroup.
364,rec.sport.baseball
366,rec.audio.high-end
367,Written for a Usenet newsgroup.
363,Written for alt.politics.usa.constitution
371,rec.sport.baseball
370,talk.politics.guns
365,Written for a philosophy newsgroup.
368,sci.space.policy
372,rec.motorcycles
369,rec.audio.car
377,comp.windows.x
378,comp.os.ms-windows.misc
375,sci.skeptic
373,talk.politics.guns
380,comp.periphs.scsi
382,comp.sys.amiga.hardware
381,comp.sys.ibm.pc.hardware.video
374,alt.support.sinusitis
376,alt.privacy.clipper
379,alt.business.home-office
384,advocacy newsgroups
385,talk.politics.theory
383,alt.history.colonial
387,soc.culture.turkish
392,alt.politics
397,comp.os.ms-windows.misc
396,alt.comp.shareware
386,rec.motorcycles
390,comp.compression
391,Written for soc.culture.turkish
388,rec.autos.misc
394,comp.sys.ibm.pc.hardware.chips
389,Written for a Usenet group about drug policy.
393,Written for alt.religion.christian.roman-catholic
398,comp.sys.ibm.pc.hardware.video
402,sci.space.shuttle
409,alt.atheism
400,alt.religion.fanaticism
408,alt.conspiracy
403,alt.alternative-mindmachines
406,rec.sports.baseball
410,comp.software.shareware
407,misc.forsale
404,I cannot answer this because the document text is missing.
401,sci.astro
412,comp.windows.x
411,rec.music.marketplace.vinyl
405,comp.os.ms-windows.hardware
415,alt.autos.bmw
419,alt.sports.hockey.pens
421,comp.binaries.ibm.pc
413,Written for misc.health.alternative
420,comp.windows.x
414,alt.binaries.pictures.*
416,comp.sys.ibm.pc.hardware
418,Written for soc.religion.christian.
395,Not specified in the document.
399,comp.os.linux.hardware
422,talk.politics.guns
424,talk.environment
425,for sale in newsgroup
429,alt.atheism
426,rec.sport.misc
430,alt.atheism
423,comp.sys.mac.hardware
434,rec.sport.baseball
431,comp.windows.x
427,alt.atheism
436,alt.privacy
428,alt.raytrace
438,comp.graphics
432,sci.electronics.equipment
435,alt.folklore.computers
439,comp.sys.ibm.pc.hardware.video
443,sci.space
433,Written for comp.sys.mac.hardware.
440,alt.atheism
445,soc.motss
437,alt.politics
444,comp.sys.mac.hardware
448,sci.electronics
447,sci.med
441,rec.music.artists.guns-n-roses
446,rec.sport.baseball
449,news.answers
453,Posted to sci.energy or alt.energy
459,sci.crypt
450,alt.war chemical
451,comp.windows.x.motif
455,rec.sport.baseball
452,comp.sys.laptops
458,comp.os.msdos.misc
454,rec.sport.baseball
460,alt.binaries.warez
457,comp.games.development.programming
461,alt.revisionism
456,alt.privacy.clipper
468,Written for alt.talk.royalty
467,Unknown newsgroup
464,sci.space.policy
470,alt.conspiracy
462,rec.sport.hockey
463,alt.ezines newsgroup
469,Written for alt.atheism.
466,talk.philosophy.misc
465,Written for a queer visibility newsgroup.
472,comp.sys.mac.hardware
473,comp.sys.arm
476,alt.religion.christian
477,rec.sport.baseball
475,the net
471,Written for alt.religion.roman-catholic
474,rec.audio.marketplace
481,I cannot answer this because the document text is missing.
483,rec.autos.driving
482,rec.music.marketplace.cd
480,rec.arts.books
478,comp.sys.mac.hardware
479,Written for rec.arts.comics.marketplace.
485,misc.forsale.computers.mac
484,newsgroups devoted to gun rights issues
489,Written for sci.med.psychobiology
488,misc.legal newsgroup
490,Written for misc.health.alternative.
491,sci.skeptics
487,sci.electronics
494,misc.forsale
492,rec.sport.baseball
496,sci.crypt
493,rec.sport.hockey
497,comp.os.ms-windows.misc
495,alt.philosophy morality newsgroup
500,rec.games.video.nintendo
501,news.admin.misc
498,rec.sport.billiard
499,talk.origins
504,alt.religion.christian
503,comp.software.copy-protection
502,alt.sports.baseball.balt-orioles
505,comp.os.ms-windows.misc
506,Written for soc.culture.china
507,comp.graphics
512,misc.legal
508,rec.sport.baseball
511,alt.education
513,I cannot answer this because the document text is missing.
510,alt.sports.hockey.nhl.pit-penguins
518,fr.soc.divers
514,sci.electronics.design
516,alt.comp.hardware
519,alt.sports.hockey.nhl.la-kings
