doc_idx,category
3575,95
2300,92
1698,35
841,12
253,14
3048,83
541,62
3653,72
302,76
3530,11
473,1
3308,62
2126,70
2841,14
712,36
2643,51
648,43
1150,56
1599,80
117,45
1478,9
2010,29
3372,96
3559,27
1931,40
2817,95
224,97
3574,29
2891,46
2772,29
88,55
861,12
3425,32
2433,61
999,18
3390,95
2581,89
1318,55
2194,52
962,40
2103,37
1225,4
1832,30
453,1
2112,71
2064,12
2746,26
1015,92
1756,41
2563,77
3072,95
3278,84
1775,29
3583,27
2964,77
2973,5
248,10
840,11
45,51
3527,77
1763,20
686,36
533,23
1390,6
3039,83
2363,14
1583,69
1773,20
1770,41
2198,61
1548,30
2699,30
3348,38
346,14
1939,19
3329,38
3596,37
2500,92
2831,65
3561,27
3520,77
1444,82
1157,68
1223,6
1980,18
3634,13
768,82
295,42
378,22
3464,86
2629,60
3501,97
3398,32
1,28
2976,79
3307,63
192,81
3405,42
1246,34
2585,72
326,9
3049,0
2637,60
3500,99
1160,46
3381,92
2075,47
2369,78
2000,28
2705,16
2584,88
2928,87
3017,33
1593,80
3628,97
398,22
2201,47
2662,51
3155,39
581,33
2611,71
883,10
1043,8
2123,71
866,12
668,62
3374,92
1180,0
452,3
1523,15
3096,16
2761,27
2570,72
3525,77
2332,2
408,51
2601,82
2724,51
2657,47
991,40
575,2
1032,92
2932,0
3279,62
185,52
1496,9
1387,1
333,75
1819,35
2756,27
1432,22
1002,92
1652,41
3418,32
2252,66
2561,87
1268,0
940,10
2473,94
2824,64
2004,86
33,19
868,12
2690,16
2861,45
546,1
638,47
3257,84
39,46
298,62
148,50
465,2
520,28
443,4
3146,39
134,28
2165,59
3475,12
514,20
304,62
661,32
463,3
2225,48
1414,35
3030,83
3054,72
836,14
2951,79
1695,35
643,72
2764,17
2936,92
3016,33
3511,62
3358,0
566,2
3554,27
1878,83
496,86
3529,2
1070,8
2277,97
3573,68
3567,18
654,43
482,86
2263,54
2456,61
1073,80
2012,62
517,86
3132,38
1714,4
196,9
1269,0
1349,49
189,81
214,29
2125,79
1093,56
567,2
1262,15
2688,30
118,55
1077,47
2919,87
2454,61
1366,1
1108,56
311,43
3035,11
598,2
227,29
616,47
1587,29
2231,68
3472,87
1471,35
2242,54
1065,13
1752,20
1388,1
2295,95
485,63
2367,1
3638,9
1855,30
599,2
352,9
1794,82
955,11
2774,33
3018,83
2722,63
558,17
2935,72
3416,5
1991,24
1236,0
1959,18
3669,11
2411,62
2025,29
182,12
3210,29
565,5
2291,33
2704,30
2151,62
3509,29
1857,30
2358,9
2337,5
22,28
2853,61
3615,39
1069,8
879,12
3202,49
276,14
1119,53
543,62
1397,19
562,2
502,86
1068,9
1127,53
1533,19
3444,83
1094,66
410,17
534,17
1292,48
2172,48
1982,18
936,12
971,41
1078,56
2992,33
3595,37
3006,33
2142,71
682,0
202,33
1448,68
480,86
124,65
2302,76
1357,1
1370,3
1735,2
1836,57
2203,46
528,24
2509,38
1197,4
2343,5
685,24
1116,68
92,60
2016,84
2777,20
3630,37
489,86
481,20
1014,94
30,28
3217,80
1916,19
499,86
3014,33
1839,57
3470,68
1355,1
3395,35
1808,35
1313,68
1739,3
418,60
2487,92
1964,18
3244,87
49,51
538,17
1573,79
2618,0
1632,41
710,36
2795,12
1501,9
3034,72
1254,34
3367,96
3492,41
296,97
2590,8
3101,39
545,62
3173,36
3412,0
1491,9
3023,0
635,46
615,47
1694,18
308,63
2630,60
3237,8
582,2
898,71
871,9
1476,9
2624,10
3007,33
716,62
1364,3
2374,11
2270,86
2070,52
526,62
2773,25
981,40
1738,3
2615,54
3433,32
3436,83
14,28
1385,1
10,32
306,99
1754,20
899,12
817,12
2115,10
3334,36
4,28
1330,56
170,52
467,3
2505,92
457,4
2406,92
2281,97
3207,76
2426,94
2293,100
880,9
3648,8
3551,77
501,54
3178,62
2594,75
3636,70
1696,92
775,51
3543,11
3196,42
1110,56
1436,35
1540,30
2586,10
1013,93
290,63
938,11
1196,4
2101,52
3394,91
2694,30
3148,39
2054,71
2986,33
688,36
402,60
66,47
188,52
2401,92
380,75
944,11
1852,57
1737,3
218,29
219,29
1850,60
252,14
3453,11
1825,17
3075,92
3043,9
1248,30
3214,82
142,47
1651,41
706,36
15,2
1487,9
2902,46
472,3
953,11
3063,92
2402,35
965,18
825,10
1341,55
796,63
2027,18
226,35
1220,4
2716,99
3601,37
1310,48
3267,0
2925,72
2962,79
1895,85
3280,84
1784,41
234,29
36,51
2953,7
1332,56
2030,12
1953,18
3059,29
491,71
3305,62
1101,56
2013,36
1161,17
2155,65
3491,68
177,52
3221,76
3536,77
1513,9
436,68
64,17
3105,25
3110,39
2301,29
2207,63
3576,27
3409,25
1728,6
1037,14
3549,77
399,5
748,0
3479,62
663,42
982,40
2892,46
1746,6
569,2
3274,84
3388,92
895,68
3092,93
1636,20
1044,78
2310,5
1885,0
1109,56
621,14
1129,53
3138,91
1560,69
910,79
3463,87
2868,46
2515,39
2320,5
2970,9
1644,20
2412,95
989,18
191,81
961,40
1148,53
383,76
572,2
3397,32
71,39
891,80
263,14
3424,32
2540,97
935,11
1692,35
3145,39
169,75
2219,46
1900,83
587,2
1952,29
2862,47
2527,38
720,35
2522,91
1280,43
2922,88
2438,47
159,63
764,68
553,24
3432,25
3273,87
316,67
2627,60
2131,71
2462,61
2158,77
2914,87
951,9
156,50
299,99
2215,63
1098,56
5,28
3243,0
1897,7
195,2
369,0
3198,43
104,60
1547,33
977,40
1185,60
2768,0
3295,62
2420,0
1284,48
2212,61
2655,60
3051,99
2108,46
2134,33
2917,0
2717,67
2275,0
3613,38
2436,46
361,22
1122,58
3569,27
2575,83
3121,25
1923,0
918,10
519,86
826,10
2074,52
1270,34
3082,92
2680,30
351,9
57,58
634,47
725,29
2872,46
2726,62
2770,26
1426,0
1170,47
2048,91
3656,73
211,99
1114,47
2949,5
3013,33
2535,0
405,55
2031,7
3143,91
3042,83
2606,10
1992,62
322,42
2450,61
3126,25
3655,68
3040,83
3369,92
2985,33
1710,4
1780,20
2525,38
776,51
1742,77
1283,48
483,15
338,79
138,20
50,51
305,62
1087,51
867,51
3362,0
2740,99
1446,87
3414,32
924,72
2288,97
461,3
2698,30
3452,0
