doc_idx,rewrite
5,cs.NI
3,cs.IT
10,cs.IT
6,cs.SP
13,cs.IT
8,cs.IT
0,cs.IT
12,cs.IT
7,math.LO
1,cs.IT
4,cs.IT
9,cs.IT
11,cs.IT
2,cs.IT
16,cs.IT
14,cs.IT
17,cs.IT
18,cs.NI
24,math.CO
27,cs.IT
26,cs.IT
23,cs.IT
25,cs.IT
15,cs.IT
30,cs.IT
21,cs.IT
22,cs.IT
20,eess.SP
19,cs.CR
31,cs.IT
35,cs.IT
32,cs.LG
34,cs.IT
33,cs.IT
28,cs.IT
37,cs.DS
29,stat.TH
36,cs.DS
40,math.GR
39,cs.IT
46,math.AG
44,math.CO
42,math.CO
38,cs.NI
41,math.CO
45,math.CO
43,math.CO
47,math.CO
48,math.CO
49,math.CO
54,math.CO
50,math.CO
51,math.CO
52,math.CO
57,math.CO
60,cs.IT
55,math.CO
56,math.CO
58,math.CO
59,math.NT
62,math.CO
53,math.CO
63,math.AC
65,math.CO
61,math.CO
64,math.AG
68,math.CO
77,math.RT
69,math.CA
66,math.AG
73,math.OC
76,math.CO
67,math.CO
74,math.CO
72,math.CO
70,math.AG
78,math.CO
75,math.CO
79,math.CA
71,econ.TH
80,math.RA
83,math.GR
89,math.GR
88,math.GR
86,math.GR
82,math.GR
92,math.GR
90,math.AT
85,math.GR
87,math.GR
93,math.GR
95,math.GR
81,math.GR
96,math.AT
84,math.GR
94,math.GR
91,math.GR
101,math.GR
102,math.GR
99,math.GR
104,math.RT
100,math.GR
98,math.GR
103,math.GR
97,math.GR
110,math.GR
106,math.GT
107,math.GR
115,math.GR
108,math.GR
118,math.GR
105,math.GR
109,math.GR
112,math.GR
114,math.MG
111,math.GR
117,math.GR
113,math.GR
119,math.GR
120,math.FA
122,math.CA
116,math.RT
123,math.CA
126,math.CA
124,math.CA
133,math.NA
132,math.CA
130,math.CO
121,math.FA
129,math.DS
128,math.GT
127,math.CA
131,math.CA
125,nlin.SI
136,math.NT
143,math.NT
144,math.CA
140,math.ST
142,math.CV
134,math.CA
138,math.DG
148,math.CA
139,math.CA
141,math.DS
145,math.FA
147,math.CA
137,math.CA
135,math.CA
146,math.CA
150,math.CA
149,math.MG
158,math.DS
157,math.CA
162,physics.plasma-ph
151,math.CA
155,math.CA
153,math.CV
161,physics.plasm-ph
156,math.DS
160,physics.plasma-ph
154,math.CA
159,math.PR
152,math.DG
166,physics.plasm-ph
176,physics.plasm-ph
170,physics.plasm-ph
165,physics.plasm-ph
163,physics.plasm-ph
174,physics.plasm-ph
169,physics.plasm-ph
168,physics.plasm-ph
167,physics.acc-ph
175,physics.plasm-ph
171,cond-mat.str-el
172,physics.plasm-ph
180,physics.acc-ph
181,physics.plasm-ph
188,physics.plasm-ph
177,physics.plasm-ph
185,physics.plasm-ph
179,physics.space-ph
178,physics.plasm-ph
182,cond-mat.soft
187,physics.plasm-ph
183,physics.plasm-ph
184,physics.plasm-ph
173,physics.plasm-ph
164,physics.comp-ph
186,physics.plasm-ph
194,physics.plasm-ph
197,physics.plasm-ph
195,physics.plasm-ph
198,physics.plasm-ph
192,physics.plasm-ph
199,physics.plasm-ph
200,cs.NA
189,physics.plasm-ph
190,physics.plasm-ph
202,cs.AI
201,cs.LG
196,physics.comp-ph
193,physics.plasm-ph
191,physics.plasm-ph
205,cs.LG
204,cs.AI
206,cs.AI
209,cs.LG
211,cs.LG
208,cs.GT
212,cs.LG
213,cs.LG
203,stat.ML
214,cs.LG
207,cs.LG
210,cs.LG
215,cs.LG
216,cs.LG
223,cs.LG
226,cs.LG
224,cs.LG
225,cs.LG
221,cs.LG
219,cs.NE
229,stat.ML
217,cs.AI
220,stat.ML
230,q-fin.ST
227,cs.LG
222,eess.SP
231,cs.MA
235,cs.LG
232,cs.LG
228,cs.LG
234,cs.LG
218,cs.LG
239,cs.LG
240,cond-mat.supr-con
241,cond-mat.supr-con
247,cond-mat.supr-con
248,cond-mat.supr-con
245,cond-mat.supr-con
243,cond-mat.supr-con
246,cond-mat.supr-con
242,cond-mat.supr-con
237,cs.LG
250,cond-mat.supr-con
238,cs.SD
244,cond-mat.supr-con
253,cond-mat.supr-con
249,cond-mat.supr-con
251,cond-mat.supr-con
252,cond-mat.supr-con
257,cond-mat.supr-con
256,cond-mat.supr-con
260,cond-mat.supr-con
262,cond-mat.supr-con
265,cond-mat.supr-con
264,cond-mat.supr-con
259,cond-mat.supr-con
255,cond-mat.supr-con
266,cond-mat.supr-con
267,cond-mat.mes-hall
258,cond-mat.supr-con
263,cond-mat.supr-con
261,cond-mat.supr-con
273,cond-mat.supr-con
271,cond-mat.supr-con
270,cond-mat.supr-con
269,cond-mat.supr-con
272,cond-mat.supr-con
277,cond-mat.supr-con
276,cond-mat.supr-con
268,cond-mat.supr-con
278,cond-mat.supr-con
279,cond-mat.supr-con
