doc_idx,category
453,10
1243,14
309,1
1391,5
599,6
598,6
1967,6
192,1
491,11
737,14
858,15
117,11
382,7
1023,7
1433,11
93,11
545,11
1834,4
1584,15
1226,14
566,9
1789,11
536,11
538,11
527,10
1970,13
1684,1
810,13
977,3
1653,10
1667,11
1283,2
1719,8
1006,5
496,10
560,9
1388,5
495,11
185,1
170,11
794,12
31,4
1214,9
1744,9
12,1
661,8
817,5
591,6
1172,10
1968,15
558,9
1479,11
892,11
1570,1
883,11
447,15
417,8
1484,9
642,6
824,5
736,3
614,1
45,14
1407,9
1314,13
587,15
248,2
465,10
1132,7
1749,9
33,1
186,1
463,10
1092,12
1575,1
1,1
1621,11
1725,9
1095,2
1134,7
1881,11
1704,8
1357,8
1022,7
410,15
1761,3
88,11
374,4
520,10
848,1
481,11
654,6
1236,14
1113,10
615,1
1731,9
1166,10
920,3
1071,12
1973,15
1617,1
1239,14
543,11
1822,11
1021,7
1536,13
1043,9
1530,15
1437,11
668,8
877,8
1680,1
329,15
546,11
1571,1
1358,10
780,13
871,8
408,11
796,13
1746,9
1390,5
994,12
467,10
1756,3
1368,9
1161,10
1039,7
1163,10
1318,13
898,11
1344,15
1122,10
707,9
1588,15
1974,15
621,1
1782,11
1729,9
207,1
958,6
1370,7
222,15
606,15
748,14
720,3
1373,7
896,6
721,3
1931,8
1051,9
266,11
398,11
224,15
1192,7
770,13
521,10
729,3
1783,11
1523,15
1651,7
1566,1
604,15
531,11
682,8
1271,2
1319,13
1625,1
608,1
758,14
613,1
552,11
152,9
959,6
1486,9
523,9
1364,7
1546,1
1643,7
1687,1
1593,15
1225,14
1180,7
1939,13
1522,15
85,11
1664,11
499,10
1776,3
462,10
1720,8
911,3
1371,4
1884,1
205,1
381,7
140,9
539,11
1247,14
214,15
1703,8
1232,14
325,15
1335,9
1206,9
1872,11
699,9
347,5
514,10
1875,11
971,3
1203,9
1838,4
1740,9
1420,9
939,6
1540,15
1770,3
1109,10
1251,14
1389,5
1545,15
1288,10
1710,8
501,10
337,4
581,9
1353,9
854,1
333,5
311,2
1897,1
142,9
716,3
1489,9
1336,9
1175,10
1220,9
342,5
1256,2
983,3
698,9
991,12
39,4
1324,13
955,6
1431,11
1689,1
237,7
1042,7
658,8
334,5
1629,1
582,9
65,11
690,8
1434,11
30,14
1204,9
243,6
759,14
1262,2
782,13
452,10
951,6
1832,4
253,7
624,1
1073,12
1343,9
638,6
1901,1
952,6
378,6
1189,6
291,2
1810,11
1277,2
556,11
735,3
1098,10
706,9
1072,2
429,8
1524,15
1246,14
1589,15
34,2
400,11
139,9
1849,4
1902,1
457,9
1075,0
630,1
541,11
534,11
49,4
1769,3
1860,11
1221,9
841,1
666,8
146,9
935,6
664,8
1616,1
1814,11
724,3
1259,2
1467,15
1898,1
1878,11
1717,8
1417,9
940,6
659,8
1830,4
1104,10
1066,15
973,10
1143,7
915,3
562,9
1705,8
675,8
298,2
704,9
1384,5
1382,5
749,14
1174,10
1499,9
1682,1
663,8
899,6
352,5
180,1
891,11
1550,15
1640,7
1378,5
424,8
295,2
751,14
208,1
134,9
1052,9
761,14
1233,14
1313,13
148,9
1662,11
1771,3
1793,11
1934,13
1597,15
763,13
882,11
900,6
1965,1
1700,11
1356,8
578,9
209,11
1145,9
1317,13
946,6
130,9
1020,7
1440,11
1076,12
416,7
572,9
586,1
742,14
181,1
1425,7
844,1
1325,13
343,5
247,7
907,3
634,6
1209,9
19,1
1304,10
321,15
196,1
1115,10
189,1
1311,13
118,11
734,3
1047,7
227,15
1855,11
1586,15
1858,11
517,10
685,8
1385,5
1309,13
530,11
482,11
533,11
1363,7
1582,15
1745,9
1943,13
901,11
1661,11
1870,11
950,6
1896,1
324,14
1144,7
798,13
460,10
528,11
712,3
1393,5
114,10
542,11
526,10
1410,9
688,8
1754,9
875,15
1949,13
226,15
1493,9
502,10
1945,13
1275,2
836,6
1516,15
182,1
1322,0
193,1
1728,15
213,15
1595,15
418,8
1265,2
1242,14
768,13
229,15
22,1
617,1
1639,6
302,2
1930,15
1273,2
86,11
60,11
308,2
276,11
818,5
811,12
304,2
358,5
1678,1
1922,15
1854,4
870,8
885,11
348,5
100,11
593,15
1093,12
1116,10
1741,9
1308,13
1207,9
485,11
1069,9
978,3
1258,2
1568,1
1712,8
872,15
1150,10
1119,10
924,3
867,8
986,10
484,11
1127,9
567,9
1365,7
532,11
326,15
257,7
1408,9
840,1
1129,7
1121,10
21,1
480,11
747,14
607,1
1490,9
1300,10
202,1
124,10
1040,7
1402,9
346,2
873,15
441,10
1331,15
1666,11
489,11
928,3
1406,9
828,5
790,13
1312,13
434,8
960,6
421,8
1285,10
866,8
166,11
569,9
1716,8
1472,15
1918,8
1332,9
1548,15
1114,10
1070,12
92,11
270,11
1359,8
1644,6
1956,6
450,9
154,9
537,3
868,15
1580,15
389,11
639,6
1392,5
1082,12
835,5
296,2
436,8
1201,7
1387,5
112,11
500,10
769,13
927,3
962,6
1284,10
1799,11
1034,7
727,3
1966,6
1160,10
443,10
1111,10
451,10
1733,15
961,6
1615,11
776,13
1107,10
1415,9
306,2
1466,15
14,1
10,1
1634,6
4,1
965,3
823,5
853,6
3,1
402,11
1057,9
258,7
1844,4
1787,11
1613,1
1519,15
1510,15
1050,9
287,2
473,11
1287,10
825,5
575,9
290,2
1975,1
1290,10
1464,15
1798,11
981,10
1409,9
1509,15
635,6
1917,15
1921,15
24,1
1959,1
188,1
509,10
1953,13
219,11
380,4
66,11
218,8
1533,15
252,7
1526,13
15,1
472,11
1791,11
1037,7
596,15
773,13
1096,2
1518,15
184,1
388,11
1123,10
1009,12
1130,7
718,3
36,15
1833,4
1811,11
479,11
234,4
319,13
1950,13
1216,9
1944,13
1890,1
842,1
177,11
64,11
989,3
1337,9
412,11
317,15
1535,13
1507,15
605,6
1958,1
804,13
792,13
1032,7
554,11
1126,7
1864,11
1362,10
399,11
644,6
167,11
1268,2
656,6
1900,1
1422,9
756,14
1281,2
1713,9
1887,1
834,5
409,11
1600,15
1694,1
843,1
660,8
1861,11
191,1
775,13
1237,14
383,4
1856,11
56,11
1141,7
565,9
1723,8
801,13
129,9
1128,7
1630,7
307,2
71,11
216,15
1804,11
1234,14
263,11
1084,14
1459,15
310,2
169,11
982,3
881,4
1457,15
159,11
1031,7
753,14
368,4
1778,11
648,6
1015,12
1157,9
914,3
553,11
890,1
738,14
1002,12
1152,10
895,1
1471,15
987,3
910,3
1077,12
1565,11
1377,9
316,14
1044,9
470,11
1342,9
1578,1
1487,9
643,6
299,2
195,1
616,1
1755,9
35,14
156,15
5,1
979,3
1118,10
1876,11
1087,12
1162,10
1800,11
183,1
369,4
1310,13
905,3
1135,7
1672,11
1345,9
809,13
104,11
1748,9
1480,15
1381,5
1295,10
622,1
1835,2
944,6
673,8
199,1
74,11
1732,9
583,9
799,13
1742,9
1068,9
155,7
1347,15
1465,15
713,3
1046,9
779,13
1367,7
1274,2
1193,7
1282,2
361,4
788,13
246,4
709,8
1935,13
1442,11
351,5
1102,10
1525,15
365,4
519,10
435,8
705,8
612,1
1938,13
744,14
821,5
57,11
1608,1
686,8
