doc_idx,category
1259,2
1820,3
1123,5
985,4
1405,4
1386,5
1760,1
384,1
453,1
529,3
1978,4
1741,3
621,4
39,2
1205,3
792,4
487,1
1976,4
491,1
386,3
148,2
446,3
1315,1
1983,5
1170,1
1293,4
1294,5
1135,2
1638,4
1736,3
53,2
638,1
910,1
1569,1
195,5
1254,1
1629,5
1849,4
1936,3
794,4
634,4
461,5
465,4
98,2
2106,3
1295,1
283,2
107,2
1373,4
1280,3
1955,5
2186,1
930,3
2134,1
1793,2
379,3
276,5
1339,2
1210,1
1958,5
1380,1
135,1
229,4
1544,5
1015,5
587,4
1129,4
1050,5
2155,4
1490,3
132,5
1051,1
1374,1
1240,4
546,4
906,5
1846,1
76,1
1602,2
459,1
2051,2
191,3
443,3
2005,1
565,2
440,1
712,3
156,2
70,5
892,4
1675,2
1023,4
1547,1
1222,5
582,4
762,3
1527,5
1199,1
2010,2
578,5
1570,4
14,2
933,1
717,3
10,3
503,3
1140,1
1961,3
1360,4
536,1
921,3
1577,3
716,2
974,1
2151,3
1456,3
1666,2
296,1
553,3
2002,5
688,1
1271,5
989,3
724,1
1000,5
1934,1
1988,1
1311,4
944,5
963,5
793,2
1668,5
895,3
245,3
980,4
1261,3
418,2
942,5
1417,4
883,5
1774,4
977,4
1852,3
609,5
1101,4
1340,1
501,3
314,5
220,4
1697,3
971,1
722,3
2090,4
1770,1
320,3
733,5
1489,2
1069,5
521,2
1815,5
27,1
206,2
361,5
488,2
342,3
1754,3
2048,2
1733,2
1032,5
746,4
1330,4
477,3
399,3
768,4
1658,2
133,2
1856,3
1851,5
1614,5
1924,5
1782,5
2065,5
2078,3
1326,3
1436,4
1334,1
289,5
575,4
402,2
633,1
781,5
1116,3
1043,4
661,1
2193,5
48,1
1621,3
474,4
1439,5
1918,2
1814,3
1200,4
1776,1
57,4
916,3
425,1
1622,5
2203,4
251,1
18,3
918,3
391,1
1738,3
1049,1
949,5
390,1
1835,4
200,4
1114,3
1942,5
11,5
1613,2
47,1
2224,3
175,3
182,3
194,2
1482,3
880,1
721,1
1999,3
672,1
252,1
547,2
2086,1
676,4
264,2
2139,2
145,2
353,5
1732,1
1074,3
935,5
2114,5
1344,5
1673,3
1476,1
518,4
666,4
1719,5
648,3
1385,2
17,1
1382,1
157,5
162,1
1471,1
2038,5
1147,4
1364,3
30,1
259,3
1921,2
1861,3
2064,4
1643,4
686,3
1203,3
149,1
806,2
1029,2
1196,4
489,1
1127,3
333,2
994,3
6,2
1164,4
820,2
300,3
1001,1
1355,3
2175,1
517,5
2162,4
2047,1
891,3
2222,5
37,3
1379,4
249,1
161,2
667,3
995,5
1185,2
2157,3
1717,2
900,2
1376,1
615,5
1867,3
385,3
1165,5
1767,3
1122,4
850,3
2061,3
563,4
1462,2
1842,1
1235,1
485,2
610,2
1960,4
1600,2
596,4
811,3
713,2
1538,2
1213,1
1580,3
1704,5
23,2
568,4
651,2
215,3
1691,2
1349,1
80,1
1036,5
789,1
964,2
1830,5
1692,3
682,2
1273,3
704,2
1651,5
233,1
254,3
1655,4
422,1
512,5
1620,2
2213,5
1245,5
564,4
303,4
570,4
776,3
1802,2
41,4
657,5
817,1
1984,1
1367,5
253,5
2045,1
1818,2
866,3
