doc_idx,category
121,7
23,5
4466,12
3447,1
2528,1
1824,1
2270,7
3161,1
905,1
3417,0
154,3
2677,12
3489,14
2820,1
1720,5
2659,9
2117,14
4404,1
1040,6
197,12
632,3
821,11
2297,4
4306,1
1179,1
1051,2
4177,1
831,3
3918,12
3127,12
2177,9
3021,3
1938,5
2227,1
134,5
1112,1
561,9
1502,0
3426,12
3068,1
4428,1
2743,13
952,1
2501,12
2432,0
1172,4
3173,11
3671,7
972,4
2430,12
489,12
569,1
3931,14
3460,7
3722,4
3684,0
2770,1
1035,12
2642,9
1874,1
1403,10
2182,13
597,1
2956,1
943,6
2031,1
18,4
3845,12
2558,7
3482,15
2248,10
994,6
1218,1
869,2
2676,12
2104,11
1741,10
2236,4
1523,13
2856,5
4229,1
4250,10
3392,9
1166,11
4023,4
3042,14
2471,7
2931,11
4434,7
334,1
3493,9
46,11
1412,10
625,11
1815,1
1126,9
1374,13
272,7
3799,4
2882,10
2141,1
3336,1
3724,6
3094,11
1819,11
1852,4
4210,0
1210,1
3878,10
250,4
3655,4
2119,12
1936,15
1280,1
2648,4
2999,11
581,12
848,6
325,0
3236,4
3022,9
4295,0
3776,15
1440,14
1022,12
2722,11
2087,1
1283,1
3550,12
1016,11
3898,11
3056,2
1306,1
4132,12
1131,1
2785,1
747,13
404,1
2042,13
1223,12
915,14
4186,7
4030,9
247,9
2282,0
242,5
4066,12
2475,1
253,13
1359,12
541,10
2603,12
4047,1
2515,0
1242,9
2195,9
3475,10
4258,1
692,9
1018,15
4389,1
208,1
2586,12
2315,10
1353,1
4005,1
3714,3
2365,1
532,4
3292,12
2193,9
3676,3
38,9
2716,2
1488,12
1501,12
618,9
1259,9
2650,0
2049,1
4160,7
4235,1
3662,14
1837,7
2863,1
37,0
2555,3
2710,0
2410,1
2549,1
458,2
591,1
2996,1
343,3
1621,0
1529,1
221,1
2721,13
2352,5
3893,12
1085,9
3977,4
776,14
1552,0
3119,11
3319,12
2934,11
2829,11
3017,14
2201,0
2727,7
4217,11
3189,12
3686,3
33,13
1653,7
4346,11
196,9
3949,3
1476,3
2573,1
2131,1
201,0
2246,1
4110,9
4141,1
188,1
4382,4
3695,15
2909,1
3900,7
2796,4
4104,9
2689,4
1375,14
921,13
3796,1
537,12
1455,11
2017,0
50,9
2090,11
2952,1
1004,11
397,1
1044,11
2376,1
3343,9
1998,10
1755,11
1110,4
1067,8
178,1
3786,1
1972,3
296,1
1123,6
3329,7
1436,7
1454,1
1573,1
4033,3
45,5
1029,1
3083,6
1993,5
406,5
563,14
1934,13
1238,9
3383,1
2483,0
1309,8
2221,6
3228,7
2711,10
3646,1
1942,9
2293,4
3347,1
1785,12
679,12
2564,12
1046,0
3813,6
4421,12
603,14
3876,2
2354,3
4471,3
3230,13
