doc_idx,category
4590,2
2919,2
1905,3
2109,3
898,9
563,9
3483,1
4923,12
1399,5
4286,2
5205,12
4487,5
5301,9
4129,7
2392,8
4087,12
1035,9
2074,2
2553,12
1278,3
986,8
1864,8
2760,8
1678,8
3846,2
3167,1
4007,12
2267,2
4011,2
1467,10
4865,3
477,8
144,12
1923,2
2092,5
3105,3
2987,8
1293,7
3842,5
2354,2
1107,7
2080,8
2007,7
1612,10
4679,10
3057,1
285,2
4400,3
972,9
2456,3
3102,2
1645,5
1059,7
817,1
4110,1
4845,8
42,6
1861,2
2564,12
3710,8
1219,2
5291,2
1306,2
5373,3
4573,11
2998,10
4744,9
3745,3
4339,3
4423,9
4948,3
1297,2
2582,1
3774,3
419,2
3290,2
1167,12
5164,5
486,10
1057,1
2858,11
5381,10
2721,5
1746,2
221,2
41,2
1418,1
4145,6
4732,1
992,2
2461,3
4153,1
1524,5
258,7
4055,8
998,6
3673,1
4384,1
1089,9
2668,9
1412,2
2573,9
1491,3
651,11
1758,2
180,7
1156,5
467,9
1299,2
2352,6
61,5
2934,7
1539,3
578,10
3864,12
159,10
3163,11
1172,2
1726,10
518,12
2627,2
5076,4
4687,11
2985,2
4981,3
3714,2
1368,2
4020,5
4458,10
4702,2
5211,2
3268,1
1725,7
2905,8
1218,2
859,7
1158,8
4171,10
3859,2
5206,2
1261,9
1029,8
5385,2
2226,8
226,3
5110,11
1906,8
1060,6
3161,2
4085,2
1488,8
1558,0
4060,7
3511,2
2765,10
4380,5
125,1
4652,2
5044,8
4149,2
4968,3
5125,10
1523,9
1932,2
2021,2
3899,10
1985,12
2093,10
2335,2
3887,4
928,2
2958,7
1537,10
1076,12
1682,12
4049,2
1072,10
528,3
2043,0
1103,2
4027,3
250,5
197,9
3076,10
487,2
1289,8
4768,5
3578,7
2363,8
2578,8
2157,6
571,2
4248,1
5479,6
3592,3
406,3
1432,1
755,7
3875,2
3252,2
2469,8
1895,9
1862,2
2239,10
5062,2
2643,5
1792,10
2199,9
4391,2
4569,2
4576,1
2640,4
2567,8
1685,2
597,3
1099,9
1801,4
3850,9
3193,12
3299,8
4921,12
4219,10
673,4
2975,1
3682,9
5348,1
5242,6
3472,7
2486,9
595,1
4258,1
1811,12
3719,2
4985,8
3023,7
4374,8
4696,2
779,7
3236,10
1512,2
5088,8
1436,2
1104,10
1740,1
4837,9
4896,3
427,3
3487,11
1872,7
749,4
1578,8
1061,1
5239,8
4197,2
1040,8
5102,2
3668,12
4472,11
3826,2
4311,8
2525,9
3733,10
3042,1
154,2
5357,5
5470,1
2466,3
2133,7
3908,12
3422,10
2390,4
2091,3
3612,1
2244,8
5475,5
404,7
981,11
3475,4
4740,2
2464,8
5177,7
3935,12
4313,4
2768,1
2861,2
3271,8
3789,3
2105,8
4827,2
2153,3
4471,1
4952,2
355,2
3107,2
4751,8
192,7
654,3
5393,9
1656,10
449,1
1794,12
4791,7
1830,2
3940,6
2256,5
378,8
1607,7
2673,10
1268,3
4079,1
1407,2
1010,8
4497,3
1885,3
663,1
4606,5
4002,3
2995,10
1516,2
1928,6
5343,1
1205,12
4168,1
233,7
5289,5
2308,5
2252,5
1961,5
10,1
382,5
2315,2
3911,7
4119,12
1220,7
230,1
3307,5
3030,9
4971,1
5346,10
5270,10
3506,1
2625,1
4353,6
1731,1
3021,2
2923,8
3061,5
4658,6
4465,10
5404,1
3742,0
1640,7
5130,7
2704,1
4799,8
1242,2
199,9
2336,9
176,3
2376,9
3325,6
272,3
567,9
1757,2
659,3
4787,8
71,12
1190,3
2701,2
1287,2
3043,0
936,2
4449,12
2356,2
5004,9
982,8
4594,5
1540,7
2344,7
457,7
726,8
1937,4
1912,2
4422,10
832,2
3014,2
2596,12
3134,7
1999,6
3674,1
3760,3
608,0
1554,8
2886,0
1088,0
4883,2
2015,5
2960,8
124,7
3832,2
3272,2
3715,5
5161,9
1898,10
3381,10
2595,8
3699,8
1769,12
2749,10
4138,5
4105,2
2585,8
2402,0
2492,5
3081,10
2763,4
4089,6
3886,2
1401,2
967,1
4228,10
4591,11
1340,10
4899,5
5294,10
1911,9
784,10
5195,3
1085,1
1001,12
5419,8
2535,1
922,5
952,8
3386,2
3016,1
2592,11
1121,10
2113,1
1016,2
5462,1
1237,3
2382,8
505,2
4741,7
1810,1
1094,5
5015,1
60,7
2326,7
5096,2
4362,2
4439,8
3841,10
3620,3
114,2
3260,2
5226,2
1851,5
1312,2
1753,2
2151,12
1550,3
644,7
5344,8
3179,3
3558,6
903,4
146,4
2500,3
5071,2
3519,10
2862,10
4436,2
292,12
1874,2
4019,5
2476,8
4931,5
3263,2
3535,2
1842,2
1058,1
1568,10
4932,2
5158,2
1180,9
2248,3
4412,1
668,1
3033,1
5017,0
3481,1
3350,8
316,2
5162,7
91,0
4759,8
976,4
1217,1
894,12
4538,1
1507,9
3890,8
2167,7
4895,1
5324,4
5048,10
4662,2
4893,1
4578,9
3140,8
562,11
3420,0
4158,2
3579,8
5296,9
1981,2
2270,7
1024,2
598,3
190,2
4936,8
4196,7
5371,2
4640,8
2275,11
2506,10
4473,12
5187,3
871,5
1608,1
1254,2
4928,10
4894,1
5219,2
3073,8
5269,2
3419,1
4701,6
3828,8
3593,0
5113,2
2312,10
519,8
2141,8
3148,1
4476,12
4238,9
3120,5
247,8
499,2
579,8
5272,4
1437,6
1464,2
4186,5
2847,7
46,3
1597,9
4812,3
1613,2
5233,3
4448,10
2598,10
603,5
4077,5
973,11
1474,7
1561,1
4270,9
1005,9
3149,7
27,5
874,9
2852,1
630,8
3482,2
3815,1
4546,2
2689,8
974,1
3868,2
4307,8
1274,2
1054,8
638,10
582,3
3032,2
4281,2
5005,3
4073,1
2510,7
3582,9
3270,5
1674,1
2260,2
1012,7
2180,10
5229,1
3559,1
3596,2
2804,2
2154,7
3407,8
1091,9
966,7
2888,3
1627,6
5020,6
5163,5
1426,9
1698,2
5468,6
4263,10
1559,2
2968,10
1466,12
2865,3
3388,9
1765,10
332,9
834,2
5169,10
1460,2
1136,2
3327,2
4192,1
4232,12
4914,2
296,10
2626,2
2879,12
77,8
3294,10
2457,2
1743,6
3331,9
2081,12
5073,12
4122,1
3317,2
761,2
4430,1
3898,2
1292,5
5066,2
4370,10
5307,11
4359,7
3124,3
3877,9
2802,7
386,10
3507,7
4393,6
4175,11
1782,12
3723,5
537,8
4215,2
5081,12
812,7
1747,12
358,3
4038,2
4492,8
5496,3
3131,9
2885,9
938,10
1126,3
3663,10
555,1
940,7
3318,9
3135,7
501,1
4331,2
2841,7
3500,8
3246,5
1662,2
2440,10
1841,2
5477,2
2908,2
1178,3
4235,3
238,9
2288,1
5148,10
1852,2
259,2
1950,10
350,1
850,1
303,8
4477,10
793,11
442,9
1946,2
2670,8
5482,8
5315,2
3938,2
2106,3
1373,5
4445,10
748,2
188,1
4365,12
5027,3
828,6
2746,2
2415,8
2964,0
2416,10
4493,12
5384,1
4348,1
2523,10
4148,2
4247,10
2604,1
1883,3
1964,2
3004,7
253,1
591,11
1402,2
3692,12
453,8
5152,2
4708,2
2781,10
4410,2
657,3
5380,10
1334,2
1963,9
2299,2
2600,8
1834,2
4556,8
4206,8
656,9
4959,8
547,9
4901,8
1096,5
2305,2
3689,2
3928,2
1043,1
1235,1
5423,8
1376,2
4920,5
1367,2
2070,5
2984,5
2806,10
907,12
2624,1
1269,10
3734,9
451,10
1379,11
5105,1
118,3
2656,1
4756,12
3359,6
2004,2
4940,8
4280,7
2935,8
2891,8
298,8
2050,10
2028,2
1829,8
4299,2
3785,8
1813,8
2411,3
1083,7
352,3
3480,1
1826,3
2445,1
4155,2
2103,10
4036,1
554,10
2688,12
4434,2
4806,8
3679,10
