doc_idx,category
1043,2
1547,6
775,1
1733,11
1948,2
31,15
381,1
205,11
1811,3
1814,3
841,2
410,11
1509,1
417,15
828,1
567,15
93,2
334,15
1942,2
1669,1
768,15
1944,1
237,2
945,1
977,1
1174,15
562,5
545,15
1347,6
885,9
617,1
599,15
532,15
593,15
12,1
1642,12
735,15
1033,15
1683,3
1817,11
1775,1
1218,5
960,1
1876,15
1785,11
186,15
769,15
1094,15
1208,0
866,15
523,11
1533,1
1448,2
1810,1
661,1
45,11
639,2
1180,15
578,1
1076,15
534,2
854,15
721,1
185,15
1373,1
1068,14
33,1
495,1
533,1
374,15
88,11
1157,15
222,1
614,2
1497,15
1413,0
872,5
400,1
868,8
1107,15
581,1
1302,14
1839,1
1710,14
1005,1
1143,0
1597,4
888,1
1511,2
1552,15
311,1
170,15
634,1
1073,15
1938,2
337,14
1345,15
944,15
1002,14
1943,1
1046,15
528,3
1129,11
452,15
1847,2
606,0
309,5
1516,2
780,1
782,15
1595,1
1718,1
953,1
1731,1
1711,15
1037,2
1072,12
654,1
1906,2
1279,15
1490,1
666,15
291,15
1300,1
867,15
1,6
457,9
613,2
1698,15
1949,1
1702,15
1918,2
1726,15
531,0
207,1
656,2
587,15
938,1
720,1
779,14
905,11
1632,3
266,0
1204,1
224,1
1735,15
1462,1
1664,15
1879,1
1472,1
591,1
1605,14
1504,2
1951,15
467,15
1382,8
664,15
668,1
1734,1
727,15
463,1
539,1
501,15
1390,9
398,7
1391,15
378,1
939,1
152,13
737,5
706,1
1960,1
1207,0
810,9
1402,8
1904,0
526,9
140,2
1271,15
1914,0
1723,15
799,6
615,2
642,2
1517,15
1185,13
1439,3
1825,15
1310,15
1127,5
1102,15
1186,15
192,3
1350,15
214,0
1326,1
248,14
842,5
1820,15
1619,1
936,15
792,1
1389,15
1635,15
951,15
1551,15
1436,15
1371,9
485,2
920,15
1696,1
1892,2
1357,11
560,11
1120,11
875,15
1092,15
1363,15
1144,0
1806,1
1353,15
873,0
1609,4
1827,11
39,5
142,2
1860,7
1510,0
1503,15
604,3
1894,15
491,2
751,1
572,2
1919,0
325,0
935,14
65,11
569,11
558,1
416,2
85,15
688,11
30,15
1406,2
1929,5
1722,0
538,1
1267,0
979,2
1160,1
117,14
460,8
1130,0
253,3
1808,15
502,5
1378,4
1259,15
1415,1
586,8
1724,15
1871,1
243,15
986,11
736,2
1471,11
1275,16
635,15
971,11
1954,2
1148,2
1082,15
1798,0
1638,11
543,11
1505,3
1526,1
480,11
1570,2
496,15
542,1
685,1
824,11
34,11
453,1
607,0
329,14
1203,15
530,2
958,0
1059,11
352,1
1051,5
146,1
517,1
333,1
742,1
1466,15
1241,6
1369,0
1069,1
981,2
1624,0
1907,7
1746,1
481,1
541,0
1467,15
1022,1
1126,15
1559,0
1470,15
298,1
1493,2
690,0
1335,14
1461,11
465,2
1601,7
734,15
1622,9
1216,2
881,10
180,1
1878,1
952,11
1270,1
1495,5
1322,12
1237,1
208,2
1623,2
347,11
1009,1
148,15
1408,0
1397,3
1265,1
659,6
462,15
295,1
1578,2
134,12
408,15
965,1
1769,15
1680,15
1383,14
712,7
809,16
1313,2
1288,16
870,3
1376,14
1339,1
209,1
1674,1
1128,2
1916,1
707,2
382,5
748,2
1153,1
1767,0
130,1
1901,15
552,0
1220,11
890,15
537,5
343,15
181,1
1555,3
247,0
19,1
907,1
1891,1
196,15
946,15
1945,14
1098,11
1928,1
118,15
321,1
189,1
424,2
227,2
1644,15
1704,16
521,13
536,5
729,1
1311,1
499,0
1750,1
1868,8
1641,3
883,2
756,1
1221,15
1522,2
1550,1
698,11
324,5
1762,1
429,15
114,2
447,15
1242,0
1057,1
1299,1
566,2
1804,2
514,15
484,1
747,16
998,1
226,5
482,16
1289,13
1032,1
1867,2
1851,3
1487,2
213,2
182,2
418,1
773,1
193,2
1707,0
858,10
1247,15
60,8
1576,15
1905,3
86,15
229,15
753,1
22,2
302,14
276,1
1034,2
1050,2
621,15
817,12
1788,7
1760,15
358,10
308,15
801,1
704,15
1304,1
304,9
853,11
821,1
348,2
1232,15
1031,2
100,15
1077,3
1759,9
1317,1
911,11
991,16
1531,11
776,2
1549,2
1691,1
546,1
1370,1
1692,12
1423,2
520,0
759,1
895,1
1684,15
823,2
1006,0
346,15
124,6
1042,2
1104,15
1226,11
21,2
257,15
326,1
202,1
1290,13
1665,1
582,15
811,1
658,1
798,16
1385,1
1109,2
1689,1
770,5
441,6
1646,15
1020,11
49,15
608,1
434,15
1234,1
1535,1
834,0
1295,7
1282,1
489,1
1096,2
421,0
92,8
1341,5
166,5
556,7
1015,15
270,9
154,15
1893,15
1631,2
638,15
940,1
1364,2
1066,11
1318,15
1508,0
1895,4
1225,11
1931,11
844,2
389,4
436,2
1280,15
1388,15
818,15
910,5
296,5
1864,2
112,1
1019,15
1507,0
500,1
663,16
450,15
1678,0
1214,15
1651,15
598,7
1097,15
451,1
761,12
1468,15
1941,2
443,2
1116,1
882,2
699,1
843,15
306,15
402,2
10,2
1202,13
836,5
1162,1
4,2
3,1
14,15
1177,1
1396,15
1491,11
1422,14
258,14
1763,15
473,2
1716,2
994,2
1593,1
927,0
287,3
1747,2
1269,5
982,1
675,2
1675,1
575,2
24,15
796,0
1111,2
290,1
1141,1
1524,5
66,2
509,1
1934,1
219,4
749,14
188,1
1366,5
380,15
1896,15
1272,15
218,15
1464,1
1080,15
252,5
1021,1
15,1
596,2
987,7
989,1
848,3
624,7
472,15
184,3
388,5
899,0
