doc_idx,category
678,8
2948,9
3480,3
906,3
873,2
2611,5
3315,8
4376,3
4597,7
2041,5
125,7
1267,1
1936,2
3631,5
2830,7
1757,2
1399,2
675,2
4263,9
1519,8
2953,2
1900,6
4295,10
3933,3
113,2
3586,6
1104,7
854,4
2175,1
1839,3
4341,1
2374,8
2012,3
3889,9
2550,3
2139,3
352,9
308,7
4682,3
1721,6
2615,5
311,5
517,1
636,1
42,1
1232,5
398,3
142,3
1109,5
138,6
4194,1
1095,7
1077,5
349,7
158,3
3899,4
4057,1
843,7
154,6
3692,8
541,7
291,3
1504,5
2917,6
3443,5
3370,8
3583,1
130,6
883,5
3805,7
3955,5
4423,0
2319,8
2443,6
304,6
1371,4
3668,7
533,7
3637,3
1393,3
1043,3
4205,2
2744,1
2575,6
2553,2
3575,5
2071,3
651,6
1115,2
3400,1
668,8
4399,5
489,1
3588,2
2490,5
3072,1
348,5
2855,4
2087,1
4014,5
1230,8
4708,7
4721,3
2450,2
1298,1
3956,8
2307,5
927,7
2939,3
3567,1
3780,7
4170,3
1794,6
298,3
3002,6
4020,4
982,7
4518,2
4239,5
882,5
1564,6
1362,7
44,1
1601,7
2196,2
2958,7
2648,8
481,1
2972,2
2815,8
3834,5
543,6
829,8
1965,8
491,1
751,0
3071,6
2788,5
3859,3
871,2
3044,3
2772,6
2470,2
4364,2
1309,2
1385,1
487,2
2224,7
3449,2
2586,6
526,1
1718,2
124,1
2749,2
2636,5
1068,2
2535,3
2049,1
1419,9
1277,1
2747,6
496,5
49,2
4537,9
4185,5
2552,8
1997,1
3769,5
383,7
1281,5
2234,2
4013,3
861,1
619,6
2355,1
1389,5
3340,5
2149,8
1567,5
2440,6
3149,2
2981,9
1759,1
3222,1
2824,5
520,6
4548,5
4172,1
4298,2
3900,7
1042,5
4659,8
2406,9
1343,3
1505,3
4385,5
3001,2
3728,8
1800,1
1410,5
214,2
2537,6
3354,6
2154,5
3839,5
4515,5
720,3
661,2
666,2
1700,7
1726,3
98,4
530,3
104,6
3086,1
2795,3
415,8
2230,3
3694,8
302,2
1529,6
3253,5
4061,5
4291,6
495,5
4699,2
1852,5
3796,5
3133,7
1649,2
1432,1
2924,2
4726,1
2902,1
4381,4
2707,1
39,5
500,2
578,6
1657,2
2263,3
2242,2
2523,1
3972,9
1644,1
483,5
534,7
1303,2
3348,6
1865,3
2359,8
4691,4
3034,6
991,6
872,5
3566,1
2751,2
1813,5
4633,7
2367,2
1887,6
2942,4
1116,2
1390,5
4348,9
2131,3
1051,6
4618,5
599,1
4151,9
269,9
2013,6
4561,8
2100,4
3392,8
2361,5
402,8
3683,2
1450,5
939,1
4677,8
3097,1
4064,3
3658,2
3231,1
2816,6
3059,3
4394,7
2111,1
4268,6
4081,5
2162,4
4673,3
2878,4
531,8
4678,4
159,7
170,6
4650,1
4320,1
1332,1
4086,1
1941,1
2606,7
2703,6
4632,5
1084,2
1127,1
3150,1
2243,5
1581,6
1382,3
3526,2
3073,8
3673,3
3721,5
3830,8
3950,1
1746,2
3602,4
218,5
4574,5
2462,1
773,5
4329,6
575,4
2493,1
2497,9
173,8
3499,5
2985,5
3606,5
1790,3
3374,2
2301,9
3289,6
3904,7
507,1
878,9
891,3
1223,7
4331,7
1376,3
2324,0
3697,3
2768,2
4332,1
189,2
405,1
2951,10
1953,3
3687,2
3385,5
1928,6
3453,6
4362,6
2889,10
1511,2
3970,9
2534,7
72,5
3470,6
453,2
410,5
538,3
788,2
3869,1
1261,3
1160,2
394,7
4065,6
2629,1
896,2
1957,6
2526,8
379,4
3266,2
995,7
223,1
3937,3
582,8
3207,5
3669,2
3074,5
4698,6
3200,8
3459,5
2381,1
502,5
1363,2
3380,7
192,1
3935,3
148,8
2484,1
2782,7
3334,3
1692,3
3487,2
2332,3
1489,3
1491,8
3554,5
463,8
3269,1
2961,3
2872,1
1556,7
898,7
1464,1
1259,8
220,3
4476,1
556,6
4442,1
224,6
4308,7
3135,1
1114,1
45,8
3110,8
3164,9
3301,3
162,5
380,2
3368,8
2457,3
1767,6
910,1
1669,3
2916,6
2793,3
548,3
2806,2
1273,4
2774,6
4286,5
117,3
4063,2
2969,6
1736,7
624,3
3288,7
2217,1
2574,8
1002,10
4535,3
852,8
1423,3
2404,1
1547,1
2157,2
4138,7
2777,5
971,3
727,1
1856,6
2688,3
1830,1
965,1
2770,1
2657,8
1172,6
2201,2
1643,3
1620,2
3939,8
2714,2
4055,4
2728,6
4587,1
3118,4
1448,3
2382,7
2729,9
2966,6
3761,5
134,5
2618,3
4565,8
2044,5
2066,2
4697,7
1357,2
202,5
4161,2
2445,1
3819,5
3234,3
2465,2
3417,2
3067,8
3235,2
3764,1
1411,6
3424,3
1522,9
3060,2
3795,6
1698,4
888,3
1687,6
2278,5
562,1
4248,9
1185,2
2808,5
2730,5
3343,5
1011,5
1749,4
3063,0
3218,5
2531,5
4228,1
