doc_idx,category
712,14
3400,13
2484,13
3513,14
3495,15
2377,14
3772,14
142,13
2862,14
2367,13
465,13
1128,0
1724,14
501,14
2752,14
3049,15
3742,15
1989,13
2891,1
2833,13
666,13
3111,13
841,15
3050,13
883,13
1098,15
2853,15
2812,15
1324,5
3744,16
3312,3
45,15
1068,13
3599,16
2017,14
1501,14
706,13
2561,13
2420,13
192,14
2855,12
2306,5
768,16
2472,7
502,7
3222,11
1109,15
2914,14
453,15
2101,3
3097,14
2940,5
2960,15
840,14
1368,15
333,3
3310,13
1122,13
1948,13
1923,16
3636,5
836,15
3296,15
898,14
1044,5
1300,13
534,5
1281,14
3043,14
33,13
1420,14
2372,5
1770,15
2172,13
1051,14
3765,14
2346,14
2931,2
825,13
2718,16
896,15
2964,13
2653,2
3458,5
2215,13
253,10
3524,13
2952,16
3487,13
2230,13
1262,1
2986,14
890,13
3546,13
1601,13
1980,15
2408,14
3686,3
1114,13
1319,3
311,15
3617,13
3331,14
3080,4
1101,2
3343,14
1129,11
1953,13
1763,14
248,6
2115,15
2345,13
3573,13
2554,13
3459,13
526,13
2912,13
2268,13
2327,14
2694,14
1712,13
418,10
1656,13
1397,13
39,14
1242,13
596,6
214,13
1548,7
727,13
958,3
3526,13
3411,1
567,14
88,10
3244,13
2971,14
2374,13
3527,13
1148,13
499,14
3752,15
2464,14
520,6
3308,7
3323,14
1540,9
117,13
1943,13
2267,14
2815,14
3676,7
3059,13
2905,13
3045,15
955,14
2272,5
2104,13
2005,14
1651,14
3642,15
1748,10
2844,13
3579,10
2545,5
541,1
3078,14
2808,15
1150,15
1,13
1367,1
867,3
3268,14
1804,15
3285,16
569,15
3520,13
398,13
735,15
575,2
2617,13
3042,13
2193,11
598,15
3213,13
2793,7
2060,16
1271,13
3717,15
3140,13
491,14
2055,15
1474,15
2640,15
489,13
2954,13
688,14
1174,13
1979,13
3270,15
3023,3
1644,14
2704,3
2980,14
3422,5
2800,14
965,3
939,13
3677,15
1700,16
1721,13
546,13
1347,7
298,1
1349,14
2445,8
2361,13
558,16
224,5
587,13
185,14
581,7
793,14
1118,14
3515,13
3286,13
3590,13
295,13
457,7
690,15
927,15
481,10
3101,13
1427,3
938,13
1523,4
1180,14
2102,6
2439,13
545,5
2369,10
3758,3
1673,3
2794,15
977,15
3157,15
3506,14
2801,14
3117,7
1955,15
923,14
3704,14
1355,13
3512,14
1852,13
2319,2
3586,13
776,15
582,13
3344,13
530,13
2627,16
685,15
480,14
1037,13
134,5
3109,13
3396,13
3317,14
1602,13
1139,1
3135,13
899,13
998,14
1854,2
2950,13
3641,13
2415,5
3773,16
1069,15
2688,13
3382,13
3480,13
1379,13
2540,13
936,13
1496,14
2843,5
3132,13
2529,14
1982,13
452,11
1951,13
196,15
118,15
2727,16
189,14
1813,9
3010,13
3488,15
2277,13
2883,15
227,8
2198,15
3398,5
3342,15
2242,15
2483,13
3557,0
1078,14
1276,9
675,14
2809,13
3593,2
1694,5
3158,15
635,3
663,15
2485,10
3022,11
3100,5
1087,15
226,6
2401,14
2762,13
2430,13
378,14
1332,13
1318,15
3410,16
2872,13
2729,13
182,14
1626,13
2624,2
1697,14
1643,13
1503,7
229,15
2108,15
1282,15
3621,3
2436,12
22,3
868,15
3709,15
148,13
276,13
1549,13
3155,5
2181,14
1239,13
2287,16
2203,8
302,14
775,15
2223,14
2677,15
1586,13
638,13
410,13
1994,13
3629,13
2674,16
2088,5
3357,5
2506,14
1021,13
654,15
304,13
2356,3
3151,13
2470,5
2347,6
1612,15
1476,15
2686,15
2715,13
463,13
485,14
3105,14
971,13
346,10
1757,13
3708,14
408,1
1738,15
326,13
202,10
3418,7
3320,13
124,13
533,14
1311,13
2466,13
1462,16
1232,13
3740,13
1965,5
2988,13
1583,5
3313,13
1070,13
2482,15
3648,15
467,7
517,3
3433,13
1931,14
1220,10
1654,1
1976,16
1949,13
3712,5
2621,13
3545,15
30,15
1798,3
3726,15
92,3
2033,13
1237,13
3054,14
599,14
2970,13
496,13
3090,14
1733,14
2294,14
482,15
3177,7
1436,7
308,13
538,15
1581,15
1330,15
49,13
2864,14
562,13
1023,4
1835,14
1736,10
2792,15
3637,13
514,15
1780,15
668,1
2605,15
1702,15
914,14
2518,15
436,14
615,13
1784,13
2075,14
296,2
3020,14
3688,14
2180,10
3439,15
2730,14
979,15
2399,14
989,13
500,15
713,15
3283,15
3767,14
3762,3
2452,13
443,3
2669,15
1774,13
2866,15
2085,15
3065,15
1845,14
3554,13
3574,14
1571,13
918,13
1042,14
953,5
3315,4
3542,13
1157,14
1846,14
352,14
3464,13
982,5
3604,5
3596,0
543,14
528,13
1478,13
2700,15
306,13
751,14
10,13
14,13
3687,11
2588,14
170,16
3275,14
817,13
2923,13
4,13
572,15
3037,13
3639,14
473,4
3697,13
2481,13
1015,13
402,14
3124,14
3606,13
290,14
1327,14
1432,13
2285,14
3658,9
634,13
2239,13
1082,13
3248,15
1423,13
66,13
3438,14
1396,13
2810,4
188,3
380,13
218,15
2486,13
252,15
2410,6
910,10
3563,13
472,15
879,13
15,13
2363,3
1371,13
219,13
2771,15
900,14
3710,14
2672,14
1773,14
36,7
1793,16
234,14
2845,13
3714,13
2611,7
2358,13
566,13
2668,16
3242,14
935,10
917,13
3227,13
177,13
64,13
2201,11
2513,13
1615,15
1094,2
399,13
2982,5
2530,5
1280,7
1767,15
2459,13
3682,15
621,3
2888,13
1127,13
1783,5
2074,13
2411,15
3028,13
1002,13
3784,15
720,15
3228,13
1912,13
3771,13
1950,3
1065,14
1811,16
3619,16
1749,16
3232,14
3084,13
2409,14
3241,14
2703,14
1185,6
643,5
3505,3
2131,13
565,14
3126,15
383,15
2804,14
71,15
1120,13
3649,13
263,16
191,1
2705,14
2062,13
2070,13
1373,10
2620,16
2275,14
3230,13
3654,13
661,3
3696,15
1669,13
648,5
553,16
159,14
682,14
1785,15
2840,12
316,5
1473,13
2378,13
991,4
3375,15
3444,13
3412,13
2501,9
3578,14
1043,10
1649,15
2112,13
951,1
1170,14
2658,13
156,13
861,3
616,15
3655,13
1929,13
1005,2
748,14
3753,14
2776,15
1059,13
369,10
1642,7
3325,2
1388,5
2447,14
3770,14
104,13
796,13
3529,14
1754,14
3008,14
2396,13
3201,10
1708,15
2504,5
826,13
1052,5
2568,14
2204,15
1160,14
361,14
2308,12
1203,5
3217,13
1288,13
519,14
1115,13
1357,13
2494,7
3319,13
1939,13
57,15
716,7
2879,13
686,13
2949,13
677,15
3216,10
1663,13
3016,14
1310,14
2724,3
5,13
299,3
169,1
725,13
2126,5
3368,15
1446,15
3005,15
3624,5
1504,14
3481,14
195,13
1266,5
3041,14
1338,4
2944,5
405,16
1885,14
1377,15
1161,13
2992,16
1686,14
211,7
3184,13
1299,15
3169,15
338,11
483,14
1370,14
3231,13
719,11
305,14
1358,15
50,14
1047,7
3667,15
882,5
322,6
1285,15
351,3
1225,14
376,4
1254,13
2829,13
3509,15
461,14
1499,13
1959,15
1535,13
138,16
1414,11
245,15
1489,13
548,10
1547,13
330,10
2584,5
3774,13
17,13
1759,5
1983,14
2985,10
3780,14
1952,13
2402,13
1695,15
1625,13
2312,13
1116,13
1530,14
710,3
2821,11
2606,11
493,15
2774,14
1256,14
2234,15
2313,13
2355,7
628,2
1424,8
289,3
683,14
1945,3
1184,15
1974,14
570,13
692,15
3440,13
175,13
1691,14
3266,3
1762,15
1471,13
3174,14
3572,15
2713,14
895,14
2877,15
2382,15
1084,15
1493,15
1918,12
3134,10
