doc_idx,category
4052,7
980,5
1474,18
3122,3
4094,11
117,9
220,17
4072,1
2510,7
1875,1
4417,4
3875,12
1343,4
872,6
2950,8
1277,16
4242,12
1899,13
1667,1
2310,6
4224,14
162,13
154,5
2966,11
667,5
1680,3
2951,10
2047,8
1583,6
72,8
4152,12
1939,11
3223,8
2805,1
1540,1
1420,7
2377,1
3883,2
3815,12
668,8
2481,8
3662,4
218,1
1148,6
3456,16
1328,8
4143,12
3718,12
3615,7
3008,1
3242,10
4133,1
1042,11
2270,1
159,1
2871,3
3641,13
1495,11
2278,3
223,1
1367,12
2252,5
348,1
2527,11
836,16
3763,3
1922,9
4023,11
1547,1
3097,9
1056,7
4411,20
2617,8
4207,12
3133,7
3987,11
4375,7
2365,8
2369,2
651,19
308,8
1276,1
3836,9
3394,11
731,1
304,4
3923,8
2379,10
1931,8
2507,6
1906,1
2675,13
1992,17
45,4
3011,7
1691,7
942,7
3558,9
556,8
3402,11
379,11
291,11
2491,6
2842,1
4380,4
1261,8
402,14
1856,1
1473,5
2622,1
1085,1
496,11
2102,6
1953,3
3835,16
1736,14
3616,1
1530,4
3162,15
2875,4
555,0
891,18
1850,4
2160,4
1275,8
882,13
2586,13
2409,4
1068,4
4000,17
2052,8
294,11
2462,19
1272,6
2242,1
2953,18
3634,16
383,1
817,8
599,1
3347,1
3300,1
2575,12
829,4
2034,1
3172,1
514,18
2224,12
2961,1
2063,4
3586,1
1185,13
1775,0
925,12
3867,10
809,2
170,1
1989,12
1831,7
1832,8
2955,1
678,6
2969,11
3614,11
2106,21
4249,3
567,6
528,9
2498,12
4361,6
675,9
3794,1
3851,12
500,8
716,18
2171,4
4060,1
1529,8
1290,12
1837,1
638,7
3175,1
148,4
1493,13
3843,1
708,9
4474,12
4087,9
4205,8
214,1
410,6
825,8
2355,1
2081,1
2057,5
4432,2
712,10
2470,12
927,10
195,1
831,8
142,12
4034,1
2415,15
1330,13
4166,12
3476,1
3276,1
2345,10
2319,14
4128,15
541,1
1116,9
2756,7
4444,3
3551,8
2165,11
125,9
1696,1
4096,21
2484,1
4313,1
3755,10
3254,8
3210,2
2150,8
42,13
2154,4
1431,19
2443,12
2285,1
3077,12
1005,18
933,7
2790,12
648,18
246,18
900,18
4148,11
1432,18
2399,6
1115,10
3149,1
4160,12
2895,4
3051,4
4047,9
634,1
2592,1
666,1
1494,4
812,8
3996,12
1574,13
1660,19
3185,4
2706,4
1867,1
2686,1
3409,13
2277,2
3617,3
3552,12
4198,3
3104,10
1436,13
3699,5
1224,12
2509,11
991,16
1569,18
1759,8
173,8
1535,4
2865,17
2350,4
2640,15
224,1
2905,9
1835,4
1877,1
2204,4
2234,11
2974,14
4065,11
1326,19
3028,15
1889,20
1869,7
3287,2
302,11
4366,4
2041,17
156,13
1471,1
1872,16
4400,1
3063,11
3025,17
2631,13
4164,1
3574,7
4100,8
2866,9
2016,6
1410,11
3587,7
3770,11
562,8
1358,1
2432,12
57,1
939,1
2606,1
87,13
1082,8
1519,12
2346,12
3184,5
1829,12
2701,1
1936,4
1669,13
867,1
971,1
896,13
2949,1
1022,10
3037,7
1813,1
3633,12
3259,18
481,1
2009,5
3220,13
3295,3
1428,1
3423,1
3857,21
898,12
1749,3
1160,13
2815,3
3139,13
2902,6
2839,3
4173,16
2244,9
4153,7
982,1
2941,12
2315,12
2859,1
2985,1
3753,8
1441,13
3117,8
2033,11
3534,1
1793,13
533,11
1464,8
2797,13
2605,11
1450,7
2000,8
487,12
189,1
3661,3
3626,8
543,8
3521,1
2307,6
1670,8
1658,19
1329,1
3151,1
866,1
2543,8
3685,5
1073,11
1999,1
3053,11
2758,13
1490,9
2891,16
1098,8
2944,13
582,3
3871,3
4078,17
2373,8
559,4
217,8
1708,12
104,1
2300,15
1114,12
3319,8
3545,8
1662,3
3293,12
3388,1
2065,4
4437,9
4041,4
241,12
4085,9
3725,18
531,7
4077,7
1855,3
4398,13
4021,8
3335,1
3055,13
3896,1
1242,16
453,12
3099,19
3839,2
263,11
4117,12
3814,18
2890,4
2324,4
962,7
3303,8
584,1
2828,1
33,4
3546,1
1457,13
4368,1
4348,1
2362,6
2791,8
1702,13
2962,1
1721,1
4018,1
803,9
751,1
1879,1
2211,18
3524,13
2072,11
2027,1
4371,15
3693,2
1091,7
2876,18
4430,7
2784,8
3082,9
1182,0
1811,8
1746,1
1461,13
2971,18
1366,1
1697,8
4335,11
1376,17
3671,17
2620,11
3992,8
3193,1
683,10
4121,8
3848,4
3384,16
2450,11
3726,1
2879,11
917,1
3592,0
548,1
3690,8
491,1
1940,4
861,7
4350,1
704,1
252,1
3597,1
3225,1
2741,1
3544,2
2294,12
530,8
245,6
684,8
1232,7
3450,1
2189,15
3677,8
4008,7
3529,11
3075,13
2465,1
1172,12
3861,3
1567,15
4020,8
2347,19
3508,16
192,1
1271,1
4423,9
3917,8
1,12
2795,12
2044,19
888,8
3374,3
1761,8
2340,7
4304,3
2753,8
4110,21
499,21
526,1
381,1
2078,13
1957,8
1559,12
2777,12
1513,7
314,13
661,18
1581,7
70,3
1351,3
3459,10
3392,21
773,2
31,17
1836,1
1095,6
378,7
4279,8
690,13
2740,11
2490,5
536,11
480,18
1621,12
2537,18
1237,6
1430,3
3801,4
1190,6
185,8
775,10
3065,7
2574,6
485,1
2942,8
788,10
2907,9
873,15
2193,15
1349,8
3766,3
1380,12
2630,12
3696,6
545,8
1916,7
2531,8
636,1
3938,4
347,4
1914,4
2848,18
88,6
4003,1
4359,9
1839,1
1452,1
3446,9
3031,4
1894,16
1900,6
4004,12
3625,19
2526,8
465,4
470,18
1794,16
1955,1
1888,1
4093,11
286,1
1625,8
1144,11
2013,2
799,13
2412,17
4053,11
3023,4
1853,8
3108,11
949,11
2856,1
1666,10
2975,4
2501,13
2183,13
4197,8
2959,12
581,1
1642,1
3154,8
2137,8
3213,6
1738,9
408,12
1943,8
906,13
1246,6
2358,4
1949,1
1710,4
3181,14
720,1
4385,4
2216,12
3106,21
429,8
1762,8
878,1
2427,7
2627,13
1695,8
3407,15
2407,16
4336,1
1881,1
1118,11
2523,1
2817,1
2500,3
352,18
2049,13
326,7
776,8
3947,13
1556,13
1119,3
3584,4
1892,1
85,11
4293,4
311,18
4301,13
735,6
1419,16
629,7
1564,9
520,3
501,7
3482,12
2583,3
227,8
1362,15
979,7
253,11
534,11
2696,13
575,11
3371,4
4315,13
620,11
2601,3
1886,4
895,8
1163,1
3819,12
248,14
3227,6
2117,2
1951,11
202,8
639,5
4341,2
345,12
553,1
298,1
1273,8
1497,8
2835,8
3971,4
685,1
727,4
221,1
2900,7
1002,1
2243,1
1649,14
3722,13
1412,8
3066,13
489,16
3438,8
3765,1
3358,12
843,1
4264,8
3709,3
3201,3
3780,12
1336,4
1012,13
1934,7
1230,16
3281,1
2438,8
4463,8
1657,1
4223,8
2406,6
1928,1
124,12
4418,1
569,18
842,7
1766,11
4475,3
2475,13
4256,7
3624,8
3120,13
463,1
36,6
2196,8
706,16
182,12
1760,4
3684,6
3639,4
3140,16
2486,1
854,10
1104,17
1460,1
965,7
1127,8
3761,13
4332,14
576,18
1319,5
2337,13
517,18
3006,4
1596,1
2293,1
2494,11
3855,11
452,7
457,18
2921,1
4155,3
663,1
1606,20
34,8
2488,12
2929,12
1051,8
3652,13
2774,15
2301,6
3680,13
2947,15
2616,2
3477,12
1496,11
483,12
2697,1
1646,10
2796,19
1009,3
871,8
1046,1
2506,18
2254,18
938,12
3946,1
2198,4
415,6
2689,1
4042,9
841,15
2657,13
3733,11
2485,11
1387,13
768,7
641,1
