doc_idx,category
3777,7
3234,12
2260,1
4467,1
3126,1
3987,13
4390,9
1491,6
4268,1
4246,2
1075,1
755,7
4147,4
3065,7
487,12
1470,1
1123,8
1824,9
839,11
2646,1
3460,8
3120,1
3817,1
3658,7
3840,7
2743,1
3667,9
247,10
1062,12
4074,10
4462,10
134,6
3366,1
1558,5
3242,2
1613,10
1255,7
2476,1
2814,13
3913,13
717,10
150,3
558,9
4455,1
2103,10
1218,9
477,12
776,2
3484,3
827,10
1911,1
1466,13
2835,1
1257,7
3775,10
2660,2
595,12
799,3
3594,9
3675,8
1364,10
972,12
2470,8
1485,13
1998,13
4024,7
3589,13
1458,7
2009,12
3452,12
2873,7
2730,7
732,8
4359,7
665,6
3973,1
1734,7
2852,7
2921,8
2813,13
1258,7
692,7
3964,3
838,6
2716,1
1804,3
325,6
1978,1
4465,5
2767,6
1808,8
1456,10
833,2
273,7
2423,1
1179,10
961,10
4140,1
2478,7
3268,12
3899,3
635,3
3069,9
3515,2
3795,10
2639,4
1416,3
1611,12
1176,1
2680,8
2954,6
272,1
1548,4
3875,3
2164,8
1969,9
15,6
1444,7
2847,7
2090,11
1563,13
3482,6
2829,8
1242,12
3370,3
1645,1
2505,6
1237,9
681,7
1376,1
4436,2
3676,3
940,9
1825,9
1862,8
623,1
1879,6
3390,1
757,10
4005,5
133,9
1478,8
2134,3
2054,8
154,6
3625,12
1421,6
33,12
3554,3
3173,3
18,6
2422,9
1508,1
4016,3
2724,6
2461,5
2811,8
3982,4
208,8
3918,3
3483,13
39,7
2627,7
1643,13
705,1
3871,11
617,6
454,1
551,6
45,10
2449,8
296,9
4337,13
23,13
1110,13
2030,13
1652,12
1754,10
3984,7
3326,9
3649,1
408,8
1801,7
532,1
366,1
4158,7
1261,7
771,3
2363,8
4018,6
3726,7
31,8
922,8
3781,9
4506,5
1279,7
1779,12
3673,9
3647,10
1156,6
537,10
628,13
390,2
2778,12
250,8
3733,7
46,1
3953,10
2741,12
3137,7
4473,6
4002,1
3550,8
58,8
3170,7
807,9
1805,1
3379,10
2379,7
2177,10
2081,1
2052,13
1575,3
1656,8
1904,8
3508,5
4117,5
1479,1
852,10
4549,10
2378,1
2933,11
2321,5
1283,7
1149,12
2874,1
894,1
1059,1
772,9
197,7
1991,5
1833,1
4486,6
4071,9
928,1
3124,1
4424,1
121,1
569,3
253,13
1540,4
3710,3
1934,1
3236,2
1131,6
292,1
1286,13
3125,13
2577,3
2782,6
4578,8
2247,1
3909,7
3841,4
528,6
1599,6
2508,13
3440,6
37,1
3969,8
2049,4
4118,1
3939,3
2359,1
3654,13
3345,7
2041,10
2705,1
746,3
2594,2
3272,7
2926,12
1280,10
1557,8
4188,3
2088,1
427,2
342,3
2827,3
2571,13
1653,13
1223,1
3545,1
3100,9
2861,1
3970,4
242,4
2141,3
3864,6
4547,7
4243,1
2264,6
683,8
3519,1
843,12
869,6
2967,6
1576,12
1109,9
2742,10
1766,7
1306,2
1097,1
1912,6
2710,11
1523,7
888,8
3835,6
4419,6
1533,1
3435,7
3280,12
2270,1
4032,12
4471,3
2098,13
1087,8
303,1
1706,12
3959,6
1712,8
4219,8
4241,1
1220,12
2195,13
3358,13
3746,8
3641,1
2805,1
2818,5
4401,8
3091,4
1738,6
495,1
521,9
1594,7
2119,9
135,2
2337,1
3154,13
2816,3
3557,6
2160,1
221,6
1815,7
3136,6
2850,1
966,3
2804,9
3926,7
3592,3
2641,8
1977,1
1399,7
1016,9
3880,9
1785,1
3580,9
4444,2
2674,2
3522,1
1831,12
905,7
950,7
3334,9
2939,6
3210,3
1559,12
3218,9
2734,12
1638,3
708,6
578,6
3430,8
935,7
1151,1
3763,1
4309,7
3411,7
3353,3
3914,8
3719,3
4327,3
55,8
3523,3
3224,3
1944,1
144,7
1837,4
2972,1
4353,5
625,1
2020,1
38,12
1938,7
3489,8
3622,13
1058,7
3881,7
1997,10
3325,3
1388,8
1720,10
32,12
1065,3
519,1
3087,3
3160,3
1222,1
2513,1
4099,3
2676,7
2175,4
3958,3
2769,8
1812,1
4377,1
3021,6
3418,8
3255,1
1746,1
3237,8
3250,1
2421,13
1928,6
4540,10
4412,10
1488,6
3238,7
603,12
1569,1
1124,7
3678,12
3527,1
597,1
2576,3
1405,9
4362,6
587,1
1025,4
2665,1
3492,9
196,3
580,8
1870,3
2863,6
3079,6
188,6
201,8
3113,9
3284,13
334,6
3342,2
3089,6
3577,6
693,6
396,9
2451,1
2267,6
1909,3
1238,1
2157,12
4558,2
4557,13
3292,2
3295,7
997,11
3889,12
3626,8
3740,9
1899,1
2335,13
2021,2
3619,9
679,2
4069,6
1783,7
1795,12
1233,1
2650,1
4178,3
1820,3
2140,9
3057,13
921,9
178,3
3598,10
1552,1
2586,7
1323,7
50,7
406,2
4561,13
2620,1
3759,1
488,13
1240,9
3818,1
27,7
1581,1
998,10
574,7
1854,9
4398,13
458,1
3184,13
2574,11
2217,11
1995,1
1269,3
3505,4
4434,1
1898,6
2780,1
2239,3
2457,7
4554,3
3195,13
4217,3
2774,4
3304,10
747,1
1454,1
632,1
3178,8
384,7
2819,8
386,6
1717,8
404,13
2300,1
1847,5
1422,6
1970,9
2293,7
1704,6
2578,1
1067,9
802,7
