doc_idx,category
472,12
2932,14
2081,17
818,15
179,16
2830,8
957,6
443,8
1507,8
2742,11
181,7
684,4
539,9
1976,19
1856,2
142,12
1861,16
2631,8
1869,14
1668,8
134,12
1601,15
2696,8
2969,10
1095,10
2536,16
1493,12
2555,9
2122,14
126,2
670,18
840,3
2517,16
1670,2
1315,1
969,11
1461,12
339,4
2191,19
871,16
2900,2
874,8
272,11
1320,12
302,20
1870,9
2371,5
1185,9
170,19
1156,6
2364,16
12,20
2420,9
1235,10
2672,5
1971,13
1674,8
2228,8
2660,12
2951,12
1136,6
2889,2
287,12
1312,20
1319,8
1806,2
1871,19
830,2
1626,9
2698,19
2772,8
683,20
1028,6
1431,15
2825,16
164,8
785,8
917,12
1669,20
914,16
2423,20
1570,19
130,6
2123,2
1064,8
1186,8
776,13
2572,16
202,12
634,12
1140,8
1648,8
2006,10
2963,20
1139,2
828,8
1201,20
2829,10
127,12
915,20
467,12
2346,8
694,20
1181,1
1713,12
888,4
1369,12
2567,14
2966,2
214,20
311,6
795,9
1519,19
731,18
779,19
2102,17
2681,20
962,8
2688,20
1569,20
535,16
1391,2
1252,8
1702,8
674,5
786,8
1705,13
2031,16
1066,20
660,17
1427,5
1767,5
1400,10
560,14
144,8
1124,12
1755,4
2366,8
123,15
1226,13
1171,1
55,17
1299,10
2899,3
247,8
519,12
1161,20
1632,16
1916,4
972,3
1243,12
1146,17
1571,9
843,8
2867,16
1378,2
2534,10
730,20
25,2
547,4
1600,15
15,17
2520,20
751,12
2289,14
237,19
2397,2
2227,9
1905,19
1828,2
2066,3
2743,9
2774,2
2224,20
2673,19
1071,8
2401,3
1949,17
916,14
2470,14
1130,8
2890,8
1035,12
2501,15
2190,12
1558,1
944,1
1142,3
979,18
2748,10
151,3
1345,15
735,8
2345,4
2632,18
2920,2
2964,2
1679,10
257,16
2103,2
1454,12
2067,5
2055,4
1330,19
2176,1
143,4
328,0
292,10
2266,15
512,12
2242,9
997,1
2782,5
918,2
1133,16
2061,2
1209,12
1923,18
2139,10
2665,15
1364,0
2316,15
451,20
1624,1
1010,10
1388,14
206,19
2298,5
1921,10
978,12
2790,12
991,12
2038,8
1430,2
1529,2
1732,8
2887,6
2729,18
2111,7
2252,14
394,18
1935,18
98,6
14,20
1417,16
1326,14
676,1
2106,8
2279,8
1851,12
864,12
1450,4
429,12
2716,12
2457,4
29,4
1988,8
2133,8
256,9
2927,12
2308,6
2241,8
1175,13
2449,8
2068,0
388,20
973,8
745,15
1254,12
2146,12
1469,12
846,3
2699,9
2045,20
464,19
1953,8
2193,8
2853,2
800,3
971,16
1122,18
2382,20
260,16
2535,18
1224,16
2132,4
52,8
1477,12
2642,18
42,15
2704,1
217,4
427,12
551,8
2274,9
2798,4
2813,8
1631,12
623,2
833,12
1343,4
2796,8
254,3
873,10
1832,14
2273,1
337,4
1620,16
1328,16
1327,4
489,11
2216,4
499,10
2627,20
1779,9
994,2
1362,12
1881,8
447,20
875,12
1332,2
1819,15
2044,10
1790,6
2233,12
2910,19
1843,16
1267,17
1974,4
629,16
1715,4
105,8
2897,8
2550,12
532,15
2159,15
286,19
1006,2
2087,18
910,2
1880,11
1121,10
1550,8
2220,16
304,8
318,8
1180,12
2739,4
1384,4
1783,19
1817,1
1604,12
279,0
1106,15
2468,20
1301,10
1659,17
1438,8
574,4
1606,20
982,19
2128,0
2302,3
1166,2
1302,20
1687,16
2270,2
1607,6
2080,1
1045,12
2705,8
661,12
2524,2
936,5
1155,12
1893,15
2089,12
340,12
2783,4
2425,2
1986,14
502,12
201,5
2971,8
527,5
2485,1
1434,12
691,8
1041,14
572,12
1587,2
432,8
1538,9
2118,2
63,12
1347,12
224,1
2756,9
1229,6
1838,20
1909,17
2855,8
1617,12
1514,8
1630,8
2917,4
2435,8
329,11
1933,15
20,15
2911,1
903,2
1238,15
1934,2
2617,5
2260,12
2841,8
2347,12
2494,2
283,8
2562,4
2959,17
1969,6
1889,2
2860,19
626,8
759,8
528,2
2110,1
1281,12
119,13
2239,13
2654,16
2882,15
595,20
375,20
2713,9
1736,7
1008,18
2032,0
1278,12
72,20
111,9
317,14
945,2
1887,0
737,20
1022,3
1763,8
1823,4
255,19
433,12
597,8
396,12
1524,19
2883,8
39,8
1220,4
146,15
187,15
2633,9
1677,17
1822,8
1290,11
1680,14
1365,4
2250,8
733,2
2337,8
2015,10
1855,4
2575,9
80,4
2042,5
227,14
1739,12
559,2
2126,16
2755,12
2322,4
1511,12
2818,12
195,14
1042,10
2549,2
1731,8
1,15
1375,20
1457,1
2073,8
557,20
165,2
620,16
1422,8
2720,8
698,1
756,8
937,4
1086,18
407,4
1579,0
1521,10
359,8
6,9
2040,14
1939,15
2104,4
2584,9
2169,9
1994,16
533,16
2203,20
101,20
1717,12
2222,17
1137,18
2427,12
51,10
931,9
1291,14
2888,14
1966,1
2922,8
1875,2
405,4
2691,2
1393,20
1463,20
555,20
2758,16
2593,2
1696,8
1682,4
738,15
2256,17
186,8
719,12
974,12
2172,1
413,20
722,2
2942,8
2029,18
1357,9
773,9
1532,9
379,17
524,19
89,4
1748,8
2844,12
2147,12
2953,4
1829,18
1017,4
33,8
2352,5
2257,14
49,2
2624,4
2571,6
2804,15
885,16
812,12
2406,12
222,2
2907,16
2558,8
2788,18
381,3
2675,16
1363,15
2402,5
2893,17
1467,16
2661,9
842,16
1208,16
2071,18
965,18
475,4
1508,8
1513,16
1083,6
2259,20
1928,2
349,8
2737,16
2137,4
1924,8
2836,10
444,7
1633,12
2232,15
1956,4
2949,8
2129,8
411,2
2141,17
1595,12
592,14
859,8
465,8
1591,6
2909,9
2472,19
2477,16
8,4
1386,2
380,6
1200,8
696,12
2702,20
82,16
1835,12
2874,9
