doc_idx,rewrite
2,Reminders
6,Managing personal lists
7,Music playback
10,Finding movies
4,Music Playback
9,Time zone conversion
13,Email management
12,Weather forecasting
0,Smart Home
3,Media Control
1,Reminders
11,Smart Home
5,Scheduling
17,Social Media
14,Weather forecasting
16,Calendar Management
8,Email communication
19,Getting the current date
20,Reminders
18,Weather
22,getting date and time information
25,Calendar management
24,Device Control
15,Social Communication
21,Music Event Discovery
23,Animal information
26,Stock market查询
33,Checking the time in a specific location
28,Smart Home
34,Music Playback
39,Cooking recipes
40,Calendar management
27,Social Media
35,Weather forecast inquiry
32,checking for new emails
29,Email management
37,Calendar management
36,Scheduling
41,Device Management
31,Time Zone Conversion
30,News and weather updates
38,social good
50,Reminders
43,Checking calendar information
46,Media playback
51,Ordering food
54,Smart Home Devices
42,Calendar management
45,Weather
55,Jokes and Humor
49,Calendar management
44,Playing music
48,Music playback
47,Music Identification
52,Calculating a discount
53,Calendar management
56,Reminders
59,Calendar
57,Smart Home Lighting
63,Media playback
69,scheduling a conversation
65,Smart Home
61,Calendar
58,News and media
62,Calendar management
64,finding local events
66,Music Playback
72,Weather
70,Music playback
67,Setting alarms
60,Ride Booking
71,Email composition
68,Population Information
75,Media playback
76,playing podcasts
74,Calendar
80,Messaging
79,Media control
78,Checking transportation project updates
82,Smart Home
85,Weather
83,Smart Home
81,Navigating to websites
84,Messaging and Communication
77,Device Control
73,Smart Home Lighting Control
86,Politics and government
87,Music Playback
91,Contact Management
93,reminders
92,checking emails
90,Entertainment
89,Email communication
97,Personal well-being
101,Checking the weather
96,Music domain
99,Media playback
98,stock market performance
95,Radio
102,Contact Information Retrieval
94,Reminders
106,Play music in the bedroom
100,Checking the time
103,Email Communication
105,Getting the current date
88,Device Control
107,finding local events
108,Music domain
111,Task Management
110,checking the weather forecast
104,News and media
109,Media control
120,getting news updates
117,Calendar Management
119,Navigation
114,Music recommendations
113,Celebrity and Entertainment
121,Smart Home
112,Email management
116,Checking the time in a specific location
123,Reminders
118,Calendar management
124,Checking alarm times
126,Calendar management
125,Smart Home
131,Alarm management
129,Music playback
134,Music Control
132,Reminders
128,Checking the weather in Grand Rapids.
133,Smart Home
135,Reminders management
139,describing objects
138,Weather
143,Messaging
122,Music playback
137,Scheduling
141,Smart Home
127,Music playback
140,Smart Home Control
136,Grocery List Management
142,Music playback
115,Smart Home Lighting Control
130,Stock price查询
145,News
146,Setting reminders
144,Community Service
156,starting a mobile game
154,Music identification
149,Calendar management
155,Alarm Management
153,Smart Home
147,Media control
157,General Knowledge
152,Clothes list management
151,finding a contact number
150,getting gas for car
148,smart home control
158,Calendar management
160,Smart Home
162,Smart Home
169,playing news
163,Creative Writing
159,identifying common mistakes
170,Transportation
166,Music
164,Information retrieval and computation
165,Calendar management
171,Media playback
168,Music Playback
173,Booking train tickets
167,Productivity
161,Checking the time
172,Calendar management
176,Music Playback
181,Entertainment
183,Cooking instructions
174,Calendar management
175,Media playback
180,alarm management
177,playing games
178,Device settings
184,Defining geometric shapes
186,math calculation
187,Reminders
179,Smart Home
185,Smart Home
182,Email Communication
188,reminders
189,Music playback
190,List Management
192,Checking messages
201,finding local events
191,Alarm Management
194,Smart Home Domain
193,Stock price inquiry
196,Calendar Management
200,checking meal status
199,Email Communication
197,Music Search
205,Managing lists
198,Email management
203,checking news
195,News and current events
208,alarm management
209,Clothing and fashion advice
202,Music domain
204,Definition of life
207,Local Events and Activities
213,Cooking recipes
210,Managing reminders
206,Ride booking
214,Checking the weather in Beijing
212,Preference Management
215,getting directions
217,Email management
216,checking new emails from a specific sender
218,News
220,Media Control
211,Media Playback
219,Email
223,Alarm Management
229,Calendar
225,finding product descriptions
222,Calendar Management
221,Email Management
227,News and current events
226,Setting an alarm
233,smart home lighting control
228,Daily Life
230,Scheduling
231,Politics
224,Setting alarms
232,Email Communication
235,Social Media
240,Social Media
237,Transportation
236,Shopping List Management
241,Entertainment
242,Social Media
234,Geography
238,checking emails
239,Weather
247,Cooking
244,Smart Home
246,Music
245,Contact Information Retrieval
249,Device Control
250,Device Control
253,Reminders
254,Contact Information
252,Managing lists
258,Time zone information
256,List Management
243,Smart Home
248,Sports scheduling
255,Transportation booking
251,Social Media
257,Smart Home
259,Social Media
260,Smart Home
261,Cooking and Recipes
262,Smart Home Control
267,Smart Home
268,Celebrity Home Address
269,Calendar management
271,Shopping list management
274,Smart Home
266,Music playback control
275,News and media
276,Music Playback
270,Calendar management
265,Device Control
277,Social Media
273,General conversation
278,Local events and activities
263,Cooking and Recipes
264,Calendar management
281,Recipes and Cooking
279,Device Settings
280,Calendar management
272,Movie schedule inquiry
289,Smart Home
287,Media playback
282,Shopping
286,Public Transportation
290,Contact Management
283,Animal Facts
284,Personal well-being
291,Entertainment information query
285,Setting a coffee machine
293,Social Media
288,Social Media
294,Food Ordering
292,ordering food and drinks
297,Current location of a celebrity
296,finding pet services
302,Checking the weather
295,Calendar Management
298,Casual Greeting
300,list management
299,Transportation
303,Smart Home
301,Smart Home Lighting
305,Music playback
306,Smart Home
304,Cooking tutorials
307,checking email
308,Email composition
313,Weather
314,Messaging
309,List management
311,Stock market information
315,smart home control
312,News and media
320,Email management
321,Calendar Management
318,Dictionary_Reference
310,Mathematics
322,Smart Home
316,Weather forecasting
323,Managing contacts
325,Navigation
324,Booking travel tickets
319,Email management
317,News and media
328,get a person immediately
326,Music playback
329,Media and entertainment
327,Event Planning
331,Music Playback
330,Media Management
334,Alarm management
333,Health information
341,Calendar management
336,Calendar Management
337,Email management
339,checking email
342,General Knowledge
335,Clothing Management
332,Media Control
343,Calendar management
344,Politics and Current Events
338,Productivity
345,checking email inbox
346,Social Media
348,Calendar
350,Geography
349,Politics
353,Currency exchange rates
355,Weather forecasting
352,Calendar Management
340,Media Playback
357,Math Calculation
351,Setting reminders
347,Music identification
358,checking TV program schedule
364,Music Playback
356,Gaming
359,time zone conversion
361,email management
354,Smart Home Control
369,Email communication
363,Weather forecasting
366,Social Media
367,Music Playback
360,adding items to a grocery list
365,Setting reminders
362,Creative Play
373,Create personal routine
368,Smart Home
372,Entertainment
370,Media
371,Weather forecasting
376,Messaging
378,Messaging
375,Weather forecasting
381,Calendar and Scheduling
379,Social Interaction
374,Delete calendar event
380,Stock price inquiry
382,Email composition
377,ordering food
384,Music volume control
383,Reminder
387,Time conversion
385,Calendar Management
392,Smart Home
386,list management
394,Social Media
393,Entertainment
388,Weather forecasting
391,Smart Home
396,Media playback
395,Social Media
390,Contact Management
397,Calendar Management
389,Play music
406,Smart Home
405,Email composition
401,Food and Cooking
399,Managing alarms
398,Social Media
400,Smart Home
403,Music Playback
402,finding nearby theaters
408,Contact Management
410,checking the time
407,Sending emails
404,Alarm Management
409,Alarm Management
413,Weather forecasting
412,Calendar management
420,Email management
418,Play music
411,Calendar management
416,Games
419,Checking the time in a specific location
414,Reminders
417,Email communication
423,finance and investment
424,Movies
421,Stock price inquiry
425,Checking the time in a specific location
430,List Management
435,Social Media
434,Entertainment
426,Geography
432,identifying the music director of a song
422,finding cheap flight fares
415,reminders management
427,Music playback
433,Media Playback
431,Currency conversion
428,Podcast playback
429,Music Playback
436,Music and audio playback
437,finding nearby locations
449,Calendar management
439,remove items from storage
450,Email Communication
444,Playing games
448,Calendar management
441,College location
442,Food Ordering
438,Music Playback
447,scheduling outdoor activities
445,Music Streaming
440,Sending an email
443,getting the current time
446,Music playback control
452,Email communication
451,checking the weather
462,Cooking
453,Assistant Information
463,Media Control
458,Information retrieval about automotive technology
460,Booking transportation
455,Smart Home Control
457,Sports
464,Booking train tickets
456,Music playback
459,checking train departure times
461,providing electronics information
465,Getting the current date
466,Media Playback
454,booking train travel
470,Sports and Games
468,checking alarms
469,creating a shopping list
472,Music Playback
467,Playing audiobooks
473,Historical facts
477,Play podcast
474,checking train schedules
478,Calendar management
480,Music Playback
475,Messaging
476,Smart Home
479,checking stock market trends
482,Reminders
481,Ride booking
483,Music Playback
485,local events and attractions
486,Smart Home
484,News and current events
488,Checking stock prices
494,video games
495,describing objects
471,Managing alarms
489,Movie recommendations
496,Music
491,real estate pricing
497,Definition of a word
492,Smart Home
500,Music Playback
499,finding nearby food court reviews
502,Music Playback
505,reminders
501,Cooking video search
503,Media Control
507,Email management
506,Media control
509,ordering food takeout
504,Calendar management
508,Historical facts
510,scheduling a reminder
517,Restaurant Services
512,Music Playback
518,Setting reminders
515,Dictionary_Definition
514,News and media
513,Smart Home
511,finding recipes in cooking applications
516,email communication
519,Media Playback
520,Getting directions
522,checking the current time
525,News
527,Calendar management
523,Music
521,Personal_Information
490,Health and Wellness
526,Mathematics
498,Cooking instructions
487,Alarm Management
493,Movie showtimes
530,Play games
524,Scheduling transportation
528,Calendar Management
529,Smart Home
531,getting news articles
535,Smart Home
538,Shopping list management
533,Cooking
532,Reminders
534,Getting news
536,Personal activity tracking
545,Geography
543,Social Media
542,Entertainment recommendations
537,Setting alarms
539,List Management
544,Social Media
541,Media playback
549,checking date information
540,marking emails as important
553,Unable to determine domain
552,Calendar management
548,Social Media
555,Weather forecasting
558,finding local entertainment events
551,Geography
556,Setting reminders
557,Weather Forecast
554,building dimensions
550,Managing lists
547,Email Management
546,Movie Recommendations
560,News and media
561,Music Playback
567,Cooking
564,Product Features
570,Media playback
565,company feedback
568,checking email for job listing
563,Calendar Management
562,News
573,Product Information
571,Productivity
574,Email management
572,Music Playback
578,List Management
577,Car maintenance
575,List Management
576,Music Playback
585,Smart Home
579,Technology
583,Celebrity hangout locations
584,Weather
582,Calendar
580,General Knowledge
581,appliance customer support
586,politics
587,Travel and Tourism
588,Definition of a word
589,Cooking and Recipes
592,Getting the latest news updates
569,Calendar management
596,Music Playback
559,Scheduling meetings
591,Music playback
595,Weather
566,Delete tax list from 1990
594,Audiobook playback control
590,local events and activities
599,Information Retrieval
597,Photography equipment and accessories
604,ordering food
606,Geography
605,Alarm Management
608,Media Rating
607,Email management
601,Smart Home
610,Media control
611,finding nearby stores
609,Checking the weather
602,List Management
603,Time and date
617,Calendar Events
613,Contact Information Retrieval
621,Checking the weather
616,Calendar management
619,Calendar management
618,checking traffic conditions
612,Music Playback
615,Email Communication
614,General Knowledge
620,Smart Home
622,Checking the weather
630,Calendar
632,Messaging
623,Calendar management
631,finding local events
633,Music playback
626,Cooking recipes
629,Smart Home
627,identifying music or media
628,Smart home device troubleshooting
624,Play music
625,Music playback information
643,Currency exchange rates
642,Smart Home Lighting Control
639,Animal Information
637,Alarm management
641,Calendar management
600,Playing games
635,Weather
634,Music playback
598,Create a to-do list
593,Calendar and Email
638,Entertainment
644,Daily Life
636,Mathematics
640,Media playback
649,Email Communication
656,Managing lists
657,Smart Home
655,list management
651,Music Playback
652,Ride booking
653,Music playback
645,Movie Recommendations
646,Movie information
650,Car control
648,Smart Home Control
658,Smart Home
654,News and stock market updates
647,Calendar management
661,Music playback
659,Messaging
670,Social Media
664,checking word definitions
669,Smart Home Volume Control
672,Restaurant Information
667,Setting reminders
668,Smart Home
671,Geography
660,Social Interaction
662,checking traffic conditions
673,Smart Home
675,getting to work
681,List Management
666,Checking the time
678,US election poll predictions
679,Smart Home
683,Weather forecasting
676,Setting alarms
682,Calendar management
663,Currency exchange rates
677,scheduling dates
680,Smart Home
674,finding local events
665,Calendar management
684,Email Management
697,Reminders and Alarms
687,Media domain
693,Weather
690,Book Recommendations
685,reminders
698,Alarm Management
695,Geography
694,Weather information
688,Music Playback
686,News and media
692,Personal Information Management
696,Music Streaming
689,Smart Home Lighting
702,finding restaurant delivery information
699,Music Playback
703,Productivity
691,Cooking and meal planning
700,News and Media
701,Email Communication
706,Stock price inquiry
708,getting news updates
704,checking the weather
707,finding nearby movies
710,Smart Home
711,Geography
709,Getting event times
705,List Management
713,Alarm management
