doc_idx,category
684,8
2932,18
179,20
2742,15
181,11
2830,12
472,2
957,10
443,22
818,19
1507,22
2081,7
1861,20
134,2
2969,14
1976,23
142,16
2631,12
1668,12
1601,19
2696,4
1869,12
1856,5
539,13
499,14
1095,14
1493,2
1461,2
840,13
126,5
1315,1
670,21
2122,12
2517,20
2555,13
969,15
2536,20
1670,5
12,25
272,9
874,12
339,8
871,20
1320,2
2191,23
2900,19
1185,13
1870,13
302,25
1156,4
2951,2
1235,14
170,23
2672,9
2420,13
1674,0
2364,20
1136,10
2660,2
2889,13
1570,23
2698,23
830,5
2228,13
287,2
2772,12
683,25
1312,25
1806,5
1319,12
1669,25
1028,10
2825,20
1871,23
1626,13
915,25
785,12
1431,19
2423,25
914,20
1140,4
130,10
2572,20
164,12
1064,12
1327,8
2123,5
917,16
776,17
1648,22
2963,25
467,2
1139,5
127,2
202,16
2829,0
1186,22
634,2
2006,14
828,22
1201,25
2567,18
694,25
888,8
1369,2
2346,12
1713,16
311,10
214,25
2966,5
779,23
2681,25
2688,25
731,21
2102,0
795,13
2216,8
962,12
1519,23
1252,12
1569,25
535,20
1702,12
2031,20
1705,17
674,9
1066,25
1400,0
1767,7
660,0
1427,9
786,4
1391,5
560,18
144,12
1755,8
1124,2
2366,12
55,7
1299,14
123,19
1171,1
247,12
1226,17
2899,6
1632,20
1243,2
1161,25
1571,13
972,6
1146,12
1378,5
1916,6
843,22
519,2
2867,20
2534,14
547,8
751,2
2520,25
25,5
15,7
730,25
1600,19
2397,5
2227,13
1971,17
1181,1
1905,23
1828,5
2371,9
2401,6
2743,13
237,23
2066,14
2289,18
1071,12
1949,7
916,18
2470,18
2224,25
2774,5
2673,23
2190,2
2890,24
2748,12
1130,0
979,21
944,1
1142,6
735,12
1345,19
1035,16
1558,1
151,6
2920,5
2501,19
2632,21
1679,14
2964,5
2345,8
2055,8
257,20
143,8
2176,1
2067,9
292,19
328,0
1330,23
2103,5
1454,2
2266,19
997,1
1209,7
2782,9
918,5
512,2
1923,21
2242,13
1133,3
2139,14
2061,9
2665,19
451,25
2316,19
1010,14
1430,5
1388,18
978,2
2887,10
206,23
1624,1
2038,12
1364,0
2298,9
1921,14
991,2
2790,3
1529,5
2111,11
1935,21
394,21
1326,18
1417,20
2252,18
2729,21
1732,4
98,10
2279,12
1450,8
14,25
676,1
2106,4
864,2
1851,2
2716,16
29,8
1988,12
429,2
2457,8
2927,2
1175,17
2133,12
256,13
2308,0
1254,2
2241,22
2068,0
388,25
2449,12
745,1
973,12
1469,2
2146,16
2699,13
800,6
2193,12
2132,8
971,20
464,23
846,0
2045,25
1953,12
1122,21
52,4
1477,2
260,3
2853,5
2642,15
2382,25
2535,21
2274,13
1224,20
42,19
1631,2
551,12
217,8
623,9
2704,1
2796,12
1832,18
2798,8
427,2
2813,12
833,2
337,8
1328,20
1620,20
1343,8
489,15
873,14
2273,1
254,6
1362,2
1881,22
994,5
1779,13
875,2
1332,5
629,20
2627,25
2233,2
447,17
1715,8
2044,14
105,22
1819,19
1790,10
1843,20
1974,8
2897,4
1006,5
1267,7
2550,2
2910,23
1880,15
532,19
1121,14
2159,19
286,23
2220,20
1550,22
1180,2
910,5
304,12
2087,21
318,12
1604,2
2739,8
1384,8
1817,1
1106,19
1783,24
982,23
574,8
2468,25
1438,12
1606,25
279,3
1301,0
1687,3
1659,7
2302,6
1166,5
2270,5
2128,17
2089,2
2080,1
1302,25
1607,10
2524,5
1045,2
1155,2
661,2
2425,5
2971,22
2783,8
1986,18
1893,5
340,2
936,9
2705,22
502,16
527,9
201,9
691,12
1041,18
432,16
1838,25
2435,12
1434,2
572,2
2485,1
63,2
1587,5
1538,13
2118,5
224,1
1617,2
1347,2
1514,16
2756,13
2917,8
2855,12
1909,7
1229,10
2494,5
329,15
1630,12
20,19
2841,12
1934,1
2911,22
2260,2
2617,9
1933,19
1238,19
903,5
283,12
2347,2
2562,8
1969,10
2882,19
