doc_idx,category
567,5
353,8
326,6
1092,3
1054,5
360,12
1595,2
107,1
1670,3
118,7
1052,8
1362,6
553,3
1319,9
1032,5
593,5
229,7
148,2
1464,3
443,4
520,2
342,5
1549,7
6,10
276,9
1421,11
1378,10
658,5
944,5
661,11
536,6
823,0
1003,5
938,2
152,5
1663,3
475,5
667,10
278,3
935,3
442,3
191,7
652,7
813,10
80,12
1116,3
1228,7
878,0
641,6
1614,8
674,9
34,7
670,6
1729,8
251,3
1430,3
249,10
679,12
379,6
960,5
1323,8
47,9
390,12
943,3
602,3
427,6
1115,9
141,10
1658,11
53,3
762,7
568,3
517,5
240,6
298,5
1342,8
1386,6
310,3
182,1
220,3
303,4
570,6
1087,1
1309,5
1547,5
76,9
840,8
1527,8
1344,4
1702,12
14,7
1320,8
347,7
1613,6
655,12
792,12
616,8
124,3
1063,10
1572,11
18,9
572,3
217,1
1218,11
393,4
233,5
378,5
1001,3
1708,6
1477,2
988,8
1273,3
175,5
1403,5
456,7
1617,5
563,3
546,2
253,6
483,6
259,8
1330,5
744,5
161,5
1286,5
461,3
1698,1
1170,5
884,2
481,3
1642,2
1034,7
811,1
1015,5
434,11
187,10
1674,5
538,8
1398,12
689,8
913,1
609,9
632,11
962,5
1493,4
1070,10
1428,12
1178,8
39,10
733,1
657,4
1188,2
1203,1
5,5
1424,3
1673,2
519,12
376,8
1740,5
1713,6
615,11
1627,4
1376,10
918,9
58,9
1336,5
1408,8
1047,4
1648,5
19,1
54,9
1691,3
1301,2
564,12
987,5
1132,3
1515,12
861,11
9,10
820,3
994,1
1507,2
113,3
654,10
223,5
82,5
708,6
1526,7
911,5
1406,6
785,6
898,9
1018,5
262,4
844,6
1056,5
1326,5
981,3
1180,10
1587,6
85,1
122,7
1671,7
737,6
92,8
933,4
927,2
271,1
914,9
17,12
512,5
1519,6
1042,7
1742,4
511,9
883,5
1258,9
52,10
895,6
1521,6
1696,3
156,3
1374,2
575,12
1554,6
893,11
1196,6
1360,2
412,7
957,9
1355,4
1465,8
724,5
159,5
1125,9
971,7
1343,5
299,3
1061,5
1027,8
974,4
1475,5
1185,2
1600,5
1382,6
66,10
1559,5
1140,2
666,2
254,10
1281,11
1626,3
361,7
518,3
414,4
1492,1
906,7
1191,8
921,6
946,2
322,1
4,5
204,11
501,3
219,1
1045,7
1025,11
1509,10
1318,3
838,10
1602,9
936,5
1101,1
268,11
1332,11
1490,9
31,10
408,4
1505,6
535,3
1622,12
1487,4
668,2
1474,5
665,0
381,12
1158,3
1271,10
1154,3
896,3
955,2
89,6
984,12
177,5
672,5
1014,7
491,8
879,4
1226,9
1537,5
1266,9
799,5
1390,3
796,6
1079,8
760,5
1166,5
985,11
270,5
1294,5
171,2
1328,11
881,8
227,6
899,7
1679,8
858,12
1259,5
619,7
532,7
482,11
565,6
817,5
1489,6
489,11
1639,3
452,5
260,11
192,10
1093,10
549,3
308,5
1128,11
723,5
1114,12
1560,3
1394,6
465,11
620,8
425,7
467,6
558,5
202,3
133,5
1597,11
1097,5
198,5
513,5
317,9
1122,7
1651,5
315,2
1315,12
1335,1
1414,5
597,9
170,7
1169,5
576,10
924,3
45,6
1384,12
1727,1
22,11
1254,4
142,12
1044,7
1678,7
1732,11
1337,2
61,4
642,5
781,2
319,2
638,9
542,3
1078,6
184,10
1650,4
686,5
1220,3
1026,8
1616,2
289,5
1157,3
27,12
1550,4
712,3
1129,12
965,2
1270,3
210,7
440,6
948,12
438,5
784,12
649,3
769,2
1471,9
795,8
1327,9
2,5
446,1
775,2
1478,8
1369,9
479,3
1224,3
706,12
1659,12
211,4
1682,1
1168,12
1502,9
579,5
853,4
1146,6
863,5
1707,6
178,1
1232,11
516,3
96,6
108,9
1580,11
1261,3
1321,7
473,11
942,1
1222,5
1429,4
828,5
1202,4
692,3
991,3
1,5
1440,12
526,5
1062,12
871,3
522,6
934,12
891,5
48,6
1302,3
527,4
231,7
1268,5
529,3
1363,8
432,0
1189,7
1135,8
1437,3
1124,6
215,7
459,6
354,6
1096,2
794,5
77,8
716,5
1726,3
745,10
55,10
224,1
279,10
1291,5
829,9
436,4
788,1
506,5
1024,7
983,5
302,6
1683,3
218,6
372,5
295,7
364,5
887,3
1582,5
557,3
618,5
402,10
825,1
1296,10
1675,3
1290,12
485,12
333,8
487,5
539,4
399,11
1021,3
1237,4
574,8
1737,5
1476,5
688,3
966,2
581,6
1704,2
776,9
930,6
458,6
1200,6
831,11
1277,8
1248,4
1148,4
1280,5
362,1
1514,5
1586,9
37,2
1223,2
1351,12
309,5
530,3
1038,12
1288,8
1361,6
420,5
720,6
1513,5
1480,8
808,12
711,5
554,12
42,10
1005,5
1279,10
1257,2
578,5
1638,6
241,8
740,5
1305,5
1634,5
258,5
892,1
1654,4
986,3
1184,11
56,5
1735,9
768,3
1459,6
621,5
114,5
330,11
1681,3
35,4
29,1
1121,8
748,12
1579,9
793,4
1081,5
422,2
1399,7
1242,11
524,11
759,7
1103,1
1542,3
1453,7
582,11
1596,5
937,5
1458,1
587,3
651,1
548,5
826,2
580,1
1711,6
746,4
431,10
1105,4
989,5
713,7
1050,5
40,6
752,7
1504,7
75,5
1192,9
1023,2
247,3
1269,6
1186,6
312,6
1557,12
1267,3
186,7
8,8
726,12
1522,5
411,10
435,9
789,3
1174,10
1647,5
1197,9
1425,5
1234,1
818,11
445,5
995,5
923,5
1450,6
195,11
1276,7
1389,3
992,6
814,1
243,9
401,6
1029,5
1123,4
464,3
1689,8
1423,6
477,2
1217,11
905,8
1657,7
285,3
1126,3
1619,4
471,5
757,12
810,12
140,5
1147,5
1137,12
980,6
648,2
1706,0
1623,3
162,12
1662,12
678,8
426,4
1566,11
494,3
958,12
722,3
1108,5
1543,5
969,3
646,5
704,4
1680,9
194,6
1064,5
474,6
1529,9
569,8
1239,10
49,5
1349,2
1456,5
1073,6
1433,5
644,10
1520,3
783,5
1569,5
1457,5
44,9
862,7
245,5
269,7
300,5
1402,3
1397,11
1568,12
1744,10
1649,2
540,5
406,3
338,10
363,7
313,7
466,9
1661,3
283,3
320,11
500,1
685,7
1356,10
10,4
1567,9
1227,5
70,4
970,6
1002,11
916,10
1533,8
1193,3
64,12
1656,8
205,9
1010,10
731,7
328,9
486,3
1211,5
1057,1
528,5
1672,5
656,10
847,5
583,12
1473,3
1387,9
1497,6
904,5
1733,5
418,2
590,11
1255,7
725,11
1413,4
131,4
472,7
1603,6
15,5
416,11
1461,2
728,2
1177,6
743,8
505,5
1088,12
1076,9
693,8
1244,5
1439,5
703,5
78,7
1181,5
165,5
391,5
1709,5
1175,9
349,0
1333,5
1317,8
1625,4
185,6
1385,11
439,9
252,4
1738,5
507,1
311,5
907,3
717,3
625,6
761,3
695,6
1240,12
103,3
117,2
395,11
1736,5
371,10
358,6
897,5
263,8
1741,5
1615,3
1636,3
359,8
1000,5
1666,3
16,5
51,6
1339,1
601,7
493,5
1182,3
1074,8
996,6
1500,3
351,1
801,8
1655,3
1594,1
1013,3
60,3
771,12
476,1
634,5
1677,4
1720,1
