doc_idx,category
4323,3
277,5
961,8
3368,4
1220,7
1332,3
3665,9
4231,3
208,8
3031,1
1040,4
3274,9
1255,7
4037,3
328,9
3140,5
2818,3
2512,5
838,5
4156,10
717,7
2006,2
2104,2
3904,3
563,1
1759,5
986,4
3704,11
1364,3
581,3
3693,3
2928,5
1847,10
1421,10
2029,7
1456,1
1845,6
2834,5
808,3
1538,3
3674,5
3037,7
394,3
4137,8
569,2
2793,10
799,9
1210,2
3599,2
3739,10
3805,4
4282,5
1067,3
3612,1
2083,0
2532,3
966,4
1666,7
2521,5
2021,3
1490,5
2407,5
2227,6
4261,2
2065,1
1893,10
3402,4
4126,5
4297,9
1157,3
3207,3
1570,4
234,7
2219,3
547,3
776,4
2722,9
4274,11
1805,5
2603,7
1283,3
2257,3
3751,9
4363,7
4151,4
1113,1
955,1
1103,3
1641,6
4351,9
2422,6
1896,10
3695,4
4196,3
625,4
2052,3
2445,1
3504,3
3443,4
2579,4
196,11
242,5
2175,7
2297,8
4221,6
2660,10
1269,5
3976,9
708,6
676,5
2856,9
462,5
3471,3
2295,5
3064,1
787,1
1264,8
3559,5
3643,4
1353,10
9,1
2916,10
447,3
406,2
3709,11
3456,8
3648,5
3877,8
821,8
3444,4
3795,1
1097,6
4086,7
2457,3
1079,9
836,5
1403,3
3997,1
1467,5
2814,10
972,5
3889,3
1256,10
3357,7
541,3
4197,2
2531,1
3593,11
2124,4
317,1
3514,4
273,5
4001,4
1644,5
600,6
1462,9
852,5
3778,8
2092,9
1335,5
46,3
1729,4
693,6
1102,1
528,8
1683,10
1249,7
1675,10
1638,1
1651,5
1693,8
2093,1
1914,4
3340,6
3385,11
922,6
1334,2
3010,1
1193,5
233,11
221,8
3289,7
1026,9
3283,8
1737,7
2709,6
3638,3
1139,11
3849,5
1607,5
924,9
2809,10
3181,9
982,5
1003,11
253,7
894,10
2087,5
1815,5
1573,1
37,2
2119,4
158,5
1475,8
651,0
1207,3
3034,0
4230,3
659,2
1653,8
2523,4
4107,1
1819,1
3236,9
950,9
2688,1
1793,7
3465,1
1400,8
188,7
1176,5
834,5
58,11
623,10
1110,2
3299,6
2456,6
4243,5
2294,4
2731,8
451,7
1035,8
201,8
2230,11
618,11
3985,5
1594,8
2442,1
168,5
296,10
2899,0
3799,10
1824,2
2934,8
796,9
4246,9
4284,4
2795,0
2725,1
3541,2
427,3
855,8
50,4
3755,10
2549,11
2383,3
3227,9
3453,5
1308,8
3776,7
2622,3
1435,10
2646,9
2892,11
3038,9
1277,1
4177,11
3178,5
747,2
98,5
1874,1
458,6
2455,5
3591,5
2811,2
408,1
4212,11
526,3
759,2
2972,1
1051,4
3049,11
2707,8
755,1
3788,10
2970,2
4182,11
1315,2
2986,11
1044,7
1172,9
1479,1
4247,8
1701,6
2950,11
2866,7
597,8
2868,3
2741,3
3099,9
1991,5
2967,6
3539,3
1112,3
3888,2
127,4
3692,7
3211,3
178,3
4217,4
2992,9
2855,5
2796,5
3101,10
3119,11
3278,1
2764,5
495,2
943,4
1523,3
2930,10
2443,9
2851,9
4334,5
2840,4
2271,10
1453,5
521,5
1242,10
278,9
185,10
187,4
3341,5
3294,3
3365,7
254,8
4348,9
2964,2
630,7
3757,6
2664,1
379,9
477,6
1811,7
844,8
2607,2
1063,6
4294,10
251,9
1218,10
3827,11
2993,3
3810,6
1608,5
3272,8
1614,6
3698,2
122,2
2575,9
3313,1
140,4
757,2
3145,11
934,5
1997,11
3071,6
3371,8
2996,11
183,8
2410,1
2981,3
2196,5
154,2
2287,6
2682,5
2563,4
2401,4
43,10
3002,4
2624,9
2515,3
1820,1
2988,4
3208,3
1631,4
33,5
343,5
4343,1
3252,3
848,8
3433,4
3203,3
3164,5
722,7
4124,5
454,0
2060,3
2460,9
591,1
4146,3
2862,5
2095,8
3899,8
886,1
1324,3
1483,10
4268,1
2750,3
2020,3
3376,7
4054,3
580,6
38,10
1058,10
2577,11
4209,10
1355,6
1034,3
471,8
442,4
1903,9
4299,2
3864,2
905,10
2315,8
4105,10
3392,8
938,2
1799,4
574,9
2642,8
839,6
4022,1
1126,2
1648,8
921,4
1921,0
833,8
400,6
2816,8
746,9
2560,5
247,5
2516,7
2701,4
4163,1
2354,4
49,2
3897,3
2242,4
1888,2
421,4
3920,4
1270,5
229,2
1585,4
733,8
4118,11
1022,6
4211,4
4015,1
945,7
3756,6
3618,5
1966,7
1470,8
338,10
3495,5
1046,4
2906,10
2226,1
304,3
1179,5
3856,4
1002,4
3112,9
1443,8
224,5
4244,5
3518,9
1180,4
2149,11
3878,2
1529,3
44,7
2952,8
2098,10
1497,7
3098,7
2446,7
1533,5
4309,3
2912,1
133,3
2117,11
1029,10
2629,6
3290,1
150,11
3153,8
537,10
393,11
1559,3
3161,5
257,8
2922,7
3733,6
3785,8
3912,3
52,8
213,7
1376,7
1712,10
3248,1
1151,1
2567,4
2031,4
1742,4
3965,9
39,9
3613,5
4273,1
532,7
1064,1
2606,3
1615,2
3091,3
2252,7
2016,1
1401,2
869,2
4021,6
2434,8
3880,3
1279,1
1801,1
3492,1
2038,1
2491,3
3732,5
3981,2
1052,1
3964,11
2641,11
888,5
1088,5
1750,3
3759,0
323,11
1158,7
321,4
2482,4
121,1
998,7
2819,5
2789,3
2311,8
1813,3
3969,6
15,4
595,4
2497,11
3000,1
1515,6
2043,8
370,2
749,11
2584,4
4378,5
4106,10
2381,7
679,3
215,8
2285,2
2495,1
3297,3
4205,7
1800,6
3515,8
1326,8
1917,2
1869,1
760,10
3011,2
3394,3
147,9
2792,5
2670,10
2480,1
1234,2
683,8
274,7
3909,5
3195,4
1575,6
1526,7
1412,8
1621,3
1748,4
423,5
3549,5
2172,9
10,9
380,10
819,5
1018,10
3273,7
3396,6
692,1
2555,5
501,3
1741,5
2326,11
3111,1
2341,4
2517,11
2965,10
3331,9
2810,10
841,1
82,10
551,9
1946,7
3934,0
3238,3
2798,4
578,6
2363,8
2453,6
3706,2
1825,8
681,4
499,2
20,10
2376,7
2097,5
366,7
2782,7
1359,1
3794,3
244,8
25,10
2131,7
4298,10
633,7
2876,3
162,8
2869,1
2781,11
2630,5
3466,5
48,8
3513,7
3205,9
2302,10
2594,2
1908,10
2486,11
3957,10
4066,8
937,3
3610,6
2604,3
3705,9
