doc_idx,rewrite
1,Media Control
11,Calendar Events
4,Messaging
3,Social Media
12,Create a reminder
7,Weather
2,Messaging
0,Messaging
8,News and Media
9,Weather
13,Sending a message
10,Recipe Search
5,Shopping
6,Calendar Management
18,Calendar Management
23,Reminders
20,Finding company employees
14,Media Information
25,Knowledge Query
22,Setting alarms
16,Music Playback
26,Calendar Management
17,Music Playback
15,Messaging
24,Social Networking
27,Music Playback
19,Nutrition Information
21,Social Media or Contacts
30,Social Media
32,Setting reminders
33,Setting reminders
34,Weather Information
29,Music Playback
28,Weather
31,Recipes and Cooking
35,Music Playlist Management
36,Weather Forecast
38,Social Contact Information
37,News and Current Events
41,Setting alarms
44,Timer Management
43,Factual Question Answering
42,Setting reminders
40,Reminders Management
39,Find a recipe.
47,Making phone calls
51,Cooking Instructions
45,Weather Information
52,Music Playback
48,Music Playback
53,Contact Information
50,Social Media Messaging
54,Nutrition Information
46,Making a phone call
61,Music Playback
56,updating reminders
58,Sports
59,Cooking instructions
60,Music Playback
55,Cooking and Recipes
49,Election Information
57,Setting alarms
63,Calling contacts
64,Music playback
62,Alarm Management
66,Social Networking
67,Setting alarms
65,checking order status
78,Personal Information Retrieval
68,Contact Information
75,Messaging
70,Event Management
76,Weather Forecasting
69,Cooking
73,Weather
77,Messaging
79,Setting alarms
74,Reminders management
80,Weather
71,Reminder Management
83,Contact Information
84,Making phone calls
82,Contact Information
90,Weather Information
87,Calendar Management
85,Weather Forecast
72,People and Contacts
81,News and Current Events
86,Weather
88,Alarm Management
89,Things to do in Boston
95,Local Events
94,Contact Information
96,University Information
98,Setting reminders
101,Set alarm
97,Music Playback
91,Messaging
100,News
92,Music Streaming
93,Music playback control
103,Weather
102,Social Media
99,Timer functionality
104,Make a phone call
107,Timer functionality
105,Coffee Recipe Query
108,Setting timers
112,Making phone calls
110,Timer functionality
113,Reminders
116,Set Timer
109,Call Management
115,Contact Birthday Reminders
117,Music Playback
114,Media Recommendation
111,Making phone calls
106,Music event search
121,Weather
118,Music Playback
119,Contact Management
122,News reading
120,News Headlines
123,News and Media
127,Messaging
125,Music Streaming
129,Messaging
128,Setting alarms
130,Recipe Retrieval
124,Weather
132,Set alarm
126,Making phone calls
136,Reminders and alerts management
135,Setting alarms
137,Setting reminders
138,Messaging
139,Travel Safety Information
134,Calling
131,Weather Forecasting
141,Recipes and Cooking
140,Social Media Messaging
147,Recipe Ingredients
142,Make a phone call
149,Messaging
144,Messaging
133,Making phone calls
150,Finding local activities and events
145,Sports Events
143,Making phone calls
148,Making phone calls
146,Making phone calls
157,Call Management
151,Productivity
153,News and current events
158,Setting reminders
154,Political News
155,Weather Information
156,News and current events
160,News
159,Music Streaming
162,Music Playback
161,Making phone calls
152,Timer Management
169,Timer Management
168,Reminders
164,Setting a reminder
165,Government Information
163,Social Networking
173,Media Control
167,Contact Management
175,Messaging
166,Setting reminders
174,Cooking and Baking
170,Call Management
172,Events
176,Call management
179,Contact Information
181,Weather
177,Music Identification
180,Reminders
187,Messaging
185,People Information
193,Setting alarms
190,Setting reminders
182,Messaging
191,Calendar Management
192,Reminder Management
186,Weather
189,Nutrition Information
184,Messaging and Communication
188,Setting a timer
194,Setting timers
196,School calendar information
197,Calendar Management
199,Setting timers
201,Music streaming service settings
202,Weather
204,Reminder Management
198,Making phone calls
205,Reminders
195,Weather information
203,Weather Forecast
206,Deleting reminders
208,Music Playback
210,Setting alarms
209,Social and Community
213,Setting alarms
218,University Information Query
214,Event Information
216,Calling and Communication
215,Play Music
217,Messaging
207,Setting alarms
220,calling and communication
219,Setting cooking timers
221,Music Control
223,Call Management
227,News
225,Create a reminder
222,Deleting reminders
224,Calendar Management
226,Calendar and Events
229,News updates
230,Making phone calls
228,Local Events and Activities
211,Messaging
200,News and Media
212,Weather Information
231,Calendar and Events
234,Setting timers
232,Setting reminders
183,Music Provider Settings
171,Music Playback
178,Phone Calls
235,Messaging
236,Call Management
238,Setting alarms
237,News and Current Events
241,Sports Events
240,Setting alarms
243,Weather Forecasting
239,Recipe Ingredients
242,Set a reminder
244,Music Streaming
233,Calendar Management
246,Setting reminders
248,Nutritional Information
247,Setting reminders
255,News
245,Productivity
250,Setting alarms
249,Setting alarms
256,Media Playback
257,Music Streaming
254,Music Playback
252,Setting alarms
251,Recipe Search
261,Cooking Time
262,Weather
259,Messaging
265,Setting alarms
267,Calendar Management
260,Setting alarms
264,Weather Information
266,Messaging
253,Setting a timer
263,Setting alarms
271,Weather forecast
269,Timer Management
258,Weather Information
273,Setting reminders
278,Cooking Instructions
272,General Knowledge
270,Messaging
268,Messaging
277,Reminders
280,Setting alarms
281,Cooking
276,Local Information
285,Weather Information
282,Set reminders
275,Making calls
283,Making phone calls
274,Setting a timer
290,Productivity
284,Messaging
286,Music Playback
279,Making phone calls
288,Making phone calls
287,Video Calling
289,Local Events and Activities
292,Weather
294,Setting alarms
291,Weather and Time
297,Cooking
296,Contact Information
293,Setting reminders
302,Checking video messages
300,Create Reminder
295,Setting a timer
301,Local News
299,Weather
313,Weather
304,Video Calling
307,Setting reminders
310,Media Reminders
305,Setting alarms
306,Setting alarms
298,Music domain
303,Play music on iHeartRadio
312,Finding addresses
308,International Relations
311,Messaging
309,Timer Management
315,Weather
317,Weather
314,Productivity
320,Weather
321,Messaging
324,Alarm Management
322,Reminders management
327,Travel Recommendations
316,News
325,Setting reminders
326,Making phone calls
323,Calendar Management
318,Cooking Temperature
319,Timer
330,Productivity
328,Cooking and Recipes
336,Video Messaging
329,Weather Forecasting
332,Business Information
333,Calling Contacts
334,Messaging and Location Services
337,Setting reminders
341,Setting timers
338,Calendar Management
331,Weather Information
343,Reminders
345,News and Media
344,Messaging
347,Messaging
349,Video Calling
348,Contact Information
340,Setting reminders
339,Video Messaging
342,Contact Management
346,News
335,Setting alarms
351,Employment duration查询
352,Recipe retrieval
353,Weather forecast
350,Setting reminders
360,Setting alarms
363,Music Streaming
359,Messaging
355,Sports scheduling
356,Social Media Messaging
362,Calendar Management
365,Cooking
361,Setting alarms
358,Weather Information
366,Timer Management
368,News and Current Events
364,News
367,Reminders
357,Finding recipes
371,Reminders
354,Music and Events
369,Recipe Ingredients
370,News and Current Events
372,Video Messaging
375,Setting reminders
374,Set a reminder
373,Video Recording
381,Music Streaming
376,Reading court trial details
385,Music Streaming
384,Call Management
386,News and Current Events
388,News
380,People Information
383,Setting alarms
378,Setting timers
389,Contact Information
387,Calendar Management
377,Reminders
390,Timer Management
392,Contact Information
393,Sports
391,Cooking and Baking
394,Video Calling
396,Weather
397,Reminders
398,Music Streaming
379,Nutritional Information
382,Music playback control
401,Setting alarms
400,Alarm Management
399,Weather Information
402,Reminder Management
395,Contact Information
404,Alarm Management
403,Music Search
406,News and Current Events
405,Contact Information Query
408,Weather Forecasting
415,Device Control
412,Finding recipes
411,Contact Information
413,Contact Information
416,Timer Management
409,Reminder Management
407,News
410,Employment History
414,Setting a timer
421,Messaging
423,Reminders
418,Music Playback
430,Reminders
417,Play Music
419,Productivity
426,Making phone calls
425,Video Call Management
420,Cooking and Recipes
429,Messaging
428,Creating reminders
427,Making phone calls
422,Food and Nutrition
431,Setting alarms
424,Weather
435,Reminders
437,Music Playback
438,Setting a timer
441,Setting alarms
443,Setting alarms
440,Local Recommendations
445,Setting reminders
444,Music
434,Set reminders
432,Communication Management
433,News and Weather
439,News
442,Messaging
436,News retrieval
446,Cooking Temperatures
447,Making phone calls
450,Setting Device Controls
451,Setting alarms
453,Alarm Management
455,Productivity
458,Setting alarms
448,Weather
454,Medical Information
449,Cooking and Recipes
452,Setting reminders
460,Weather Information
459,TV Show Information
457,Cooking Instructions
456,News and Current Events
464,Timer Management
461,Setting reminders
462,Setting reminders
466,Setting alarms
468,Alarm Management
463,Sports scores and schedules
472,Weather
469,Setting alarms
465,Making phone calls
471,Music Playback
483,Setting alarms
480,Reminders
479,Timer functionality
470,Music Playback
484,Setting reminders
473,Current Workplace
476,Events and Activities
467,Voice Call Management
477,Setting alarms
