doc_idx,category
4887,1
663,17
5479,10
5291,8
3583,20
1293,2
3003,2
2335,6
367,11
95,7
5741,1
5450,1
2297,2
4430,22
5768,10
871,8
1579,17
1167,4
406,13
3882,11
2260,0
1059,2
4842,1
3739,21
2699,1
4993,12
5231,2
2740,1
3675,24
3971,2
136,8
797,8
1238,2
1040,2
2947,2
4473,9
2688,1
4795,2
1386,5
4668,15
3144,13
4435,16
3814,1
3259,2
3490,1
308,16
5065,1
859,14
4265,16
4764,2
5767,1
1852,10
2794,2
4944,1
2768,1
3629,2
1707,13
3214,1
3064,6
562,2
5356,18
2874,1
732,7
1018,3
4574,21
5834,21
1402,2
3794,18
5009,2
154,2
4088,19
3833,3
4224,6
1229,9
1103,2
2514,5
634,1
4277,1
4231,1
5797,21
554,12
4075,5
199,1
5598,2
2921,6
4122,3
183,1
2724,6
2346,7
35,18
5698,2
5866,2
932,5
1088,13
955,1
396,1
4274,9
3550,4
3975,22
18,11
4213,14
2246,11
2058,0
4203,8
4217,3
733,13
3652,23
1570,4
579,2
625,22
4919,1
3448,21
3279,9
1530,9
928,14
3429,15
5811,3
2598,17
3081,1
3929,7
1192,1
5753,1
4940,11
3693,6
3180,1
1104,2
5240,1
3254,1
1894,2
3912,1
874,2
4502,4
5954,1
575,15
1094,1
4410,21
1443,1
5821,18
2971,2
1016,1
972,22
3486,2
134,18
5324,1
3159,11
5710,0
1099,5
832,20
812,21
940,5
4615,18
2935,11
5089,21
4025,1
624,1
141,6
4859,16
3253,2
711,2
5854,14
5465,2
4825,18
5473,1
4655,18
620,1
2993,6
1606,20
2908,5
4972,1
5051,3
3320,2
71,18
4242,4
4724,15
4198,14
853,21
1337,8
4072,1
4046,12
2864,2
3641,2
3103,1
2767,2
467,10
3892,14
1669,2
4563,8
2816,3
3446,5
5138,3
4554,2
1139,16
5652,21
1459,2
936,9
2962,18
644,1
395,23
3096,21
4986,3
5876,11
2838,1
784,4
4654,3
2953,13
2458,5
4969,2
3042,1
4140,2
2696,18
507,14
4606,24
1509,7
2675,21
4355,6
4304,2
4984,4
3093,7
4569,8
335,12
5714,21
5889,19
1911,6
2119,2
5371,24
4647,14
4135,5
4657,2
3630,2
5674,1
5471,9
5220,24
5079,1
2015,12
3759,16
608,2
2886,1
2779,13
146,1
1436,11
2735,1
4470,2
2370,24
438,9
1492,2
3688,20
1631,5
4134,14
1219,4
4044,1
3079,7
5682,2
5134,7
1964,21
3671,2
5860,1
3101,2
927,9
94,22
4858,5
1619,5
1169,5
4534,21
126,6
2465,5
4514,10
5387,23
1997,2
643,2
1834,21
1789,3
4103,6
2624,2
3386,24
5905,3
5177,12
2901,5
3028,1
3537,16
541,10
404,15
2445,1
343,1
1921,10
1817,1
5236,11
5824,20
4792,1
1383,13
3283,1
1575,1
1426,1
2472,1
3274,3
3689,8
3041,1
1009,7
5826,3
3135,1
3531,2
534,15
1919,1
5729,13
612,7
865,11
2167,15
651,1
1725,21
1011,5
3122,1
1199,22
1121,21
3273,2
2774,13
2352,4
2847,7
1981,16
2891,20
3657,20
5112,6
4465,2
3515,4
1523,2
4577,2
2858,11
4200,17
3131,14
5799,5
63,5
2531,7
3468,7
1069,1
2476,1
4223,2
4506,1
3802,14
1563,10
5024,1
4317,17
881,1
2206,2
4127,2
4790,1
4454,2
3506,8
721,8
4977,1
2517,12
5163,8
2441,2
188,18
952,20
3980,15
4384,6
1550,13
1341,5
2128,1
4379,3
3586,2
5062,4
3491,1
4340,10
2964,11
4490,12
2846,14
5178,3
2928,6
662,11
5964,1
5247,2
1194,11
2008,1
3377,24
2158,1
3078,19
4367,1
4620,2
567,1
4001,7
3472,1
5337,1
3257,1
2363,1
4094,2
4786,7
1801,1
5603,9
4273,1
1136,2
3600,2
2630,13
3107,4
1236,17
1466,1
5990,16
2280,1
2596,2
2343,2
5078,7
457,2
2416,6
3925,9
1854,10
3238,2
5786,22
2422,11
1989,4
4634,10
2622,4
752,1
256,1
299,18
3558,1
1178,4
4503,1
4903,6
5963,3
565,11
1205,1
1915,14
5955,2
722,2
5350,10
125,2
3696,1
3046,1
5742,4
2936,6
823,6
3951,11
4320,14
788,1
1676,10
3233,21
4017,2
4710,2
571,1
3921,14
1674,1
39,4
5830,13
3185,2
2528,2
4831,1
1785,1
2423,16
2309,2
1058,9
1622,1
4838,1
4943,5
3250,14
1024,10
4612,18
3373,17
16,6
5814,10
1391,1
5983,17
5077,2
5099,4
2680,20
2810,2
2171,2
2957,8
830,1
4608,7
3881,9
1909,18
3747,1
4663,5
2273,2
4132,1
4119,1
4559,1
4926,18
817,1
4026,2
3465,2
5417,18
4872,1
1573,17
5232,6
2074,15
4263,2
3733,22
5280,8
941,5
61,17
5343,7
521,16
2084,8
3487,1
4636,1
264,18
5881,10
848,1
60,10
449,2
3923,16
3887,1
5626,6
1,21
793,15
1394,2
755,3
3265,3
1414,6
3232,15
2541,16
3932,20
4409,24
4997,8
4195,8
4703,1
4945,22
4839,1
985,12
4067,10
4814,10
2822,13
3342,11
2799,1
1508,10
596,0
2380,5
2213,14
5467,2
1856,14
4230,6
2378,18
399,4
1881,8
2573,20
292,3
1412,2
1539,15
3549,3
1882,18
1096,12
4812,23
5102,1
5035,12
3439,21
4145,1
3668,2
3146,3
1770,2
4149,2
3243,3
1543,2
220,1
4603,1
4875,1
5076,1
1602,2
4268,7
4925,6
2882,5
1012,1
2060,16
3502,1
121,3
4491,5
1524,6
42,3
4109,6
5728,0
2408,1
2340,2
761,21
5170,1
1077,19
3294,22
3713,6
3743,2
2916,20
5855,1
4748,4
5909,21
1306,22
4941,1
1432,2
3071,2
5836,9
366,20
2141,2
424,10
4516,12
3368,1
3350,1
2052,7
2252,2
3,15
3052,10
5104,2
4063,3
2922,10
487,2
2748,7
5120,2
1892,9
4461,2
378,8
3012,11
1429,1
2730,2
2007,1
1918,7
2180,2
3507,16
3803,1
358,15
3412,1
3810,1
2637,1
5877,2
712,7
4808,1
3516,21
808,9
5958,15
3573,15
5789,2
4526,15
1941,1
505,1
4826,1
77,4
3043,5
2400,5
2903,1
4678,5
5508,2
5365,1
673,10
3425,19
1695,1
1969,1
1991,2
845,22
2276,1
1403,6
1289,1
3388,2
4484,13
3731,21
2392,2
3155,1
1156,19
3893,1
2535,14
1091,1
623,3
1820,13
4711,1
1491,1
931,15
4262,1
3030,12
5498,6
1679,14
5566,1
2248,15
2479,2
1106,2
2265,1
3878,1
4782,16
5004,1
3338,15
4841,5
258,2
2164,1
4576,7
4012,1
2783,21
3946,7
4575,2
5906,19
2110,3
4510,1
2698,9
5851,3
3220,2
4272,0
4222,2
1905,11
5155,7
3406,18
1007,2
2270,9
4697,4
748,13
192,7
201,11
1300,6
4991,3
2304,10
1193,8
2603,2
2379,7
2497,2
3762,4
2349,1
3149,2
4847,2
2198,2
2676,21
3325,4
477,7
5234,18
713,1
3645,2
5488,1
5576,18
1924,2
3873,1
1826,15
3673,3
4324,11
1627,6
930,1
2474,3
419,7
3841,2
386,8
5480,10
4558,12
4488,1
4992,6
275,18
129,5
5510,15
1468,10
982,1
4455,22
757,7
2284,0
5206,1
3441,21
640,2
4287,2
4175,2
3535,0
2757,6
3111,18
2917,12
2033,1
638,15
4930,14
336,19
3664,3
2269,14
1744,20
5469,2
1328,7
5960,15
3861,6
197,20
2258,9
1379,1
5451,2
2336,1
5303,2
316,2
2892,3
1061,13
4167,2
501,10
828,2
5456,2
1316,1
10,18
2646,1
5785,1
3933,3
1998,3
1640,7
4557,16
2821,6
3005,2
4772,1
1076,12
4567,1
41,2
2140,6
1540,10
5735,22
2726,1
3454,12
5912,1
2597,17
4896,0
5429,10
3021,5
1454,2
3121,24
5248,2
3481,15
