doc_idx,rewrite
10,Nutritional Science community
6,Patent law community
11,Sports history community
4,Russian language learners
13,Digital communication community
2,Vegan fashion community
5,Industrial Robotics Community
8,PowerShell community
3,Sports equipment design
1,Science Fiction and Fantasy Worldbuilding
9,Buddhism and Christianity comparative religion community
7,Sketch design community
0,Українська мова.
12,Underwater acoustics community
14,Lego building community
15,Association football community
23,Web Development
22,Gardening community
27,Poker strategy community
19,US App Developer Community
24,ASP.NET development community
17,Physics or engineering community
25,Banking and Finance
20,Science Fiction and Fantasy
18,Italian language community
26,Electrical Engineering community
30,Hinduism community
33,History of Science and Philosophy
32,Linguistics community
31,Harry Potter community
29,Information Security community
36,Literature community
38,Woodworking community
41,Italian language learners
21,Astronomy
16,Islamic studies community
34,Project management community
43,Islamic community
39,Intellectual Property Law
40,Cryptography community
44,Japanese language learners
46,Literature or Fifty Shades of Grey fandom
45,Spanish language community
42,X509 security community
47,Woodworking community
49,Photography community
53,Islam religious community
51,Russian language community
48,German language learners
52,Science Fiction and Worldbuilding Community
54,Amateur radio antenna construction community
55,Homebrewing community
56,Medical community
57,History of Science and Mathematics
60,Homebrewing community
58,Science Fiction & Fantasy community
59,Russian language learners
35,Medical community
37,Cricket community
28,Hindu Mythology
64,Esperanto language community
68,English Language Learners
65,Science Fiction and Fantasy Worldbuilding
61,Music community
62,Human Biology community
66,Software development naming conventions.
63,Knife sharpening community
70,IOTA technical community
71,Prehistoric Earth atmospheric science
69,Sports Management Community
75,Computer networking community
72,Music community
73,Salesforce development community
76,Tor network community
74,French language community
77,Patent law community
50,Web development community
78,Tor network community
79,Cryptocurrency or blockchain development
67,Linguistics community
80,Tor Browser and Tails users
82,Poker strategy community
84,Poker community
81,Portuguese language grammar community
89,Russian language learners community
85,Higher education policy community
88,Tor community
83,Sitecore Experience Editor
93,Tridion Community
92,Agile software development community
91,IOTA technical community
90,C# programming community
87,IRI node community
86,Music Fans
97,Poker community
95,Cybersecurity and computer networking community
99,General Programming
100,Italian language learners
102,Science Fiction & Fantasy
105,Baking community
103,Board and card game community
104,Volleyball community
94,Photoshop community
96,DC Comics community
107,Game Theory community
98,Sustainability and software engineering community
101,Philosophy community
106,Electronics or radio frequency community
110,German language learners.
114,Esperanto language community
113,Jewish community
116,Tor relay operators
115,JavaScript developers
108,Українська мова (лінгвістика)
112,Italian language learners
119,English language learners community
117,Mathematics education community
120,Poker community
118,Medical or health science community
121,Cybersecurity
111,Hinduism community
109,Tor and i2p networking communities
122,Operations Research community
127,Database Design
128,Poker strategy community
135,German political science community
134,Biology community
136,Tabletop role-playing games
124,Civil Engineering community
126,Islamic jurisprudence community
125,Spanish language translation community
130,Web development community
131,Mathematics education community
132,Web development community
129,Home energy efficiency community
138,Portuguese language community
133,Amateur radio community
137,Lord of the Rings community
144,MySQL Database Community
143,Academia community
142,Esperanto language learning community
140,History and Philosophy of Mathematics
141,Islamic theology
146,SDL Trados technical community
145,Spanish language community
147,Salesforce
139,Linguistics community
150,Project Management community
153,Italian language community
152,Sports community
151,History of Science and Mathematics
149,Solar power community
123,Information Security
148,Indie and story game community
155,Fitch-style logical proof community
158,Rune-Based Magic
160,English Language & Usage
154,Esperanto language community
161,Music community
159,Poker community
156,Latin language learners
157,US life expectancy statistics
164,World of Darkness tabletop role-playing games
163,Patent law community
165,Esperanto language community
162,HVAC engineering community
167,Literature community
169,Medical community
172,Texas Hold'em poker
166,Patent law community
168,Homebrewing community
173,Excel community
171,Web development community
177,DoTA 2 modding community
180,Russian language community
170,Science Fiction and Fantasy
178,Tor browser community
176,Medical or Emergency Response Community
174,Italian language community.
175,Judaism
182,Roleplaying community
184,Astrophysics and Science Fiction
181,Russian language community
179,Home brewing community
188,Vegetarian nutrition community
186,History of Computing
185,US Patent Law Community
190,GIS Community
187,Russian linguistics community
197,Mathematics education community
193,Woodworking community
189,Poker game theory
196,English Language
195,Italian language learners
183,.NET Windows Forms developers
191,Portuguese language learners
194,Homebrewing and Cider Making
202,Dungeons & Dragons
192,Science Fiction and Fantasy community
198,California DMV community
207,Physics community
200,United States patent law community
205,Bitcoin community
203,Poker community
201,Personal Finance
204,Legal community
199,Sitecore Community
210,Harry Potter community
211,Esperanto language community
209,Homebrewing community
212,NBA statistics
215,Vegan cooking community
213,IOTA cryptocurrency developers
206,Russian language learners
208,Tridion community
214,Online community management
219,Science Fiction and Fantasy
218,Food safety community
216,Homebrewing community
222,Software development community
228,Patent community
224,Vegan nutrition community
226,Cryptography community
223,Italian language learners.
229,Poker community
221,Waste management community
220,XML developers
225,Russian language learners
227,German language community
230,Skeptics community
217,German language learning community
233,SharePoint CAML developers
234,Music identification community
232,Internet of Things community
231,Harry Potter community
