doc_idx,category
2078,41
311,27
720,50
2493,0
536,6
298,33
1537,1
104,33
1649,9
2299,33
461,36
2980,1
2281,0
2664,26
1109,0
983,52
305,10
1191,9
1716,0
1587,40
2590,40
1014,47
1003,23
2770,26
1025,31
2941,44
2277,9
1464,21
1476,28
22,7
1027,42
2692,22
463,9
762,27
30,40
2132,26
1410,47
961,15
306,1
156,3
569,14
2126,33
599,37
1230,15
2850,9
2053,23
1108,46
1768,47
899,46
1351,29
1244,0
977,15
615,37
2160,37
2925,23
2785,2
2561,33
2397,14
2460,14
503,41
1530,15
2083,27
92,26
722,42
1330,36
2461,21
2704,26
1255,14
2411,15
1788,26
638,47
1217,41
483,0
485,42
1682,6
1827,0
2508,44
898,47
1009,28
2619,15
905,37
686,28
1961,37
1917,1
1129,44
295,44
910,50
1999,41
1303,29
600,37
118,0
545,19
643,9
663,0
981,47
2910,14
2738,28
793,47
1106,28
1101,40
995,2
1259,50
1246,37
836,42
1343,9
2526,42
1403,33
2259,14
1762,0
263,26
1453,50
538,41
1187,46
1894,15
1560,33
2624,17
117,42
2457,29
2142,3
661,5
2229,41
195,46
1872,41
979,42
2717,37
2385,14
1099,23
2325,29
2231,33
1709,15
2977,14
224,37
529,23
501,29
2070,15
2373,47
953,44
2707,27
716,44
2014,50
1604,14
1738,44
2262,29
2923,37
2026,37
1477,45
896,42
578,1
1763,41
2399,1
2193,0
2877,20
1942,38
1059,28
1197,24
2950,41
728,8
2804,6
472,33
1746,33
1875,29
852,6
33,46
410,23
2956,37
1368,23
2551,19
850,3
352,47
2113,4
465,23
934,40
1951,42
1055,14
1898,33
743,3
2918,41
446,21
1867,49
2208,6
2803,52
2439,23
23,46
2444,29
399,50
1637,44
2616,41
227,42
138,27
971,23
2521,44
2099,27
1041,33
683,3
1236,36
1952,15
831,26
252,42
1554,46
2794,33
2563,46
886,1
1418,28
2497,41
618,3
253,41
2102,34
182,9
1880,40
1465,40
1147,46
2476,12
1065,46
2301,40
1450,1
531,29
2844,0
380,0
217,25
2264,0
1302,44
1615,44
682,0
1140,0
2865,26
935,0
2350,14
991,9
2836,33
951,0
1766,47
2838,9
1511,0
2050,1
1742,28
1023,33
806,21
10,15
655,27
385,14
2048,28
1390,37
1068,40
2360,14
924,20
989,23
1618,3
2248,0
2419,11
2254,15
2436,47
1114,37
2047,6
921,36
1158,3
248,9
570,23
2519,21
2321,33
70,41
868,15
2291,47
1049,50
878,41
628,28
849,26
1118,49
15,37
982,44
2168,14
179,27
543,44
2801,37
2174,30
2034,15
1912,1
616,53
1122,26
1063,27
2095,3
1698,34
778,34
