doc_idx,category
1256,1
1254,8
840,6
1888,1
770,8
1507,9
1404,7
1203,8
1273,13
1716,17
599,1
1159,5
1258,1
1654,12
214,16
1189,1
1722,21
1866,13
998,3
1490,8
1503,14
186,5
1480,20
142,1
699,13
1290,1
1581,20
326,1
929,13
1815,13
291,14
207,10
25,1
1050,14
1440,1
333,13
205,1
467,14
1265,10
1671,8
634,15
558,8
1302,1
1431,5
1378,1
586,9
325,8
1934,10
88,8
93,13
1577,7
1272,6
381,8
1023,13
31,1
441,6
556,8
639,13
1781,2
1098,1
12,8
1405,15
1475,5
1333,8
1337,13
977,12
928,13
352,17
1489,6
1139,1
1691,14
45,16
347,1
1175,14
1116,13
638,16
342,13
635,20
496,8
1719,13
1540,12
990,2
1519,1
682,6
841,1
533,11
1954,1
1126,14
817,14
735,11
33,8
1,6
1938,1
1448,14
824,7
424,13
834,17
1733,14
747,1
1849,1
224,1
882,7
70,18
534,21
531,16
758,1
1776,18
266,8
1107,1
1775,13
907,1
759,14
606,1
945,1
1598,8
374,1
1123,14
1761,6
1749,1
811,14
952,7
1979,1
1269,14
1344,6
989,1
1571,4
117,9
1057,5
1644,8
1670,16
960,8
447,13
1682,16
1364,1
1509,1
1246,1
978,1
688,14
965,14
1780,15
521,9
1247,14
1327,14
329,16
1423,13
552,16
457,9
983,1
1718,14
818,8
1087,7
42,14
1615,1
222,1
1881,1
1597,13
1044,17
1005,13
1397,9
1816,21
495,1
1339,14
1711,8
1283,8
1073,8
1457,6
192,13
1033,13
1916,1
1784,10
410,1
1214,17
624,13
1040,11
885,1
1449,15
736,1
170,9
1548,1
1684,3
1205,14
607,16
1020,6
1043,1
775,1
569,7
1821,8
1652,6
1439,1
1696,14
185,8
1926,21
152,15
453,1
661,8
526,1
85,14
334,14
546,1
844,1
1274,9
1494,15
994,1
1243,1
400,1
1551,7
1589,14
790,7
1974,7
727,17
769,1
1391,2
1601,13
1414,2
737,6
675,16
1955,14
872,11
140,21
1744,1
566,6
398,1
527,8
1220,5
562,5
1271,5
1973,14
1233,18
853,13
720,1
528,8
1966,1
1844,5
463,1
1180,15
1566,5
917,13
1141,9
1042,8
248,1
1747,8
1347,13
1216,15
1384,16
1149,1
460,16
1870,14
1376,8
971,1
1412,18
782,9
1312,1
39,1
337,6
465,1
896,1
532,1
1065,16
237,1
1009,8
309,16
1896,1
382,11
1262,14
523,13
1152,1
664,5
1734,15
1039,13
30,5
1801,8
1864,14
502,15
1928,1
65,14
608,6
243,10
311,5
253,6
1068,15
530,1
1536,8
950,1
1854,1
1842,1
1351,17
724,1
1802,3
1530,13
858,14
888,13
1687,14
927,13
668,1
1113,1
1989,15
1508,8
1550,15
327,21
1161,17
892,9
1642,1
139,5
848,1
517,1
1616,21
1922,13
417,9
1662,15
1575,15
49,8
34,1
910,13
1059,10
780,8
146,9
1239,1
1478,13
482,5
1800,14
1513,11
1643,17
1034,1
339,12
1385,7
582,18
1349,16
751,21
378,1
1593,21
1608,1
1186,8
642,15
883,14
1770,7
1487,15
1913,14
738,1
202,12
298,1
452,1
1792,3
654,13
940,8
1980,1
704,1
462,6
1830,21
1572,16
955,14
1401,18
1523,14
690,14
180,6
572,6
295,9
1932,1
924,1
1862,15
208,5
1251,12
1072,20
148,1
809,13
581,15
1275,13
560,8
499,14
1887,4
134,16
1624,1
1777,2
578,15
1825,8
773,6
1160,1
1883,13
658,7
539,16
1424,13
1417,16
1425,8
209,1
1705,4
1071,18
721,9
130,1
408,1
591,6
181,1
1903,6
604,2
868,14
1561,15
1831,16
567,1
247,15
343,9
1326,14
1345,10
1342,1
792,1
429,13
19,1
545,1
991,13
1641,1
321,10
196,15
118,11
189,5
1130,13
1853,1
485,1
1331,13
1328,8
979,13
227,13
614,6
1690,5
1223,8
1413,1
416,12
1789,6
1804,14
1225,8
1388,13
1316,3
598,2
1080,8
1104,8
1818,13
794,14
1128,1
114,7
324,14
1967,8
491,8
1836,1
1728,13
822,14
1226,13
536,1
21,7
900,13
1985,5
520,1
1952,15
712,7
226,21
1277,13
481,9
514,8
1221,1
1261,14
1284,8
182,13
1270,14
1495,14
213,14
1900,0
418,15
543,1
193,1
1622,8
1965,13
60,20
229,1
86,16
22,5
1667,1
1162,14
308,17
302,13
276,12
1021,20
842,17
242,16
835,1
304,13
358,1
895,6
753,16
716,17
911,14
1308,1
538,1
987,14
501,13
348,16
748,5
768,15
1373,1
982,15
613,1
1165,1
992,1
1787,1
1084,1
891,15
630,7
1595,1
843,9
1841,21
1742,18
1605,4
1006,1
1970,1
100,11
1739,15
1771,13
346,14
1142,14
918,5
480,1
484,18
257,2
124,20
958,15
1668,8
1319,6
1303,1
615,13
905,2
