doc_idx,rewrite
12,OpenGL developers
6,LibGDX game development
3,3D animation and modeling community
0,Game development security
10,Game development
8,Unity game development community
5,XNA game development community
9,Video game development community
13,Game Development
4,Computer graphics programming
11,Cocos2D game development
2,Unity game development
1,XNA game development community
7,Android development community
16,Game development programming
22,LibGDX game development
20,OpenGL graphics programming community
15,Procedural terrain generation
25,Game development programming
19,Unity URP shader development
26,Computer Science Educators
18,C++ game scripting integration
17,OpenGL matrix transformations
27,DirectX 11 developers
28,Blender game development
14,Unity game development community
24,Video game development community
32,Unity game development
34,Unity Hybrid ECS
21,Game Development
23,Unity Shader Development
29,XNA Game Studio developers
35,Unity game development
36,Game Development
30,Game development graphics programming
39,Unity game development
38,Unity game development
42,Geographic Information Systems community
43,libGDX game development
41,Chipmunk physics engine
37,Unity game development
33,OpenGL development community
31,Unity game development
45,Game Development
44,HTML5 Canvas developers
40,Game engine shader development
49,OpenGL game development
48,Computer graphics programming
50,Unity 2D game development
46,Voxel engine development
52,Unity game development
47,Unity game development
57,Direct3D development community
54,Unity game development
53,MotionBuilder character animation and mocap retargeting
58,Mathematics StackExchange community
55,Game development community
56,Unity game development
62,Unity game developers
60,ActionScript community
51,Game development physics programming
63,Browser-based multiplayer game development
61,SpriteKit and iOS development
59,Game Development community
64,C++ OpenGL batch rendering
68,C# game development
65,Game AI development
70,Game development networking
71,LibGDX Game Development
73,Game development physics programming.
72,Unity game development
69,Unity game development
66,Unity game development
74,Game modding development
67,Computer graphics programming
76,Game development community
75,Unreal Engine C++ development
77,SFML game development community
79,Unity game development community
80,HTML5 Canvas development
81,Game Development
87,Unity3D game development
83,Unity game development community
84,Unity game development community
82,GLSL shader programming
78,Unity developers
89,Game development for Microsoft platforms
91,Game development
85,Game development
86,Game design community
90,Unity game development community
95,SDL2 game development
88,GLSL shader programming community
94,Game development programming community
92,Unity game development
97,Pygame
93,Game development community
96,XNA Game Developers
103,Game Design
98,C++ game development
99,Computer graphics programming
102,Unity game development
106,Game development
101,Game Development
105,PyBullet physics simulation
104,Java Graphics Programming
100,Android UI development
108,Unreal Engine game development community
111,LibGDX game development community
109,Unity game development
110,Unity game development
107,Godot game development
113,Blender to Godot game development
114,Game Development
112,WebGL and OpenGL developers
116,Computer graphics programming
120,OpenGL graphics programming
117,DirectX 9 graphics programming
118,Mobile game development
121,Unity game development community
115,Game development community
119,Game Development
123,Unreal Engine development
127,Game Development
129,LibGDX community
125,Unity VR development
131,Python MMO game server development
122,C# application development
126,Unity game development community
128,LWJGL game development
133,Game development physics simulation community.
130,Unity game development
124,Flash animation and spritesheet creation
132,Game development collision detection
134,Game Development
136,Hearthstone and Magic: The Gathering game development
135,MonoGame/XNA SpriteBatch developers
137,Game Development
146,DirectX developers
145,Unity2D game development
139,LibGDX game development
138,DirectX shader programming
141,Game Development
144,SDL 2.0 development
140,CraftStudio game development community
150,Java game development
148,Unity game development
142,Unity 2D game development
147,3D game development
143,Computer graphics programming.
149,LWJGL game development
153,Unity game development
152,Game development collision detection
151,Video game design community
156,Android OpenGL-ES development
154,Game Development
157,Unity game development
155,Game development texture compression
159,Game Development
158,Game development community
160,Unity and SteamVR development
163,SharpDX and DirectX community
161,ActionScript 3 developers
165,Software development
168,Buddy API technical community
166,3D matrix transformations
167,Game development programming
169,Android OpenGL ES development
170,HLSL shader developers
164,OpenGL C++ developers
162,OpenCTM file format community
177,Android OpenGL ES development community
174,Unity game development
176,Unity game development
180,XNA 4.0 Game Development
171,Unity game development
172,Unity game development
173,libGDX game development community
179,Pygame community
182,Game Development
183,XNA Game Development
181,Unity 2D Physics
186,LibGDX game development
190,Multiplayer game development
187,Unity game development
188,Unity game development
194,OpenGL graphics programming
175,XNA Game Development
178,Unity game developers
185,OpenGL ES 2.0 developers
192,Ogre 3D rendering engine
184,Unity and Photon multiplayer developers
189,LibGDX game development
193,Unity game development community
195,Unity game development community
191,OpenGL and Qt development
198,DirectX developers
196,Box2D game development
201,Android game development
206,3D Studio Max users
200,Unity game development community
205,Unity 3D game development
207,Java game development
197,HTML5 web development community
209,Unity HLSL Compute Shaders
203,Game Development
202,Cocos2d game development
199,Game development community
204,Game development
208,LibGDX game development
211,Unity game development
210,Unreal Engine Blueprint developers
214,Game development
216,Unity 3D game development
213,Computer Graphics
220,Unity game development
222,Unity game development
217,DirectX developers
212,Unity C# development
223,OpenGL texture wrapping
219,OpenGL ES 2.0
215,GameMaker Studio developers
218,Artificial Intelligence and Game Development
225,Game Development
224,Unity game development community
221,Shoot 'em up game development
226,Game Development
227,Game Development
229,Unity game development community
228,Java game development
239,Unity3D game development
233,Game Development
231,Game development networking
240,Apple Developer Program
237,Unity game development
242,Game Development
235,Game development
238,Computer Graphics
232,XNA Game Studio developers
241,Cocos Code IDE community
236,Game development marketing
230,C# floating point arithmetic
234,Game networking and server architecture
243,Java Swing developers
244,Game Development
246,OpenGL graphics programming
250,SDL2 game development
253,XNA Game Development community
252,Unity game development community
254,3ds Max
247,Game development collision detection
249,Ogre 3D or Mogre development
248,Unity game development community
245,Unity game development community
251,Game development
255,Java game development
256,Game development programming
257,Unreal Engine 4 development
259,Unity game development
258,Game development quest system design
261,Game development community
