doc_idx,category
789,14
1597,45
1261,34
2350,15
1310,36
958,13
1188,36
1239,36
1735,4
1036,25
353,14
1154,30
182,1
793,1
2250,14
2275,11
1523,14
276,15
1810,30
2035,14
1991,18
906,11
810,1
1129,13
2293,15
674,36
890,15
868,32
1918,5
1165,36
2037,38
805,1
2268,14
2215,0
657,22
2286,20
758,14
2256,1
1917,40
1861,9
2364,32
1895,39
457,36
2371,2
1675,45
2372,1
1378,36
1549,14
2332,0
1643,15
2170,0
333,37
1674,16
1315,19
135,14
33,14
900,3
688,37
1358,45
727,13
832,8
1726,40
1257,36
405,10
829,30
1968,20
1459,29
1635,14
792,36
259,30
1758,36
581,14
465,43
575,23
53,7
602,10
1242,21
443,35
2006,13
1137,6
2000,4
1056,10
682,35
916,1
757,14
568,14
1083,14
2307,15
828,0
418,45
2242,30
2381,21
648,15
2449,1
2301,14
1797,39
2290,14
379,0
966,15
1615,36
224,10
156,10
1374,23
2451,22
1752,23
27,8
1521,36
1096,12
986,21
2330,18
2458,2
1519,10
2394,22
1898,36
1504,41
655,40
1279,15
1136,29
320,11
1767,15
148,5
2047,15
1363,13
962,33
899,32
1598,34
2429,14
192,15
1055,36
1573,11
2072,20
676,6
1590,44
1687,16
2263,8
951,8
361,0
1804,15
70,42
2173,14
453,36
1533,32
791,3
384,38
1302,39
621,15
684,2
1845,14
390,45
2287,32
9,28
2114,8
1428,32
1027,33
2380,39
57,0
2082,41
2014,15
2437,36
597,39
425,15
953,43
1914,31
2017,27
666,15
557,37
665,15
2245,20
1824,0
1023,15
2382,0
1446,13
1876,20
806,19
1063,25
609,24
1355,24
1843,23
720,36
1436,14
480,14
1732,7
1529,1
1150,0
1988,15
981,2
1423,45
2355,0
1051,14
399,30
530,36
2085,6
1759,12
579,14
1108,0
1273,11
2225,34
1648,10
69,1
1560,45
1042,1
1211,0
982,15
914,11
638,10
132,10
391,3
1668,26
14,11
988,36
104,15
314,32
385,11
2110,0
215,36
2234,36
1846,16
195,38
41,14
411,1
302,14
1748,14
2005,36
2201,5
2061,40
1032,45
1217,36
913,8
271,23
563,16
667,9
799,9
1127,36
933,20
815,15
987,22
1049,30
596,0
2463,8
1362,35
1679,44
251,15
23,26
883,17
22,36
619,15
1902,29
1373,14
402,5
2138,3
98,40
1621,40
1448,0
2430,8
204,15
1091,24
1756,11
704,1
1950,23
1175,0
454,19
1473,6
2386,36
1449,15
232,14
748,30
289,36
558,39
543,1
124,39
1327,26
1009,36
248,19
10,36
2236,14
711,36
1170,45
905,8
672,1
1070,23
2400,35
687,7
2351,14
703,45
1397,32
569,19
936,15
2232,1
440,10
2379,45
162,30
2401,36
2316,15
2454,15
1870,36
489,40
1330,21
1972,10
882,10
436,15
1103,1
1893,11
330,34
971,14
1427,36
39,32
2031,14
2044,18
1626,15
646,36
663,15
37,43
252,9
910,4
2314,30
547,11
935,36
996,20
1025,10
1511,13
1624,40
1418,36
1226,43
137,0
1716,22
2390,36
1205,35
