doc_idx,category
1462,3
1578,10
1277,3
896,2
45,1
768,10
298,1
1652,10
192,1
1167,5
142,1
951,2
1692,3
480,12
843,2
1818,9
1144,7
1728,8
1180,5
566,4
848,5
343,10
1632,14
877,2
1852,9
1023,3
1603,1
581,11
1404,3
1139,10
1792,15
713,11
381,6
1022,2
1101,10
1126,10
1785,15
1833,15
1166,10
642,12
311,6
1772,14
499,12
205,1
450,11
841,2
598,4
961,2
325,6
140,1
248,1
1402,3
965,2
936,8
31,1
334,6
1830,15
1669,2
1114,10
552,4
542,12
374,6
517,4
944,2
1440,3
1540,3
452,11
664,9
1548,3
1236,5
1071,2
453,4
1152,3
33,1
1437,3
1241,5
705,8
635,4
1344,3
398,6
1308,3
1149,10
1265,3
1457,3
1128,7
1589,1
460,2
1825,15
879,2
872,2
12,1
648,9
309,6
1608,1
253,1
901,2
1420,3
1174,5
214,1
501,12
1285,3
1371,3
333,10
523,4
634,4
489,3
1439,3
1077,5
1703,3
545,4
688,4
830,2
1535,3
541,11
1246,5
1857,9
1716,10
1436,3
1184,9
1310,3
824,15
88,1
1613,8
222,1
1552,3
1860,15
39,1
721,12
1504,1
661,12
607,4
945,2
1884,13
324,6
1671,3
1579,10
416,6
186,1
65,1
796,2
496,4
982,10
528,4
543,14
1395,3
117,1
424,6
1242,2
1201,5
1141,10
818,2
1150,10
675,4
1778,3
291,1
1510,3
1214,5
1640,0
575,4
1489,3
950,2
329,6
991,2
1621,14
1525,3
1327,3
434,6
1863,15
712,5
1876,7
1678,2
1779,5
1426,3
1153,10
1328,3
1,1
1134,1
1853,3
1326,3
1305,3
690,4
737,10
1044,5
599,4
729,4
929,2
917,2
735,12
1453,3
1409,3
546,4
421,6
400,6
1667,2
782,2
1145,12
1177,5
1461,3
481,4
955,2
1059,2
146,1
1353,3
1256,5
596,12
243,1
1261,3
1341,3
1704,2
1120,3
1600,15
418,6
989,2
1706,2
1805,15
958,2
608,15
817,2
224,1
1725,15
1132,10
462,4
185,1
1595,15
1097,9
1220,5
1248,5
1631,2
1070,2
1687,3
1690,15
491,4
1864,15
463,11
811,2
836,2
457,11
1557,15
266,1
500,12
899,2
1526,3
907,2
1858,8
586,7
1644,11
892,2
295,1
1908,1
1634,0
660,9
685,9
1448,3
520,4
1844,10
1119,10
844,2
465,4
410,6
180,1
673,9
148,1
1531,3
1869,8
208,1
668,9
482,4
1129,7
1895,13
1157,7
1662,2
134,1
1859,15
861,2
1605,15
209,1
1072,5
1321,3
617,4
321,6
514,11
130,1
911,2
1481,3
1410,3
1551,3
900,2
659,1
1787,14
894,5
181,1
1911,13
196,1
247,1
1748,10
981,10
1247,5
882,2
19,1
761,10
1043,2
189,1
118,1
801,2
485,12
1020,2
227,1
1724,15
1810,6
417,6
1234,3
1568,15
1162,7
1163,5
1668,2
790,2
1560,10
1885,13
895,2
114,1
1680,14
699,12
1480,3
1313,3
605,8
716,6
1789,4
1890,2
1619,10
889,2
226,1
408,6
1209,5
1237,5
382,6
521,3
467,11
182,1
537,11
193,1
826,2
748,10
1189,5
213,1
1629,0
1506,3
86,1
276,1
1207,5
22,1
60,1
1880,15
229,1
302,6
834,2
870,2
1817,15
890,2
358,6
709,8
348,6
978,2
304,6
1350,3
1446,3
1441,15
734,4
495,6
1006,2
1013,2
810,6
1479,3
1160,7
639,11
1524,3
1622,14
378,6
656,15
582,11
763,10
1615,14
1821,15
21,1
562,4
1048,10
326,6
1358,3
593,11
776,3
202,1
736,10
124,1
257,14
891,2
534,4
770,3
