doc_idx,category
541,23
3308,31
3048,83
302,64
3575,95
3653,73
2300,41
1698,29
3530,77
2643,51
841,68
253,0
2126,68
648,0
1478,44
2841,46
712,62
3372,96
3559,27
117,57
1150,47
1599,74
1931,43
2010,29
1043,8
2581,89
861,12
1318,57
2817,97
2891,46
3574,29
3425,32
224,100
88,57
2772,29
2433,61
3390,96
866,64
999,41
2103,54
2064,12
1832,30
883,46
2112,8
2194,64
962,40
2746,27
1015,92
3072,95
1756,30
3278,84
2563,73
3583,29
2964,77
248,75
840,0
686,36
1763,30
2973,0
3527,77
3596,99
1775,29
45,51
533,51
1390,1
2363,0
2831,56
3039,0
2198,46
1770,42
3329,39
1583,80
1548,30
2699,31
1773,30
346,14
3348,0
1444,0
1939,0
768,74
3520,77
2500,99
2637,46
3634,68
1980,28
1157,65
378,0
3561,27
3464,87
295,42
3398,76
2629,46
1246,34
1,0
3501,84
2976,74
3405,76
3307,64
2585,73
192,75
326,99
2369,0
3500,29
1160,46
2000,99
581,34
3381,92
2201,58
2662,61
3628,100
3017,43
1593,80
2584,73
2075,46
2928,73
2611,74
398,22
3049,71
2705,25
3155,99
2123,74
3374,95
1523,29
2601,38
2761,27
2570,97
668,99
2724,52
3096,25
408,23
1032,92
2657,47
1180,57
2332,0
3525,77
991,20
185,75
1819,35
3279,88
2756,27
2932,73
333,75
2561,0
1496,46
3418,32
1652,42
1268,35
2252,66
2690,30
1002,92
2004,29
2473,94
546,23
1432,34
638,47
2861,45
39,56
443,4
3257,0
3146,25
298,29
134,50
33,27
2165,59
520,29
148,61
304,99
2824,64
514,30
661,30
2225,48
3030,73
836,64
1414,35
3358,0
496,87
3054,73
3511,99
1695,35
3016,33
2936,68
2764,17
3554,29
643,87
1070,46
2277,97
3573,67
2263,55
654,42
2012,99
1878,73
2456,0
3567,29
1073,80
482,30
2125,75
3132,39
196,68
1349,57
2454,68
517,30
1269,0
2688,0
214,29
189,81
1093,56
1077,57
2919,87
1108,56
118,57
227,29
1262,30
311,29
3035,0
3472,73
1587,0
1752,30
616,47
1855,57
2231,46
1065,45
2242,54
599,2
1388,1
2295,99
3638,0
2722,99
485,0
2935,87
1794,35
2774,30
558,23
352,0
1471,25
3018,83
2025,29
3669,55
565,5
1991,29
1959,18
3210,100
955,0
2411,92
1236,0
2704,57
3416,0
2291,27
182,12
2151,29
2853,65
3202,29
3509,29
3615,0
1069,75
2358,68
1857,57
22,28
276,14
879,12
1119,56
1068,76
410,57
3444,83
543,30
502,29
1127,46
1397,27
1533,35
1094,56
534,24
1982,29
1292,54
936,12
2172,68
3595,99
1078,46
2992,33
971,0
489,27
124,46
480,29
1448,48
202,29
3006,33
682,0
2302,99
2142,71
2203,23
481,77
1836,57
3630,99
528,33
685,99
2509,38
1116,46
92,46
1197,44
30,28
1839,57
2016,85
2777,25
499,87
3217,80
1014,90
3014,33
1808,35
1916,34
418,0
2487,92
3470,76
1964,18
3395,33
3237,44
1313,0
538,17
49,52
1254,34
1501,9
3244,73
2795,37
308,0
2618,0
1632,42
3367,95
3034,0
3492,42
710,36
1491,9
3101,95
1694,27
2630,46
296,99
1573,75
615,47
635,0
545,29
3412,35
3023,0
582,2
2070,46
3007,33
898,68
3433,66
716,30
1476,76
871,74
3173,36
2374,99
2773,27
526,62
2270,97
981,41
1385,10
1754,29
2624,13
2615,64
10,30
14,0
306,97
3334,0
4,28
817,12
1330,56
170,81
3207,59
2293,29
2426,91
2505,92
3436,73
2406,95
899,12
2281,99
775,17
880,46
501,54
3196,76
3178,62
1696,27
2594,75
1110,50
1540,31
3543,0
3648,11
290,29
3636,73
1013,92
1436,87
938,11
2054,12
3148,39
402,48
2101,47
