doc_idx,rewrite
3,eess.SP
13,cs.IT
4,cs.IT
2,cs.IT
8,eess.SP
10,eess.SP
9,eess.SP
7,cs.CC
11,cs.IT
6,eess.SP
12,cs.IT
1,cs.IT
0,cs.IT
17,q-bio.PE
5,cs.IT
16,cs.IT
14,cs.IT
21,eess.SP
24,math.CO
20,eess.SP
23,cs.IT
25,math.CO
15,cs.IT
22,cs.IT
34,eess.SP
26,cs.IT
27,cs.IT
31,eess.SP
32,stat.ML
28,math.PR
33,cs.CR
30,cs.IT
35,eess.SP
29,math.ST
19,eess.SP
18,cs.LG
37,cs.DS
36,cs.DS
41,math.CO
43,math.CO
39,math.IT
44,math.CO
42,math.CO
38,cs.NI
40,math.CO
47,math.CO
48,math.CO
49,math.CO
45,math.CO
51,math.CO
53,math.CO
50,math.CO
52,math.CO
59,math.NT
57,math.CO
56,math.CO
46,math.CO
54,math.CO
60,math.CO
55,math.CO
62,math.CO
65,math.CO
67,math.AT
58,math.CO
64,math.AG
68,math.CO
72,math.CO
61,math.CO
69,math.CA
66,math.AG
75,math.CO
63,math.CA
74,math.CO
78,math.CO
71,econ.TH
79,math.CA
80,math.RA
77,math.RT
76,math.CO
81,math.GR
82,math.GT
73,math.CO
83,math.NT
86,math.GR
70,math.CO
92,math.GR
88,math.GR
90,math.GT
85,math.GR
93,math.GR
87,math.GR
91,math.GR
95,math.GT
96,q-bio.NC
84,math.GR
97,math.GR
99,math.GR
94,math.DG
100,math.GN
104,math.RT
103,math.GR
101,math.GR
98,math.GR
102,math.GR
89,math.GR
107,math.GR
106,math.GT
108,math.GR
109,math.CO
105,math.GR
113,math.GR
110,math.GR
111,math.GT
114,math.CO
116,math.RT
112,math.GR
117,math.GR
119,math.GR
115,math.GR
123,math.CA
122,math.CA
125,nlin.SI
118,math.GR
127,math.CA
128,math.DS
121,math.CA
124,math.CA
126,math.AP
120,math.FA
133,math.NA
131,math.CA
130,math.CA
129,math.DG
134,math.CA
136,math.NT
137,math.AP
138,math.DG
132,math.AP
144,math.CA
143,math.NT
145,math.CA
146,math.AP
139,math.CA
142,math.CO
141,math.DS
147,math.CA
140,math.PR
148,math.CA
135,math.CA
150,math.AP
152,math.AT
151,math.CA
153,math.CV
149,math.FA
154,math.CA
159,math.PR
156,math.DS
160,physics.plasm-ph
158,math.CA
163,physics.plasm-ph
162,physics.plasm-ph
155,math.PR
166,physics.plasm-ph
157,math.CA
165,physics.plasm-ph
164,physics.plasm-ph
169,physics.plasm-ph
170,physics.plasm-ph
167,physics.acc-ph
172,physics.plasm-ph
175,physics.plasma
173,astro-ph.SR
171,cond-mat.quant-gas
177,physics.plasma
179,physics.plasm-ph
176,physics.plasm-ph
161,physics.plasm-ph
178,physics.plasm-ph
168,physics.plasm-ph
182,cond-mat.soft
181,physics.plasm-ph
184,physics.plasm-ph
183,physics.plasm-ph
174,physics.plasm-ph
180,physics.plasm-ph
190,physics.plasm-ph
189,physics.plasm-ph
191,physics.plasm-ph
188,physics.plasm-ph
186,physics.acc-ph
185,physics.plasm-ph
198,physics.plasm-ph
195,physics.plasm-ph
192,physics.plasm-ph
197,physics.plasm-ph
194,physics.optics
187,physics.plasm-ph
196,physics.plasm-ph
193,physics.plasm-ph
201,cs.LG
202,cs.AI
204,cs.AI
203,stat.ML
199,physics.plasm-ph
208,cs.LG
205,cs.LG
200,math.OC
211,cs.LG
206,cs.LG
212,stat.ML
213,cs.LG
214,cs.LG
210,cs.LG
216,cs.LG
207,cs.LG
219,q-bio.GN
221,cs.LG
217,q-bio.QM
223,cs.LG
227,cs.LG
225,cs.LG
226,cs.LG
220,stat.ML
218,cs.LG
222,eess.SP
224,q-bio.PE
209,eess.IV
229,cs.LG
232,cs.LG
215,cs.LG
228,cs.LG
233,cs.LG
240,cond-mat.supr-con
241,cond-mat.supr-con
239,cs.LG
230,q-fin.CP
235,cs.LG
237,cs.LG
238,cs.SD
243,cond-mat.supr-con
234,cs.LG
236,cs.LG
244,cond-mat.mes-hall
242,cond-mat.supr-con
231,cs.LG
246,cond-mat.supr-con
248,cond-mat.quant-gas
250,cond-mat.supr-con
256,cond-mat.mtrl-sci
253,physics.class-ph
257,cond-mat.supr-con
254,cond-mat.supr-con
255,cond-mat.supr-con
252,cond-mat.supr-con
247,cond-mat.supr-con
251,cond-mat.supr-con
249,cond-mat.supr-con
261,cond-mat.mes-hall
245,cond-mat.supr-con
260,cond-mat.supr-con
262,cond-mat.supr-con
264,cond-mat.supr-con
265,cond-mat.supr-con
271,cond-mat.supr-con
259,cond-mat.supr-con
258,cond-mat.supr-con
263,cond-mat.superconductivity
273,cond-mat.supr-con
272,cond-mat.supr-con
266,cond-mat.supr-con
268,cond-mat.supr-con
