doc_idx,category
2006,7
3484,10
1145,6
1370,7
130,6
4320,2
1136,6
472,1
5783,4
5689,1
1457,10
4658,1
559,1
1161,5
2152,7
916,1
2569,2
4278,1
4394,7
4910,9
4166,7
4008,3
4336,2
5916,2
4404,2
5914,1
247,6
4330,3
528,6
4583,4
2946,7
880,6
2406,7
1675,7
5418,3
1448,1
202,8
3369,1
3996,6
3457,4
144,3
5182,1
2067,3
731,5
5292,2
2690,10
388,4
14,6
5193,7
3312,4
2810,4
4959,1
2889,6
394,4
5081,7
5283,5
557,9
2630,5
1121,4
3586,9
1669,1
2534,6
3807,6
134,6
2247,7
4672,7
5258,2
429,3
1398,8
4018,1
4189,4
5567,1
3652,4
5635,3
675,6
3388,6
3736,7
4487,1
1299,1
2961,1
3200,6
2553,6
3981,4
660,4
12,3
527,6
2623,8
1051,3
4148,8
3412,4
1657,11
5556,4
4880,7
5326,8
4463,5
1108,4
5092,6
5928,5
1590,7
4340,7
502,2
4203,4
4281,9
2224,2
206,1
4737,6
1031,10
5949,7
2188,6
2232,6
1452,3
4204,2
5591,4
5178,7
5804,2
5428,4
170,7
2475,6
4154,3
2103,4
1982,5
5413,8
5382,6
5931,10
3359,5
1493,4
5653,1
1362,7
2762,4
1511,6
1116,6
5059,8
4766,8
4960,4
1526,3
980,7
1328,6
751,7
214,4
1267,7
5260,11
3311,3
142,2
3194,6
2888,5
5915,3
5751,6
287,4
4230,6
4755,1
4987,3
4077,2
5765,6
4714,3
1607,1
3883,4
4364,1
1644,3
5317,1
4886,7
3552,1
5546,4
2916,5
2102,9
2118,8
634,6
5000,2
4836,6
2678,6
1687,4
1001,2
257,2
4045,7
2402,2
2909,7
3616,7
2980,2
5082,6
3764,6
3776,2
3609,7
1940,4
5216,6
2760,6
5555,11
4407,4
1303,4
3619,6
1830,5
4641,2
4035,2
1327,1
1737,3
5613,1
4314,6
5763,1
2859,6
5838,6
2249,6
3240,2
1990,7
3639,5
3888,1
2829,10
533,5
828,1
1748,1
3325,1
4032,6
15,12
2705,6
1091,8
4294,6
5921,1
2278,6
3526,1
4727,7
4338,7
2332,3
1045,8
3539,3
4689,3
2455,6
977,3
5919,4
5104,6
1431,6
3177,7
5802,10
1750,5
1969,3
812,2
2795,2
1495,4
5266,1
2241,7
2643,3
535,9
4732,8
3487,12
3126,2
4269,6
1933,6
4482,2
1192,2
1843,5
4779,7
143,4
5171,3
2588,3
2477,7
4190,1
2453,7
962,5
1540,4
3677,6
464,4
2204,7
3145,5
1095,1
882,8
3286,6
2243,4
843,8
2272,1
2382,9
311,1
3031,3
2244,4
499,9
3554,1
1453,10
98,5
2686,4
4582,1
2012,1
5989,7
29,4
4016,6
5532,7
2868,6
5667,2
443,6
3046,4
5794,2
4552,2
2716,1
2149,4
3740,4
4936,5
991,10
1668,6
3472,2
914,4
4631,7
4410,4
5411,7
3131,7
1706,2
5899,4
2706,1
1654,4
4918,1
4115,7
2066,6
5957,9
4138,1
1196,6
1900,7
4052,6
3270,5
1450,4
302,10
4688,5
5538,4
3179,2
3402,6
2806,4
3620,8
1294,9
2575,7
42,7
4366,7
217,8
4816,4
4748,6
2816,5
1620,3
3390,6
3785,10
3518,4
4713,3
4179,3
3847,4
3379,7
5739,1
965,2
4550,5
3684,1
3774,6
3948,2
5108,2
1977,1
5497,7
4684,10
3180,4
4861,6
2014,6
1736,7
5341,1
4856,6
5898,4
1022,6
4970,1
1484,2
4411,4
3320,2
519,7
4993,1
286,3
4782,3
467,8
982,6
304,6
1421,1
4715,3
864,6
3788,1
5938,10
4924,7
2906,4
4426,6
1845,4
2182,5
5486,7
3921,6
3075,4
2215,2
3348,7
2189,7
5109,7
5133,6
5651,1
4346,7
3645,1
3416,4
555,6
4397,4
1122,9
4117,7
2648,9
4820,1
4213,5
5776,4
4282,10
5493,4
4395,4
3920,4
2584,1
3896,2
3482,6
4459,2
1418,1
2797,2
1351,6
539,1
5177,8
1170,1
3872,5
1867,2
3993,3
4901,6
2071,4
4139,4
3203,2
3633,4
2790,7
1861,4
1,8
3761,3
2563,1
4133,2
4157,10
1702,6
5749,1
1332,6
4528,7
3283,4
1817,1
5933,6
224,1
2931,2
2162,2
5676,9
5517,6
661,1
451,10
5707,6
5894,3
1957,7
2611,3
20,2
1336,6
4372,1
3167,3
3521,6
1357,1
