doc_idx,rewrite
12,Condensed Matter Physics
4,Condensed Matter Physics
3,Computer Science
2,Mathematics
0,Research Software Scholarly Infrastructures.
11,Mathematics
13,Mathematical Physics
1,Aerospace Engineering
7,Astrophysics
5,Electrical Engineering
6,Nanotechnology
10,Quantum Physics
8,Random matrix theory
15,Social media emotional cycles.
16,Computational Geometry
18,Condensed Matter Physics
17,Astrophysics
23,Materials Science
9,Astrophysics
14,Algebraic geometry
21,Computer Vision
20,Nuclear Physics
25,Astronomy: Rotation Periods of Young Stellar Objects in IC5070
19,Index theory on manifolds with generalised hyperbolic cusps.
28,Mathematics
27,Signal Processing
24,Physics of wetting transitions
29,Quantum thermodynamics
30,Quantum physics
32,Condensed Matter Physics
31,Physical Chemistry
36,Chemistry Theory
33,Theoretical Physics
38,Optics
34,Combinatorial counting on circulant graphs.
37,Computer Science
22,Mathematics - Linear Operators
26,Mathematical Physics
41,Astronomy
39,Mathematical Analysis
40,Condensed Matter Physics
45,Computer Science
44,Nuclear Physics
46,Theoretical Physics
43,Wireless Networking Spectrum Allocation
42,Neural Network Security
35,Computer Science
55,Cosmology.
50,Astronomy
51,Mathematics - Calculus
54,Wave turbulence and collective behavior models in physics.
52,Condensed Matter Physics
48,Mathematics - Trigonometric Functions
47,Statistical Physics
49,Condensed Matter Physics
53,Condensed Matter Physics
58,Bioinformatics
57,Machine Learning
61,Quantum mechanics
64,Astronomy
56,Financial Mathematics
60,Homotopy in Volterrian quadratic stochastic operators.
59,Healthcare Technology
68,Computer Vision
67,Mathematics
65,Virology
62,Fluid Dynamics
66,Condensed Matter Physics
69,Astronomy
71,Medical Imaging
73,Particle Physics
75,Astronomy
63,Particle Physics
77,Science of globalisation
82,Astronomy
79,Optical polarimetry.
83,Computer Vision
80,Solid-state physics
76,Archaeological statistics.
78,Fluid dynamics
81,Particle physics
72,Text Classification
85,Cosmology
87,Colloidal Physics
88,Superconducting Magnetism
89,Mathematics - Operator Algebras
96,Algebraic structures
90,Neuroscience oscillatory dynamics.
74,Open Information Extraction in Question Answering
70,Statistical physics
99,Solid State Physics
98,Astronomy
100,Bioinformatics
97,Nuclear physics
101,Astrophysics
84,Control Systems Engineering
86,High-energy nuclear physics
94,Fluid dynamics
95,Theoretical Physics
93,Condensed Matter Physics
105,Computer Vision
91,General Relativity
104,Number theory
92,Genetics.
106,Software Testing
107,Particle Physics
102,Mathematics - Lie algebras
103,Physics
111,Machine learning
108,Quantum entanglement in multi-dimensional systems.
110,Inorganic Chemistry
117,Supply chain management and forecasting.
114,Physics
118,Machine Learning
112,Statistics
116,Computer Science
109,Nonlinear optomechanical systems
113,Mathematical Physics
119,Particle physics
120,Mathematical Analysis
123,Dynamical Systems
124,Physics of active nematics.
127,Nuclear physics
125,Solid State Physics
126,Statistics
129,Information Theory
130,Mathematical logic
122,Computer Science
115,Mathematical Analysis
131,Quantum physics.
128,Hydrology
132,Graph Theory
121,Quantum Physics
137,Astronomy
