doc_idx,rewrite
8,Administrative assistant
11,Financial assistance.
0,Travel assistant
3,Calendar scheduling.
10,General Knowledge
9,Time-related inquiries
5,Personal information gathering
4,Voice assistant customization.
7,Financial services
6,Travel assistant
12,Personal assistant domain
13,Financial assistance
2,Travel assistant.
15,Online shopping
17,Gaming
14,Financial assistance.
18,Travel and transportation.
21,Voice assistant domain
16,Personal finance.
1,Transportation assistance.
19,Travel health.
25,Financial assistance
26,Personal assistant
20,Travel assistant
22,Event planning.
27,Location-based assistant.
33,Mapping services
32,Personal errands.
29,Music identification.
31,Financial services.
28,Restaurant reservation.
37,General gratitude.
35,Scheduling assistant.
34,Philosophical inquiry
30,Personal life reflections.
38,Task management.
41,Music domain
36,Travel assistant
23,Food and restaurant reviews.
40,Personal assistant
24,Financial assistance
39,Scheduling.
45,Restaurant recommendations.
42,Workplace communication.
49,Currency conversion.
47,Financial assistance.
48,Government facilities.
52,Vehicle fuel.
44,Calendar management
46,Personal information gathering
50,Personal assistant
58,Cooking.
51,Personal assistant
59,Music playlist management.
56,Time management
60,Currency conversion.
55,Account management
54,Tax assistance
57,Transportation inquiries.
43,Travel planning.
61,Banking services.
63,Online shopping.
66,Time zone inquiry.
62,Automotive maintenance.
70,Travel assistant
68,Communication domain
67,Music assistant
69,Travel assistant.
71,Financial assistance
73,Automotive maintenance.
53,Financial services
72,General location inquiry.
74,Entertainment
77,Financial assistance
76,Financial assistance.
64,Restaurant reservation.
82,Music identification.
83,Travel arrangements
79,Calendar and scheduling.
78,Personal assistant
75,Personal Task Management
80,Travel assistant
81,Voice assistant customization.
65,Personal assistant
86,Reminder to make a phone call.
88,Personal finance.
84,Scheduling assistants.
89,Time off tracking.
87,Personal assistant domain
91,Financial assistant
95,Alarm assistance
93,Music assistant
96,Directions
97,Automotive assistance.
94,Currency exchange rate inquiry.
90,Personal assistant
92,Financial assistance
98,Virtual assistant
85,Travel arrangements.
101,Vehicle assistance
104,Utility bill inquiry
106,Financial assistance
102,Personal finance.
107,Scheduling.
100,Cooking
108,Travel assistant
103,Automotive maintenance.
105,Restaurant reservation.
110,Task management.
99,Location services.
112,Voice assistant commands
111,Employment.
114,Pet preferences
116,Personal finance.
109,Personal assistant
119,Language translation.
117,Transportation.
120,Insurance assistance
113,Insurance inquiries
121,Automotive assistance.
115,Automotive maintenance.
122,Restaurant reviews.
118,Banking assistance
123,Personal finance
124,Travel assistant.
133,Travel assistant
131,Voice assistant commands
132,Language Translation.
136,Cooking.
130,Personal relationships
128,Order tracking.
134,Restaurant reservations
125,Travel assistant
129,Calendar management.
139,Gaming.
126,Entertainment
137,Banking.
127,Personal assistant
142,Order tracking.
138,Shopping list.
144,Financial assistant
147,Nutrition information for spaghetti bolognese.
135,Financial services
148,Banking information.
143,Personal assistant
141,Scheduling an oil change.
149,Financial services
145,Employment services
140,Voice assistant privacy settings.
153,Music assistant
152,Currency conversion.
150,Personal assistant
158,Locating a lost cellphone in a room.
151,Travel accommodations.
157,Food and beverage assistant.
154,Food and dining.
160,Scheduling assistant
155,Scheduling assistance
161,Financial assistance
146,Financial assistance
164,Personal assistant
163,Mapping and navigation.
156,Cancellation of reservation.
159,Personal assistant
162,Personal well-being
165,Memory assistant.
166,Travel accommodations
170,Technology
171,Financial Services
167,Insurance inquiries
173,Financial tracking.
175,Financial assistance.
168,Spelling assistant.
176,Personal finance.
177,Philosophical inquiry
178,Financial services
179,Calendar management.
174,Technology
169,Travel assistant.
172,Social interactions
181,Personal assistant
180,Banking services.
183,Voice assistant customization.
188,Bill payment.
186,Financial services
187,Travel assistant
189,Home maintenance.
190,Financial services
182,Personal assistant
192,Language learning.
194,Virtual assistants
195,Personal assistant
185,Retail shopping.
191,Financial assistance.
193,Travel arrangements.
196,Time Management
199,Financial transactions.
197,Gaming
200,Administrative assistant
202,Time management.
201,Appreciation
198,Automotive maintenance.
206,Administrative assistant
207,Personal assistant
209,Education calendar.
184,Travel and government information.
205,Location-based assistance
208,Banking services
203,Automotive maintenance.
212,Food and recipe recommendations.
204,Fuel requirements.
210,Locating nearby marijuana dispensaries.
211,Financial assistance
213,Financial/tax assistance.
214,Company Identification
215,Music playlist.
217,Automotive assistance.
219,Food and restaurant reviews.
216,Financial assistance
223,Task management.
221,Financial assistance
220,Spelling assistance.
222,Personal assistant domain
224,Travel arrangements.
218,Personal assistant
228,General Knowledge
227,Financial assistance
226,Personal assistant
230,Online shopping.
232,Financial inquiries
235,Home automation.
225,Personal assistant
238,Travel and transportation.
236,Cooking.
229,Pet ownership.
239,Travel and transportation.
231,Personal finance
234,Travel assistant
240,Travel planning
237,Nutritional information.
241,Administrative assistant.
243,Personal finance.
246,Language learning.
233,Personal finance.
247,Time management
244,Residential domain.
245,Financial services.
249,Travel assistant
251,Casual conversation
250,Travel assistant
248,Financial management.
252,Location inquiry.
242,Restaurant reservation.
253,Location inquiry
255,Personal finance.
257,Package tracking.
261,Food and dining.
254,Personal assistant
262,Social conversation
263,Travel and transportation.
258,Financial assistance
267,Personal assistant domain
268,Travel assistant
259,Restaurant reservations.
260,Financial assistant
265,Financial assistance.
270,Personal assistant
271,Restaurant reservation.
269,Entertainment
273,Voice recognition technology.
275,Financial assistance.
256,Request for clarification in conversation.
264,Automotive assistance.
276,Time off request.
274,Financial assistance
279,Entertainment
280,Mathematics
277,Financial assistance.
278,Financial services
286,Weather forecasting.
284,Currency conversion.
281,Voice assistant domain.
288,Translation services for pet care.
266,Calendar scheduling.
287,Personal assistant
282,Navigation assistance
289,Personal assistant
283,Food storage.
272,Vehicle information.
294,Customer reviews.
296,Financial assistant.
290,Cooking
295,Social conversation
292,General domain: Asking about origin or location.
291,Unit conversion.
298,Time management
285,Shopping list.
299,Cooking
297,Financial/tax assistance.
300,Personal assistant domain
303,Nutritional information for broccoli.
304,Personal finance.
302,Cooking assistant
305,Nutrition.
307,Voice assistant domain.
312,Personal Task Management
311,Personal assistant
293,Personal assistant
301,Personal assistant
310,Language translation assistance.
306,Food and dining.
313,Time and date inquiries.
309,Location services
308,Travel planning.
317,Vehicle maintenance.
316,Administrative Support
318,Automotive.
314,Personal assistant domain
315,Mathematics
320,Personal assistant
323,Personal assistant
327,Financial assistance
324,Food and beverage assistant.
326,Travel assistant
322,Restaurant reservation.
325,Financial assistance
321,Financial assistant
328,Vehicle fuel level inquiry
329,Financial assistance
330,Restaurant inquiries
333,Cooking assistance
332,Time off request.
334,Personal finance.
339,Language settings for Norwegian.
337,Financial assistant
338,Audio settings
319,Gaming.
340,Travel assistant
331,Restaurant assistance.
335,Restaurant reservation.
336,Administrative assistant
341,Travel assistant
344,Customer service.
345,Vehicle maintenance.
343,Cooking.
347,Automotive maintenance.
342,Tax assistance.
348,Time off request.
351,Nutrition.
352,Financial assistance
353,Virtual assistant
346,Music playlist.
358,Music assistant
357,Gas selection.
354,Restaurant reservation.
349,Grocery shopping.
356,Traffic conditions.
359,Personal finance.
355,Travel arrangements.
362,Decision-making.
364,Travel assistant
360,Cooking.
350,Voice assistant domain
367,Travel assistant
363,Financial assistant
365,Restaurant reservations.
372,Personal assistant
361,Personal finance.
371,Travel assistant
370,Financial services
373,Personal communication
375,Gaming assistant.
374,Music assistant.
366,Language Translation.
368,Scheduling assistant.
377,Time off tracking.
379,Time off tracking.
380,Travel alerts for the US.
383,Vehicle assistance
376,Financial services
386,Automotive assistance.
384,Healthcare
382,Financial services
378,Financial assistance.
369,Transportation
388,Personal assistant
381,Travel assistance.
385,Personal assistant
390,Personal assistant domain
387,Existential questioning.
391,Weather forecasting
392,Time and date inquiries.
397,Financial assistance.
393,Food recommendations
389,Cooking assistance
398,Personal assistant
394,Financial assistant
395,Financial assistance
400,Recipe assistance
399,Personal interests and hobbies.
396,Personal finance
403,Financial Services
405,Healthcare administration.
404,Financial services
407,Cooking.
409,Scheduling a conference room.
406,Restaurant wait times.
411,General domain of assistant capabilities
402,Personal organization.
401,Personal assistant
413,Personal assistant.
412,Travel and tourism.
414,Restaurant reservation.
408,Administrative tasks
410,Home maintenance.
415,Travel assistant
418,Personal assistant
416,Personal assistant
420,Personal assistant
426,Food storage.
424,Personal assistant
419,Financial services
428,Socializing at a bar.
423,Financial services.
422,Spelling assistant.
425,Financial services
427,Personal assistant
429,General domain: Communication
430,Personal assistant
431,Language translation assistant.
433,Financial services
436,Personal assistant
435,Transportation services.
421,Uncertainty.
432,Financial assistance
440,Personal assistant for shopping.
442,Music playlist management.
434,Social interactions
438,Music assistant
441,Fuel level inquiry.
417,Calendar scheduling.
448,Financial services
446,Random number generation
443,Grocery shopping.
445,Financial services
444,Personal communication.
450,Health insurance.
447,Financial assistant
439,Spelling assistance.
451,Time scheduling.
452,Voice assistant customization.
449,Financial services
454,Travel visa requirements for St. Petersburg.
457,Travel and tourism.
459,Unit conversion.
453,Random decision-making.
455,Pet ownership.
460,Personal assistant
458,Music identification.
437,Personal assistant
456,Cooking assistance
462,Restaurant reviews.
466,Personal assistant
464,Personal assistant
465,Banking services
463,Personal assistant domain
467,Automotive maintenance.
461,Financial fraud detection.
474,Travel assistant
470,Music assistant.
468,Cooking
469,General Knowledge
472,Restaurant reservation.
