doc_idx,category
1737,19
104,14
2714,14
2361,3
2181,4
1366,17
1854,2
2370,2
2010,20
482,15
1850,10
1465,18
30,14
118,2
2110,1
538,9
385,2
224,1
2213,12
1794,13
248,11
2104,4
2000,12
2859,16
2276,6
553,17
572,12
306,16
663,6
1240,11
2891,8
1759,0
1830,12
1702,8
22,2
861,5
1377,12
820,12
578,9
621,20
2254,9
2158,8
638,17
1138,10
2475,2
2672,9
1267,17
615,4
2819,16
1302,20
1379,20
1881,0
600,7
2174,12
1385,19
775,2
1217,18
874,8
1888,1
92,4
2019,19
536,0
2085,9
2215,12
1677,17
410,8
1452,2
716,13
1051,13
2510,5
2712,15
2684,6
422,19
1683,12
701,4
575,9
890,14
1043,12
951,1
2497,20
2596,16
156,7
1108,8
2422,9
1555,1
2949,8
1636,0
836,16
1798,19
436,12
2133,8
2231,5
298,17
826,19
2580,4
2309,4
1708,12
1173,12
2480,6
743,8
333,8
2201,19
1059,8
2062,0
1005,11
1127,12
1945,20
2655,9
2773,3
529,16
1604,12
253,15
1098,12
491,0
2033,20
961,0
913,0
1537,12
361,4
776,13
2368,16
547,4
2724,12
2060,12
117,2
338,9
503,12
1283,12
2967,12
2890,8
1625,0
33,8
2392,12
1486,15
1801,15
1612,0
527,5
1515,10
1196,4
933,4
380,6
1280,7
953,20
2148,4
1912,1
1122,18
276,12
1231,0
2219,0
1003,14
23,8
317,14
783,8
1183,14
2776,8
628,0
2910,19
138,20
252,9
2508,17
825,12
2532,0
882,17
891,8
672,10
1239,4
2841,8
2232,15
2547,17
2063,15
1923,18
2450,11
195,14
2525,9
1419,11
566,0
880,16
485,5
923,3
1509,16
905,14
1044,2
263,8
687,11
2813,8
1334,8
2720,8
2305,2
1455,6
746,11
1553,15
2208,0
2015,0
1370,4
1739,12
1311,11
2458,12
2851,12
997,1
1047,3
2837,20
295,2
217,4
2351,2
10,11
1273,2
2419,12
1673,9
1158,5
2489,6
2844,12
2205,8
751,12
1232,4
2402,5
1583,20
472,12
582,8
70,12
1783,19
1052,2
909,15
305,12
1839,3
182,4
15,17
1106,15
316,20
587,8
2565,1
2202,15
2544,8
1386,2
2645,12
2613,16
311,6
2306,19
446,12
1670,2
2239,13
2193,8
2472,19
652,19
1099,12
688,12
1269,8
1070,9
2289,14
934,15
2557,19
2226,16
227,14
1639,15
1885,8
599,8
2316,15
1212,8
2585,12
399,1
2831,3
648,16
1118,12
2542,14
179,16
1969,6
1548,12
850,8
2363,8
1023,12
1449,4
1682,4
1263,19
2926,4
686,14
501,8
723,19
124,1
1376,17
1955,8
2863,12
1236,12
1544,2
1756,6
1606,20
2584,9
838,16
1824,8
2522,8
2560,12
192,4
935,3
1780,8
480,12
2207,16
2644,16
969,11
9,8
2703,9
1901,17
69,2
655,9
2814,8
2763,3
1101,8
545,8
2737,16
565,0
2698,19
1037,7
991,12
1878,2
259,18
2315,6
1872,2
196,2
791,4
543,18
616,5
1715,4
936,5
1259,8
302,20
2632,18
148,16
1935,18
2534,10
2443,2
2917,4
1349,4
1323,12
228,17
927,2
2235,9
979,18
2861,2
748,2
895,8
1931,19
235,18
352,17
2203,20
1788,2
463,12
692,17
963,10
720,18
461,8
1580,8
675,0
1791,12
2447,4
2925,4
2742,11
1288,16
2615,2
2223,12
2264,1
2896,15
245,3
1086,18
2124,12
1943,0
2013,7
1818,0
731,18
2001,14
601,16
1876,12
2490,14
1114,12
1726,1
2300,16
1771,20
924,12
1355,2
