doc_idx,category
1262,5
1336,5
1343,2
4045,1
3922,2
639,10
2724,1
2699,5
775,1
3408,9
3499,2
2776,10
4224,9
1888,2
2331,1
4277,5
3077,8
1056,3
1931,8
2613,8
2174,5
690,5
2644,5
3498,8
1646,4
4044,5
526,3
72,10
3241,1
4176,2
1240,8
2858,10
841,1
918,11
3723,10
4263,9
3439,1
1793,6
3826,9
636,0
2480,1
1022,7
4012,10
716,10
3993,9
4381,1
117,8
1493,2
4095,3
3314,9
788,8
302,4
514,7
998,7
906,8
2669,6
2019,2
2232,4
584,9
3502,7
3655,9
3008,10
965,7
2243,3
453,6
553,9
125,8
2526,6
3339,4
3347,5
3173,5
4122,8
2682,5
4241,5
2268,8
4037,3
2617,3
4076,6
308,0
1423,7
2087,5
3100,3
2160,10
214,11
2689,1
3900,2
4262,2
1666,7
2194,2
3010,1
45,1
634,8
3755,10
1002,0
195,1
3098,7
500,4
1751,7
3257,0
1091,4
543,3
2488,8
3842,5
3712,9
4028,2
154,2
3021,5
803,0
142,3
218,10
1230,6
4081,8
3381,3
3228,5
487,2
2717,7
1367,1
2942,5
1697,7
1784,9
3012,1
866,3
1712,10
2583,9
917,7
979,0
3841,5
42,5
4151,4
2131,7
3406,5
3450,8
481,10
872,2
1042,3
3738,1
2146,1
1943,6
2525,3
1927,9
555,7
220,3
2270,6
223,3
556,6
170,3
3253,2
3155,2
2293,4
87,4
2198,5
2466,5
2826,10
1530,3
3711,3
2535,11
162,8
4338,10
3619,7
3916,3
1239,1
2911,9
2986,11
3883,2
2645,2
4088,10
2751,6
1643,8
1902,1
2505,5
3462,6
2584,4
531,2
224,5
684,7
1432,9
348,10
3523,2
980,2
1282,10
4273,1
1566,6
3931,5
2089,10
1303,7
1206,8
2038,1
4331,6
304,3
2102,5
4140,3
900,1
4113,5
4090,9
1496,10
1141,3
3837,2
3490,5
1256,10
1798,9
3578,3
1082,4
2842,9
156,2
2016,1
2447,3
4321,3
1533,5
708,6
4102,5
3255,8
2939,5
599,5
57,6
545,10
1491,9
3202,7
2728,9
2494,1
2601,11
2825,2
1012,8
2760,3
1362,1
2252,7
1559,3
1601,2
2592,5
1695,7
2747,5
3771,2
1005,3
2605,8
2935,1
3177,5
3719,3
1837,1
3172,5
3355,6
4026,4
2764,5
817,11
2849,0
3637,5
567,8
1261,9
2012,10
620,6
1357,4
2180,4
1726,7
2347,1
3846,7
925,1
825,2
3694,4
3303,5
3159,11
2620,6
3380,7
189,9
3059,7
3864,2
1098,10
1163,1
675,5
629,7
1248,4
3016,7
1775,11
1563,10
2857,3
2931,10
2204,0
1742,4
2975,1
731,8
1490,6
1470,8
4289,2
1069,9
3518,9
2215,1
773,3
3736,6
1144,2
104,3
2312,8
1855,5
3772,10
3603,7
2027,3
2407,5
217,4
2523,5
496,4
2718,7
2472,11
678,1
938,2
3218,10
3672,11
2139,5
1654,10
4169,2
3896,9
1482,5
1895,7
2602,8
2653,1
3387,2
898,0
1535,0
2815,10
3777,0
536,7
3005,5
2667,4
3061,3
3522,5
1577,8
3152,6
1900,6
3976,9
33,5
1471,3
768,5
1632,5
491,3
3725,4
499,2
2985,7
1881,5
1504,7
2674,5
1767,5
2816,8
3671,5
2558,4
720,3
3504,3
1065,1
3555,5
2223,10
3433,4
1412,8
582,7
1794,0
1789,9
3470,1
1271,6
1330,0
2905,9
402,5
4245,4
2552,10
2425,7
2921,11
3225,9
3704,11
2369,4
2010,9
3519,1
2833,4
1246,1
2423,2
3617,5
4268,1
1399,6
2714,5
3878,2
2300,3
3489,4
245,5
2707,8
3101,10
4110,6
1774,2
3627,1
666,5
3027,5
192,5
3346,8
1990,6
1997,11
252,6
2070,1
2161,6
2123,4
1583,5
3959,5
3739,10
3713,3
1,8
1721,2
1887,1
3185,7
4191,8
2284,2
3536,10
1718,5
1955,5
3322,11
3955,1
2542,3
379,9
2406,6
683,8
2933,3
2853,5
4232,5
3673,3
668,9
2275,5
1418,3
891,3
3258,6
1276,5
3250,4
3581,8
3549,5
3528,8
1363,0
2740,8
70,0
88,6
794,3
1127,9
3145,11
31,9
148,3
1495,9
3234,3
291,1
3700,7
559,11
661,1
1114,11
3823,9
3693,3
3506,11
2434,8
541,3
378,7
2415,6
871,5
562,5
4280,3
3726,0
381,8
2460,9
485,5
3783,7
3090,1
3662,6
829,4
2383,3
882,10
2551,9
3650,0
812,4
2065,1
1073,1
2943,10
410,10
2260,4
1790,1
1329,7
185,10
2945,10
2588,6
4052,4
1662,10
3198,5
528,8
2794,1
2126,6
4343,1
173,0
3149,10
3607,10
1275,1
3369,2
1043,3
1894,3
3304,7
1497,7
1898,3
347,4
648,9
971,3
2265,5
3779,10
3586,6
470,8
2631,10
2844,2
4250,10
294,6
1161,3
3104,3
2345,9
704,3
1702,7
2694,3
809,8
530,3
1513,5
3710,4
383,6
3349,11
3919,8
3566,10
867,1
3833,7
1912,10
2076,0
286,8
1800,6
3885,7
