doc_idx,rewrite
3,Social Networking
5,Shopping domain
0,Travel arrangements.
2,Sending a video message.
10,Recipe recommendation
4,Communication domain.
1,Media control.
11,Event planning domain
7,Weather inquiry.
8,News domain.
13,Calendar Management
6,Calendar Management
12,Reminder for scheduling appointments.
14,Information retrieval
9,Geographical Information.
15,Messaging domain
17,Media playback domain
18,Calendar functionality
20,Workforce Management
23,Reminder Management
21,Displaying contacts
25,Work history.
26,Event scheduling.
28,Weather information.
30,Education.
24,Communication domain
19,Nutritional information.
27,Music playback domain
29,Music playback.
16,Music playback.
31,Cooking assistance
34,Weather information.
35,Sound management
36,Weather forecasting.
22,Alarm functionality
32,Reminder.
45,Weather information.
38,Social Networking
43,Education.
41,Alarm functionality
46,Phone call domain
33,Reminder functionality
44,Timer functionality
42,Reminder functionality
47,Phone/Calling domain
37,News Inquiry
40,Reminder Management
48,Music playback
49,Calendar scheduling.
50,Social media communication.
54,Nutritional information.
39,Recipe recommendation for peanut butter based dessert.
53,Work-related inquiries.
52,Music playback.
51,Cooking assistance
55,Cooking assistant
57,Alarm functionality
62,Alarm Management
59,Cooking assistance
60,Media playback.
56,Reminder management
58,Entertainment.
64,Music Assistant
65,Package tracking.
67,Alarm functionality
69,Cooking assistant
68,Contact management.
63,Phone assistant functionality
70,Calendar scheduling.
73,Weather information.
66,Work-related social connections.
71,Reminder management
76,Weather forecasting.
77,Reminder domain
75,Communication domain
61,Music playback.
78,Work scheduling.
74,Calendar Management
80,Weather information.
82,Contact management.
72,Location-based inquiries
81,Information Retrieval
88,Alarm functionality
85,Weather forecasting
86,Weather and outdoor activities.
87,Availability
90,Weather information.
92,Music playback domain
91,Communication domain
83,Contact Information
84,Call Assistant
93,Music genre adjustment.
94,Work-related inquiries.
95,Event information domain
89,Travel and tourism.
98,Reminder functionality
96,Education.
100,Information retrieval
97,Music domain
99,Timer functionality
102,Social Networking
105,Food and drink.
103,Weather Information
101,Alarm functionality
106,Event information.
107,Timer functionality
108,Timer functionality
109,Call management.
110,Timer functionality
112,Communication domain
113,Reminder Management
114,Entertainment.
115,Calendar reminders.
111,Communication domain
117,Entertainment
116,Timer functionality
118,Music playback.
104,Call functionality
79,Scheduling alarm.
122,News Reading
123,News and information.
119,Call management.
126,Phone calls.
120,News Reading
130,Recipe assistance
129,Scheduling.
124,Weather information.
125,Media playback domain
128,Alarm functionality
127,Calendar Management
121,Weather forecasting.
131,Weather forecasting.
132,Alarm functionality
136,Reminder management.
133,Communication domain
139,Travel assistance.
137,Reminder domain.
135,Alarm functionality
140,Social media management.
143,Phone call functionality
134,Call management
141,Cooking assistance
144,Communication domain
142,Call function
146,Communication domain
145,Sports and events calendar.
138,Communication domain
148,Phone Call Request.
153,Information Retrieval
151,Reminder domain.
152,Timer functionality.
155,Weather information
150,Travel and entertainment.
159,Media playback domain
157,Call management
158,Reminder functionality
156,News and information requests.
149,Communication domain
164,Scheduling assistant
160,News and information gathering.
161,Communication domain
167,Contact Management
163,Communication domain
147,Food and Recipe Information
165,Government domain
166,Task Management
169,Timer functionality
168,Reminder domain
162,Music playback.
154,News and Information.
170,Call management.
171,Music playback.
174,Cooking assistance
176,Call management.
175,Communication domain
178,Scheduling assistant.
180,Task Management
181,Weather forecasting
172,Entertainment
173,Task management.
184,Communication domain
182,Message Management
177,Music domain
179,Work-related inquiries.
183,Music services.
189,Nutrition information.
187,Communication domain
188,Time management.
193,Alarm functionality
196,School scheduling.
195,Weather forecasting.
191,Calendar management
190,Reminder domain
199,Timer functionality
197,Calendar Management
192,Reminder domain
198,Communication
186,Weather forecasting.
185,Personal information.
203,Weather information.
205,Reminder Management
200,News updates.
202,Calendar Management
