doc_idx,category
3198,50
2951,90
3602,54
3846,107
3225,15
3929,94
189,96
1059,15
866,45
2847,75
3996,104
1997,84
841,0
4025,34
3550,94
2666,48
1553,57
3751,4
1390,64
3583,92
530,105
1950,105
3327,97
2013,94
2281,63
599,74
536,43
2480,56
651,24
1327,0
4016,104
3118,66
1330,92
2677,56
192,82
684,74
378,64
347,67
4006,45
977,66
3094,67
1245,93
3948,87
185,32
1185,93
1761,43
2920,100
944,33
3375,16
3456,36
3392,4
1042,74
45,98
3758,78
949,98
3033,52
4088,0
2857,76
2181,105
2835,95
2686,25
2602,45
2164,107
72,45
3176,8
1887,103
567,0
2707,62
521,104
1943,86
3270,86
712,44
3874,4
1934,87
2556,4
3159,0
214,36
217,63
867,45
1983,95
3694,38
3360,39
3402,91
768,101
2996,19
587,102
3321,1
142,45
1357,73
562,69
3036,56
302,101
1949,99
2481,57
1018,86
2950,47
2205,45
1770,70
1160,70
3597,45
2868,45
1450,68
1804,74
1262,86
2250,85
1936,63
641,47
3857,99
453,47
666,68
3096,2
3564,62
3353,94
4036,30
501,44
1236,47
1005,14
3541,36
2306,44
381,99
888,6
408,36
2284,83
661,0
527,60
3470,107
639,48
3487,4
465,26
1386,94
2357,93
87,96
42,96
2327,8
2436,86
70,0
3791,86
545,107
2465,95
1220,38
3489,52
2094,75
2931,94
4031,84
3512,66
2947,91
3461,105
868,105
971,59
2293,62
2447,43
2106,67
1618,95
1300,64
148,40
1347,63
569,80
31,71
4099,39
1625,73
2542,86
2689,104
3715,35
3552,80
953,42
2640,56
1148,21
3092,72
496,61
3870,64
3080,28
1501,36
3885,0
3127,98
3722,4
2513,95
3674,48
33,105
1831,8
3087,53
3684,0
3949,36
3745,70
304,50
638,48
2620,93
1666,84
1646,48
1239,44
4052,4
2980,97
2063,104
3975,86
1310,79
3590,5
1377,60
485,102
895,0
1662,86
3309,70
311,108
2310,8
3145,97
3271,18
2143,97
3735,35
775,21
4140,22
2964,56
2193,4
2680,104
3923,85
3668,94
1077,61
2702,45
1,30
3924,95
2895,98
1535,102
3595,98
2730,82
499,19
2661,103
2768,93
2252,104
776,68
825,77
1669,21
4151,101
3654,102
1836,78
678,47
748,96
3098,44
2945,66
3831,0
898,97
2628,106
3721,38
3234,95
3568,96
3506,27
546,79
3051,83
2534,30
3665,43
1852,92
1127,59
543,47
1969,25
2801,28
927,11
2828,64
1362,95
88,108
1494,48
3035,36
982,9
3174,96
2188,95
1920,41
1825,47
2678,104
1953,83
1161,45
1952,60
326,92
1399,91
3969,0
1824,62
3877,14
2558,84
224,49
1999,47
1875,44
1203,19
2243,78
3805,36
4146,83
85,59
2462,0
1826,96
1150,83
2318,92
117,47
891,86
3703,64
4029,105
1474,95
2174,93
1895,96
1670,75
3242,78
514,106
576,38
3705,104
1922,104
457,106
3648,104
1564,53
1928,65
3210,106
716,0
1287,45
2445,45
520,52
998,86
3437,9
2223,92
1559,104
1742,30
935,62
3718,105
3179,53
1965,28
1120,70
3491,103
481,95
298,86
2741,11
3393,0
3907,107
4027,95
452,26
2704,81
3932,85
1894,8
1457,98
3802,0
2368,45
939,69
663,37
2629,82
202,98
2656,0
1043,7
3765,59
3773,36
4001,44
1815,0
883,20
2519,52
57,4
248,108
170,107
528,103
1446,104
3370,68
958,47
842,78
1763,59
2315,47
2350,60
3504,63
1328,39
1513,2
2761,66
668,101
2312,48
3518,34
3323,93
3616,44
2722,98
2488,104
1283,107
706,105
1319,33
989,96
2468,51
4141,23
979,22
2323,36
3004,7
735,93
582,47
3838,29
835,92
4093,56
3558,93
2125,76
1303,105
1385,58
352,8
2112,83
2401,61
3621,57
3990,85
3806,104
4105,83
1533,73
983,63
526,82
3385,51
3112,52
4034,56
2346,0
2271,48
2452,39
2605,69
3917,66
4083,64
2939,57
578,92
2412,49
2165,86
1256,58
1412,60
1359,44
1687,72
690,51
3256,104
3860,77
2849,70
517,0
900,99
1358,53
3151,92
286,86
2572,40
1225,53
39,92
2151,92
3139,8
918,15
1191,95
483,38
3776,97
3972,59
398,83
3774,19
1242,0
2299,82
2616,105
4007,32
502,49
3439,87
2635,93
2332,13
1652,78
30,15
683,73
1675,4
2226,62
3748,99
910,94
2626,4
3189,63
3970,104
2180,105
2484,62
2638,36
751,105
2287,78
253,0
3928,61
773,53
817,47
1180,25
3427,92
463,45
2933,98
3201,70
2075,90
2553,86
2943,59
2907,19
2172,55
2255,77
965,41
2770,66
2972,106
2725,91
996,104
1282,96
1271,93
1642,104
1759,50
1001,37
1078,53
308,47
491,3
1436,103
1764,82
3477,33
1615,45
1583,78
410,62
1917,78
2166,75
3250,11
2549,86
3820,21
1587,104
4092,72
34,31
1410,104
1087,38
49,61
2776,105
3442,70
333,0
1065,97
861,99
531,95
1757,92
138,48
3188,86
2902,19
1084,73
3350,95
4059,11
3804,75
467,29
22,86
2955,48
1898,49
3149,82
2411,23
2036,20
3363,94
3693,105
2124,1
621,83
2754,99
538,38
3788,62
23,93
4103,86
405,83
2041,38
2592,44
4053,108
1766,9
3059,93
3121,92
1068,86
482,7
4079,66
1465,93
961,107
598,59
685,94
1070,45
2407,64
1728,48
1601,104
1856,66
2049,105
2239,107
2917,28
2423,104
615,78
295,25
289,25
1129,92
61,56
951,1
882,75
3196,104
134,104
1515,93
2667,28
2067,0
3800,88
1364,93
3021,44
3061,44
1489,92
3161,98
3027,104
3023,1
3450,57
2805,93
2760,96
3586,92
1958,60
566,24
1380,0
4054,100
2054,45
3826,4
4062,27
1343,104
1326,98
2427,38
840,83
196,86
3528,25
1657,12
2070,45
118,31
322,63
1571,46
3557,56
3464,80
2846,72
227,62
3433,73
1139,60
1109,27
3750,61
3209,67
2765,48
2361,0
3304,14
1336,62
1530,95
3055,36
634,0
