doc_idx,category
2006,7
5783,15
472,6
5689,4
4320,14
1145,23
1136,2
1370,14
130,1
4658,1
2152,2
1161,13
3484,1
1457,14
4394,2
4008,1
916,12
559,8
2569,12
5914,1
4910,6
4166,12
4336,2
528,14
5916,12
247,4
4583,7
4278,2
1675,22
4404,10
880,19
2946,1
3457,21
202,8
3369,6
5418,2
4330,1
144,1
2406,12
5292,1
2067,0
1448,13
388,1
731,3
14,0
5182,7
5081,2
3996,12
5193,6
3312,5
2810,2
5283,2
134,18
1121,0
394,0
557,7
2630,13
2889,1
1669,2
4959,2
2534,7
4672,17
3586,2
3807,16
429,5
2690,6
5567,3
4189,1
5258,2
3388,2
3652,23
4487,2
1398,6
4018,2
5635,1
1299,2
3736,2
675,2
3412,21
2247,10
2961,8
527,12
2623,24
3200,2
2553,15
12,24
3981,8
1657,9
5326,4
4880,3
5928,2
1051,8
4737,7
1108,5
4148,8
5092,2
1590,1
206,2
5556,11
4463,2
4203,8
4340,10
2232,0
4281,3
2224,3
1031,7
502,9
2188,2
5949,2
5178,3
4154,17
4204,3
660,4
2475,5
170,7
5591,6
5413,14
5428,4
3359,12
1982,1
2103,1
5804,1
1493,17
5382,13
5931,11
2762,3
1116,1
1362,9
1511,15
5653,6
287,2
5059,2
1328,7
4766,4
5260,10
4960,5
1452,2
3194,1
1526,7
751,2
3311,23
214,19
980,3
1267,2
142,2
5751,14
4755,18
2888,14
5317,1
4987,7
5765,1
5915,12
1607,1
4077,11
4230,6
3883,4
4714,3
4364,1
5546,11
1644,9
2916,20
2102,2
3552,4
2118,5
4886,24
1687,3
4836,2
634,1
2402,19
1001,2
5000,13
2678,10
2909,12
5082,8
3616,1
257,10
4045,13
4035,6
4407,17
2980,11
1940,6
3776,2
1303,18
3619,7
5216,0
5555,1
4641,10
3609,7
1327,13
2859,2
2760,2
5613,11
1737,10
1990,2
1830,2
3764,3
2249,5
2829,3
3639,3
5838,2
3888,16
3240,11
4314,22
15,15
533,5
5763,6
1091,1
1748,4
4032,24
5921,0
828,2
4689,3
2455,18
4338,7
1045,10
4727,7
4294,8
2278,2
3325,4
2332,1
3539,3
2705,9
1969,1
3177,18
5104,7
2795,18
5919,9
812,0
1431,1
1750,8
5802,3
5266,1
977,4
2241,15
4482,10
535,2
1495,3
2643,2
4732,14
1933,1
1192,1
1843,2
3126,5
3487,1
5171,10
4269,1
3677,9
4779,2
2588,14
2477,2
2453,2
2272,11
962,1
1540,10
4190,0
464,1
3145,6
2244,1
3031,2
2204,15
3526,22
882,4
311,1
143,20
3286,14
2243,1
1095,1
843,3
2382,17
98,1
499,13
2868,5
2686,4
1453,7
4582,2
3554,2
5532,23
29,3
2012,12
5989,12
3472,1
5667,17
4552,7
4016,24
2149,1
3740,14
991,13
4936,8
443,2
5794,5
3046,1
1668,2
2716,12
4631,2
5411,6
4410,2
914,11
3131,14
1706,2
1654,24
5957,19
4918,13
2706,8
4138,10
3270,1
1196,2
4115,13
3620,8
1900,17
302,2
1450,18
5899,1
2066,23
4052,10
4688,12
5538,15
3179,15
42,3
3402,5
217,2
1294,5
4366,1
2806,8
2575,1
2816,3
4816,2
4748,4
1620,14
965,10
3518,2
3847,1
3390,6
3379,3
3785,13
4179,4
4713,14
3774,11
5497,7
3684,7
1977,15
5108,3
3948,11
4684,4
4550,18
4856,7
3180,1
5739,15
4861,4
1736,12
5898,10
4970,7
5341,1
1484,10
1022,1
519,3
2014,2
4993,12
864,10
286,2
4715,1
4411,1
3320,2
982,14
467,15
4782,8
304,3
3348,10
4426,2
2182,1
5938,6
4924,2
2906,5
5133,1
1421,15
3075,14
2215,13
5651,21
5486,14
2189,2
3921,14
1845,2
4346,1
3416,16
3645,2
3788,5
555,2
5109,8
4397,2
4117,2
4820,12
1122,19
2584,10
5776,2
2648,18
1418,10
4395,2
5493,7
1351,2
4459,19
4282,0
3633,3
3896,18
3482,12
3920,6
5177,6
4213,14
2797,2
539,15
1170,2
3993,3
3872,2
3283,1
4901,7
4157,8
2790,4
1867,9
3203,1
4139,19
1702,20
2071,19
4133,18
2563,5
3761,17
1861,2
5933,9
5749,18
4528,15
1332,6
1,21
5517,1
661,11
224,18
2931,14
5707,15
451,5
2611,24
1957,3
20,7
2162,3
1336,10
5894,7
5676,11
1817,1
773,8
4372,23
3167,13
283,13
1536,6
3521,4
1326,16
2819,7
2984,8
1357,1
2483,0
5440,10
776,14
5792,15
3700,2
1330,17
3021,5
3054,7
2267,12
3001,6
620,1
532,14
5029,2
72,7
1430,1
2734,9
401,2
1939,18
2510,1
4181,1
317,4
5146,14
5991,14
5015,4
1034,10
5530,2
737,4
4564,17
3528,15
396,1
5812,5
4640,23
4283,2
1035,1
3954,2
489,4
39,4
4448,14
3630,2
4481,15
3795,14
5796,2
2851,3
5730,3
5134,7
5284,14
2089,10
4350,2
5999,2
2702,2
227,2
572,6
5603,9
2339,5
5476,1
4323,12
5742,1
1422,14
4155,22
2456,9
2836,8
629,24
5774,18
4246,12
3759,16
195,2
4130,19
4677,7
2650,12
2828,2
4512,2
4627,2
3276,12
4015,7
5871,6
2979,14
3771,1
4818,13
3502,1
5830,13
3079,7
1238,2
3154,6
4666,14
2948,2
2708,1
3175,7
3579,2
5662,18
949,5
405,10
4824,4
3519,2
3438,2
735,1
5023,1
1569,8
3824,4
4915,15
1096,13
2148,17
5489,2
3018,1
1551,18
5143,2
1622,1
2689,6
733,13
33,12
379,5
1771,7
1513,10
3319,17
5869,12
4573,7
3392,14
4098,0
1985,2
4311,2
2301,5
5979,8
4858,5
2848,5
381,2
5269,18
5261,3
1343,11
3731,7
49,14
4067,13
1859,5
5729,13
3380,4
842,17
978,13
3537,8
3277,18
1224,2
3158,8
1364,4
3662,15
5646,13
1098,20
2368,2
4599,1
3544,5
2768,1
2754,6
3058,2
3769,11
2740,1
5398,13
444,5
1831,7
349,1
2592,6
871,8
1515,3
3701,14
5932,2
1615,16
3420,1
2490,8
5098,7
5227,9
4050,19
1533,6
465,18
3090,12
380,8
1042,12
1819,20
4701,2
3581,11
3417,2
4576,7
2600,12
3030,12
5571,2
5218,22
4170,21
2971,2
683,1
3884,8
4992,6
1680,15
818,2
1889,2
4679,1
4321,6
3304,6
415,24
3617,24
2947,2
2075,16
5127,7
1139,16
3481,15
2726,1
684,2
1625,1
5022,2
244,12
154,2
5805,7
1172,1
4184,18
1887,5
3495,6
1718,1
1390,10
2531,7
1726,7
910,4
2772,7
3327,11
66,1
3780,13
347,2
4554,2
5049,18
4604,10
2017,18
2878,2
2756,1
4245,17
1984,17
1220,2
1921,10
5580,14
4000,14
4976,9
2087,17
3408,0
608,2
5604,6
348,6
1953,16
5010,8
30,6
4316,6
2311,18
1928,8
875,12
4630,14
1705,14
4601,6
1414,6
3961,14
1662,1
2346,7
1155,11
5090,6
5360,13
148,8
2240,6
3124,10
4140,2
1870,4
558,7
768,16
3083,15
971,9
3201,2
5636,17
5835,1
2696,18
5066,2
2078,2
548,18
3890,3
642,3
531,2
1580,1
138,2
5279,1
2359,2
4975,2
1995,13
5163,8
2890,18
495,7
487,6
4864,1
4299,2
1651,2
1393,4
4307,18
521,16
3706,13
3064,6
5380,2
2315,13
2027,9
530,1
2936,6
4441,1
2929,2
4266,10
2537,6
1835,2
2658,2
1710,14
3861,6
5017,19
918,14
517,18
1688,9
4653,13
2111,1
4339,8
4721,1
3775,1
5189,6
326,4
3515,4
4644,6
4933,1
1246,14
1829,24
3050,3
5847,16
4717,8
601,5
4494,6
2404,2
2832,21
483,2
1869,2
873,18
4783,24
5159,3
3010,6
917,3
1185,2
5678,1
241,19
520,0
2030,24
1371,9
4504,2
5416,13
1778,19
4868,2
725,11
1767,14
1142,18
